"","exp","idx","new_1","new_2","new_3","new_4","new_5","new_6","old_1","old_2","old_3","old_4","old_5","old_6"
"1","EA_exp_1a","1",77,1,7,5,6,4,44,6,4,5,5,36
"2","EA_exp_1a","2",1,7,67,22,2,1,0,7,40,28,9,16
"3","EA_exp_1a","3",19,28,20,13,14,6,6,11,15,7,11,50
"4","EA_exp_1a","4",35,31,22,8,4,0,13,18,23,8,14,24
"5","EA_exp_1a","5",2,26,51,19,2,0,0,11,34,30,14,11
"6","EA_exp_1a","6",28,35,20,4,11,2,8,13,14,0,12,53
"7","EA_exp_1a","7",2,13,66,17,2,0,0,4,37,29,7,23
"8","EA_exp_1a","8",13,23,40,20,2,2,9,11,27,19,17,17
"9","EA_exp_1a","9",33,29,17,8,3,10,10,11,3,8,4,64
"10","EA_exp_1a","10",21,24,16,7,8,24,15,12,8,5,10,50
"11","EA_exp_1a","11",10,23,39,9,15,4,4,16,20,8,18,34
"12","EA_exp_1a","12",23,14,24,11,19,9,9,8,18,16,19,30
"13","EA_exp_1a","13",3,28,44,19,5,1,1,8,31,27,14,19
"14","EA_exp_1a","14",4,25,42,14,15,0,1,8,31,18,28,14
"15","EA_exp_1a","15",6,18,51,15,8,2,3,6,26,8,10,47
"16","EA_exp_1a","16",23,19,35,17,5,1,3,11,21,26,15,24
"17","EA_exp_1a","17",13,48,23,8,2,6,1,3,8,6,10,72
"18","EA_exp_1a","18",37,42,6,0,6,9,11,33,2,2,10,42
"19","EA_exp_1a","19",24,14,35,14,10,3,8,11,26,9,15,31
"20","EA_exp_1a","20",4,49,37,7,3,0,0,2,16,9,33,40
"21","EA_exp_1a","21",24,20,29,20,4,3,9,8,26,19,11,27
"22","EA_exp_1a","22",16,23,52,5,2,2,5,9,27,9,17,33
"23","EA_exp_1a","23",33,38,12,4,11,2,21,30,7,10,10,22
"24","EA_exp_1a","24",78,2,10,7,0,3,16,4,4,6,7,63
"25","EA_exp_1a","25",15,44,17,19,5,0,5,19,11,20,21,24
"26","EA_exp_1a","26",0,3,63,5,27,2,5,1,28,2,37,27
"27","EA_exp_1a","27",2,45,52,1,0,0,0,5,19,12,14,50
"28","EA_exp_1a","28",30,22,24,18,6,0,5,7,11,13,9,55
"29","EA_exp_1a","29",52,7,7,10,8,16,20,12,14,11,8,35
"30","EA_exp_1a","30",30,25,25,12,5,3,6,13,5,17,10,49
"31","EA_exp_1a","31",14,41,20,5,15,5,3,12,11,2,17,55
"32","EA_exp_1a","32",39,25,32,3,1,0,14,11,18,13,2,42
"33","EA_exp_1a","33",51,17,1,0,0,31,44,11,2,1,4,38
"34","EA_exp_1a","34",2,64,2,4,26,2,1,53,8,1,35,2
"35","EA_exp_1a","35",8,27,23,14,18,10,4,25,17,9,25,20
"36","EA_exp_1a","36",42,28,16,6,6,2,23,16,25,10,4,22
"37","EA_exp_1a","37",45,25,5,11,7,7,16,17,6,12,14,35
"38","EA_exp_1a","38",28,18,30,13,8,3,3,16,23,10,16,32
"39","EA_exp_1a","39",71,8,10,2,1,8,26,7,4,5,6,52
"40","EA_exp_1a","40",18,44,31,2,4,1,7,13,19,8,12,41
"41","EA_exp_1a","41",5,14,52,9,18,2,0,10,39,17,21,13
"42","EA_exp_1a","42",14,49,23,10,4,0,3,21,12,12,18,34
