exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1a,1,2,1,80,2,168,1,d,4,6149,1156,0,1,1,new,old,male,22
EA_exp_1a,1,2,2,70,10,147,9,d,4,3233,219,0,5,5,new,old,male,22
EA_exp_1a,1,2,3,68,8,174,7,j,3,3303,116,1,4,4,new,old,male,22
EA_exp_1a,1,2,4,198,1,1,2,d,4,1147,153,1,1,1,old,new,male,22
EA_exp_1a,1,2,5,163,5,50,6,d,4,1439,96,1,3,3,old,new,male,22
EA_exp_1a,1,2,6,9,2,194,1,d,1,3609,194,0,1,1,new,old,male,22
EA_exp_1a,1,2,7,145,1,62,2,d,2,3015,1608,1,1,1,old,new,male,22
EA_exp_1a,1,2,8,3,12,187,11,j,4,2328,210,1,6,6,new,old,male,22
EA_exp_1a,1,2,9,93,2,150,1,j,4,1768,170,1,1,1,new,old,male,22
EA_exp_1a,1,2,10,184,7,21,8,d,4,2179,195,1,4,4,old,new,male,22
EA_exp_1a,1,2,11,193,9,100,10,d,4,2370,147,1,5,5,old,new,male,22
EA_exp_1a,1,2,12,51,6,195,5,j,4,1530,135,1,3,3,new,old,male,22
EA_exp_1a,1,2,13,20,2,110,1,d,4,2301,76,0,1,1,new,old,male,22
EA_exp_1a,1,2,14,30,12,182,11,j,4,1749,122,1,6,6,new,old,male,22
EA_exp_1a,1,2,15,180,1,56,2,d,3,2433,139,1,1,1,old,new,male,22
EA_exp_1a,1,2,16,34,2,191,1,j,4,2193,500,1,1,1,new,old,male,22
EA_exp_1a,1,2,17,43,12,181,11,j,4,1021,158,1,6,6,new,old,male,22
EA_exp_1a,1,2,18,111,1,22,2,d,4,2692,115,1,1,1,old,new,male,22
EA_exp_1a,1,2,19,133,1,90,2,d,2,5298,1105,1,1,1,old,new,male,22
EA_exp_1a,1,2,20,99,2,190,1,j,1,5458,416,1,1,1,new,old,male,22
EA_exp_1a,1,2,21,164,1,92,2,d,3,1469,1051,1,1,1,old,new,male,22
EA_exp_1a,1,2,22,46,2,139,1,j,2,3600,441,1,1,1,new,old,male,22
EA_exp_1a,1,2,23,125,11,89,12,d,4,1735,313,1,6,6,old,new,male,22
EA_exp_1a,1,2,24,173,7,35,8,d,4,2236,233,1,4,4,old,new,male,22
EA_exp_1a,1,2,25,107,1,76,2,d,1,1790,495,1,1,1,old,new,male,22
EA_exp_1a,1,2,26,29,6,109,5,j,4,2087,911,1,3,3,new,old,male,22
EA_exp_1a,1,2,27,42,2,189,1,j,2,2488,223,1,1,1,new,old,male,22
EA_exp_1a,1,2,28,153,1,54,2,j,1,2748,319,0,1,1,old,new,male,22
EA_exp_1a,1,2,29,151,1,11,2,j,1,2224,302,0,1,1,old,new,male,22
EA_exp_1a,1,2,30,105,1,97,2,j,2,1953,556,0,1,1,old,new,male,22
EA_exp_1a,1,2,31,16,2,154,1,j,4,2097,393,1,1,1,new,old,male,22
EA_exp_1a,1,2,32,118,1,95,2,j,4,1445,182,0,1,1,old,new,male,22
EA_exp_1a,1,2,33,160,1,6,2,d,4,1148,824,1,1,1,old,new,male,22
EA_exp_1a,1,2,34,10,2,186,1,d,4,1735,153,0,1,1,new,old,male,22
EA_exp_1a,1,2,35,71,6,114,5,j,4,1647,199,1,3,3,new,old,male,22
EA_exp_1a,1,2,36,59,2,129,1,j,2,1706,194,1,1,1,new,old,male,22
EA_exp_1a,1,2,37,98,2,170,1,j,3,2640,103,1,1,1,new,old,male,22
EA_exp_1a,1,2,38,31,2,127,1,j,3,2113,213,1,1,1,new,old,male,22
EA_exp_1a,1,2,39,101,1,39,2,j,1,1194,164,0,1,1,old,new,male,22
EA_exp_1a,1,2,40,141,3,53,4,d,1,1530,151,1,2,2,old,new,male,22
EA_exp_1a,1,2,41,74,2,149,1,j,1,1614,150,1,1,1,new,old,male,22
EA_exp_1a,1,2,42,41,10,197,9,j,2,3119,203,1,5,5,new,old,male,22
EA_exp_1a,1,2,43,177,1,83,2,d,1,3855,255,1,1,1,old,new,male,22
EA_exp_1a,1,2,44,19,10,175,9,j,2,1748,134,1,5,5,new,old,male,22
EA_exp_1a,1,2,45,196,1,37,2,j,1,1794,1135,0,1,1,old,new,male,22
EA_exp_1a,1,2,46,140,1,18,2,j,1,1805,159,0,1,1,old,new,male,22
