idx,exp,os_ppt_no,datetime
1,EA_exp_1a,0,Wed Nov 23 2022 14:07:49 GMT+0000 (Greenwich Mean Time)
2,EA_exp_1a,0,Mon Nov 21 2022 10:09:31 GMT+0000 (Greenwich Mean Time)
3,EA_exp_1a,0,Fri Nov 18 2022 13:18:14 GMT+0000 (Greenwich Mean Time)
4,EA_exp_1a,1,Fri Nov 18 2022 13:13:34 GMT+0000 (Greenwich Mean Time)
5,EA_exp_1a,0,Fri Nov 18 2022 13:13:18 GMT+0000 (Greenwich Mean Time)
6,EA_exp_1a,1,Fri Nov 18 2022 13:13:23 GMT+0000 (Greenwich Mean Time)
7,EA_exp_1a,0,Fri Nov 18 2022 13:03:59 GMT+0000 (Greenwich Mean Time)
8,EA_exp_1a,1,Thu Nov 17 2022 14:30:23 GMT+0000 (Greenwich Mean Time)
9,EA_exp_1a,0,Thu Nov 17 2022 14:30:07 GMT+0000 (Greenwich Mean Time)
10,EA_exp_1a,1,Thu Nov 17 2022 14:29:23 GMT+0000 (Greenwich Mean Time)
11,EA_exp_1a,0,Thu Nov 17 2022 14:27:33 GMT+0000 (Greenwich Mean Time)
12,EA_exp_1a,1,Thu Nov 17 2022 14:27:22 GMT+0000 (Greenwich Mean Time)
13,EA_exp_1a,0,Thu Nov 17 2022 13:30:05 GMT+0000 (Greenwich Mean Time)
14,EA_exp_1a,1,Thu Nov 17 2022 13:29:27 GMT+0000 (Greenwich Mean Time)
15,EA_exp_1a,0,Thu Nov 17 2022 13:28:35 GMT+0000 (Greenwich Mean Time)
16,EA_exp_1a,1,Thu Nov 17 2022 13:24:17 GMT+0000 (Greenwich Mean Time)
17,EA_exp_1a,1,Thu Nov 17 2022 13:15:31 GMT+0000 (Greenwich Mean Time)
18,EA_exp_1a,0,Thu Nov 17 2022 13:13:27 GMT+0000 (Greenwich Mean Time)
19,EA_exp_1a,1,Thu Nov 17 2022 13:13:26 GMT+0000 (Greenwich Mean Time)
20,EA_exp_1a,0,Thu Nov 17 2022 13:12:58 GMT+0000 (Greenwich Mean Time)
21,EA_exp_1a,1,Thu Nov 17 2022 13:10:22 GMT+0000 (Greenwich Mean Time)
22,EA_exp_1a,0,Thu Nov 17 2022 13:09:46 GMT+0000 (Greenwich Mean Time)
