idx,stud_ids
1,137
1,149
1,186
1,181
1,116
1,117
1,162
1,199
1,183
1,179
1,180
1,154
1,107
1,152
1,200
1,192
1,195
1,160
1,140
1,129
1,136
1,197
1,159
1,161
1,119
1,128
1,171
1,185
1,127
1,126
1,138
1,121
1,153
1,175
1,165
1,142
1,113
1,115
1,143
1,158
1,178
1,106
1,112
1,114
1,148
1,169
1,133
1,191
1,139
1,150
1,135
1,157
1,155
1,134
1,130
1,176
1,177
1,122
1,151
1,194
1,163
1,173
1,105
1,120
1,167
1,196
1,174
1,145
1,123
1,109
1,184
1,104
1,146
1,188
1,170
1,108
1,172
1,101
1,103
1,144
1,198
1,118
1,193
1,111
1,189
1,125
1,102
1,190
1,131
1,110
1,156
1,164
1,187
1,168
1,182
1,141
1,147
1,166
1,124
1,132
2,147
2,115
2,105
2,106
2,186
2,130
2,158
2,199
2,113
2,128
2,104
2,150
2,127
2,129
2,123
2,142
2,180
2,160
2,107
2,188
2,169
2,198
2,140
2,153
2,135
2,131
2,173
2,137
2,116
2,145
2,108
2,120
2,162
2,177
2,151
2,157
2,146
2,182
2,161
2,193
2,125
2,191
2,143
2,102
2,155
2,174
2,132
2,172
2,183
2,148
2,118
2,176
2,171
2,190
2,192
2,117
2,200
2,149
2,112
2,187
2,179
2,185
2,194
2,156
2,154
2,170
2,114
2,121
2,144
2,184
2,111
2,138
2,178
2,134
2,109
2,189
2,167
2,165
2,139
2,126
2,181
2,110
2,133
2,175
2,195
2,196
2,136
2,163
2,141
2,152
2,124
2,119
2,168
2,101
2,197
2,164
2,159
2,103
2,122
2,166
3,64
3,85
3,87
3,61
3,35
3,56
3,27
3,48
3,63
3,47
3,30
3,91
3,14
3,57
3,45
3,8
3,4
3,77
3,10
3,37
3,96
3,3
3,86
3,60
3,95
3,23
3,31
3,92
3,42
3,39
3,32
3,84
3,40
3,71
3,81
3,52
3,12
3,54
3,41
3,36
3,1
3,99
3,13
3,69
3,49
3,43
3,34
3,2
3,19
3,6
3,93
3,78
3,66
3,9
3,7
3,18
3,28
3,68
3,83
3,26
3,98
3,88
3,24
3,76
3,21
3,11
3,70
3,89
3,67
3,22
3,20
3,72
3,55
3,44
3,73
3,74
3,15
3,90
3,59
3,65
3,58
3,17
3,51
3,38
3,5
3,16
3,100
3,25
3,80
3,50
3,62
3,79
3,53
3,29
3,94
3,75
3,46
3,97
3,33
3,82
4,27
4,91
4,39
4,31
4,8
4,40
4,12
4,74
4,84
4,82
4,35
4,67
4,6
4,81
4,66
4,55
4,59
4,75
4,56
4,10
4,32
4,17
4,41
4,53
4,38
4,2
4,33
4,80
4,43
4,47
4,100
4,54
4,64
4,72
4,29
4,48
4,3
4,1
4,83
4,4
4,97
4,95
