exp,idx,cbcond,sex_kp_mfor,age_kp
EA_exp_1b,1,1,female,23
EA_exp_1b,2,2,male,19
EA_exp_1b,3,2,female,19
EA_exp_1b,4,1,female,18
EA_exp_1b,5,2,other,18
EA_exp_1b,6,1,female,18
EA_exp_1b,7,1,female,18
EA_exp_1b,8,1,male,28
EA_exp_1b,9,1,female,20
EA_exp_1b,10,1,female,18
EA_exp_1b,11,2,female,20
EA_exp_1b,12,2,male,18
EA_exp_1b,13,1,female,28
EA_exp_1b,14,2,female,19
EA_exp_1b,15,1,female,18
EA_exp_1b,16,1,female,19
EA_exp_1b,17,2,female,18
EA_exp_1b,18,1,female,20
EA_exp_1b,19,2,female,19
EA_exp_1b,20,2,female,20
EA_exp_1b,21,1,female,19
EA_exp_1b,22,1,female,19
EA_exp_1b,23,1,female,18
EA_exp_1b,24,1,male,22
EA_exp_1b,25,1,female,19
EA_exp_1b,26,2,female,18
EA_exp_1b,27,2,female,19
EA_exp_1b,28,1,female,20
EA_exp_1b,29,2,male,19
EA_exp_1b,30,1,female,18
EA_exp_1b,31,1,female,19
EA_exp_1b,32,2,female,19
EA_exp_1b,33,1,female,26
EA_exp_1b,34,2,male,24
EA_exp_1b,35,1,female,18
EA_exp_1b,36,2,female,19
EA_exp_1b,37,1,female,19
EA_exp_1b,38,1,female,18
EA_exp_1b,39,2,female,18
EA_exp_1b,40,1,female,24
EA_exp_1b,41,1,female,19
EA_exp_1b,42,1,female,22
EA_exp_1b,43,2,female,19
EA_exp_1b,44,2,female,21
EA_exp_1b,45,1,female,19
EA_exp_1b,46,1,female,21
EA_exp_1b,47,1,female,18
EA_exp_1b,48,2,female,21
EA_exp_1b,49,1,female,19
EA_exp_1b,50,1,male,19
EA_exp_1b,51,1,male,20
EA_exp_1b,52,2,male,19
EA_exp_1b,53,1,female,18
EA_exp_1b,54,1,female,19
EA_exp_1b,55,1,female,19
EA_exp_1b,56,1,female,18
EA_exp_1b,57,1,female,18
EA_exp_1b,58,1,female,20
EA_exp_1b,59,2,female,18
EA_exp_1b,60,1,female,18
EA_exp_1b,61,2,female,19
EA_exp_1b,62,2,female,18
EA_exp_1b,63,2,female,18
EA_exp_1b,64,1,female,19
EA_exp_1b,65,2,female,20
EA_exp_1b,66,1,female,20
EA_exp_1b,67,2,female,19
EA_exp_1b,68,1,female,20
EA_exp_1b,69,2,female,20
EA_exp_1b,70,1,female,19
EA_exp_1b,71,1,female,19
EA_exp_1b,72,2,female,23
EA_exp_1b,73,2,female,19
