idx,exp,os_ppt_no,datetime
1,EA_exp_1b,52,Wed Dec 07 2022 10:26:52 GMT+0000 (Greenwich Mean Time)
2,EA_exp_1b,9,Fri Dec 02 2022 13:13:39 GMT+0000 (Greenwich Mean Time)
3,EA_exp_1b,5,Thu Dec 01 2022 14:33:32 GMT+0000 (Greenwich Mean Time)
4,EA_exp_1b,4,Thu Dec 01 2022 14:33:42 GMT+0000 (Greenwich Mean Time)
5,EA_exp_1b,3,Thu Dec 01 2022 14:33:04 GMT+0000 (Greenwich Mean Time)
6,EA_exp_1b,58,Thu Nov 24 2022 14:03:28 GMT+0000 (Greenwich Mean Time)
7,EA_exp_1b,57,Thu Nov 24 2022 13:59:40 GMT+0000 (Greenwich Mean Time)
8,EA_exp_1b,56,Thu Nov 24 2022 13:52:40 GMT+0000 (Greenwich Mean Time)
9,EA_exp_1b,55,Thu Nov 24 2022 13:49:31 GMT+0000 (Greenwich Mean Time)
10,EA_exp_1b,54,Thu Nov 24 2022 13:16:21 GMT+0000 (Greenwich Mean Time)
11,EA_exp_1b,53,Thu Nov 24 2022 13:14:25 GMT+0000 (Greenwich Mean Time)
12,EA_exp_1b,52,Thu Nov 24 2022 13:12:44 GMT+0000 (Greenwich Mean Time)
13,EA_exp_1b,51,Thu Nov 24 2022 13:11:03 GMT+0000 (Greenwich Mean Time)
14,EA_exp_1b,39,Tue Nov 22 2022 13:58:56 GMT+0000 (Greenwich Mean Time)
15,EA_exp_1b,38,Tue Nov 22 2022 12:56:10 GMT+0000 (Greenwich Mean Time)
16,EA_exp_1b,37,Tue Nov 22 2022 12:56:50 GMT+0000 (Greenwich Mean Time)
17,EA_exp_1b,36,Tue Nov 22 2022 12:57:19 GMT+0000 (Greenwich Mean Time)
18,EA_exp_1b,35,Tue Nov 22 2022 12:55:48 GMT+0000 (Greenwich Mean Time)
19,EA_exp_1b,31,Mon Nov 21 2022 14:41:31 GMT+0000 (Greenwich Mean Time)
20,EA_exp_1b,27,Mon Nov 21 2022 13:20:43 GMT+0000 (Greenwich Mean Time)
21,EA_exp_1b,3,Fri Nov 18 2022 11:29:26 GMT+0000 (Greenwich Mean Time)
22,EA_exp_1b,100,Fri Nov 18 2022 11:26:59 GMT+0000 (Greenwich Mean Time)
23,EA_exp_1b,99,Fri Nov 18 2022 11:29:29 GMT+0000 (Greenwich Mean Time)
24,EA_exp_1b,98,Fri Nov 18 2022 11:27:00 GMT+0000 (Greenwich Mean Time)
25,EA_exp_1b,87,Fri Nov 18 2022 11:02:27 GMT+0000 (Greenwich Mean Time)
26,EA_exp_1b,86,Fri Nov 18 2022 11:01:35 GMT+0000 (Greenwich Mean Time)
27,EA_exp_1b,85,Fri Nov 18 2022 10:45:48 GMT+0000 (Greenwich Mean Time)
28,EA_exp_1b,84,Fri Nov 18 2022 10:41:44 GMT+0000 (Greenwich Mean Time)
29,EA_exp_1b,83,Fri Nov 18 2022 09:24:46 GMT+0000 (Greenwich Mean Time)
30,EA_exp_1b,82,Fri Nov 18 2022 09:59:58 GMT+0000 (Greenwich Mean Time)
31,EA_exp_1b,81,Fri Nov 18 2022 10:45:52 GMT+0000 (Greenwich Mean Time)
32,EA_exp_1b,80,Fri Nov 18 2022 11:23:25 GMT+0000 (Greenwich Mean Time)
33,EA_exp_1b,79,Fri Nov 18 2022 10:45:39 GMT+0000 (Greenwich Mean Time)
34,EA_exp_1b,60,Thu Nov 17 2022 14:31:28 GMT+0000 (Greenwich Mean Time)
35,EA_exp_1b,59,Thu Nov 17 2022 14:29:56 GMT+0000 (Greenwich Mean Time)
36,EA_exp_1b,51,Thu Nov 17 2022 14:22:42 GMT+0000 (Greenwich Mean Time)
37,EA_exp_1b,46,Thu Nov 17 2022 13:30:40 GMT+0000 (Greenwich Mean Time)
38,EA_exp_1b,45,Thu Nov 17 2022 13:30:11 GMT+0000 (Greenwich Mean Time)
39,EA_exp_1b,44,Thu Nov 17 2022 13:30:06 GMT+0000 (Greenwich Mean Time)
40,EA_exp_1b,27,Thu Nov 17 2022 10:31:32 GMT+0000 (Greenwich Mean Time)
41,EA_exp_1b,26,Thu Nov 17 2022 10:27:06 GMT+0000 (Greenwich Mean Time)
42,EA_exp_1b,24,Thu Nov 17 2022 09:36:52 GMT+0000 (Greenwich Mean Time)
