exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_2,1,1,1,60,3,135,4,d,3,4487,2135,1,2,2,old,new,female,19
EA_exp_2,1,1,2,138,10,29,9,j,2,5982,1433,1,5,5,new,old,female,19
EA_exp_2,1,1,3,117,8,34,7,j,3,5357,1456,1,4,4,new,old,female,19
EA_exp_2,1,1,4,36,7,141,8,d,4,3810,900,1,4,4,old,new,female,19
EA_exp_2,1,1,5,190,10,65,9,j,4,2782,775,1,5,5,new,old,female,19
EA_exp_2,1,1,6,83,5,161,6,d,2,3858,1941,1,3,3,old,new,female,19
EA_exp_2,1,1,7,21,3,196,4,j,3,4324,1215,0,2,2,old,new,female,19
EA_exp_2,1,1,8,148,4,32,3,j,2,3215,742,1,2,2,new,old,female,19
EA_exp_2,1,1,9,128,10,76,9,d,2,3107,1683,0,5,5,new,old,female,19
EA_exp_2,1,1,10,134,4,77,3,j,2,2500,1458,1,2,2,new,old,female,19
EA_exp_2,1,1,11,122,2,27,1,j,3,3618,990,1,1,1,new,old,female,19
EA_exp_2,1,1,12,50,3,125,4,d,3,2402,1245,1,2,2,old,new,female,19
EA_exp_2,1,1,13,103,8,45,7,j,3,4311,1622,1,4,4,new,old,female,19
EA_exp_2,1,1,14,42,1,195,2,d,2,2321,1599,1,1,1,old,new,female,19
EA_exp_2,1,1,15,137,8,67,7,d,3,3131,889,0,4,4,new,old,female,19
EA_exp_2,1,1,16,41,3,173,4,d,3,2259,834,1,2,2,old,new,female,19
EA_exp_2,1,1,17,86,3,193,4,j,3,3758,592,0,2,2,old,new,female,19
EA_exp_2,1,1,18,192,4,40,3,d,3,2048,718,0,2,2,new,old,female,19
EA_exp_2,1,1,19,166,8,97,7,d,4,3836,783,0,4,4,new,old,female,19
EA_exp_2,1,1,20,118,2,51,1,j,4,2492,386,1,1,1,new,old,female,19
EA_exp_2,1,1,21,43,5,112,6,j,4,1777,546,0,3,3,old,new,female,19
EA_exp_2,1,1,22,16,9,198,10,d,4,2825,898,1,5,5,old,new,female,19
EA_exp_2,1,1,23,33,3,181,4,j,3,2366,791,0,2,2,old,new,female,19
EA_exp_2,1,1,24,62,7,169,8,j,3,2899,762,0,4,4,old,new,female,19
EA_exp_2,1,1,25,127,4,20,3,j,4,2364,1348,1,2,2,new,old,female,19
EA_exp_2,1,1,26,162,4,5,3,d,3,2637,1020,0,2,2,new,old,female,19
EA_exp_2,1,1,27,113,8,19,7,j,3,3703,454,1,4,4,new,old,female,19
EA_exp_2,1,1,28,180,4,81,3,d,3,3024,545,0,2,2,new,old,female,19
EA_exp_2,1,1,29,111,8,75,7,j,2,2568,1436,1,4,4,new,old,female,19
EA_exp_2,1,1,30,87,5,191,6,j,2,2368,971,0,3,3,old,new,female,19
EA_exp_2,1,1,31,151,10,54,9,j,3,1856,1088,1,5,5,new,old,female,19
EA_exp_2,1,1,32,110,2,94,1,j,3,2466,777,1,1,1,new,old,female,19
EA_exp_2,1,1,33,82,3,132,4,d,3,2424,655,1,2,2,old,new,female,19
EA_exp_2,1,1,34,31,9,120,10,d,3,2241,722,1,5,5,old,new,female,19
EA_exp_2,1,1,35,47,3,142,4,d,3,2514,711,1,2,2,old,new,female,19
EA_exp_2,1,1,36,85,3,154,4,d,2,6117,1069,1,2,2,old,new,female,19
EA_exp_2,1,1,37,145,4,11,3,j,3,2124,500,1,2,2,new,old,female,19
EA_exp_2,1,1,38,124,10,10,9,d,2,4076,1187,0,5,5,new,old,female,19
EA_exp_2,1,1,39,123,2,6,1,j,2,3246,633,1,1,1,new,old,female,19
EA_exp_2,1,1,40,146,6,88,5,d,2,2812,1942,0,3,3,new,old,female,19
EA_exp_2,1,1,41,116,6,3,5,j,2,3204,768,1,3,3,new,old,female,19
EA_exp_2,1,1,42,183,4,59,3,d,2,3741,770,0,2,2,new,old,female,19
EA_exp_2,1,1,43,175,4,17,3,d,2,2462,871,0,2,2,new,old,female,19
EA_exp_2,1,1,44,170,4,1,3,d,3,2972,963,0,2,2,new,old,female,19
EA_exp_2,1,1,45,133,4,48,3,d,2,2489,768,0,2,2,new,old,female,19
EA_exp_2,1,1,46,167,4,2,3,j,2,2863,693,1,2,2,new,old,female,19
EA_exp_2,1,1,47,102,4,90,3,d,2,2304,1780,0,2,2,new,old,female,19
EA_exp_2,1,1,48,139,2,99,1,j,3,1657,609,1,1,1,new,old,female,19
EA_exp_2,1,1,49,149,6,37,5,d,2,2836,734,0,3,3,new,old,female,19
EA_exp_2,1,1,50,131,10,52,9,j,3,2158,530,1,5,5,new,old,female,19
EA_exp_2,1,1,51,200,2,22,1,j,2,2313,503,1,1,1,new,old,female,19
EA_exp_2,2,1,1,57,5,192,6,d,4,5052,1768,1,3,3,old,new,female,22
EA_exp_2,2,1,2,139,2,82,1,j,4,2140,1426,1,1,1,new,old,female,22
EA_exp_2,2,1,3,11,1,151,2,d,4,1362,905,1,1,1,old,new,female,22
EA_exp_2,2,1,4,84,9,125,10,d,4,847,585,1,5,5,old,new,female,22
EA_exp_2,2,1,5,146,4,35,3,j,4,1902,350,1,2,2,new,old,female,22
EA_exp_2,2,1,6,149,2,85,1,j,4,1165,536,1,1,1,new,old,female,22
EA_exp_2,2,1,7,26,1,172,2,d,4,1774,305,1,1,1,old,new,female,22
EA_exp_2,2,1,8,63,5,180,6,d,4,1765,341,1,3,3,old,new,female,22
EA_exp_2,2,1,9,140,4,14,3,j,4,1206,319,1,2,2,new,old,female,22
EA_exp_2,2,1,10,184,4,76,3,d,4,1745,274,0,2,2,new,old,female,22
EA_exp_2,2,1,11,5,1,122,2,d,4,1084,354,1,1,1,old,new,female,22
EA_exp_2,2,1,12,71,11,191,12,d,4,911,422,1,6,6,old,new,female,22
EA_exp_2,2,1,13,137,2,33,1,d,4,1142,398,0,1,1,new,old,female,22
EA_exp_2,2,1,14,126,2,72,1,j,4,1582,295,1,1,1,new,old,female,22
EA_exp_2,2,1,15,110,6,41,5,d,4,2121,285,0,3,3,new,old,female,22
EA_exp_2,2,1,16,65,1,123,2,d,4,1329,275,1,1,1,old,new,female,22
EA_exp_2,2,1,17,195,2,51,1,j,4,1559,288,1,1,1,new,old,female,22
EA_exp_2,2,1,18,107,12,28,11,d,1,2272,2112,0,6,6,new,old,female,22
EA_exp_2,2,1,19,12,1,161,2,j,1,1956,1876,0,1,1,old,new,female,22
EA_exp_2,2,1,20,147,2,81,1,d,1,1670,558,0,1,1,new,old,female,22
EA_exp_2,2,1,21,135,2,54,1,j,4,1859,980,1,1,1,new,old,female,22
EA_exp_2,2,1,22,193,2,90,1,d,1,2759,373,0,1,1,new,old,female,22
EA_exp_2,2,1,23,198,6,45,5,j,4,2066,250,1,3,3,new,old,female,22
EA_exp_2,2,1,24,169,2,73,1,d,4,2109,274,0,1,1,new,old,female,22
EA_exp_2,2,1,25,86,1,134,2,d,4,1408,534,1,1,1,old,new,female,22
EA_exp_2,2,1,26,197,12,95,11,j,4,1440,333,1,6,6,new,old,female,22
EA_exp_2,2,1,27,121,2,77,1,d,4,2983,335,0,1,1,new,old,female,22
EA_exp_2,2,1,28,171,4,30,3,j,4,1889,381,1,2,2,new,old,female,22
EA_exp_2,2,1,29,80,11,124,12,d,4,2025,564,1,6,6,old,new,female,22
EA_exp_2,2,1,30,6,1,145,2,d,4,1114,472,1,1,1,old,new,female,22
EA_exp_2,2,1,31,34,1,173,2,d,4,1456,337,1,1,1,old,new,female,22
EA_exp_2,2,1,32,15,5,187,6,j,4,1265,407,0,3,3,old,new,female,22
EA_exp_2,2,1,33,18,1,154,2,d,4,1027,405,1,1,1,old,new,female,22
EA_exp_2,2,1,34,48,3,117,4,d,4,1182,588,1,2,2,old,new,female,22
