idx,exp,os_ppt_no,datetime
1,EA_exp_2,27,Tue Mar 07 2023 10:03:11 GMT+0000 (Greenwich Mean Time)
2,EA_exp_2,77,Fri Mar 03 2023 11:03:55 GMT+0000 (Greenwich Mean Time)
3,EA_exp_2,76,Fri Mar 03 2023 10:57:31 GMT+0000 (Greenwich Mean Time)
4,EA_exp_2,75,Fri Mar 03 2023 10:32:28 GMT+0000 (Greenwich Mean Time)
5,EA_exp_2,74,Fri Mar 03 2023 10:27:12 GMT+0000 (Greenwich Mean Time)
6,EA_exp_2,73,Fri Mar 03 2023 10:27:12 GMT+0000 (Greenwich Mean Time)
7,EA_exp_2,72,Fri Mar 03 2023 09:31:37 GMT+0000 (Greenwich Mean Time)
8,EA_exp_2,71,Fri Mar 03 2023 09:30:16 GMT+0000 (Greenwich Mean Time)
9,EA_exp_2,8,Wed Mar 01 2023 15:46:09 GMT+0000 (Greenwich Mean Time)
10,EA_exp_2,7,Wed Mar 01 2023 15:40:05 GMT+0000 (Greenwich Mean Time)
11,EA_exp_2,99,Wed Mar 01 2023 14:36:19 GMT+0000 (Greenwich Mean Time)
12,EA_exp_2,98,Wed Mar 01 2023 14:36:08 GMT+0000 (Greenwich Mean Time)
13,EA_exp_2,97,Wed Mar 01 2023 14:36:00 GMT+0000 (Greenwich Mean Time)
14,EA_exp_2,96,Wed Mar 01 2023 14:35:59 GMT+0000 (Greenwich Mean Time)
15,EA_exp_2,95,Wed Mar 01 2023 14:18:58 GMT+0000 (Greenwich Mean Time)
16,EA_exp_2,88,Wed Mar 01 2023 13:33:49 GMT+0000 (Greenwich Mean Time)
17,EA_exp_2,87,Wed Mar 01 2023 13:33:00 GMT+0000 (Greenwich Mean Time)
18,EA_exp_2,86,Wed Mar 01 2023 13:32:51 GMT+0000 (Greenwich Mean Time)
19,EA_exp_2,58,Mon Feb 27 2023 14:16:04 GMT+0000 (Greenwich Mean Time)
