idx,exp,os_ppt_no,datetime,jatosID
1,EA_exp_3,55,Mon Feb 27 2023 14:01:40 GMT+0000 (Greenwich Mean Time),28726
2,EA_exp_3,90,Fri Feb 24 2023 09:59:06 GMT+0000 (Greenwich Mean Time),28665
3,EA_exp_3,78,Wed Feb 22 2023 13:11:10 GMT+0000 (Greenwich Mean Time),28653
4,EA_exp_3,77,Wed Feb 22 2023 13:14:33 GMT+0000 (Greenwich Mean Time),28652
5,EA_exp_3,76,Wed Feb 22 2023 13:04:10 GMT+0000 (Greenwich Mean Time),28651
6,EA_exp_3,75,Wed Feb 22 2023 13:00:20 GMT+0000 (Greenwich Mean Time),28650
7,EA_exp_3,74,Wed Feb 22 2023 13:00:32 GMT+0000 (Greenwich Mean Time),28649
8,EA_exp_3,58,Tue Feb 21 2023 09:27:01 GMT+0000 (Greenwich Mean Time),28636
9,EA_exp_3,57,Tue Feb 21 2023 09:31:28 GMT+0000 (Greenwich Mean Time),28635
10,EA_exp_3,56,Mon Feb 20 2023 14:53:39 GMT+0000 (Greenwich Mean Time),28634
11,EA_exp_3,55,Mon Feb 20 2023 14:53:41 GMT+0000 (Greenwich Mean Time),28633
12,EA_exp_3,54,Mon Feb 20 2023 14:53:52 GMT+0000 (Greenwich Mean Time),28632
13,EA_exp_3,53,Mon Feb 20 2023 14:53:41 GMT+0000 (Greenwich Mean Time),28631
14,EA_exp_3,52,Mon Feb 20 2023 13:57:08 GMT+0000 (Greenwich Mean Time),28630
15,EA_exp_3,51,Mon Feb 20 2023 13:12:06 GMT+0000 (Greenwich Mean Time),28629
16,EA_exp_3,50,Mon Feb 20 2023 13:14:54 GMT+0000 (Greenwich Mean Time),28628
17,EA_exp_3,48,Mon Feb 20 2023 13:58:56 GMT+0000 (Greenwich Mean Time),28626
18,EA_exp_3,38,Tue Feb 14 2023 14:49:32 GMT+0000 (Greenwich Mean Time),28616
19,EA_exp_3,37,Tue Feb 14 2023 14:44:28 GMT+0000 (Greenwich Mean Time),28615
20,EA_exp_3,21,Fri Feb 10 2023 13:57:28 GMT+0000 (Greenwich Mean Time),28599
21,EA_exp_3,18,Fri Feb 10 2023 13:59:43 GMT+0000 (Greenwich Mean Time),28596
22,EA_exp_3,17,Fri Feb 10 2023 13:48:37 GMT+0000 (Greenwich Mean Time),28595
23,EA_exp_3,16,Fri Feb 10 2023 14:10:57 GMT+0000 (Greenwich Mean Time),28594
24,EA_exp_3,15,Fri Feb 10 2023 13:57:26 GMT+0000 (Greenwich Mean Time),28593
25,EA_exp_3,14,Fri Feb 10 2023 14:00:21 GMT+0000 (Greenwich Mean Time),28592
26,EA_exp_3,4,Fri Feb 10 2023 13:00:01 GMT+0000 (Greenwich Mean Time),28582
27,EA_exp_3,3,Fri Feb 10 2023 13:00:18 GMT+0000 (Greenwich Mean Time),28581
28,EA_exp_3,2,Fri Feb 10 2023 14:00:20 GMT+0000 (Greenwich Mean Time),28579
29,EA_exp_3,100,Fri Feb 10 2023 13:01:32 GMT+0000 (Greenwich Mean Time),28577
