exp,idx,cbcond,trial,id,cond,kp16,rt_kp16,hmfc,jatosID,sex_kp_mfor,age_kp
EA_exp_3,2,1,1,160,2,1,3617,cr,28665,f,19
EA_exp_3,2,1,2,67,1,3,1956,miss,28665,f,19
EA_exp_3,5,1,1,162,2,1,6831,cr,28651,f,18
EA_exp_3,5,1,2,139,2,1,1939,cr,28651,f,18
EA_exp_3,5,1,3,126,2,1,991,cr,28651,f,18
EA_exp_3,5,1,4,136,2,1,895,cr,28651,f,18
EA_exp_3,5,1,5,178,2,1,834,cr,28651,f,18
EA_exp_3,5,1,6,157,2,1,1000,cr,28651,f,18
EA_exp_3,5,1,7,96,1,1,856,miss,28651,f,18
EA_exp_3,5,1,8,87,1,1,973,miss,28651,f,18
EA_exp_3,5,1,9,9,1,1,814,miss,28651,f,18
EA_exp_3,5,1,10,161,2,1,789,cr,28651,f,18
EA_exp_3,5,1,11,72,1,6,893,hit,28651,f,18
EA_exp_3,5,1,12,42,1,1,1042,miss,28651,f,18
EA_exp_3,5,1,13,24,1,1,735,miss,28651,f,18
EA_exp_3,5,1,14,154,2,1,793,cr,28651,f,18
EA_exp_3,5,1,15,105,2,1,1217,cr,28651,f,18
EA_exp_3,5,1,16,160,2,1,824,cr,28651,f,18
EA_exp_3,5,1,17,48,1,1,863,miss,28651,f,18
EA_exp_3,5,1,18,169,2,1,836,cr,28651,f,18
EA_exp_3,5,1,19,46,1,6,841,hit,28651,f,18
EA_exp_3,5,1,20,100,1,4,5440,hit,28651,f,18
EA_exp_3,5,1,21,23,1,1,942,miss,28651,f,18
EA_exp_3,5,1,22,32,1,1,928,miss,28651,f,18
EA_exp_3,5,1,23,102,2,1,866,cr,28651,f,18
EA_exp_3,5,1,24,4,1,1,726,miss,28651,f,18
EA_exp_3,6,1,1,94,1,3,5092,miss,28650,m,23
EA_exp_3,6,1,2,141,2,2,3327,cr,28650,m,23
EA_exp_3,6,1,3,195,2,2,3697,cr,28650,m,23
EA_exp_3,6,1,4,59,1,5,5029,hit,28650,m,23
EA_exp_3,6,1,5,110,2,5,10996,fa,28650,m,23
EA_exp_3,6,1,6,189,2,6,1956,fa,28650,m,23
EA_exp_3,6,1,7,100,1,2,2366,miss,28650,m,23
EA_exp_3,6,1,8,28,1,2,2774,miss,28650,m,23
EA_exp_3,6,1,9,92,1,1,4846,miss,28650,m,23
EA_exp_3,6,1,10,33,1,1,1077,miss,28650,m,23
EA_exp_3,6,1,11,198,2,1,895,cr,28650,m,23
EA_exp_3,6,1,12,79,1,3,1910,miss,28650,m,23
EA_exp_3,6,1,13,139,2,2,833,cr,28650,m,23
EA_exp_3,6,1,14,160,2,1,1383,cr,28650,m,23
EA_exp_3,6,1,15,13,1,5,3718,hit,28650,m,23
EA_exp_3,6,1,16,135,2,1,905,cr,28650,m,23
EA_exp_3,6,1,17,123,2,6,957,fa,28650,m,23
EA_exp_3,6,1,18,66,1,2,1167,miss,28650,m,23
EA_exp_3,7,1,1,73,1,4,12202,hit,28649,f,20
EA_exp_3,7,1,2,150,2,2,2478,cr,28649,f,20
EA_exp_3,7,1,3,161,2,2,1620,cr,28649,f,20
EA_exp_3,7,1,4,13,1,3,3050,miss,28649,f,20
EA_exp_3,8,2,1,46,2,6,3612,fa,28636,f,20
EA_exp_3,8,2,2,187,1,3,2575,miss,28636,f,20
EA_exp_3,8,2,3,134,1,4,2527,hit,28636,f,20
EA_exp_3,8,2,4,12,2,4,5235,fa,28636,f,20
EA_exp_3,8,2,5,90,2,3,1257,cr,28636,f,20
EA_exp_3,8,2,6,119,1,2,1230,miss,28636,f,20
EA_exp_3,8,2,7,23,2,4,1988,fa,28636,f,20
EA_exp_3,8,2,8,123,1,2,2925,miss,28636,f,20
EA_exp_3,8,2,9,60,2,1,1727,cr,28636,f,20
EA_exp_3,8,2,10,109,1,1,1330,miss,28636,f,20
EA_exp_3,8,2,11,159,1,1,997,miss,28636,f,20
EA_exp_3,8,2,12,58,2,1,885,cr,28636,f,20
EA_exp_3,8,2,13,97,2,4,2585,fa,28636,f,20
EA_exp_3,8,2,14,40,2,5,2489,fa,28636,f,20
EA_exp_3,8,2,15,189,1,3,2363,miss,28636,f,20
EA_exp_3,8,2,16,150,1,2,3078,miss,28636,f,20
EA_exp_3,8,2,17,171,1,6,2546,hit,28636,f,20
