exp,idx,jatosID,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_3,1,28726,2,1,59,2,m,2,5186,2920,fa,4,f,20,NA,NA,NA
EA_exp_3,1,28726,2,2,154,1,m,2,3953,1080,hit,4,f,20,q,older,1
EA_exp_3,1,28726,2,3,17,2,m,3,2443,930,fa,5,f,20,NA,NA,NA
EA_exp_3,1,28726,2,4,24,2,m,4,1646,563,fa,6,f,20,NA,NA,NA
EA_exp_3,1,28726,2,5,47,2,m,4,1210,292,fa,6,f,20,NA,NA,NA
EA_exp_3,1,28726,2,6,144,1,z,2,2234,792,miss,3,f,20,None,NA,1
EA_exp_3,1,28726,2,7,82,2,m,3,1462,310,fa,5,f,20,NA,NA,NA
EA_exp_3,1,28726,2,8,31,2,m,4,1208,482,fa,6,f,20,NA,NA,NA
EA_exp_3,1,28726,2,9,2,2,z,2,1776,895,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,10,123,1,m,4,1419,251,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,11,22,2,m,3,2127,292,fa,5,f,20,NA,NA,NA
EA_exp_3,1,28726,2,12,114,1,z,3,2214,215,miss,2,f,20,q,older,1
EA_exp_3,1,28726,2,13,28,2,z,2,3470,314,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,14,91,2,z,4,1275,388,cr,1,f,20,NA,NA,NA
EA_exp_3,1,28726,2,15,175,1,m,4,1153,319,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,16,186,1,m,4,1748,229,hit,6,f,20,p,younger,1
EA_exp_3,1,28726,2,17,63,2,z,2,1340,639,cr,3,f,20,NA,NA,NA
EA_exp_3,1,28726,2,18,172,1,z,2,1912,992,miss,3,f,20,p,younger,1
EA_exp_3,1,28726,2,19,6,2,z,3,3817,950,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,20,145,1,m,3,1391,193,hit,5,f,20,q,older,1
EA_exp_3,1,28726,2,21,193,1,m,4,1112,246,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,22,187,1,m,4,1183,325,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,23,189,1,m,4,1082,199,hit,6,f,20,q,older,1
EA_exp_3,1,28726,2,24,93,2,z,3,1967,280,cr,2,f,20,NA,NA,NA
EA_exp_3,1,28726,2,25,126,1,m,3,1150,137,hit,5,f,20,p,younger,1
