exp,idx,cbcond,trial,left_id,left_cond,right_id,right_cond,KP_lr,KP_conf,RT_lr,RT_conf,fc_item_selected,rating16_L,rating16_R,left_on,right_on,sex_kp_mfor,age_kp
EA_exp_1b,1,1,1,106,6,51,5,d,1,6198,1567,0,3,3,new,old,female,23
EA_exp_1b,1,1,2,1,3,135,4,j,3,2219,671,0,2,2,old,new,female,23
EA_exp_1b,1,1,3,146,12,13,11,j,3,1728,404,1,6,6,new,old,female,23
EA_exp_1b,1,1,4,173,10,75,9,d,2,946,1189,0,5,5,new,old,female,23
EA_exp_1b,1,1,5,65,3,153,4,d,3,1829,964,1,2,2,old,new,female,23
EA_exp_1b,1,1,6,77,3,198,4,j,2,1463,1225,0,2,2,old,new,female,23
EA_exp_1b,1,1,7,17,3,170,4,d,3,1832,487,1,2,2,old,new,female,23
EA_exp_1b,1,1,8,4,11,166,12,d,4,1888,509,1,6,6,old,new,female,23
EA_exp_1b,1,1,9,192,4,70,3,j,2,2042,927,1,2,2,new,old,female,23
EA_exp_1b,1,1,10,148,4,15,3,j,1,3672,462,1,2,2,new,old,female,23
EA_exp_1b,1,1,11,200,4,12,3,j,2,3209,419,1,2,2,new,old,female,23
EA_exp_1b,1,1,12,24,9,102,10,d,3,1485,460,1,5,5,old,new,female,23
EA_exp_1b,1,1,13,110,12,6,11,j,4,1928,420,1,6,6,new,old,female,23
EA_exp_1b,1,1,14,27,9,157,10,d,3,2159,403,1,5,5,old,new,female,23
EA_exp_1b,1,1,15,136,4,22,3,j,2,2225,338,1,2,2,new,old,female,23
EA_exp_1b,1,1,16,144,12,59,11,j,4,1619,330,1,6,6,new,old,female,23
EA_exp_1b,1,1,17,9,3,154,4,j,3,2602,475,0,2,2,old,new,female,23
EA_exp_1b,1,1,18,158,4,83,3,j,4,1332,1419,1,2,2,new,old,female,23
EA_exp_1b,1,1,19,43,11,138,12,j,1,1134,3548,0,6,6,old,new,female,23
EA_exp_1b,1,1,20,104,8,31,7,d,3,2857,353,0,4,4,new,old,female,23
EA_exp_1b,1,1,21,62,1,121,2,d,3,1747,708,1,1,1,old,new,female,23
EA_exp_1b,1,1,22,152,4,53,3,d,2,1475,355,0,2,2,new,old,female,23
EA_exp_1b,1,1,23,79,7,124,8,d,3,2081,457,1,4,4,old,new,female,23
EA_exp_1b,1,1,24,29,11,127,12,d,4,1315,426,1,6,6,old,new,female,23
EA_exp_1b,1,1,25,99,11,175,12,d,3,2517,346,1,6,6,old,new,female,23
EA_exp_1b,1,1,26,60,7,117,8,d,2,1322,335,1,4,4,old,new,female,23
EA_exp_1b,1,1,27,93,1,169,2,d,4,1982,426,1,1,1,old,new,female,23
EA_exp_1b,1,1,28,23,3,159,4,j,4,3044,757,0,2,2,old,new,female,23
EA_exp_1b,1,1,29,76,11,194,12,d,2,2242,323,1,6,6,old,new,female,23
EA_exp_1b,1,1,30,180,12,94,11,j,4,1601,318,1,6,6,new,old,female,23
EA_exp_1b,1,1,31,176,6,34,5,j,2,1503,427,1,3,3,new,old,female,23
EA_exp_1b,1,1,32,58,7,125,8,d,2,2151,332,1,4,4,old,new,female,23
EA_exp_1b,1,1,33,91,3,114,4,d,3,1931,360,1,2,2,old,new,female,23
EA_exp_1b,1,1,34,7,3,182,4,d,2,2456,671,1,2,2,old,new,female,23
EA_exp_1b,1,1,35,186,6,39,5,j,3,1841,417,1,3,3,new,old,female,23
EA_exp_1b,1,1,36,61,7,156,8,d,3,1963,296,1,4,4,old,new,female,23
EA_exp_1b,1,1,37,3,7,185,8,d,3,1931,296,1,4,4,old,new,female,23
EA_exp_1b,1,1,38,78,9,115,10,j,3,1783,363,0,5,5,old,new,female,23
EA_exp_1b,1,1,39,11,1,155,2,j,2,2345,389,0,1,1,old,new,female,23
EA_exp_1b,1,1,40,63,3,184,4,j,1,1456,401,0,2,2,old,new,female,23
EA_exp_1b,1,1,41,21,7,151,8,d,4,1214,519,1,4,4,old,new,female,23
EA_exp_1b,1,1,42,47,9,111,10,d,2,2255,367,1,5,5,old,new,female,23
EA_exp_1b,1,1,43,45,7,128,8,d,3,2763,360,1,4,4,old,new,female,23
EA_exp_1b,1,1,44,141,2,86,1,j,4,1673,286,1,1,1,new,old,female,23
EA_exp_1b,1,1,45,177,4,90,3,d,2,1790,306,0,2,2,new,old,female,23
EA_exp_1b,1,1,46,195,10,100,9,j,3,2066,266,1,5,5,new,old,female,23
EA_exp_1b,1,1,47,25,3,161,4,j,2,2398,246,0,2,2,old,new,female,23
EA_exp_1b,1,1,48,109,12,80,11,j,3,2842,749,1,6,6,new,old,female,23
EA_exp_1b,1,1,49,131,6,40,5,d,2,1331,309,0,3,3,new,old,female,23
EA_exp_1b,1,1,50,193,4,48,3,d,3,1944,291,0,2,2,new,old,female,23
EA_exp_1b,1,1,51,95,3,178,4,d,2,2260,402,1,2,2,old,new,female,23
EA_exp_1b,1,1,52,149,4,38,3,j,3,2000,761,1,2,2,new,old,female,23
EA_exp_1b,1,1,53,36,9,174,10,d,1,1575,370,1,5,5,old,new,female,23
EA_exp_1b,1,1,54,20,5,150,6,j,3,1650,312,0,3,3,old,new,female,23
EA_exp_1b,1,1,55,119,2,97,1,d,2,2166,364,0,1,1,new,old,female,23
EA_exp_1b,1,1,56,26,1,107,2,j,3,1580,726,0,1,1,old,new,female,23
EA_exp_1b,1,1,57,112,4,98,3,d,4,1543,418,0,2,2,new,old,female,23
EA_exp_1b,1,1,58,130,8,57,7,d,2,1935,394,0,4,4,new,old,female,23
EA_exp_1b,1,1,59,190,8,71,7,j,4,1862,326,1,4,4,new,old,female,23
EA_exp_1b,1,1,60,30,5,116,6,d,3,2423,320,1,3,3,old,new,female,23
EA_exp_1b,1,1,61,49,7,160,8,j,2,2527,292,0,4,4,old,new,female,23
EA_exp_1b,1,1,62,171,8,46,7,d,1,1942,322,0,4,4,new,old,female,23
EA_exp_1b,1,1,63,126,4,69,3,d,3,1587,298,0,2,2,new,old,female,23
EA_exp_1b,1,1,64,129,12,28,11,d,4,1787,383,0,6,6,new,old,female,23
EA_exp_1b,1,1,65,197,4,92,3,d,3,3326,353,0,2,2,new,old,female,23
EA_exp_1b,1,1,66,188,10,50,9,j,3,2574,515,1,5,5,new,old,female,23
EA_exp_1b,1,1,67,164,12,33,11,j,4,1630,308,1,6,6,new,old,female,23
EA_exp_1b,1,1,68,85,7,196,8,j,2,2452,380,0,4,4,old,new,female,23
EA_exp_1b,1,1,69,44,11,103,12,d,4,1882,506,1,6,6,old,new,female,23
EA_exp_1b,1,1,70,74,11,145,12,d,3,2018,315,1,6,6,old,new,female,23
EA_exp_1b,1,1,71,35,5,183,6,j,3,2028,356,0,3,3,old,new,female,23
EA_exp_1b,1,1,72,189,10,89,9,j,2,1204,333,1,5,5,new,old,female,23
EA_exp_1b,1,1,73,32,3,118,4,d,3,1898,746,1,2,2,old,new,female,23
EA_exp_1b,1,1,74,16,3,101,4,j,3,1852,586,0,2,2,old,new,female,23
EA_exp_1b,2,2,1,170,5,86,6,j,2,13550,4290,0,3,3,old,new,male,19
EA_exp_1b,2,2,2,199,7,5,8,j,2,7507,1665,0,4,4,old,new,male,19
EA_exp_1b,2,2,3,36,6,106,5,d,3,6220,3133,0,3,3,new,old,male,19
EA_exp_1b,2,2,4,149,7,60,8,j,4,2651,461,0,4,4,old,new,male,19
EA_exp_1b,2,2,5,54,8,180,7,j,3,4597,729,1,4,4,new,old,male,19
EA_exp_1b,2,2,6,75,8,189,7,j,3,11322,575,1,4,4,new,old,male,19
EA_exp_1b,2,2,7,127,7,57,8,d,3,7732,425,1,4,4,old,new,male,19
EA_exp_1b,2,2,8,26,6,126,5,d,3,2726,1058,0,3,3,new,old,male,19
EA_exp_1b,2,2,9,33,8,175,7,j,4,4069,428,1,4,4,new,old,male,19
EA_exp_1b,2,2,10,165,7,27,8,j,2,4377,723,0,4,4,old,new,male,19
EA_exp_1b,2,2,11,117,5,97,6,d,1,2324,735,1,3,3,old,new,male,19
EA_exp_1b,2,2,12,182,9,24,10,j,2,14703,557,0,5,5,old,new,male,19
EA_exp_1b,2,2,13,88,8,125,7,d,2,4867,618,0,4,4,new,old,male,19
EA_exp_1b,2,2,14,29,12,153,11,j,4,1597,489,1,6,6,new,old,male,19
EA_exp_1b,2,2,15,109,11,80,12,j,2,5060,1009,0,6,6,old,new,male,19
EA_exp_1b,2,2,16,178,5,85,6,d,2,3272,1165,1,3,3,old,new,male,19
EA_exp_1b,2,2,17,148,7,84,8,j,2,4780,3366,0,4,4,old,new,male,19
EA_exp_1b,2,2,18,73,6,197,5,j,1,11182,536,1,3,3,new,old,male,19
EA_exp_1b,2,2,19,166,5,68,6,j,4,4303,989,0,3,3,old,new,male,19
EA_exp_1b,2,2,20,35,12,188,11,d,3,1794,1892,0,6,6,new,old,male,19
EA_exp_1b,2,2,21,3,6,169,5,j,3,11829,726,1,3,3,new,old,male,19
EA_exp_1b,2,2,22,70,4,114,3,j,3,8679,566,1,2,2,new,old,male,19
EA_exp_1b,2,2,23,186,7,15,8,d,2,2828,500,1,4,4,old,new,male,19
EA_exp_1b,2,2,24,198,7,82,8,j,1,6749,600,0,4,4,old,new,male,19
EA_exp_1b,2,2,25,77,8,103,7,d,1,2637,446,0,4,4,new,old,male,19
EA_exp_1b,2,2,26,185,3,89,4,d,2,11818,346,1,2,2,old,new,male,19
