exp,idx,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp
EA_exp_1b,1,1,1,61,1,m,2,4035,3768,hit,4,female,23
EA_exp_1b,1,1,2,90,1,z,3,1428,1394,miss,2,female,23
EA_exp_1b,1,1,3,99,1,m,4,1704,945,hit,6,female,23
EA_exp_1b,1,1,4,26,1,z,4,1645,548,miss,1,female,23
EA_exp_1b,1,1,5,147,2,z,2,2158,787,cr,3,female,23
EA_exp_1b,1,1,6,156,2,m,2,1158,480,fa,4,female,23
EA_exp_1b,1,1,7,157,2,m,3,2398,664,fa,5,female,23
EA_exp_1b,1,1,8,80,1,m,4,1549,1018,hit,6,female,23
EA_exp_1b,1,1,9,32,1,z,3,1329,903,miss,2,female,23
EA_exp_1b,1,1,10,47,1,m,3,1106,865,hit,5,female,23
EA_exp_1b,1,1,11,44,1,m,4,1854,559,hit,6,female,23
EA_exp_1b,1,1,12,139,2,z,4,1338,542,cr,1,female,23
EA_exp_1b,1,1,13,98,1,z,3,1564,453,miss,2,female,23
EA_exp_1b,1,1,14,136,2,z,3,1154,399,cr,2,female,23
EA_exp_1b,1,1,15,19,1,m,4,1410,322,hit,6,female,23
EA_exp_1b,1,1,16,123,2,z,2,1334,426,cr,3,female,23
EA_exp_1b,1,1,17,101,2,z,3,1255,498,cr,2,female,23
EA_exp_1b,1,1,18,183,2,z,2,1616,441,cr,3,female,23
EA_exp_1b,1,1,19,94,1,m,4,1112,453,hit,6,female,23
EA_exp_1b,1,1,20,22,1,z,3,1763,391,miss,2,female,23
EA_exp_1b,1,1,21,100,1,m,3,1129,341,hit,5,female,23
EA_exp_1b,1,1,22,24,1,m,3,889,271,hit,5,female,23
EA_exp_1b,1,1,23,150,2,z,2,1316,362,cr,3,female,23
EA_exp_1b,1,1,24,27,1,m,3,988,367,hit,5,female,23
EA_exp_1b,1,1,25,30,1,z,2,1200,443,miss,3,female,23
EA_exp_1b,1,1,26,143,2,m,3,854,418,fa,5,female,23
EA_exp_1b,1,1,27,82,1,m,4,738,367,hit,6,female,23
EA_exp_1b,1,1,28,8,1,m,4,1136,749,hit,6,female,23
EA_exp_1b,1,1,29,191,2,m,3,1104,414,fa,5,female,23
EA_exp_1b,1,1,30,66,1,m,4,753,411,hit,6,female,23
EA_exp_1b,1,1,31,69,1,z,3,1612,485,miss,2,female,23
EA_exp_1b,1,1,32,176,2,z,2,1616,396,cr,3,female,23
EA_exp_1b,1,1,33,76,1,m,4,1547,393,hit,6,female,23
EA_exp_1b,1,1,34,178,2,z,3,1913,360,cr,2,female,23
EA_exp_1b,1,1,35,162,2,z,4,1209,676,cr,1,female,23
EA_exp_1b,1,1,36,87,1,m,4,1227,419,hit,6,female,23
EA_exp_1b,1,1,37,54,1,m,4,753,303,hit,6,female,23
EA_exp_1b,1,1,38,132,2,m,3,1187,318,fa,5,female,23
EA_exp_1b,1,1,39,23,1,z,3,1186,365,miss,2,female,23
EA_exp_1b,1,1,40,16,1,z,3,911,341,miss,2,female,23
EA_exp_1b,1,1,41,35,1,z,2,1207,401,miss,3,female,23
EA_exp_1b,1,1,42,165,2,m,3,851,298,fa,5,female,23
EA_exp_1b,1,1,43,170,2,z,3,1360,386,cr,2,female,23
EA_exp_1b,1,1,44,186,2,z,2,1043,356,cr,3,female,23
EA_exp_1b,1,1,45,121,2,z,4,916,396,cr,1,female,23
EA_exp_1b,1,1,46,5,1,m,4,1005,542,hit,6,female,23
EA_exp_1b,1,1,47,167,2,z,4,1050,442,cr,1,female,23
EA_exp_1b,1,1,48,109,2,m,4,776,288,fa,6,female,23
EA_exp_1b,1,1,49,74,1,m,4,777,228,hit,6,female,23
EA_exp_1b,1,1,50,152,2,z,3,1547,344,cr,2,female,23
EA_exp_1b,1,1,51,28,1,m,4,845,323,hit,6,female,23
EA_exp_1b,1,1,52,81,1,z,3,1512,340,miss,2,female,23
EA_exp_1b,1,1,53,118,2,z,3,964,331,cr,2,female,23
EA_exp_1b,1,1,54,48,1,z,3,1408,321,miss,2,female,23
EA_exp_1b,1,1,55,85,1,m,2,1812,310,hit,4,female,23
EA_exp_1b,1,1,56,89,1,m,3,810,356,hit,5,female,23
EA_exp_1b,1,1,57,133,2,z,4,1063,454,cr,1,female,23
EA_exp_1b,1,1,58,40,1,z,2,1654,525,miss,3,female,23
EA_exp_1b,1,1,59,83,1,z,3,1706,415,miss,2,female,23
EA_exp_1b,1,1,60,43,1,m,4,945,372,hit,6,female,23
EA_exp_1b,1,1,61,105,2,z,4,1140,386,cr,1,female,23
EA_exp_1b,1,1,62,135,2,z,3,1553,431,cr,2,female,23
EA_exp_1b,1,1,63,122,2,m,3,1549,379,fa,5,female,23
EA_exp_1b,1,1,64,153,2,z,3,1133,361,cr,2,female,23
EA_exp_1b,1,1,65,138,2,m,4,1131,473,fa,6,female,23
EA_exp_1b,1,1,66,86,1,z,4,1924,451,miss,1,female,23
EA_exp_1b,1,1,67,154,2,z,3,1076,401,cr,2,female,23
EA_exp_1b,1,1,68,115,2,m,3,1024,370,fa,5,female,23
EA_exp_1b,1,1,69,33,1,m,4,1219,461,hit,6,female,23
EA_exp_1b,1,1,70,64,1,m,4,762,296,hit,6,female,23
EA_exp_1b,1,1,71,195,2,m,3,1135,393,fa,5,female,23
EA_exp_1b,1,1,72,159,2,z,3,1064,392,cr,2,female,23
EA_exp_1b,1,1,73,184,2,z,3,1454,379,cr,2,female,23
EA_exp_1b,1,1,74,84,1,m,4,923,338,hit,6,female,23
EA_exp_1b,1,1,75,149,2,z,3,1909,355,cr,2,female,23
EA_exp_1b,1,1,76,88,1,m,4,870,333,hit,6,female,23
EA_exp_1b,1,1,77,21,1,m,2,754,1100,hit,4,female,23
EA_exp_1b,1,1,78,112,2,z,3,1295,455,cr,2,female,23
EA_exp_1b,1,1,79,95,1,z,3,1112,371,miss,2,female,23
EA_exp_1b,1,1,80,107,2,z,4,1173,400,cr,1,female,23
EA_exp_1b,1,1,81,51,1,z,2,1218,346,miss,3,female,23
EA_exp_1b,1,1,82,60,1,m,2,717,283,hit,4,female,23
EA_exp_1b,1,1,83,102,2,m,3,1554,380,fa,5,female,23
EA_exp_1b,1,1,84,77,1,z,3,1117,524,miss,2,female,23
EA_exp_1b,1,1,85,108,2,z,4,1464,440,cr,1,female,23
EA_exp_1b,1,1,86,55,1,m,4,886,350,hit,6,female,23
EA_exp_1b,1,1,87,146,2,m,4,722,268,fa,6,female,23
EA_exp_1b,1,1,88,174,2,m,3,708,562,fa,5,female,23
EA_exp_1b,1,1,89,179,2,z,2,1355,512,cr,3,female,23
EA_exp_1b,1,1,90,36,1,m,3,2381,359,hit,5,female,23
EA_exp_1b,1,1,91,62,1,z,4,922,383,miss,1,female,23
EA_exp_1b,1,1,92,9,1,z,3,897,407,miss,2,female,23
EA_exp_1b,1,1,93,140,2,m,3,856,351,fa,5,female,23
EA_exp_1b,1,1,94,127,2,m,4,837,410,fa,6,female,23
EA_exp_1b,1,1,95,10,1,m,4,761,262,hit,6,female,23
EA_exp_1b,1,1,96,188,2,m,3,988,384,fa,5,female,23
EA_exp_1b,1,1,97,29,1,m,4,832,330,hit,6,female,23
EA_exp_1b,1,1,98,177,2,z,3,1550,410,cr,2,female,23
EA_exp_1b,1,1,99,198,2,z,3,1066,346,cr,2,female,23
