exp,idx,cbcond,trial,stimID,cond,KP_zm,KP_conf,RT_zm,RT_conf,hmfc,rating16,sex_kp_mfor,age_kp,studresp,stud_jud,presented
EA_exp_2,1,1,1,151,2,m,3,4591,2705,fa,5,female,19,NA,NA,NA
EA_exp_2,1,1,2,126,2,z,4,2023,2927,cr,1,female,19,NA,NA,NA
EA_exp_2,1,1,3,167,2,z,3,3833,2204,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,4,150,2,z,4,2114,2634,cr,1,female,19,NA,NA,NA
EA_exp_2,1,1,5,39,1,m,4,2034,1353,hit,6,female,19,q,older,1
EA_exp_2,1,1,6,22,1,z,4,3365,1334,miss,1,female,19,q,older,1
EA_exp_2,1,1,7,26,1,m,4,2708,2319,hit,6,female,19,q,older,1
EA_exp_2,1,1,8,4,1,m,4,1940,1311,hit,6,female,19,p,younger,1
EA_exp_2,1,1,9,68,1,m,4,1516,1226,hit,6,female,19,q,older,1
EA_exp_2,1,1,10,149,2,z,2,2233,1386,cr,3,female,19,NA,NA,NA
EA_exp_2,1,1,11,143,2,z,4,2052,2795,cr,1,female,19,NA,NA,NA
EA_exp_2,1,1,12,3,1,z,2,1679,1123,miss,3,female,19,p,younger,1
EA_exp_2,1,1,13,61,1,m,4,1414,969,hit,6,female,19,p,younger,1
EA_exp_2,1,1,14,49,1,m,4,1312,1240,hit,6,female,19,p,younger,1
EA_exp_2,1,1,15,98,1,m,4,1705,669,hit,6,female,19,q,older,1
EA_exp_2,1,1,16,34,1,m,2,2623,948,hit,4,female,19,p,younger,1
EA_exp_2,1,1,17,128,2,m,3,1263,1671,fa,5,female,19,NA,NA,NA
EA_exp_2,1,1,18,144,2,z,4,3209,2095,cr,1,female,19,NA,NA,NA
EA_exp_2,1,1,19,113,2,m,2,2586,1359,fa,4,female,19,NA,NA,NA
EA_exp_2,1,1,20,177,2,z,3,1529,966,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,21,88,1,z,2,1984,892,miss,3,female,19,q,older,1
EA_exp_2,1,1,22,135,2,z,3,1960,2835,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,23,172,2,z,3,1362,1286,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,24,110,2,z,4,1861,1011,cr,1,female,19,NA,NA,NA
EA_exp_2,1,1,25,179,2,z,3,2124,1088,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,26,14,1,m,4,1701,1035,hit,6,female,19,q,older,1
EA_exp_2,1,1,27,118,2,z,4,1841,739,cr,1,female,19,NA,NA,NA
EA_exp_2,1,1,28,84,1,m,4,1463,1013,hit,6,female,19,q,older,1
EA_exp_2,1,1,29,162,2,z,3,1584,3209,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,30,45,1,m,2,3432,1178,hit,4,female,19,q,older,1
EA_exp_2,1,1,31,51,1,z,4,3576,1943,miss,1,female,19,q,older,1
EA_exp_2,1,1,32,170,2,z,3,1803,924,cr,2,female,19,NA,NA,NA
EA_exp_2,1,1,33,174,2,z,3,1937,2116,cr,2,female,19,NA,NA,NA
