exp,idx,jatosID,cbcond,sex_kp_mfor,age_kp
EA_exp_3,1,28726,2,f,20
EA_exp_3,2,28665,1,f,19
EA_exp_3,3,28653,2,f,19
EA_exp_3,4,28652,1,m,20
EA_exp_3,5,28651,1,f,18
EA_exp_3,6,28650,1,m,23
EA_exp_3,7,28649,1,f,20
EA_exp_3,8,28636,2,f,20
EA_exp_3,9,28635,2,m,20
EA_exp_3,10,28634,2,f,20
EA_exp_3,11,28633,2,f,23
EA_exp_3,12,28632,1,f,18
EA_exp_3,13,28631,2,m,19
EA_exp_3,14,28630,2,f,19
EA_exp_3,15,28629,2,f,29
EA_exp_3,16,28628,2,m,20
EA_exp_3,17,28626,2,f,19
EA_exp_3,18,28616,1,f,18
EA_exp_3,19,28615,1,f,18
EA_exp_3,20,28599,2,f,23
EA_exp_3,21,28596,2,m,19
EA_exp_3,22,28595,2,f,20
EA_exp_3,23,28594,2,f,19
EA_exp_3,24,28593,1,m,23
EA_exp_3,25,28592,1,m,19
EA_exp_3,26,28582,2,f,19
EA_exp_3,27,28581,2,f,20
EA_exp_3,28,28579,2,f,18
EA_exp_3,29,28577,1,f,18
EA_exp_3,30,28576,2,f,19
EA_exp_3,31,28574,2,f,19
EA_exp_3,32,28573,2,f,19
EA_exp_3,33,28453,1,f,18
EA_exp_3,34,28451,1,m,23
EA_exp_3,35,28449,2,m,19
EA_exp_3,36,28448,2,f,20
EA_exp_3,37,28447,2,f,21
EA_exp_3,38,28443,2,f,19
EA_exp_3,39,28441,1,f,19
EA_exp_3,40,28440,2,f,19
EA_exp_3,41,28439,2,f,19
EA_exp_3,42,28438,2,o,21
EA_exp_3_forTB,43,NA,2,NA,NA
EA_exp_3_forTB,44,NA,1,NA,NA
EA_exp_3_forTB,45,NA,1,NA,NA
EA_exp_3_forTB,46,NA,2,NA,NA
EA_exp_3_forTB,47,NA,1,NA,NA
EA_exp_3_forTB,48,28321,2,f,18
EA_exp_3_forTB,49,28317,2,m,19
EA_exp_3_forTB,50,28314,2,f,18
EA_exp_3_forTB,51,28313,1,m,20
EA_exp_3_forTB,52,28257,2,m,20
EA_exp_3_forTB,53,28743,1,f,19
EA_exp_3_forTB,54,28683,1,f,18
EA_exp_3_forTB,55,28682,1,f,19
EA_exp_3_forTB,56,28681,2,f,19
EA_exp_3_forTB,57,28678,1,f,18
EA_exp_3_forTB,58,28677,2,f,18
EA_exp_3_forTB,59,28676,2,f,24
EA_exp_3_forTB,60,28509,2,f,20
EA_exp_3_forTB,61,28507,1,f,19
EA_exp_3_forTB,62,28506,1,f,19
EA_exp_3_forTB,63,28505,2,f,18
EA_exp_3_forTB,64,28504,2,f,18
EA_exp_3_forTB,65,28503,2,f,18
EA_exp_3_forTB,66,28502,1,f,18
EA_exp_3_forTB,67,28496,2,m,19
EA_exp_3_forTB,68,28495,1,f,18
EA_exp_3_forTB,69,28489,2,m,19
EA_exp_3_forTB,70,28482,1,f,19
EA_exp_3_forTB,71,28481,2,f,18
EA_exp_3_forTB,72,28480,2,f,19
