ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,do,dn,g1,g2,g3,g4,g5,g6,chk_sumg,ro1,ro2,ro3,ro4,ro5,ro6,rn1,rn2,rn3,rn4,rn5,rn6,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,ChiSq,G,df,pG
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,0.31789382512020325,0.3518206479100126,0.6450947201417858,0.05263171804814728,0.08269307057022114,0.07517758852234732,0.08267447561987902,0.06172842709761939,1,0,0,0,0,0,1,1,0,0,0,0,0,-223.12381782041172,0,142,NA,200,100,100,7,460.24763564082343,483.3358572066597,34,0,0.4676710340780411,0.14232754054344438,0.7699577256481871,0.034114792903831,0.05359994090453755,0.048728560620102765,0.053587888041672645,0.04001109188166896,0.4400230919910665,0.0359004198751737,0.05640545405571864,0.05127909734366564,0.05639277032526869,0.3599991664091068,76.99577256481871,3.4114792903831,5.359994090453755,4.8728560620102765,5.358788804167265,4.001109188166896,44.00230919910665,3.59004198751737,5.640545405571864,5.127909734366564,5.639277032526869,35.999916640910676,0.7284675094426991,0.5,0.5,0.5,0.5,0.9415202239092763,4.457035740254543,4.8564640638900665,3,0.1826143685865429
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,0.15139684045259535,0.009990134034446407,2.1638567629173322e-197,0.07614818443738704,0.5819760333347014,0.27195841831710577,0.05982717347842489,0.010090190432380908,1,0,0,0,0,0,1,1,0,0,0,0,0,-243.3689262112594,0,181,NA,200,100,100,7,500.7378524225188,523.8260739883551,37,0,0.4415137094239415,0.33846039734032357,0.009990134034446407,0.0753874538683778,0.5761620147568522,0.26924151726632184,0.05922949199647335,0.009989388077528335,1.8362556858196673e-197,0.06461958990736515,0.49386670066869326,0.23078477304941072,0.05076952844058205,0.15995940793394878,0.9990134034446407,7.538745386837779,57.61620147568522,26.924151726632182,5.922949199647335,0.9989388077528335,1.8362556858196672e-195,6.461958990736514,49.38667006686933,23.07847730494107,5.076952844058205,15.995940793394878,1,0.5,0.5,0.5,0.5,0.9732351863765052,10.975485944983667,11.349220271877446,3,0.009979899122427027
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,0.46477659681656364,0.08773175738222622,0.11210880313287443,0.26944324011288,0.24177411113982913,0.13818833714119963,0.17270649917512504,0.06577900929809177,1,0,0,0,0,0,1,1,0,0,0,0,0,-318.6845490436816,0,138,NA,200,100,100,7,651.3690980873632,674.4573196531995,29,0,0.666381254356504,0.34362758717874226,0.19000505819823554,0.24580451114301588,0.22056284348000624,0.12606483147407463,0.1575546544911593,0.06000810121350838,0.06000325513959895,0.14421232793798744,0.12940316256590972,0.07396163208497293,0.09243656024040778,0.4999830620311232,19.000505819823555,24.58045111430159,22.056284348000624,12.606483147407463,15.75546544911593,6.000810121350838,6.000325513959895,14.421232793798744,12.940316256590972,7.396163208497293,9.243656024040778,49.99830620311232,0.7308668995819421,0.5,0.5,0.5,0.5,0.9647923420930128,2.369707414635307,2.400904862906537,3,0.4934662049928782
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,0.2400657535305502,0.21537362428777768,0.17165050621139244,0.31732339474696847,0.2910349583546789,0.10334954513611783,0.11664158762513228,7.925709977207873e-9,1,0,0,0,0,0,1,1,0,0,0,0,0,-317.2994799018247,0,760,NA,200,100,100,7,648.5989598036494,671.6871813694858,10,0,0.40724455525844994,0.17261085140600707,0.3500551388655908,0.2489803051490127,0.22835370457938925,0.08109077903165886,0.09152006615562713,6.2187210943628135e-9,0.13044309809385413,0.24114491487416526,0.22116743177353063,0.0785388587059761,0.08863993699890521,0.24006575955356865,35.00551388655908,24.898030514901272,22.835370457938925,8.109077903165886,9.152006615562714,6.218721094362813e-7,13.044309809385412,24.114491487416526,22.11674317735306,7.85388587059761,8.863993699890521,24.006575955356865,0.8076281425059637,0.5,0.5,0.5,0.5,0.999999987455482,8.992208951226035,9.365798158162097,3,0.0248027457214387
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,0.11002206305365161,0.019701727601415718,6.707111796644309e-5,0.1969017999824159,0.4557667356101866,0.2616508539798154,0.0856135385233148,7.863008022468421e-10,1,0,0,0,0,0,1,1,0,0,0,0,0,-276.38972833977897,0,528,NA,200,100,100,7,566.7794566795579,589.8676782453942,36,0,0.41907971136830485,0.3404226848071717,0.019767477302486063,0.19302249435493388,0.4467873435354082,0.25649588012802726,0.08392680390833514,7.708093180282001e-10,5.969181519646018e-5,0.17523825772937304,0.4056223390871257,0.2328634872252064,0.07619416038965643,0.11002206375344198,1.9767477302486063,19.302249435493387,44.678734353540825,25.649588012802727,8.392680390833513,7.708093180282001e-8,0.0059691815196460185,17.523825772937304,40.56223390871257,23.28634872252064,7.6194160389656425,11.002206375344198,0.9983369223076818,0.5,0.5,0.5,0.5,0.9999999968197726,20.581007749796193,21.87783125810785,3,6.916267354672989e-5
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,0.5188591592871332,0.13644119580799988,0.16624265911473432,0.3569525118508734,0.25285367506242773,0.029746138866441372,0.1710307150195832,0.023174300085939903,1,0,0,0,0,0,1,1,0,0,0,0,0,-286.99291064803674,0,212,NA,200,100,100,7,587.9858212960735,611.0740428619098,47,0,0.6266112057878209,0.19339499072144814,0.28000150771881815,0.308249484287271,0.21835401727246265,0.02568754010883329,0.14769507974241403,0.02001237087020083,0.0799861327688058,0.17174443164649877,0.12165822979687452,0.014312082262161284,0.08228986201224499,0.5300092615134147,28.000150771881817,30.8249484287271,21.835401727246264,2.568754010883329,14.769507974241403,2.001237087020083,7.9986132768805795,17.174443164649876,12.165822979687452,1.4312082262161285,8.2289862012245,53.00092615134147,0.7436436805637064,0.5,0.5,0.5,0.5,0.9894812194465783,5.498559674248587,8.183549951371514,3,0.042366751843275985
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,0.231843207321304,0.019861275048568158,1.4153546163255055e-4,0.1014538651683789,0.5922997418136737,0.2571285578724894,0.04897629912942538,5.544000813983985e-10,1,0,0,0,0,0,1,1,0,0,0,0,0,-246.18667846956072,0,224,NA,200,100,100,7,506.37335693912144,529.4615785049577,24,0,0.4669797329251319,0.30002522478668614,0.019999999435468097,0.09943886204752937,0.5805359137303164,0.2520216568617422,0.04800356738155492,5.433889888947963e-10,1.0872142625795866e-4,0.0779324756725988,0.45497906997601134,0.1975150483214299,0.03762147685653181,0.23184320774717018,1.9999999435468097,9.943886204752937,58.053591373031644,25.202165686174222,4.800356738155491,5.433889888947963e-8,0.010872142625795866,7.79324756725988,45.497906997601135,19.75150483214299,3.762147685653181,23.18432077471702,0.9965318902296086,0.5,0.5,0.5,0.5,0.9999999990815642,16.882162565576195,16.979737511126448,3,7.13556302056273e-4
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,0.15259405812166524,0.026587452971390726,0.10621745320264475,0.18672874280205068,0.3679787282743201,0.21417993220125325,0.10433470584684604,0.02056043767288518,1,0,0,0,0,0,1,1,0,0,0,0,0,-327.7594404904032,0,135,NA,200,100,100,7,669.5188809808064,692.60710254664275,4,0,0.43992829203047373,0.330059933091482,0.12998085463226927,0.18176410113439423,0.3581951111418544,0.20848543332643676,0.10156071176185913,0.020013788003186133,0.09000930097510512,0.15823504616992906,0.31182736082449203,0.18149734717844088,0.08841384967874556,0.1700170951732873,12.998085463226927,18.176410113439424,35.819511114185445,20.848543332643676,10.156071176185913,2.0013788003186135,9.000930097510512,15.823504616992906,31.182736082449203,18.149734717844087,8.841384967874557,17.00170951732873,0.6022744966811061,0.5,0.5,0.5,0.5,0.9487609259708152,17.95225025450579,19.6831662900621,3,1.9743681832185e-4
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,0.594439545714158,0.11082757062602197,0.24653628940708242,0.3089115323175415,0.15445491824530477,0.12357371501671827,0.054063948995307774,0.11245959601804534,1,0,0,0,0,0,1,1,0,0,0,0,0,-279.57579337791,0,134,NA,200,100,100,7,573.15158675582,596.2398083216563,42,0,0.7120915222790318,0.25794648545567317,0.3300408420069636,0.2746756176524265,0.1373370548849368,0.109878340388183,0.04807217286970865,0.09999597219778152,0.09998536952988216,0.12528230138083768,0.06264080681024839,0.05011661199996943,0.02192619971502361,0.6400487105640388,33.00408420069636,27.46756176524265,13.73370548849368,10.987834038818301,4.8072172869708645,9.99959721977815,9.998536952988216,12.528230138083767,6.264080681024839,5.011661199996944,2.192619971502361,64.00487105640387,0.6678997816635124,0.5,0.5,0.5,0.5,0.9643705517274708,7.513147724924588,7.495389332593078,3,0.057677038156837224
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,0.3420997574791101,2.9295306207392686e-18,0.21716379093207855,0.21715416478125987,0.1447615509175177,0.07237625882788475,0.10858362448620122,0.23996061005505798,1,0,0,0,0,0,1,1,0,0,0,0,0,-317.66200499606487,0,1088,NA,200,100,100,7,649.3240099921297,672.412231557966,32,0,0.6190234521486826,0.42092049336914394,0.21716379093207855,0.21715416478125987,0.1447615509175177,0.07237625882788475,0.10858362448620122,0.23996061005505798,0.14287211072097034,0.14286577767401218,0.09523865945633504,0.047616358235620077,0.07143719288326902,0.49996990102979344,21.716379093207856,21.715416478125988,14.47615509175177,7.237625882788475,10.858362448620122,23.996061005505798,14.287211072097033,14.286577767401218,9.523865945633505,4.761635823562008,7.143719288326903,49.996990102979346,0.5,0.5,0.5,0.5,0.5,0.8421203524196992,2.983949227876327,2.9544033818966753,3,0.39870883646205824
