ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,do,dn,g1,g2,g3,g4,g5,g6,chk_sumg,ro1,ro2,ro3,ro4,ro5,ro6,rn1,rn2,rn3,rn4,rn5,rn6,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,ChiSq,G,df,pG
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.2216823915696008,0.07901836803323321,0.07706424776833987,0.30598556466527094,0.1294728215607502,0.1765284397255425,0.15891774622862265,0.15203118005147376,1,0,0,0,0,0,1,1,0,0,0,0,0,-338.668448291972,0,136,NA,200,100,100,7,691.336896583944,714.4251181497804,15,0,0.60109460924306,0.4489577000907342,0.1499931247092101,0.28180708470369387,0.11924209049636171,0.16257945050697714,0.1463603252701174,0.14001792431363966,0.059980461018542014,0.23815395290449895,0.10077097683389893,0.13739519302713413,0.12368848018181067,0.34001093603411525,14.999312470921012,28.180708470369385,11.924209049636172,16.257945050697714,14.63603252701174,14.001792431363965,5.998046101854201,23.815395290449896,10.077097683389894,13.739519302713413,12.368848018181067,34.001093603411526,0.7634066334254493,0.5,0.5,0.5,0.5,0.8259930315114308,5.635176913399915,5.722155551346306,3,0.12593881692839126
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,0.4263393718750439,0.02999057783055712,1.2617333710932064e-11,0.2397082196102778,0.3368232811061188,0.2720783225100588,0.11015332857541045,0.04123684818551676,1,0,0,0,0,0,1,1,0,0,0,0,0,-294.3301634200272,0,160,NA,200,100,100,7,602.6603268400544,625.7485484058907,12,0,0.6692665771579703,0.4107684342848103,0.029990577842796053,0.2325192315934315,0.3267217562789621,0.2639185364028135,0.10684976660147467,0.04000013128052215,7.238067581875471e-12,0.13751116782834688,0.19322225500644477,0.15608062139030474,0.06319062766062464,0.4499953281070409,2.9990577842796053,23.25192315934315,32.67217562789621,26.391853640281347,10.684976660147468,4.000013128052215,7.238067581875471e-10,13.751116782834687,19.32222550064448,15.608062139030473,6.319062766062464,44.99953281070409,0.9999999997959537,0.5,0.5,0.5,0.5,0.9737153312996508,35.305287492701844,37.07112738598194,3,4.4446658575836295e-8
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,0.6219252861809388,0.06589142179461849,0.07933157698667204,0.16766382140414263,0.5029529673069819,0.16003118885071807,0.0685940378113214,0.021426407640164014,1,0,0,0,0,0,1,1,0,0,0,0,0,-261.013393846829,0,131,NA,200,100,100,7,536.026787693658,559.1150092594943,15,5.684341886080802e-14,0.7164634862597329,0.23357537659596328,0.13999572838042945,0.15661621382830468,0.4698126811953026,0.14948650628586116,0.0640742791332996,0.02001459117680253,0.029993263266050854,0.06338945129518142,0.19015379917903483,0.06050374592685937,0.0259336712152092,0.6300260691176643,13.999572838042946,15.661621382830468,46.98126811953026,14.948650628586115,6.40742791332996,2.0014591176802528,2.9993263266050856,6.338945129518142,19.015379917903484,6.050374592685937,2.5933671215209197,63.002606911766435,0.7353336868092245,0.5,0.5,0.5,0.5,0.9935710732191839,41.570416052262374,41.08925725162904,3,6.260277185532459e-9
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,0.2955478596799351,0.02999645001633394,4.882119522718053e-10,0.2866386354654659,0.382176736888628,0.11944881129394563,0.19112709911038983,0.020608716753358736,1,0,0,0,0,0,1,1,0,0,0,0,0,-298.7003849205705,0,151,NA,200,100,100,7,611.400769841141,634.4889914069773,41,0,0.5288515791222754,0.3212502640429803,0.029996450489901266,0.2780404939639759,0.3707127915031427,0.1158657709964563,0.18539396463515814,0.019990528411365827,3.439219547077107e-10,0.20192320025207036,0.26922522028173235,0.08414597077470755,0.1346398940414793,0.31006571430608865,2.9996450489901267,27.80404939639759,37.07127915031427,11.58657709964563,18.539396463515814,1.9990528411365827,3.4392195470771066e-8,20.192320025207035,26.922522028173233,8.414597077470756,13.463989404147931,31.006571430608865,0.9999999921062772,0.5,0.5,0.5,0.5,0.9765890681292451,18.286659438730204,18.484477237444864,3,3.493988283228555e-4
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.2409876463968123,0.03935392342353569,0.05271059457607728,0.22097006089770313,0.28492955090549843,0.1744684371830202,0.16284791105966068,0.10407344537804031,1,0,0,0,0,0,1,1,0,0,0,0,0,-337.0268170434284,0,154,NA,200,100,100,7,688.0536340868568,711.1418556526932,12,0,0.5760079525093011,0.42401937348264107,0.08999014929705698,0.21227402204224088,0.27371645517806104,0.16760241966629566,0.15643920683813603,0.09997774697820938,0.040007992449011834,0.16771900599780534,0.21626504904388164,0.13242369913575405,0.12360357625275561,0.3199806771207915,8.999014929705698,21.227402204224088,27.371645517806105,16.760241966629565,15.643920683813603,9.997774697820939,4.0007992449011835,16.771900599780533,21.626504904388163,13.242369913575406,12.360357625275562,31.99806771207915,0.7186568403927668,0.5,0.5,0.5,0.5,0.8765659360515703,9.487757867795608,9.789654356184457,3,0.020441436174296945
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.30263633477871615,0.06648731399081255,0.057360603172321487,0.20848677730055634,0.41083088294796455,0.15327953362921942,0.1164971218086425,0.05354508114129575,1,0,0,0,0,0,1,1,0,0,0,0,0,-318.6799243283959,0,138,NA,200,100,100,7,651.3598486567918,674.4480702226281,26,0,0.5281091660452679,0.30182494275916444,0.1200341647293135,0.19462505147524164,0.3835158410362805,0.1430883891484482,0.10875154109192535,0.04998501251879088,0.04000120046755371,0.14539110316848952,0.28649853031868877,0.10689157737508148,0.08124085985220528,0.3399767288179812,12.003416472931349,19.462505147524165,38.35158410362805,14.30883891484482,10.875154109192534,4.998501251879088,4.000120046755371,14.539110316848951,28.649853031868876,10.689157737508149,8.124085985220528,33.99767288179812,0.7769516251508338,0.5,0.5,0.5,0.5,0.945083897111004,0.06137196955078105,0.06144789270694537,3,0.9960227085040441
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.1379039527536498,0.0053989845272766936,0.03479527636815451,0.16157020498070948,0.29623585702365635,0.19388249791155113,0.10231619050752043,0.2111999732084081,1,0,0,0,0,0,1,1,0,0,0,0,0,-326.64739349920467,0,136,NA,200,100,100,7,667.2947869984093,690.3830085642456,17,0,0.5753303333207883,0.5046592241041921,0.040006401736697214,0.1606978899439497,0.2946364842151611,0.1928357293052169,0.10176378697808043,0.21005970782089467,0.02999687021983034,0.1392890350666522,0.25538376139272906,0.16714533507979695,0.08820638340583789,0.3199786148351535,4.000640173669721,16.06978899439497,29.46364842151611,19.28357293052169,10.176378697808044,21.005970782089467,2.999687021983034,13.928903506665218,25.538376139272906,16.714533507979695,8.82063834058379,31.99786148351535,0.5674765074201149,0.5,0.5,0.5,0.5,0.7154893270362694,4.962583213700518,5.019001312450341,3,0.17041105070956364
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,0.49439204990176105,0.01288044773130559,0.11867104186821775,0.3148445351207736,0.328295668390245,0.09376261877805415,0.09376893234264505,0.05065720350006453,1,0,0,0,0,0,1,1,0,0,0,0,0,-297.25935199579806,0,138,NA,200,100,100,7,608.5187039915961,631.6069255574324,34,0,0.6148221778620178,0.23512077681668622,0.13002295344752018,0.31078919654266324,0.3240670731931304,0.0925549142677331,0.09256114651078529,0.050004716038167835,0.06000102221501186,0.15918790000204733,0.16598889992092297,0.047407125476214604,0.04741031766466522,0.5200047347211381,13.002295344752019,31.078919654266322,32.406707319313035,9.255491426773311,9.256114651078528,5.000471603816783,6.000102221501185,15.918790000204734,16.598889992092296,4.74071254762146,4.741031766466522,52.000473472113804,0.5495314380645275,0.5,0.5,0.5,0.5,0.9753726426807323,7.9795219551619265,7.626897798048902,3,0.05438600523131387
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.2142734359460118,8.889771272475332e-79,0.05038822416883741,0.24639615139400148,0.3247891939030286,0.1960288054289835,0.16239491356646374,0.02000271153868527,1,0,0,0,0,0,1,1,0,0,0,0,0,-323.69527071354133,0,176,NA,200,100,100,7,661.3905414270827,684.478762992919,32,0,0.511613134956811,0.3784264305341325,0.05038822416883741,0.24639615139400148,0.3247891939030286,0.1960288054289835,0.16239491356646374,0.02000271153868527,0.03959136624496275,0.1936000014309351,0.2551954973672912,0.154025039745323,0.12759799745642195,0.22999009775506604,5.038822416883741,24.63961513940015,32.478919390302856,19.602880542898347,16.239491356646376,2.000271153868527,3.9591366244962747,19.360000143093508,25.519549736729118,15.4025039745323,12.759799745642194,22.999009775506604,0.5,0.5,0.5,0.5,0.5,0.9658318728448211,9.291743891854502,9.343852060370272,3,0.025051867925917737
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,0.7761106642588724,0.42996664933031703,6.909682915783133e-30,0.4660133299669889,0.27711956699799906,0.06297946803963307,0.17635987022595054,0.01752776476942841,1,0,0,0,0,0,1,1,0,0,0,0,0,-219.27891584295583,0,176,NA,200,100,100,7,452.55783168591165,475.6460532517479,36,0,0.8336204693311291,0.1464228154198626,0.42996664933031703,0.2656431399378193,0.1579673953120011,0.03590039719002625,0.10053100774856905,0.0099914104812673,1.5470043181965032e-30,0.10433541489282004,0.06204411577605091,0.014100431264723021,0.039485094196279526,0.7800349438701265,42.9966649330317,26.56431399378193,15.79673953120011,3.5900397190026254,10.053100774856905,0.99914104812673,1.5470043181965032e-28,10.433541489282003,6.204411577605091,1.4100431264723021,3.9485094196279524,78.00349438701265,1,0.5,0.5,0.5,0.5,0.9974845488384252,41.08114011974882,40.51703429838725,3,8.278357888080734e-9
