ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,do,dn,g1,g2,g3,g4,g5,g6,chk_sumg,ro1,ro2,ro3,ro4,ro5,ro6,rn1,rn2,rn3,rn4,rn5,rn6,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,ChiSq,G,df,pG
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,0.419261132255792,0.12338802172274557,0.12005641239451538,0.5178182469663658,0.09579814136766958,0.1439802761145324,0.12234692249623078,6.606859503932583e-10,1,0,0,0,0,0,1,1,0,0,0,0,0,-287.66067848307097,0,218,NA,200,100,100,7,589.3213569661419,612.4095785319782,35,0,0.5739276884101794,0.2334656130223856,0.2286309108967716,0.4539256778612458,0.08397779821959692,0.1262148346776656,0.10725077776555479,5.791652179942221e-10,0.06972142499942256,0.30071718244053797,0.055633704149860005,0.08361494252825198,0.07105161324244944,0.419261132639478,22.86309108967716,45.39256778612458,8.397779821959691,12.62148346776656,10.725077776555478,5.7916521799422216e-8,6.972142499942256,30.0717182440538,5.563370414986,8.361494252825198,7.105161324244944,41.9261132639478,0.7698410753794707,0.5,0.5,0.5,0.5,0.9999999995424259,9.632924107432107,9.604510095764097,3,0.02224515001849736
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,0.5416392247481753,9.431450422530755e-14,0.500546546374273,0.19200038157192556,0.21258811250856244,0.04114684306944063,0.013716742948556427,0.04000137352724198,1,0,0,0,0,0,1,1,0,0,0,0,0,-252.12161434215952,0,162,NA,200,100,100,7,518.2432286843191,541.3314502501553,27,0,0.585121601149564,0.09486495954523008,0.5005465463743202,0.19200038157190744,0.21258811250854237,0.041146843069436743,0.013716742948555133,0.040001373527238204,0.2294309030457352,0.08800544374595397,0.09744205205874681,0.018860098888473977,0.006287216931830324,0.5599742853292597,50.054654637432016,19.200038157190743,21.258811250854237,4.1146843069436745,1.3716742948555132,4.00013735272382,22.94309030457352,8.800544374595397,9.744205205874682,1.8860098888473977,0.6287216931830324,55.99742853292597,0.5000000000000941,0.5,0.5,0.5,0.5,0.9836286584389283,4.909401122093651,4.630926170985193,3,0.20090507619241416
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,0.6191788521370013,0.5781104162408518,0.3143386868035619,0.16382365334850787,0.3010486027734143,0.18302266164890776,0.03776639372984874,1.69575942177147e-9,1,0,0,0,0,0,1,1,0,0,0,0,0,-217.19482318538246,0,928,NA,200,100,100,7,448.3896463707649,471.47786793660117,27,0,0.7032599942877077,0.09314860338774233,0.7107266339758038,0.06911549292110497,0.1270092697153489,0.07721535454154911,0.01593324813076999,7.154232366068193e-10,0.1197068195262801,0.06238751171528876,0.11464567447072356,0.06969890009407828,0.014382241410846954,0.6191788527827824,71.07266339758038,6.911549292110497,12.70092697153489,7.721535454154911,1.593324813076999,7.154232366068193e-8,11.97068195262801,6.238751171528876,11.464567447072357,6.969890009407828,1.4382241410846954,61.91788527827824,0.9067037793468515,0.5,0.5,0.5,0.5,0.999999999478518,10.569077240411799,10.96399948096309,3,0.011922145317711741
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,0.31420716896306944,0.13202212157797089,0.04376494764941457,0.24454187686075776,0.3797140827999532,0.2381251326468166,0.070814022397015855,0.023039937646042064,1,0,0,0,0,0,1,1,0,0,0,0,0,-313.5262303027652,0,146,NA,200,100,100,7,641.0524606055304,664.1406821713667,21,-5.684341886080802e-14,0.5418760507839301,0.2881505085534274,0.17000912798796092,0.2122569394629416,0.3295834239956701,0.20668734743374811,0.06146500492269188,0.01999815619698743,0.030013687348675076,0.16770506603942353,0.2604051958279714,0.16330450885890496,0.04856374889676211,0.330007793028263,17.00091279879609,21.22569394629416,32.95834239956701,20.668734743374813,6.146500492269188,1.9998156196987429,3.0013687348675075,16.770506603942355,26.04051958279714,16.330450885890496,4.856374889676212,33.0007793028263,0.8882795092841131,0.5,0.5,0.5,0.5,0.9760602258507266,34.93702026105421,37.26304400836247,3,4.047904544890457e-8
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,0.33003870282602943,0.3300465920788399,0.2238504491372347,0.30600035064116116,0.19405052407704654,0.1567042019116234,0.08953639601132801,0.029858078221606243,1,0,0,0,0,0,1,1,0,0,0,0,0,-307.3660626885714,0,136,NA,200,100,100,7,628.7321253771428,651.8203469429791,39,0,0.5150141300438532,0.18497324900556714,0.4800159633430126,0.20500597773711587,0.13000480991430446,0.10498451410625767,0.05998521364076777,0.020003521258541674,0.14997113727695768,0.20500839185124217,0.1300063408279469,0.10498575038532301,0.05998592001603164,0.35004245964249864,48.00159633430126,20.500597773711586,13.000480991430447,10.498451410625767,5.998521364076777,2.0003521258541674,14.99711372769577,20.500839185124217,13.00063408279469,10.498575038532302,5.998592001603164,35.00424596424986,0.843787100100037,0.5,0.5,0.5,0.5,0.971426670871729,12.166715846215975,12.795346319577474,3,0.005100746625656738
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,0.37261974680284665,0.15654853098514748,0.015929218355070097,0.2991262665066639,0.33994884948267823,0.183564696930933,0.14955646808737474,0.011874500637279906,1,0,0,0,0,0,1,1,0,0,0,0,0,-313.11761354017494,0,152,NA,200,100,100,7,640.2352270803499,663.3234486461862,10,0,0.5890632148737697,0.2909871010009623,0.1699840536069897,0.25229848890597395,0.2867303564860739,0.15482791328566162,0.12614362270896912,0.010015565006331538,0.009993677044836618,0.18766591281886996,0.21327719526252362,0.11516486603858746,0.09382877481592915,0.38006957401925306,16.99840536069897,25.229848890597395,28.673035648607392,15.482791328566162,12.614362270896912,1.001556500633154,0.9993677044836619,18.766591281886996,21.327719526252363,11.516486603858747,9.382877481592915,38.006957401925305,0.9604800499319021,0.5,0.5,0.5,0.5,0.9901993901568809,37.94924604234217,40.58615551602335,3,8.0036449690013e-9
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,0.29167865945849314,0.0640681417941763,0.0012400544819192471,0.1785748973492149,0.465740371091855,0.2751861611002684,0.0792585121857858,3.790956659699418e-9,1,0,0,0,0,0,1,1,0,0,0,0,0,-282.1551639786127,0,1403,NA,200,100,100,7,578.3103279572254,601.3985495230617,1,0,0.542739388273483,0.33173606524784993,0.06522874828971545,0.16713393550496491,0.43590125095746973,0.2575554951111014,0.07418056658867143,3.548077110890219e-9,8.783570529775448e-4,0.12648841067745786,0.3298938439960816,0.19492023052901317,0.05614049560076116,0.29167866214370863,6.522874828971545,16.71339355049649,43.59012509574697,25.755549511110136,7.418056658867143,3.548077110890219e-7,0.08783570529775449,12.648841067745787,32.98938439960816,19.492023052901317,5.614049560076116,29.167866214370864,0.9911035660964681,0.5,0.5,0.5,0.5,0.9999999953969627,33.579808956873265,37.053627636447665,3,4.4827213052656134e-8
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,0.09784083912948449,0.23783754577907168,0.022023743260682446,0.28488278106904164,0.4165568741712152,0.20697718484550034,0.06955941080078946,5.85277093456682e-9,1,0,0,0,0,0,1,1,0,0,0,0,0,-300.7917355333851,0,592,NA,200,100,100,7,615.5834710667702,638.6716926326066,12,0,0.34732086748786123,0.210765814880439,0.25462321599376503,0.2171269595848642,0.3174840095409318,0.15775023916958528,0.053015571250091445,4.460762259482364e-9,0.019868921739284947,0.2570096107157054,0.3758006000571484,0.18672636339955817,0.06275365967868769,0.09784084440961541,25.4623215993765,21.71269595848642,31.74840095409318,15.775023916958528,5.301557125009144,4.460762259482364e-7,1.9868921739284946,25.70096107157054,37.58006000571484,18.672636339955815,6.275365967868769,9.784084440961541,0.9670382173338342,0.5,0.5,0.5,0.5,0.9999999730167347,31.71868311872066,44.02036170196572,3,1.4942264092709934e-9
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,0.7306154823858407,0.14000018995622818,1.2117839349956077e-17,0.646370166060914,0.19477062135048848,0.053125719031660336,0.07085129990125294,0.034882193655684235,1,0,0,0,0,0,1,1,0,0,0,0,0,-213.58065766011592,0,168,NA,200,100,100,7,441.16131532023184,464.2495368860681,37,0,0.7734096947375853,0.13661889264989702,0.14000018995622818,0.5558782200303473,0.1675026973635275,0.04568810827566668,0.06093210445643184,0.029998679917798504,3.264358307813795e-18,0.17412211538450334,0.05246818987791141,0.01431124619424918,0.019086243246235153,0.7400122052971009,14.000018995622817,55.587822003034724,16.75026973635275,4.568810827566669,6.093210445643184,2.9998679917798503,3.264358307813795e-16,17.412211538450332,5.246818987791141,1.431124619424918,1.9086243246235153,74.00122052971008,1,0.5,0.5,0.5,0.5,0.9936509676164818,21.012034755049488,19.088950455636628,3,2.620613318194964e-4
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,0.3116558440732432,0.2490695399123947,0.014525869836482684,0.34741791751013973,0.23626008937324597,0.22229321689514445,0.15287615791204462,0.026626748472942552,1,0,0,0,0,0,1,1,0,0,0,0,0,-320.67242869068684,0,150,NA,200,100,100,7,655.3448573813737,678.43307894721,26,0,0.5882298574071485,0.3017209477161654,0.25997745803187733,0.26088669663856695,0.17741489761339035,0.16692674763742466,0.11479936359731707,0.019994836481423695,0.00999879761169561,0.23914309318234875,0.1626282517988071,0.15301423675193168,0.10523140987929193,0.3299842107759249,25.997745803187733,26.088669663856695,17.741489761339036,16.692674763742467,11.479936359731708,1.9994836481423695,0.9998797611695609,23.914309318234874,16.26282517988071,15.301423675193169,10.523140987929192,32.99842107759249,0.9790214155449101,0.5,0.5,0.5,0.5,0.9722284186573892,50.59261932048907,56.19280282427799,3,3.821165606154864e-12
