ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,Ro,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,0.35291193053887177,0.30286155339340326,0.7178998888581443,0.8450394114231621,1.0703269168842209,1.3259527123628891,1.7448362132518123,-223.48926667296223,0,134,NA,200,100,100,7,460.97853334592446,484.0667549117607,12,0,0.4677759534234084,0.14223609133140558,0.7635904917915293,0.0373650908072245,0.05680832606984065,0.049808410752008925,0.05192098896759467,0.04050669161180198,0.4478694859589377,0.032239574836816234,0.05211498578083766,0.04970075718183003,0.05806734730059135,0.36000784894098703,76.35904917915293,3.73650908072245,5.680832606984065,4.9808410752008925,5.192098896759467,4.050669161180198,44.78694859589377,3.2239574836816236,5.211498578083766,4.970075718183002,5.8067347300591345,36.0007848940987,200000,200000,0.567205,0.504225,0.50586,0.507645,0.511465,0.6762,0.5689952830474063,0.5037372816568209,0.5066127999547894,0.5074921393089205,0.5121514150017427,0.6759575923021126,-0.40377195856335085,0.7804177206524042,0.9536425790728008,1.1916398035796096,1.5132257719195334,2.1492584051324095,-0.22805323564101282,0.7808927060359687,0.955130373137743,1.1935508006841973,1.5182743056397194,2.200173513873782,5.2403445870768826,5.58736176899108,3,0.13350579147421715,0.17571872292233803,4.749853835644968e-4,0.0014877940649421495,0.0019109971045876417,0.005048533720185988,0.05091510874137262
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,0.44223624363335534,0.13700575358949582,-2.383806858950556,-1.221599061914368,0.6086758390411902,1.6766121241475669,2.374504815083072,-240.69003910408873,0,142,NA,200,100,100,7,495.38007820817745,518.4682997740138,24,0,0.5114637104193304,0.27136966238048665,0.00856729626966132,0.10236234551337621,0.6177006958364758,0.22456048519216198,0.03802292368160387,0.008786253506720798,0.0020335131334235507,0.03945292724967868,0.4470498491975673,0.280795951845378,0.07065183170546988,0.16001592686848257,0.856729626966132,10.23623455133762,61.77006958364758,22.4560485192162,3.802292368160387,0.8786253506720798,0.20335131334235507,3.9452927249678678,44.70498491975673,28.079595184537798,7.065183170546987,16.001592686848255,200000,200000,0.532085,0.535255,0.5629,0.5369,0.52325,0.60142,0.5332359187814422,0.5359122176226486,0.5619241634750582,0.5374369121998844,0.5242607068931407,0.6007473668647807,-2.7171865281751644,-1.6206600437497738,-0.23038427509862403,1.04045487261972,1.9471703535427007,2.7087622296550786,-2.679673079484112,-1.5831008883566666,-0.12435634315337574,1.0791217088330236,1.9635459556908732,2.7555988508180347,5.760648048199671,5.99144605753609,3,0.1120271354381559,0.03751344869105244,0.03755915539310717,0.10602793194524829,0.03866683621330358,0.016375602148172463,0.04683662116295606
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,0.37011954084899695,0.43278765714326556,-0.8791565800401502,-0.10074690075169135,0.47609712883944344,0.8483754794147562,1.5530726499224303,-318.00201840517053,0,122,NA,200,100,100,7,650.0040368103411,673.0922583761774,20,0,0.6924575057698923,0.31700259120026797,0.18965819163046893,0.2702174980359066,0.2231217191333565,0.1188881441741153,0.13791155738959404,0.06020288963655862,0.06000088404318452,0.12086501360251603,0.1266765965844071,0.08029800562603853,0.11220603672627102,0.49995346341758273,18.965819163046895,27.021749803590662,22.31217191333565,11.888814417411531,13.791155738959404,6.020288963655862,6.000088404318452,12.086501360251603,12.66765965844071,8.029800562603853,11.220603672627103,49.99534634175827,200000,200000,0.541955,0.521385,0.51621,0.51264,0.52158,0.73618,0.5430444536454535,0.5235434676807008,0.5176864677932002,0.5114420565480742,0.5211952304258718,0.738615793216022,-1.4292290014533107,-0.46576480993315017,0.18252953069706232,0.6546308718395103,1.1524081106401545,1.983928690719064,-1.358097895227941,-0.44769749305916,0.19267733758666739,0.6588787864000941,1.1671022963704674,2.0436607917600735,1.0456723031788804,1.03584358588449,3,0.7925797706499627,0.07113110622536967,0.018067316873990158,0.010147806889605065,0.004247914560583821,0.014694185730312892,0.059732101041009455
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,0.6388336212373678,0.23997629476738597,-0.3606682630651491,0.4067897273054718,1.1817295379392634,1.6086265612445942,130882663451863.44,-313.3054894900109,0,168,NA,200,100,100,7,640.6109789800219,663.6992005458582,33,0,0.4631198123050066,0.11865651704520497,0.359173726207233,0.29874505764964243,0.22342469909791962,0.06480750568484683,0.053849011360358134,0,0.12067338197610444,0.18960778595301,0.2265990197658789,0.09692268988993474,0.12622082764768588,0.23997629476738597,35.9173726207233,29.874505764964244,22.342469909791962,6.480750568484684,5.384901136035813,0,12.067338197610445,18.960778595301,22.65990197658789,9.692268988993474,12.622082764768589,23.997629476738595,200000,200000,0.58387,0.540805,0.542085,0.522215,0.57001,0.23975,0.5837583295589777,0.5403101290225227,0.5405861842730003,0.5224877014411045,0,NA,-1.0407792998596492,0.02195092091257453,0.7555362731144518,1.374240344105478,2.03153770146777,1,-0.8859027274067544,0.0525895290827364,0.7866377977435628,1.383780822228106,2.139829705841329,1.6388336212373678,1.3551702914203823,1.3778173345345022,3,0.7107426094343732,0.15487657245289488,0.03063860817016187,0.031101524629110977,0.009540478122628038,0.10829200437355935,0.6388336212373678
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,0.7535265128002129,0.11001954176919704,-2.089886859219813,-0.5211014508140528,0.7781080252389483,1.8335569717425282,35.27850690915802,-266.6029506672535,0,132,NA,200,100,100,7,547.205901334507,570.2941229003433,24,0,0.5462829632762556,0.2182526660029177,0.018313982144898145,0.28283406802193206,0.4805992838302521,0.18489277384193992,0.03335989216097779,0,0.0019861311531232948,0.08809811577048254,0.3636327898001385,0.3116089241263329,0.12465449738072569,0.11001954176919704,1.8313982144898144,28.283406802193205,48.05992838302521,18.48927738419399,3.335989216097779,0,0.19861311531232947,8.809811577048254,36.36327898001385,31.160892412633288,12.46544973807257,11.001954176919703,200000,200000,0.559775,0.579045,0.579695,0.56419,0.5768,0.55928,0.5585819929264741,0.578933320617005,0.5784645289694125,0.5628899651543317,0.577428662796124,NA,-2.453065296267831,-1.0725983828367218,0.11143091368672302,1.1923583384109118,2.226646888796389,35.306807410750054,-2.3844324222148345,-0.9643983657687134,0.21076677672546518,1.256698352141056,2.3431261542988286,35.30742304741262,1.859117185071293,2.30427591305683,3,0.5117022505152204,0.06863287405299667,0.10820001706800841,0.09933586303874216,0.0643400137301442,0.11647926550243959,6.156366625660326e-4
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,0.4838456251581804,0.5014620711214502,-0.5642225082752512,0.31489985663158027,0.9770296270963453,1.0755557515894176,2.061873018915913,-285.4021103724298,0,140,NA,200,100,100,7,584.8042207448595,607.8924423106959,20,0,0.6564780980301458,0.1642772425445418,0.28630135571132753,0.337279799057704,0.21214160268642668,0.023214249701826728,0.12145307938982197,0.01960991345289309,0.07343643587147837,0.14239042944077535,0.12769503665760049,0.01690987470526063,0.10955006997188632,0.5300181533529988,28.630135571132755,33.7279799057704,21.21416026864267,2.321424970182673,12.145307938982198,1.960991345289309,7.343643587147837,14.239042944077534,12.769503665760048,1.690987470526063,10.955006997188633,53.00181533529988,200000,200000,0.56201,0.534335,0.526105,0.50523,0.536225,0.773435,0.5610407796315687,0.534825495471084,0.5264191387610349,0.5039711116478017,0.5370991413089055,0.7730751910585965,-1.18838860849638,-0.11683895454135003,0.6227764284271252,1.0254628800340457,1.450001373354559,2.4281298352644978,-1.0799211639569544,-0.08664328569340907,0.640128969086917,1.025854039760607,1.4850740949275194,2.4891301539211343,1.8385913877871622,5.001949400157595,3,0.1716544552807976,0.10846744453942558,0.030195668847940962,0.01735254065979175,3.911597265613409e-4,0.035072721572960486,0.061000318656636576
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,0.7377531599934419,0.2299636097171625,-2.088964757040813,-0.9974784927847211,0.846554998989687,2.0705381963166833,248518140798000.66,-238.17872973046096,0,172,NA,200,100,100,7,490.3574594609219,513.4456810267582,45,0,0.5816236995166071,0.19862160293919418,0.01835544788401497,0.14091070619915613,0.6421122429776347,0.17942061644840834,0.019200986490785832,0,0.001810653327887951,0.030030267527201743,0.38653537962830326,0.2813548596216991,0.07030523017774551,0.2299636097171625,1.835544788401497,14.091070619915612,64.21122429776347,17.942061644840834,1.9200986490785832,0,0.18106533278879508,3.0030267527201744,38.65353796283033,28.13548596216991,7.030523017774551,22.99636097171625,200000,200000,0.55768,0.55541,0.603805,0.56935500000000006,0.572365,0.22905,0.5574883693359225,0.557921873827765,0.6038103972324328,0.5693024181444202,0,NA,-2.4522438188306204,-1.4020852344487085,-0.056403814804142124,1.2932066824642163,2.435838077846494,1,-2.3847794752717784,-1.3439741114470276,0.12404866378332025,1.3739642508116026,2.535429790071264,1.737753159993442,0.6302528477539727,0.9638400329268972,3,0.8100006394303635,0.06746434355884201,0.058111123001680864,0.18045247858746238,0.08075756834738623,0.09959171222477003,0.7377531599934419
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,0.5213550988358534,0.12200842792014541,-0.9790377694137564,-0.311601735727443,0.6467434879463362,1.3816172849839954,2.1228376275125274,-323.0205845476005,0,204,NA,200,100,100,7,660.041169095201,683.1293906610373,18,0,0.5171994934412693,0.25889898626307684,0.16378065894077942,0.21389094853691443,0.3634294062592293,0.17535436435731955,0.06666089162549926,0.016883730280258025,0.058611497677022735,0.1191243197839549,0.30506468909775314,0.22413875782092818,0.12308320012425755,0.1699775354960835,16.378065894077942,21.389094853691443,36.34294062592293,17.535436435731956,6.666089162549927,1.6883730280258025,5.8611497677022735,11.912431978395489,30.506468909775315,22.413875782092816,12.308320012425755,16.997753549608348,200000,200000,0.556905,0.528935,0.540545,0.531345,0.53085,0.604025,0.5573361129812912,0.528419632870885,0.5409070435407836,0.5312959901124481,0.5306763979606502,0.6028952832639196,-1.5083723893578307,-0.6217883192455936,0.15513907933056928,0.9697513680901753,1.6755227576807683,2.4824512926568354,-1.4176561903443452,-0.6030630540341132,0.1937808012026332,0.992444185195787,1.6976262268882576,2.5467569077143724,9.318347359100354,10.205454404456644,3,0.016898055868206252,0.09071619901348549,0.018725265211480435,0.03864172187206391,0.022692817105611773,0.02210346920748929,0.06430561505753696
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,0.44204161200906983,0.5510493570729419,-0.4096067389712554,0.31761150607555283,0.7014872269200718,1.080755577792657,1.2904150882385885,-278.6313800763812,0,394,NA,200,100,100,7,571.2627601527624,594.3509817185987,15,0,0.7295726584129191,0.2414995015846052,0.34104722633161333,0.2835629510827332,0.13389032100104825,0.10159657489692786,0.04144963859740369,0.09845328809027365,0.08853515329403078,0.11371144053318102,0.06818074775986911,0.06112068216506853,0.028458760463537597,0.6399932157843129,34.10472263316133,28.356295108273322,13.389032100104824,10.159657489692787,4.144963859740369,9.845328809027365,8.853515329403077,11.371144053318103,6.818074775986911,6.112068216506853,2.8458760463537596,63.99932157843129,200000,200000,0.55841,0.52616,0.512715,0.512465,0.50844,0.79918,0.5590702033891619,0.5264979333982079,0.5140969590810616,0.5139046889727976,0.5077065067348083,0.7985543208645789,-1.0756304385385471,-0.04400602090909177,0.5033266888961265,0.8805106290730583,1.1812532313142614,1.7623514926984913,-0.9656092778630692,-0.02490901026642911,0.5087244421155019,0.885766597201612,1.1828667502320938,1.8471300901192902,5.151921204055491,5.606562729535605,3,0.13240210602141456,0.11002116067547796,0.019097010642662657,0.005397753219375412,0.0052559681285536675,0.0016135189178323461,0.08477859742079885
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,0.11806971736336061,0.30777449090825143,-0.7505838587944982,-0.14123701920570364,0.2175238573358208,0.40274317496081646,0.7076575483936806,-317.5644474379355,0,564,NA,200,100,100,7,649.128894875871,672.2171164417073,33,0,0.6264673963945123,0.41390005830449217,0.22645156913877024,0.21738978190286695,0.14225859065387064,0.07033147403200879,0.10398961132977314,0.23957897294271024,0.13326609232876616,0.14203150188477506,0.09823500939194653,0.050145982599415204,0.0762927052838305,0.5000287085112666,22.645156913877024,21.738978190286694,14.225859065387064,7.0331474032008785,10.398961132977313,23.957897294271024,13.326609232876615,14.203150188477506,9.823500939194654,5.01459825994152,7.62927052838305,50.00287085112666,200000,200000,0.513555,0.504505,0.504165,0.50157,0.50389,0.66451,0.5149180471262057,0.5059398597627912,0.5035222685221002,0.5018212191488066,0.5029931471373207,0.6647723196450255,-1.3292270155532708,-0.4322994585791364,0.037736054932713044,0.3092479531321748,0.5509141696759673,1.29633887255955,-1.3029090516559614,-0.42870786798958604,0.03899700707943511,0.3095850738102066,0.5518250687303325,1.3253230400008669,2.7566789386323074,2.7592882656379305,3,0.4302457152916921,0.02631796389730945,0.003591590589550331,0.0012609521467220677,3.3712067803182144e-4,9.108990543652551e-4,0.028984167441316933
