ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,Ro,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.07525107234523791,0.21629755256254551,-1.1540493792483546,-0.19588793367155033,0.11534236928471137,0.5599506773840321,1.0784992374609186,-339.7443545823874,0,150,NA,200,100,100,7,693.4887091647748,716.5769307306111,41,0,0.5956175074784837,0.4540868783053844,0.1242399625243855,0.2981089783958846,0.12356418077434544,0.16633033795359464,0.14735102941300193,0.14040551093878784,0.08579942185956775,0.22230697367310462,0.09627609698884394,0.13328070686482138,0.12231569633356151,0.34002110428010085,12.42399625243855,29.810897839588463,12.356418077434544,16.633033795359463,14.735102941300193,14.040551093878783,8.579942185956774,22.230697367310462,9.627609698884394,13.328070686482137,12.231569633356152,34.002110428010084,200000,200000,0.508965,0.505855,0.50166,0.5015,0.504045,0.613865,0.508418406828071,0.5058317961637239,0.5019485035625368,0.5027772694324759,0.503219883686694,0.6150670133152168,-1.6498541395037616,-0.6252186723809161,-0.039948748545783515,0.33212306888675186,0.8010855877179531,1.5883594651503696,-1.6364519859080457,-0.6197565727381212,-0.03934329806812861,0.3333534472990975,0.8027433054603454,1.6029884279237538,7.77465305306198,7.873968132177097,3,0.04868949626915631,0.013402153595715838,0.005462099642794871,6.054504776549022e-4,0.001230378412345634,0.0016577177423923173,0.014628962773384213
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,1.3886019667795708,0.17191293446757183,-1.8756430784556617,-0.34333822175770323,0.6140102523237826,1.4140041261310379,1.812512762907974,-277.5357051681172,0,230,NA,200,100,100,7,569.0714103362344,592.1596319020707,5,0,0.8184083920714087,0.2696042761956333,0.03035215345421028,0.33531986135079095,0.36472370899936546,0.1909239306975956,0.043726843656445524,0.03495350184159218,4.5443842404946345e-4,0.034028851056092636,0.14710831844844924,0.2408428529213241,0.12756818642800968,0.44999735272207486,3.0352153454210282,33.531986135079094,36.47237089993654,19.09239306975956,4.372684365644552,3.4953501841592183,0.045443842404946345,3.4028851056092635,14.710831844844924,24.08428529213241,12.756818642800969,44.99973527220749,200000,200000,0.60489,0.638425,0.6057,0.588795,0.54839,0.713925,0.6048068881176005,0.6381123974614205,0.6066431284863208,0.5904920476182008,0.5456752751811552,0.7152953719479614,-2.263541897785571,-0.916750258778886,0.12531448100477932,0.9616219509785972,1.5921646969297063,2.2082422310985432,-2.1411399778638014,-0.7308676965616809,0.2261272879324967,1.0335342948965316,1.610301419407997,2.4744973181640373,3.172411078844836,3.48221088216196,3,0.32307664934554436,0.12240191992176941,0.18588256221720512,0.10081280692771738,0.07191234391793444,0.01813672247829068,0.26625508706549406
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,1.3636570366542962,0.5361746071299589,-0.9491861759646415,-0.35141678850345803,1.1012297061338792,1.7823271631315065,2.1971817392765827,-246.532713855007,0,126,NA,200,100,100,7,507.065427710014,530.1536492758503,7,0,0.816095086074777,0.13539834796088668,0.1712629655990299,0.1913748789846246,0.5019638074554589,0.09805040016165578,0.02334421318915214,0.014003734610078755,0.004807842629888462,0.015213572979156034,0.16388349831617852,0.12327337115601414,0.06282708804800774,0.6299946268707551,17.12629655990299,19.13748789846246,50.19638074554589,9.805040016165577,2.334421318915214,1.4003734610078755,0.48078426298884624,1.5213572979156034,16.38834983161785,12.327337115601415,6.282708804800774,62.999462687075514,200000,200000,0.63226,0.56605,0.65434,0.57637,0.546785,0.83191,0.6321346731759713,0.5658233380538864,0.6538120088497152,0.5756209335620587,0.5464371442550792,0.8314342459792645,-1.484591071570328,-0.6312138509048735,0.3137605011130319,1.3877376417469833,1.9616944774520972,2.5489688278929554,-1.2893648127129695,-0.5923966086469321,0.5321976415312142,1.4388050074267784,1.9808362697348683,2.757144625554374,18.88052157908347,12.127897267984954,3,0.006957636432209147,0.19522625885735856,0.038817242257941365,0.2184371404181823,0.051067365679795085,0.01914179228277102,0.20817579766141847
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,0.6712627572723024,0.253098801965324,-1.9311003531491462,-0.29221791292414445,0.7040933891459038,1.0714127615765336,2.1026238467477283,-293.6414993598484,0,230,NA,200,100,100,7,601.2829987196968,624.3712202855331,14,0,0.6167685993372174,0.24068730840183516,0.02673532167924281,0.35832468658673317,0.37425268333218886,0.0986953697703915,0.12424260678655619,0.017749331844887473,0.003457546363600191,0.1217628146433936,0.25801103965578875,0.1063451425212419,0.20043813730501261,0.309985319510963,2.673532167924281,35.832468658673314,37.42526833321889,9.86953697703915,12.42426067865562,1.7749331844887473,0.3457546363600191,12.17628146433936,25.801103965578875,10.63451425212419,20.043813730501263,30.998531951096297,200000,200000,0.555145,0.57432,0.555525,0.52125,0.55233,0.673605,0.5549790943322647,0.5756380155153629,0.5545864295371746,0.5204630416412258,0.5537268188471131,0.6736463973036296,-2.3123327381584025,-0.8942914920532755,0.1894703757440885,0.8778337501576847,1.4566500248608465,2.464417207712627,-2.2449573820306217,-0.7843735267006733,0.24304623822044458,0.8853301220320398,1.5097743192875608,2.5517646978359325,7.354671862682383,8.366706116000678,3,0.03901083954181561,0.06737535612778078,0.10991796535260223,0.05357586247635607,0.0074963718743550345,0.05312429442671429,0.08734749012330534
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.12466061224686653,0.22434040163859814,-1.398856565132322,-0.5086499764729995,0.21247421914097653,0.6753954549116645,1.2832564887630444,-337.2792965580164,0,134,NA,200,100,100,7,688.5585931160329,711.6468146818692,1,0,0.5850317419013005,0.41586854437733956,0.08092799990654662,0.22457079596147858,0.27863265975463525,0.16615626818584106,0.1500111605853428,0.09970111560615569,0.0494984715837086,0.15470587832191507,0.21076390819307592,0.1350459688373383,0.12999841773016388,0.31998735533379824,8.092799990654662,22.457079596147857,27.863265975463523,16.615626818584104,15.001116058534281,9.97011156061557,4.94984715837086,15.470587832191507,21.07639081930759,13.50459688373383,12.999841773016389,31.998735533379826,200000,200000,0.514295,0.511465,0.507035,0.503525,0.50629,0.62267,0.5128397695700535,0.5088964028854585,0.507420423049132,0.5047867948058309,0.5062129339982975,0.6228885461374609,-1.853094661504474,-0.8931062336574553,-0.14178219388791088,0.4360689927761879,0.9497115655284347,1.7564000203042875,-1.8340396895269908,-0.8853921523879238,-0.13647916565680007,0.4382758922017569,0.9534459992913019,1.7782348989403771,10.073996970983497,10.294613385360483,3,0.016220882554854432,0.019054971977483293,0.0077140812695315475,0.005303028231110812,0.002206899425569009,0.0037344337628671953,0.021834878636089572
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.18970519349951107,0.28781798355224564,-1.2474212484832856,-0.46943109225944013,0.5583090345355807,1.033587988719508,1.6412840540473996,-319.1787311118077,0,130,NA,200,100,100,7,652.3574622236154,675.4456837894517,10,0,0.5415054193523746,0.2883166883593212,0.10612153969648937,0.213259224500428,0.3923025474437614,0.13765227988408613,0.1002951761717259,0.050369232303509204,0.053656529921974165,0.12788160615670935,0.2769564445689419,0.11170152212120879,0.08977629867199004,0.34002759855917575,10.612153969648936,21.3259224500428,39.23025474437614,13.765227988408613,10.02951761717259,5.03692323035092,5.3656529921974165,12.788160615670934,27.695644456894193,11.170152212120879,8.977629867199004,34.002759855917574,200000,200000,0.521465,0.512825,0.51513,0.507135,0.50898,0.657795,0.52025346613425,0.5119633986649146,0.5159552290621392,0.507457645052487,0.5093736268658918,0.6574728091308208,-1.7266823006902434,-0.8162958181202229,0.04066349783769057,0.781112808945191,1.2972122469455458,2.059636589235187,-1.6956676691491543,-0.8071628115220245,0.056776700554435844,0.7846376027770587,1.302821341270996,2.0873009981709703,1.0336030506462262,1.05906145953054,3,0.7869648474971586,0.031014631541089077,0.009133006598198379,0.016113202716745274,0.0035247938318677674,0.0056090943254500925,0.027664408935783147
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.38793153640437805,3.444284130557656e-9,-1.6493768470535808,-0.7224129632351592,0.09170355475740899,0.5614409418744495,0.8359781626564071,-324.8868105153767,0,156,NA,200,100,100,7,663.7736210307534,686.8618425965897,26,0,0.6164720108127185,0.4634667865037535,0.04953522749177554,0.18548508213545695,0.30151290386901397,0.17621829642300024,0.08566489597721028,0.20158359410354298,0.020809574053797592,0.11261572766165788,0.25010268747182596,0.18534649109699333,0.10406574404194364,0.3270597756737816,4.953522749177554,18.548508213545695,30.151290386901398,17.621829642300025,8.566489597721027,20.158359410354297,2.0809574053797593,11.261572766165788,25.010268747182597,18.534649109699334,10.406574404194364,32.705977567378156,200000,200000,0.533985,0.52958,0.524785,0.514805,0.50751,0.55252,0.5357114411523208,0.52807903026022,0.5258658275193459,0.5151235762310279,0.5088575162263743,0.5516792761088364,-2.0666122471635813,-1.1049184099535505,-0.2983366556880389,0.32061366898857446,0.6943347194245187,1.3954024204686801,-2.018369781686472,-1.079906676951195,-0.27755970809823705,0.3276922167605297,0.6967627242952139,1.4912262626597947,1.5234858056596223,1.4978353447943134,3,0.68277002168727,0.04824246547710942,0.025011733002355596,0.020776947589801864,0.0070785477719552126,0.0024280048706951662,0.09582384219111462
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,0.4063971092620874,0.4640607114268566,-1.0331974827697856,-0.045507944584141646,0.8234947129050977,1.159660468569935,1.6635988675972135,-295.43850448208855,0,136,NA,200,100,100,7,604.8770089641771,627.9652305300134,11,0,0.6453708532701664,0.2051133612794891,0.15075574533243086,0.3310954759667314,0.31303541742134866,0.08201982573164068,0.07499722636846462,0.04809630917938379,0.04019065817169996,0.13434798879020993,0.18009049976792366,0.060377672970125244,0.06501240626836913,0.5199807740316721,15.075574533243085,33.10954759667314,31.303541742134865,8.201982573164068,7.499722636846462,4.809630917938379,4.019065817169996,13.434798879020992,18.009049976792365,6.0377672970125245,6.501240626836912,51.99807740316721,200000,200000,0.54407,0.53303,0.530945,0.510025,0.51656,0.755505,0.5447781152345824,0.5323263435477772,0.5290065672868591,0.5113352233798786,0.5167851535513674,0.7544467941700491,-1.5517871706394266,-0.4971030270641299,0.3651676933277872,0.9822918127343604,1.3822507578700185,2.078882953174845,-1.4810618799375121,-0.4659376642655455,0.3900612865278115,0.9860910233340467,1.3906239183343934,2.1411778059662523,4.064668068976717,3.985202770629847,3,0.2630664029156651,0.07072529070191447,0.031165362798584395,0.024893593200024322,0.0037992105996863534,0.0083731604643748625,0.06229485279140734
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.25620145600725003,0.20259218062618578,-1.5372389314323422,-0.4316120407420647,0.4100484457378656,1.0071366758496532,2.075697341396279,-322.5350924253515,0,130,NA,200,100,100,7,659.070184850703,682.1584064165393,4,0,0.5525467157435207,0.34088520494052676,0.06211740496726625,0.2708942979051284,0.32610309218707856,0.18395065564362867,0.13797357329951543,0.018960975997382667,0.02906652555691184,0.16692444929652991,0.2514623094030375,0.16946460720046658,0.15304482134713687,0.23003728719591726,6.211740496726625,27.089429790512842,32.610309218707854,18.395065564362866,13.797357329951543,1.8960975997382667,2.906652555691184,16.692444929652993,25.14623094030375,16.94646072004666,15.304482134713687,23.003728719591727,200000,200000,0.52635,0.519505,0.517365,0.512835,0.521545,0.619385,0.5248330025252363,0.5220972507746892,0.517743072811802,0.5126205219928877,0.5209159906029408,0.6195669861969411,-1.9704043130182447,-0.8898847136608066,-0.01016022074189843,0.6878501693015625,1.4058558998518105,2.440429496768153,-1.9353863541459377,-0.8665003318873175,0.00459758098354901,0.6953270441276396,1.4270212086466052,2.470547641965135,6.863123248113335,7.023495483990564,3,0.0711526500253179,0.035017958872306965,0.023384381773489116,0.01475780172544744,0.007476874826077062,0.021165308794794724,0.030118145196982304
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,2.6513933178964413,0.513651644450226,-0.17146041746502227,0.7740979465053627,1.587924399309856,1.85462350072379,2.5315067922118395,-201.70961247051488,0,128,NA,200,100,100,7,417.41922494102977,440.507446506866,16,0,0.9300705590004591,0.056151717711744764,0.4319308758931422,0.34863268823106525,0.16328471816404777,0.024326712814501716,0.026146324009518884,0.0056786808877241635,0.0011574672889978896,0.013549128778931665,0.055222844931611365,0.033561775179010774,0.11647758867957982,0.7800311951418685,43.193087589314224,34.86326882310652,16.32847181640478,2.4326712814501716,2.6146324009518884,0.5678680887724163,0.11574672889978896,1.3549128778931665,5.522284493161137,3.3561775179010773,11.647758867957982,78.00311951418685,200000,200000,0.756925,0.69274,0.671805,0.558925,0.642725,0.892035,0.7576553874653118,0.6910044760655866,0.6712916170019215,0.5585922431202889,0.6431204314886692,0.8918976255705222,-0.9101479069800051,0.2795581686667014,1.1181777720685924,1.7111309116467048,2.1134041271305617,2.8514694519608152,-0.46757026835288285,0.4593531142986631,1.2586283906311933,1.7267684412574034,2.210271940592043,3.374555366245493,5.206461001444261,5.378427553505346,3,0.14609353823566584,0.4425776386271223,0.1797949456319617,0.14045061856260088,0.01563752961069853,0.09686781346148132,0.5230859142846778
