ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,Ro,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.56,0.14,0.42000000000000004,3,39,44,7,4,3,0,20,24,21,21,14,Inf,0.8416212335729144,0.1509692154967774,-0.3853204664075676,-1.080319340814956,1.8807936081512504,0.20189347914185077,-1.080319340814956,-1.4757910281791702,-1.8807936081512509,FALSE,NA,NA,1,0.9110636314258825,4.989043963427841e-7,-1.9052969326204148,-0.10273871256452027,0.8759891203818223,1.3602504976537997,1.980868607667063,-289.91122381303717,0,158,NA,200,100,100,7,593.8224476260743,616.9106691919106,40,0,0.5139900794010747,0.19051797416717808,0.02837074199144622,0.43071443201543613,0.35039685182593955,0.10364264040785376,0.06307232857842571,0.023803005180898618,0.0024285548678470415,0.15290990593943993,0.3306714597916383,0.18734131291744044,0.18429478762993734,0.14235397885369697,2.837074199144622,43.071443201543616,35.039685182593956,10.364264040785375,6.307232857842571,2.3803005180898618,0.24285548678470414,15.290990593943993,33.06714597916383,18.734131291744045,18.429478762993735,14.235397885369697,200000,200000,0.57222,0.60969,0.570795,0.535005,0.54522,0.591335,0.5727226248856707,0.6086299138528519,0.5726465915137378,0.5364411849455084,0.5458552574553653,0.591583842595568,-2.2896068978089894,-0.7705442143809549,0.35680358007219265,1.0965430589453484,1.6185277407246934,2.3562813673900993,-2.2019038883242814,-0.6000944573112085,0.4270009615936134,1.1141056341596591,1.6465799289549121,2.4923863230467354,9.355843369404791,10.046678650363855,3,0.018173488822950112,0.087703009484708,0.1704497570697464,0.07019738152142074,0.017562575214310705,0.02805218823021871,0.13610495565663605
2,100,100,0.74,0.12,0.62,4,28,56,10,1,1,1,4,21,26,20,28,2.3263478740408408,1.6448536269514715,0.6433454053929168,-0.050153583464733656,-0.5828415072712162,1.7506860712521695,0.46769879911450835,-1.17498679206609,-2.0537489106318225,-2.3263478740408408,TRUE,0.679689550608206,1.2498942119796594,2,1.4411156859312282,0.16730440674119304,-1.5985189307637104,-0.41089789884354655,1.032221156849287,1.830565581053789,2.542564637320496,-270.24041460291727,0,152,NA,200,100,100,7,554.4808292058345,577.5690507716708,23,0,0.7157938894185599,0.15098426303160606,0.05496376787888844,0.2856099337197512,0.5084420353697543,0.11740155811526387,0.028080592629671997,0.005502112286670191,9.86183543215802e-4,0.025670014578045432,0.2575499124601788,0.2583186468058485,0.17746494168922602,0.28001030092348544,5.496376787888844,28.56099337197512,50.84420353697543,11.740155811526387,2.8080592629671997,0.5502112286670191,0.0986183543215802,2.567001457804543,25.754991246017877,25.83186468058485,17.746494168922602,28.001030092348543,200000,200000,0.61658,0.623785,0.660595,0.593475,0.580475,0.694115,0.6158208987555498,0.6217835147442062,0.6604459307071295,0.5929215731585258,0.5812847305625248,0.6937505022668579,-2.0228575843451644,-0.8944459143403777,0.26054039589062233,1.3584821189680105,2.0991108837510843,2.8615607926493833,-1.878845523001115,-0.760315425483447,0.486850608348787,1.4318988616699218,2.1557422844661787,3.048089822222795,12.934835094154987,7.8117142540172155,3,0.0500675769294352,0.14401206134404942,0.13413048885693069,0.22631021245816468,0.07341674270191123,0.056631400715094316,0.18652902957341144
3,100,100,0.47,0.22,0.24999999999999997,2,41,35,3,16,3,0,30,23,2,28,17,Inf,0.5244005127080407,-0.0752698620998299,-0.125661346855074,-0.9541652531461942,2.053748910631822,0.17637416478086118,-0.7721932141886849,-0.8778962950512285,-1.8807936081512509,FALSE,NA,NA,3,0.40546989915755005,0.10916545589701053,-2.1636927805495674,-0.10698570242024275,0.7015786484337879,0.7810081392891971,1.8937040209097122,-277.1724083293545,0,134,NA,200,100,100,7,568.344816658709,591.4330382245453,40,0,0.45086599437481834,0.24147098550668145,0.015243967726165647,0.44215619350636304,0.30112885326078986,0.024072131709824918,0.1882667001346845,0.029132153662172033,0.004540788008088712,0.266420874666317,0.278172342950776,0.02667462404023904,0.25414220098031626,0.17004916935426306,1.5243967726165648,44.2156193506363,30.112885326078988,2.4072131709824918,18.82667001346845,2.9132153662172033,0.45407880080887114,26.642087466631697,27.817234295077597,2.6674624040239037,25.414220098031628,17.004916935426305,200000,200000,0.533885,0.554785,0.52741,0.501595,0.533615,0.589825,0.5323837440899176,0.5546599908576372,0.5269944593189957,0.5026833866384857,0.535075443513474,0.5893151195508435,-2.5189689113146354,-0.8102715528588661,0.28146418891729086,0.7409037606012053,1.2092919916138307,2.2794103368852903,-2.4803849830238383,-0.7151500803160322,0.3030617799059322,0.7411168726479094,1.2466110606892484,2.3341465055695645,3.4359060917251227,4.352663157847484,3,0.2258149524598685,0.038583928290797154,0.09512147254283387,0.021597590988641335,2.1311204670404482e-4,0.03731906907541771,0.05473616868427422
4,100,100,0.88,0.19,0.69,0,52,29,16,3,0,0,6,6,10,41,37,Inf,1.5547735945968528,1.17498679206609,0.7721932141886849,-0.3318533464368165,Inf,-0.050153583464733656,-0.8778962950512285,-1.8807936081512509,-Inf,NA,NA,NA,4,1.7986602569023902,0.3700230382401302,-7.138512745754966,0.12082170591032426,0.8456889144155987,1.528122693840754,8.238018799355007,-243.68883653979822,0,154,NA,200,100,100,7,501.37767307959643,524.4658946454327,15,0,0.892713477364387,0.19886315447268244,4.717306185462426e-13,0.5480838713889944,0.25305297413785144,0.1356221155052052,0.06324103896747713,1.1102230246251565e-16,1.2576010666217888e-19,0.029413190036958962,0.07787333259865417,0.1405296324035453,0.38216080668291924,0.37002303827792243,4.7173061854624255e-11,54.80838713889944,25.305297413785144,13.56221155052052,6.324103896747713,1.1102230246251565e-14,1.2576010666217888e-17,2.941319003695896,7.7873332598654175,14.05296324035453,38.21608066829192,37.00230382779225,200000,200000,0.55455,0.72017,0.60497,0.59913,0.730095,0.72154,0.5539326821795185,0.7204927206547814,0.6059253263433595,0.6001383977496949,0.7302503655043584,0.8097854033534853,-7.273573066890262,-0.722592007012168,0.4625047731897417,1.1420279992616142,1.9626268801589344,8.356068146121473,-7.24776403920763,-0.2925237181749638,0.5390364414164919,1.210215579881404,2.432669306651321,8.38659466285995,7.831417913189526,7.6313805265055485,3,0.05427710123622487,0.025809027682631935,0.43006828883720416,0.07653166822675017,0.0681875806197898,0.4700424264923866,0.030526516738477838
5,100,100,0.7,0.07,0.6299999999999999,43,27,23,4,0,3,12,9,9,8,5,57,1.17498679206609,0.8064212470182404,0.5244005127080407,0.3054807880993974,0.17637416478086118,0.17637416478086118,-0.5244005127080407,-1.4757910281791702,-1.8807936081512509,-1.8807936081512509,TRUE,0.434295375223479,1.0826757775815545,5,0.7415378754113437,0.5147609246518791,-0.11781042587920815,0.5257298555804557,1.2469062609017305,1.6850226865501272,1.9484007430631058,-269.9119623172455,0,132,NA,200,100,100,7,553.823924634491,576.9121462003274,5,0,0.6635595160850052,0.1062159353986647,0.45310893421188914,0.24735310728533977,0.1933220231041064,0.060223838116917006,0.020308581788888058,0.025683515492859632,0.09465762037541953,0.10650731148024792,0.13527555205932743,0.06498980134981389,0.028616494276839724,0.5699532204583515,45.310893421188915,24.735310728533978,19.33220231041064,6.0223838116917,2.030858178888806,2.568351549285963,9.465762037541953,10.650731148024791,13.527555205932742,6.498980134981388,2.8616494276839726,56.99532204583515,200000,200000,0.603335,0.53893,0.54469,0.52805,0.51745,0.7934,0.6032313412126834,0.5394047109428711,0.5438822544409689,0.5267612124905494,0.5161737252441356,0.7930628114827042,-0.8743666599615556,0.1970192879663208,0.84881224852449,1.4428220879722093,1.806273766022767,2.3275929208502752,-0.6721432620995194,0.22222229663352444,0.8801522903463956,1.4544699332395947,1.8105190887175153,2.434738857464941,6.166970298652828,10.120146210216339,3,0.017571977797302574,0.20222339786203625,0.025203008667203652,0.03134004182190564,0.011647845267385382,0.00424532269474831,0.10714593661466587
6,100,100,0.65,0.23,0.42000000000000004,21,32,24,9,3,11,9,17,9,7,5,53,1.3407550336902165,0.6433454053929168,0.3853204664075676,0.20189347914185077,0.0752698620998299,0.8064212470182404,-0.0752698620998299,-0.7388468491852137,-1.080319340814956,-1.2265281200366105,TRUE,0.5934486557464755,0.8040293268622787,6,0.25299146875052436,0.43780336113074314,-0.785223606328473,0.10307712373707467,0.667931894744999,1.0126547232111185,1.2313035430921393,-302.2036976219834,0,126,NA,200,100,100,7,618.4073952439668,641.4956168098031,2,0,0.6284401696417039,0.25208853347829674,0.216161238556379,0.3248878809880419,0.20686234697728234,0.09647597776637895,0.046507877092337946,0.10910467861957984,0.0840961661829554,0.16350428323668903,0.12395938093865165,0.06485770741305232,0.03360134021627268,0.5299811220123789,21.616123855637902,32.488788098804186,20.686234697728235,9.647597776637895,4.650787709233795,10.910467861957985,8.40961661829554,16.350428323668904,12.395938093865166,6.485770741305232,3.360134021627268,52.99811220123789,200000,200000,0.5305,0.5186,0.51349,0.50749,0.503995,0.735605,0.5309100033543135,0.51837435395159,0.5118350584107388,0.5072383311572463,0.5045986645246959,0.7352438226491231,-1.3559524001952672,-0.31926149342550547,0.37537100168549437,0.8320164343777633,1.1175208088887105,1.7133572716299157,-1.3028350008233665,-0.30319433523469097,0.38201884596660163,0.8345042947235587,1.1185247221302173,1.7607844699232504,3.0245761795424926,3.0757595242781544,3,0.3800914021218085,0.05311739937190074,0.0160671581908145,0.0066478442811072624,0.0024878603457954007,0.0010039132415067265,0.04742719829333475
7,100,100,0.73,0.12,0.61,18,37,33,9,3,0,2,7,18,16,10,47,2.053748910631822,1.3407550336902165,0.612812991016627,0.17637416478086118,-0.0752698620998299,0.9153650878428139,-0.125661346855074,-1.17498679206609,-1.8807936081512509,-Inf,FALSE,NA,NA,7,1.0661876893881246,0.469975271624334,-0.8884929256479837,0.11641826037513359,1.1350652572026272,1.9330197988242777,4.8209466883745264,-281.9367479179474,0,134,NA,200,100,100,7,577.8734958358948,600.9617174017311,1,0,0.7204350315734074,0.1281739885775347,0.18713782976610846,0.3592016381804214,0.3254865434759354,0.10155710915186444,0.026616165032967376,7.143927028829822e-7,0.013415132458562835,0.07727989595716761,0.18886994001086227,0.14815597534082145,0.10225780275111121,0.4700212534814747,18.713782976610847,35.92016381804214,32.54865434759354,10.155710915186445,2.6616165032967376,7.143927028829822e-5,1.3415132458562835,7.727989595716761,18.886994001086226,14.815597534082144,10.225780275111122,47.00212534814747,200000,200000,0.610565,0.58747,0.58805,0.570265,0.61158,0.764295,0.6102761598705042,0.5847999330721095,0.5880848133111944,0.5683697619002552,0.6108263625029406,0.7644188167743768,-1.4365745619493875,-0.35470467294929364,0.5738103452002298,1.4562080259493282,2.3139524583104496,5.013483598140543,-1.2669490876421619,-0.27164717158936114,0.6624113121483775,1.509794638037971,2.4845801946186423,5.058561242935135,0.7736096206895267,0.7350750670166823,3,0.864924549707046,0.16962547430722563,0.0830575013599325,0.08860096694814767,0.05358661208864279,0.17062773630819272,0.045077644794591976
8,100,100,0.59,0.25,0.33999999999999997,31,19,25,6,11,8,18,10,13,9,7,43,0.9153650878428139,0.5828415072712162,0.2275449766411493,0,-0.17637416478086135,0.49585034734745304,0,-0.6744897501960817,-0.8778962950512285,-1.4050715603096322,TRUE,0.5868922178040431,0.5988151100214828,8,0.14459982976413338,0.3641379413935968,-0.47128633781480805,-0.003080056761598726,0.6088492663190902,0.9037188746298649,1.4056790405045088,-322.3387812630915,0,128,NA,200,100,100,7,658.677562526183,681.7657840920193,13,0,0.5683987864268404,0.2713121773883622,0.3187181353427224,0.18005310173186756,0.2299165855370478,0.08823993331267455,0.10316251732624593,0.07990972674944175,0.17103724504568527,0.10956722077659253,0.15099674775088184,0.06189726032337902,0.07646274242823113,0.4300387836752302,31.871813534272242,18.005310173186757,22.99165855370478,8.823993331267454,10.316251732624593,7.9909726749441745,17.103724504568525,10.956722077659254,15.099674775088184,6.189726032337902,7.646274242823113,43.003878367523015,200000,200000,0.52158,0.504985,0.50668,0.504085,0.50498,0.69255,0.5199354298122157,0.5056171846275378,0.5073225238493237,0.503543198668427,0.50596536798269,0.6919131721167843,-1.1201406029195047,-0.23288276283857798,0.2935558138309441,0.750824647379732,1.1307882497714226,1.8588395244383489,-1.082316401045832,-0.23026321429686092,0.29800748108616854,0.751867219400558,1.1337556806255507,1.8825937124821173,2.9563623147774694,2.9248044265539632,3,0.4033647487264326,0.03782420187367275,0.0026195485417170594,0.004451667255224445,0.001042572020826027,0.0029674308541280947,0.023754188043768387
9,100,100,0.74,0.07,0.6699999999999999,19,56,18,5,2,0,0,13,13,12,24,38,Inf,1.1263911290388005,0.6433454053929168,0.3054807880993974,-0.3054807880993974,0.8778962950512288,-0.6744897501960817,-1.4757910281791702,-2.0537489106318225,-Inf,NA,NA,NA,9,1.6131275096735034,0.3800111489650508,-0.8906402181065489,0.7158335660382229,1.4204346569077324,1.9288705618071869,16.341434716580203,-268.12481768122234,0,124,NA,200,100,100,7,550.2496353624447,573.337856928281,33,0,0.737372871119957,0.07774058959554986,0.18656110791505295,0.5763918302975215,0.15930647219187566,0.05086712298102414,0.02687346661452572,0,0.0038091703810206883,0.11075301658050761,0.14806494191851463,0.12418467596365758,0.23317704619124865,0.3800111489650508,18.656110791505295,57.63918302975215,15.930647219187566,5.086712298102414,2.687346661452572,0,0.38091703810206884,11.07530165805076,14.806494191851463,12.418467596365758,23.317704619124864,38.00111489650508,200000,200000,0.653265,0.685945,0.59126,0.56804,0.680325,0.706695,0.652780376316945,0.6874199203987863,0.5928535643371133,0.5672552528441689,0.680093769649076,NA,-1.43826554492665,-0.07017631675604337,1.0250629932280046,1.6393048769804661,2.3103672511011997,16.40217889535073,-1.2130500908121329,0.21717314810683952,1.0902579489092243,1.6733386264655805,2.622287311293884,16.408719143353913,1.0879911390250712,1.8482408475309375,3,0.6044938695374096,0.22521545411451704,0.2873494648628829,0.06519495568121969,0.034033749485114395,0.31192006019268437,0.006540248003183535
10,100,100,0.68,0.32,0.36000000000000004,18,36,14,11,14,7,3,16,13,8,27,33,1.8807936081512504,0.8778962950512288,0.46769879911450835,0.2533471031357998,-0.4399131656732338,0.9153650878428139,-0.10043372051146975,-0.4676987991145081,-0.8064212470182404,-1.4757910281791702,TRUE,0.9649882755804842,0.9814110741003935,10,0.950571883066161,0.04566057022910088,-0.91338872177602215,0.10276017604037113,0.4935669450704781,0.7702306002862302,1.4809385142314428,-324.63737688757885,0,288,NA,200,100,100,7,663.2747537751577,686.362975340994,11,0,0.6909526854828946,0.31080602504629207,0.18051906753280747,0.36040427606733305,0.14827063135356744,0.09022446746662227,0.151270078227014,0.0693114793526558,0.029740669832572605,0.1594775651257165,0.1198290795588163,0.09983208864027603,0.261134750541157,0.32998584630146155,18.051906753280747,36.0404276067333,14.827063135356743,9.022446746662228,15.1270078227014,6.93114793526558,2.9740669832572606,15.947756512571651,11.98290795588163,9.983208864027603,26.113475054115696,32.998584630146155,200000,200000,0.600645,0.57632,0.531555,0.52079,0.5553,0.630905,0.5994464134770471,0.5766646994020203,0.5308385669913095,0.5218738350812939,0.55524152795612,0.6294803997628087,-1.4562153699380485,-0.3717126937940996,0.2943888161273767,0.6278804765354904,1.079473597995813,1.9224814329892363,-1.3027169204472995,-0.29581595878326017,0.30641603473745194,0.6339260069086141,1.1183429870260653,2.113937931015406,1.0752177197630695,1.0760254053965148,3,0.7828645692440797,0.15349844949074898,0.07589673501083943,0.012027218610075219,0.00604553037312372,0.03886938903025228,0.1914564980261697
