ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,edpri,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.41991904170134176,-1.0660500172387801,-0.14351469082076251,0.14190395536125971,0.5289249113122716,0.9266972376841341,-341.4782420039256,0,109,NA,200,100,100,6,694.9564840078511,714.7463882071394,3,0,0.6094996110565564,0.4435779350052472,0.41991904170134176,0.14320051618582735,0.2997413386892328,0.11348021011969261,0.14514916493516028,0.12138689399548508,0.17704187607460187,0.06864365264945876,0.21792613367013663,0.10393060262384823,0.15290069365461667,0.1504436889801254,0.3061552284218143,14.320051618582735,29.974133868923282,11.348021011969262,14.514916493516028,12.138689399548507,17.704187607460188,6.864365264945876,21.792613367013665,10.393060262384823,15.290069365461667,15.04436889801254,30.61552284218143,200000,0.54632,0.5306,0.50936,0.512045,0.514,0.554025,0.5457026568260015,0.5312361153039958,0.5099717808313292,0.5135053079225782,0.5138600689673407,0.5545731260835234,-1.578286187658974,-0.5632975615813344,-7.999152018569575e-4,0.3312497810205273,0.7182784087267329,1.466746331962824,-1.5068336744090747,-0.535126003840702,0.002042354048003847,0.33646395290568276,0.7237738153201472,1.5659589252246269,11.251043931692847,11.341742975253418,4,0.022980230447869232,0.07145251324989932,0.028171557740632402,0.0028422692498608045,0.005214171885155439,0.005495406593414298,0.09921259326180287
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,1.5536712370853525,-1.866277837620815,-0.327792567244628,0.6189456955119897,1.3672637385434847,1.7039031763902648,-277.77377536480736,0,127,NA,200,100,100,6,567.5475507296147,587.337454928903,36,0,0.8250351197737361,0.26797606698778187,1.5536712370853525,0.03100125191582747,0.3405330018817514,0.36048967921463926,0.18220474036084766,0.04157173787362378,0.044199588753310426,3.1316429785581624e-4,0.029641262977983425,0.14501045295042467,0.2510977260258369,0.1336465797875519,0.4402908139603473,3.100125191582747,34.05330018817514,36.04896792146393,18.220474036084767,4.157173787362378,4.419958875331043,0.03131642978558162,2.9641262977983427,14.501045295042466,25.10977260258369,13.36465797875519,44.029081396034734,200000,0.616605,0.653035,0.6179,0.593155,0.54538,0.68464,0.6150359853840911,0.6522358175350292,0.6174279532391569,0.5948586596151273,0.5433118828517117,0.6841078790744414,-2.255321814109036,-0.9049262896966688,0.13502755587739287,0.9480199325181847,1.5211998480048927,2.113738633284497,-2.1223030948771013,-0.7001139470691202,0.24489506333131117,1.0187061356915428,1.5357536311063462,2.4495918053545225,3.8620300838674706,3.958351275542191,4,0.4116717349091287,0.13301871923193476,0.20481234262754855,0.1098675074539183,0.07068620317335805,0.014553783101453499,0.3358531720700255
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,2.0238809381533094,-0.9008796691937941,-0.31813982055776835,1.0743036756327844,1.5603783112520992,1.7642283607623612,-249.3515304997453,0,119,NA,200,100,100,6,510.7030609994906,530.4929651987788,49,0,0.8288364518406515,0.14134329909129828,2.0238809381533094,0.18382615101091013,0.1913632885408664,0.4834672613569252,0.08200804554200336,0.020488483708765104,0.038846769840529816,0.0017236065024702223,0.007866217557000545,0.1615737240998778,0.15033851801843853,0.07606382179221294,0.60243411203,18.382615101091012,19.13632885408664,48.34672613569252,8.200804554200335,2.0488483708765104,3.8846769840529816,0.1723606502470222,0.7866217557000544,16.15737240998778,15.033851801843854,7.606382179221294,60.243411202999994,200000,0.68008,0.594995,0.71094,0.58116,0.533485,0.747395,0.6794245421510027,0.5939772392283292,0.7101035815264201,0.5809524145907784,0.5342883349027764,0.7472009873869501,-1.446337034409694,-0.5924907993165484,0.32108006680814705,1.2917791394085403,1.6565658525346494,2.1661273943730883,-1.1893775938800828,-0.5385122461178362,0.6098741109964323,1.331116179802464,1.6635535979463314,2.6641471158417955,52.07922889985116,17.765530557461606,4,0.0013713317656242063,0.25695944052961117,0.05397855319871214,0.28879404418828525,0.03933704039392372,0.0069877454116820115,0.4980197214687072
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,1.0285952216277177,-1.8807677141271302,-0.23432305557609023,0.6979168013185323,1.0079234277493754,1.6328472112334937,-296.6057966842705,0,121,NA,200,100,100,6,605.211593368541,625.0014975678292,18,0,0.629556297884007,0.2426146132477346,1.0285952216277177,0.030001761922834647,0.3773653322497751,0.35001829257965567,0.08586900140220266,0.10549504441281488,0.051250567432717054,0.0018108307655343354,0.1014984446064793,0.26713442674397936,0.12131003260159706,0.23540820500319964,0.2728380602792103,3.000176192283465,37.73653322497751,35.00182925796557,8.586900140220266,10.549504441281488,5.125056743271705,0.18108307655343353,10.14984446064793,26.713442674397935,12.131003260159707,23.540820500319963,27.28380602792103,200000,0.58109,0.61225,0.579595,0.528365,0.552195,0.61594,0.5813277628973049,0.612793724535835,0.5780054019577308,0.5264980249717279,0.5526090628067954,0.6166156751316232,-2.2680423030437353,-0.8482325819314401,0.215502758092015,0.8461190847049703,1.2784336841790103,2.0523696416577075,-2.1703933015943546,-0.6848848188929688,0.2873667916185215,0.8543224687096145,1.3110173640479084,2.246799752725834,13.449298037071374,14.295300764844859,4,0.006409841128062199,0.09764900144938071,0.16334776303847132,0.07186403352650653,0.008203384004644154,0.0325836798688981,0.19443011106812635
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.48327364020179936,-1.2995424169033125,-0.4399581190723234,0.22904592931797185,0.6306263676992723,1.0720119816190696,-339.8173518622671,0,119,NA,200,100,100,6,691.6347037245342,711.4246079238225,42,0,0.6003401782362263,0.4094166092078291,0.48327364020179936,0.09687892328152856,0.23310479706362267,0.2605996704470197,0.1452741821851894,0.12228510174802265,0.14185732527461703,0.03730812552702422,0.1406350951978169,0.22171660103893262,0.1589133701737348,0.16340840136404133,0.2780184066984501,9.687892328152856,23.310479706362266,26.05996704470197,14.527418218518939,12.228510174802265,14.185732527461703,3.730812552702422,14.06350951978169,22.171660103893263,15.89133701737348,16.340840136404132,27.801840669845014,200000,0.54886,0.5327,0.52656,0.51545,0.519525,0.561115,0.548534817989018,0.5331929580810716,0.5266725267474713,0.516121239709443,0.5176694470292139,0.5604946921390405,-1.7699468428888387,-0.8179626221078871,-0.10158155449359832,0.4240934368569723,0.8376192855447412,1.5831081536186495,-1.6990474999839507,-0.7901703889290019,-0.08387815022112616,0.43055043142229915,0.8453852081533086,1.6898935719279162,15.264133680252263,15.370723993861862,4,0.003990962227419015,0.07089934290488809,0.02779223317888513,0.017703404272472162,0.006456994565326835,0.007765922608567455,0.10678541830926669
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.6855395985684603,-1.1287680127387536,-0.3700901369587194,0.5544205485691768,0.9126564909548649,1.2483229723804579,-324.04827025620745,0,119,NA,200,100,100,6,660.0965405124149,679.8864447117031,49,0,0.5521594342288862,0.2896455331831421,0.6855395985684603,0.1294978548480174,0.22615981053895706,0.3546968014298834,0.10893391637111438,0.07475521444973698,0.10595640236229076,0.034815190207022645,0.11075351487453647,0.30227186068955464,0.14199300971846418,0.12337522293904435,0.2867912015713777,12.94978548480174,22.615981053895705,35.46968014298834,10.893391637111439,7.475521444973698,10.595640236229077,3.4815190207022644,11.075351487453647,30.227186068955465,14.199300971846418,12.337522293904435,28.67912015713777,200000,0.56838,0.54099,0.550125,0.520135,0.520775,0.584145,0.5701799450046308,0.5419186350797214,0.5518089820035565,0.5203982445362955,0.5190929807780242,0.5835500220167573,-1.629207689144892,-0.7143488141096827,0.08578641808422754,0.7257361645653937,1.0704046410397545,1.7274285458496357,-1.5242711987907651,-0.6831633286935643,0.13304362570229322,0.7330273943392069,1.0767963965770038,1.8728608880426043,10.18782369198316,10.79813974833005,4,0.028928811969717194,0.10493649035412678,0.03118548541611832,0.04725720761806568,0.007291229773813246,0.006391755537249244,0.14543234219296863
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.3878007857550489,-1.649421768452795,-0.7225082383504455,0.09161134494767398,0.5612948549059444,0.8357822527427319,-324.8868101453083,0,111,NA,200,100,100,6,661.7736202906166,681.5635244899048,5,0,0.6164572938629169,0.4635034186967385,0.3878007857550489,0.04953062905365354,0.185460402014867,0.30150555023474096,0.17620514446766333,0.08565956806729658,0.2016387061617786,0.020813872324186213,0.11261907057193307,0.2501097632409638,0.18532574920007372,0.10404825867818057,0.32708328598466263,4.953062905365354,18.5460402014867,30.150555023474094,17.620514446766332,8.565956806729657,20.16387061617786,2.081387232418621,11.261907057193307,25.01097632409638,18.53257492000737,10.404825867818058,32.70832859846627,200000,0.5371,0.527265,0.52554,0.515095,0.509525,0.552115,0.5356996285621421,0.5280682340541687,0.5258572019124093,0.5151167633884665,0.5088529332118463,0.5516641379264642,-2.0666509813352145,-1.104992288662986,-0.29842522479439826,0.3204980485696338,0.6941663727545457,1.3952494913931643,-2.0184243240554025,-1.0799914393255283,-0.2776551418982635,0.32757260165225077,0.6965926825239857,1.491048406664628,1.5234798536730725,1.497834604657565,4,0.8270249705812447,0.04822665727981201,0.02500084933745761,0.020770082896134745,0.007074553082616952,0.002426309769439916,0.09579891527146356
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,1.1331226050946135,-0.9128730308072658,0.018955454519353543,0.7516141110667759,0.9798887274436994,1.2295224693469884,-302.1694672884203,0,115,NA,200,100,100,6,616.3389345768406,636.1288387761289,35,0,0.648587015182645,0.22614157742085683,1.1331226050946135,0.18065466153659154,0.32690701788245907,0.26629674316009255,0.06257105347284508,0.054132534610830674,0.10943798933718107,0.020378400022770127,0.11222534252018791,0.2188092422743969,0.08769393650194784,0.09929157871380007,0.46160149996689714,18.065466153659155,32.69070178824591,26.629674316009254,6.257105347284508,5.413253461083068,10.943798933718107,2.037840002277013,11.222534252018791,21.880924227439692,8.769393650194784,9.929157871380006,46.16014999668971,200000,0.6146,0.584665,0.56761,0.52166,0.52425,0.649125,0.6151084442488048,0.5836679615803749,0.5681421051886633,0.5215212338254283,0.5235179412285745,0.6475954076595014,-1.455807746890826,-0.4156293741117917,0.36837816669638523,0.8620009031192765,1.0989878929418955,1.7118863874419517,-1.2808943763660745,-0.3395232688943113,0.417984754304515,0.8669103758688899,1.104852863854612,1.9933730769284927,18.990242407496076,17.447128383293414,4,0.0015820845690712737,0.17491337052475142,0.0761061052174804,0.04960658760812975,0.004909472749613397,0.005864970912716538,0.2814866894865411
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.5972188062417225,-1.4405588363332718,-0.36303833187244394,0.42177388440329566,0.9265097479622351,1.5151473796833261,-327.36599435410795,0,117,NA,200,100,100,6,666.7319887082159,686.5218929075041,25,0,0.5696349772930536,0.3365950347353771,0.5972188062417225,0.07485467836956082,0.2834334467360975,0.30511684015896456,0.1595044679398021,0.1122230241265989,0.0648675426689761,0.02078608762436782,0.14767682047780378,0.26190211460477486,0.1986670822151898,0.19163976442008746,0.1793281306577763,7.485467836956082,28.34334467360975,30.511684015896456,15.95044679398021,11.22230241265989,6.486754266897609,2.078608762436782,14.767682047780378,26.190211460477485,19.86670822151898,19.163976442008746,17.93281306577763,200000,0.557815,0.549095,0.539285,0.526765,0.528325,0.56635,0.556576480430247,0.549894074817023,0.5385342132958526,0.5249651209834946,0.5288215723063002,0.5661039517018172,-1.888274129944908,-0.8190775357104326,0.027891132511432878,0.6599779277171256,1.1862732007157466,1.951568813845527,-1.8094991772348341,-0.7676261968280205,0.05782965155228159,0.6725226173277329,1.2030682372748243,2.057024080364057,15.79382339994169,16.685299341503434,4,0.0022248633786904337,0.07877495271007384,0.051451338882412156,0.029938519040848714,0.012544689610607285,0.01679503655907766,0.10545526651852999
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,3.067550135103256,-0.16526560307702332,0.7832934104853913,1.5639712410899174,1.797420346077468,2.311386110392016,-201.99631317454939,0,119,NA,200,100,100,6,415.99262634909877,435.782530548387,38,0,0.9336550855239042,0.058912161195644575,3.067550135103256,0.4343674656341789,0.34890511841157773,0.1578152547585988,0.022777704646558594,0.025728687820007812,0.010405768729078169,6.128829881192047e-4,0.010565340809469722,0.055166690678506866,0.03567428658004397,0.12275622852338991,0.7752245704204703,43.43674656341789,34.890511841157775,15.781525475859882,2.2777704646558594,2.572868782000781,1.0405768729078169,0.061288298811920466,1.056534080946972,5.516669067850686,3.5674286580043972,12.27562285233899,77.52245704204704,200000,0.779415,0.71554,0.689365,0.558965,0.62953,0.84833,0.7790003265608626,0.716009814701403,0.6883267461468491,0.5593667766811758,0.6278966431472335,0.8471843836059799,-0.9059868522871826,0.28656166991090065,1.115999517904696,1.67309611463207,2.0103743408315013,2.6517068639702543,-0.4327516619683882,0.490952903151618,1.2647333547630744,1.6869718948497379,2.0764126138697665,3.4542029815953468,6.539471883668577,5.951828961574319,4,0.20277471367079614,0.47323519031879435,0.20439123324071734,0.14873383685837838,0.013875780217667888,0.06603827303826515,0.8024961176250924
