ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,edpri,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,1.2661244666149991,-0.5955969955783298,0.6750447054044522,0.8941590857169361,1.247467495791438,1.6096405373429734,-292.97246412660905,0,119,NA,200,100,100,6,597.9449282532181,617.7348324525063,41,0,0.6450406875200316,0.18561838980635537,1.2661244666149991,0.2757222421201959,0.4744540766337261,0.06420529143972264,0.0795053241382031,0.05237488910258281,0.05373817656556945,0.03132118087990866,0.24591230900114658,0.07772582259891314,0.1375980648113298,0.1418374962711108,0.365605126437591,27.57222421201959,47.445407663372606,6.4205291439722645,7.95053241382031,5.237488910258281,5.373817656556945,3.132118087990866,24.59123090011466,7.772582259891314,13.75980648113298,14.18374962711108,36.560512643759104,200000,0.639305,0.62248,0.52338,0.53525,0.538685,0.647165,0.6381872798880771,0.6258623973917787,0.5230847167924111,0.5371093151241613,0.5379595618830064,0.649109293491133,-1.2117369975137855,0.03466140150129539,0.781469320544553,1.0597468857579055,1.4130753479615124,2.032408908788093,-0.9852001697758008,0.19059727359234024,0.7865249946006254,1.0728363634096354,1.4267863874712863,2.2947888430752172,10.79353284812687,20.228081382840237,4,4.5019422586112245e-4,0.22653682773798467,0.15593587209104487,0.0050556740560724345,0.013089477651729853,0.013711039509773926,0.26237993428712425
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,1.1627902956186011,0.15328646695888815,0.5456017317329986,1.0324303911888704,1.1432112460152,1.1812131634486642,-263.82379326255085,0,133,NA,200,100,100,6,539.6475865251017,559.4374907243899,46,0,0.5518591562661934,0.15093527048968025,1.1627902956186011,0.5609138138229689,0.14641631931759858,0.14173459636975227,0.024459823421986382,0.007716420422342218,0.11875902664535165,0.15636653319251212,0.11218864579750323,0.17958566474379117,0.044048744578647325,0.01515965686402998,0.49265075482351617,56.09138138229689,14.641631931759857,14.173459636975227,2.445982342198638,0.7716420422342218,11.875902664535165,15.636653319251211,11.218864579750324,17.95856647437912,4.404874457864732,1.515965686402998,49.26507548235162,200000,0.66402,0.53791,0.547375,0.51141,0.503395,0.654305,0.6628386149010616,0.5378419720757323,0.5468473703684351,0.5107297721335653,0.5036821467369986,0.6543301101053514,-0.7029293508559643,0.34498648535782456,0.7735929466922343,1.0867090283603535,1.1620723490285474,1.67211287799083,-0.36996188856518164,0.3598052038952023,0.7963360357953791,1.0878974584242789,1.1622122742992047,1.9724400958563852,25.870604403198495,28.03528401176783,4,1.2269226242422882e-5,0.33296746229078267,0.014818718537377762,0.02274308910314482,0.0011884300639253276,1.3992527065731508e-4,0.30032721786555516
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,2.038879214425853,0.6376898514277702,0.8796045099290956,1.3853352531191705,1.7432759615466944,1.8153252167258882,-220.14862935788827,0,161,NA,200,100,100,6,452.29725871577654,472.08716291506477,17,0,0.7432971710221455,0.08297498947326432,2.038879214425853,0.7381622034447467,0.07230099912650723,0.10656180795548176,0.04233227835673592,0.005905738125366211,0.034736972991162185,0.08057872714751328,0.042593387432699456,0.13353071439764172,0.12706371560434204,0.02778563651422089,0.5884478189035827,73.81622034447467,7.230099912650722,10.656180795548176,4.233227835673592,0.5905738125366211,3.4736972991162185,8.057872714751328,4.259338743269946,13.353071439764172,12.706371560434205,2.778563651422089,58.84478189035826,200000,0.77527,0.54252,0.585425,0.55976,0.51268,0.745745,0.775554434725473,0.5409745325832487,0.584807903118405,0.5603448704106603,0.5122371629969774,0.7458209576527842,-0.44101737031320004,0.754956616689632,1.1086657727601619,1.5477606336298635,1.7785312230684018,2.2107002062666394,0.18382068690908215,0.7648686595296306,1.151558856474212,1.5693485209545075,1.7794128604983828,2.7001051399666594,10.115759326129155,16.871611825974725,4,0.00204717533688481,0.6248380572222823,0.00991204283999858,0.042893083714050206,0.021587887324644006,8.816374299809304e-4,0.4894049337000199
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,1.439864577249386,-0.8543331492337696,-0.01006629961441019,0.9803303706127281,1.6754436376852908,1.9218368927989973,-297.7265444587942,0,127,NA,200,100,100,6,607.4530889175884,627.2429931168766,21,0,0.6770747031294897,0.1634615339247245,1.439864577249386,0.19646021244981138,0.29952398284743437,0.34055427077802974,0.11653792351778958,0.019610468133982484,0.02731314227295245,0.010889571925107084,0.06264932604558032,0.2493863988998229,0.2701950413602955,0.09196685531014082,0.3149128064590534,19.64602124498114,29.95239828474344,34.055427077802975,11.653792351778957,1.9610468133982484,2.731314227295245,1.0889571925107084,6.264932604558032,24.93863988998229,27.01950413602955,9.196685531014081,31.49128064590534,200000,0.642275,0.596195,0.615795,0.58126,0.53023,0.657565,0.641605245182381,0.5961293123101792,0.6148325086366875,0.5816026571885758,0.5294348127350897,0.6577730920291528,-1.4097526327058918,-0.40718531298538485,0.44689642526485096,1.2759864178743152,1.789588577018165,2.304169334989167,-1.1963381332875573,-0.32771106481934886,0.5596136206097779,1.3323231713000534,1.796829075581698,2.5677812669310565,6.572871993340333,5.663672320420438,4,0.22571276109042526,0.21341449941833446,0.07947424816603599,0.11271719534492697,0.056336753425738184,0.007240498563533038,0.2636119319418895
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,1.2579704270363938,0.035318623396011196,0.66414545346036,1.0781485734929817,1.4601604166032491,1.7180724045539093,-303.947241978485,0,111,NA,200,100,100,6,619.89448395697,639.6843881562583,49,0,0.5713537866872718,0.14048372884911697,1.2579704270363938,0.5140871633640004,0.2326142261749813,0.11281488161190134,0.06836073319636127,0.029231290898500184,0.04289170475425552,0.1107306189791663,0.16558397294909516,0.15233162138446676,0.15146968734324007,0.09716258697615676,0.32272151236787494,51.40871633640004,23.261422617498127,11.281488161190135,6.836073319636126,2.9231290898500184,4.289170475425552,11.07306189791663,16.558397294909515,15.233162138446676,15.146968734324007,9.716258697615675,32.272151236787494,200000,0.665045,0.566315,0.544655,0.54045,0.52735,0.643245,0.6667160489699693,0.565087225965898,0.5431651620020101,0.5397948224379258,0.5269289062028989,0.6432035941628051,-0.7755368448462575,0.3383678071002639,0.8588016328630159,1.2538544467786228,1.5803515195278646,2.126020467839292,-0.448244857396755,0.37911215644987806,0.8766382718200099,1.26901914512251,1.5872850853862306,2.3699925277894915,5.748874670431614,5.957704899404671,4,0.2023292412618315,0.3272919874495025,0.040744349349614184,0.017836638956993944,0.015164698343887117,0.00693356585836602,0.24397205995019933
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,1.7103758341834827,-0.9105832371660225,0.14215393409727395,1.0499992187408544,1.574230606492676,2.0557133906604967,-294.16028273527934,0,115,NA,200,100,100,6,600.3205654705587,620.1104696698469,35,0,0.745493912571882,0.14685923597349437,1.7103758341834827,0.18125750303930455,0.37526328823935573,0.29661997274784535,0.08914216300219957,0.037811997753050774,0.019905075218244028,0.0043841394027397665,0.05403053817160074,0.1960914098537775,0.1913471494909072,0.18922645540567434,0.3649203076753005,18.125750303930456,37.52632882393557,29.661997274784536,8.914216300219957,3.7811997753050774,1.9905075218244028,0.4384139402739766,5.403053817160074,19.60914098537775,19.13471494909072,18.922645540567434,36.492030767530046,200000,0.657425,0.635825,0.62518,0.573515,0.566135,0.687075,0.6586769872468338,0.6368831751240187,0.6249769422487099,0.5737514774212149,0.567514882019048,0.6861102522725999,-1.4539981996660913,-0.3501105371301675,0.5564338224267174,1.282568110032259,1.78060792074559,2.4226530424374846,-1.222871667864431,-0.21053338984224634,0.6693485393800447,1.3211459778729724,1.8129669806510014,2.7403242684948745,2.7765036381200914,2.671493906232151,4,0.6142119475917626,0.23112653180166043,0.13957714728792114,0.11291471695332733,0.038577867840713376,0.032359059905411325,0.31767122605738995
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,1.5382505102878514,-1.5554048967766616,-0.44113224957092,0.9757476318253595,1.8420254216216267,2.144618944581723,-265.77355867796143,0,607,NA,200,100,100,6,543.5471173559229,563.3370215552111,50,0,0.7131132784938874,0.16459477087191465,1.5382505102878514,0.059924834312199686,0.2696337944894365,0.5058466003264492,0.13185905515256402,0.016744052545797694,0.01599166317355294,9.88534880330159e-4,0.022897929148959887,0.26300025747682254,0.3324635875473414,0.10851462866824424,0.27213506227830175,5.992483431219968,26.96337944894365,50.584660032644926,13.185905515256401,1.6744052545797694,1.599166317355294,0.0988534880330159,2.2897929148959886,26.300025747682255,33.24635875473414,10.851462866824424,27.213506227830177,200000,0.62404,0.623665,0.667255,0.60678,0.538755,0.661295,0.6233392594362603,0.6231204789287081,0.6671479152700177,0.607103609359486,0.5384859659819845,0.6598407712244989,-1.9859224845544794,-0.9010302586219058,0.22559478140979575,1.3249323606908299,1.9782496738109174,2.5019089043665206,-1.832030773300209,-0.7728840741917027,0.4572051567695792,1.4167743766580887,1.9898615520911829,2.758038312708538,0.9255114722565596,4.290417035145271,4,0.36812661837425786,0.15389171125427037,0.1281461844302031,0.23161037535978343,0.09184201596725883,0.011611878280265442,0.2561294083420176
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,1.402784749600801,-0.6230911407533813,0.2863525702332752,1.4242500177989514,2.244417168496634,2.738008011778983,-283.63617510698333,0,119,NA,200,100,100,6,579.2723502139667,599.0622544132549,4,0,0.4914372545191915,0.07718705527191583,1.402784749600801,0.2666123155827974,0.34608363553359967,0.3101169936116871,0.06478426882386357,0.009312157945623123,0.003090628502429138,0.021388752234356437,0.11072984056293142,0.3764441526835206,0.2914403859689366,0.10909522579484088,0.09090164275541401,26.66123155827974,34.608363553359965,31.01169936116871,6.478426882386357,0.9312157945623123,0.3090628502429138,2.138875223435644,11.072984056293143,37.64441526835206,29.14403859689366,10.909522579484088,9.090164275541401,200000,0.648545,0.600905,0.626785,0.59286,0.554645,0.62268,0.6483899002776555,0.601562952675736,0.6274600667050322,0.5913630864247178,0.5558294399548707,0.6214641976253562,-1.232321586771366,-0.15708553305849016,0.7681934993823097,1.7372524006819086,2.442246536224566,3.0407321961775615,-0.9933693580171239,-0.0662876961073855,0.9115313257242714,1.81072786230616,2.469396703351573,3.202499342283861,7.3773682724948655,9.709240849162097,4,0.04562090343164371,0.23895222875424205,0.09079783695110466,0.14333782634196168,0.07347546162425145,0.02715016712700713,0.16176714610629928
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,2.2927886553691894,-1.0746813545936824,0.8143908209529387,1.3293715204595153,1.4808929014701377,1.683914711105421,-205.40781285604257,0,121,NA,200,100,100,6,422.81562571208514,442.60552991137337,47,0,0.8323308846339642,0.09186271446766636,2.2927886553691894,0.14125870715806996,0.6510307451477831,0.11584783322648051,0.022545157007817562,0.023218481037547423,0.04609907642230138,3.7930638437346344e-4,0.0692713559740111,0.09801845300765126,0.0407566101824591,0.06287827246965638,0.7286960019818487,14.125870715806995,65.10307451477831,11.58478332264805,2.2545157007817562,2.3218481037547423,4.609907642230137,0.03793063843734634,6.92713559740111,9.801845300765127,4.07566101824591,6.287827246965638,72.86960019818487,200000,0.686785,0.770425,0.596635,0.527915,0.539665,0.79265,0.6868426817998642,0.770528889055406,0.5968424616109087,0.5289089391263426,0.5386840813235206,0.7918999499424753,-1.5852683945553916,-0.095867887097291285,1.048517351218694,1.4024479547073707,1.5769852861744285,2.096437452760474,-1.3338296226677935,0.38180670836508446,1.0984542323748465,1.406828689579454,1.584839658303916,2.747631356147956,2.642793453533201,2.743260847489957,4,0.6016660254526588,0.2514387718875981,0.47767459546237573,0.04993688115615247,0.004380734872083236,0.007854372129487475,0.6511939033874823
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,1.8609047176263225,-0.6385558873113315,0.4817069114879504,1.1618117159555115,1.7900463664117447,2.2715792426815193,-293.5270198658857,0,111,NA,200,100,100,6,599.0540397317714,618.8439439310596,12,0,0.7577530440948459,0.12265597699669717,1.8609047176263225,0.2615559430661477,0.4234369741416918,0.19235110579546333,0.08593274808054618,0.025167261022972398,0.011555967893178587,0.006219126381679933,0.07769776077289951,0.1583300687505746,0.22950828956038177,0.1875891499572786,0.3406556045771856,26.15559430661477,42.34369741416918,19.235110579546333,8.593274808054618,2.51672610229724,1.1555967893178587,0.6219126381679932,7.769776077289952,15.833006875057459,22.950828956038176,18.75891499572786,34.06556045771856,200000,0.681625,0.66058,0.60403,0.59672,0.57229,0.693555,0.6816968639946882,0.6587919967401036,0.6032827637571845,0.5953571875060414,0.5732332349475239,0.6936597358928317,-1.2439499285227351,-0.07056148001726617,0.7907267036476306,1.4286781833004687,1.9924725272979247,2.61582258905219,-0.9613486832428211,0.10323751341061693,0.8608839245486353,1.4884131907586657,2.0275553635942827,2.93730021124497,2.0043622504221816,1.901985174675771,4,0.7537803057459375,0.28260124527991404,0.1737989934278831,0.07015722090100462,0.05973500745819704,0.035082836296358,0.3214776221927802
