ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,rateO,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,0.36835094391515333,1.5097354712061883,1.6764298696998352,1.9821186226513787,2.3348192736847713,2.8614187765580557,-224.75079970008548,0,117,NA,200,100,100,6,461.50159940017096,481.2915035994592,35,0,0.48185344575993017,0.13777703034471522,0.7790315772607885,0.033927878160508684,0.04926351423398756,0.0409490500353652,0.03964041400679086,0.05718756630255917,0.4265660309774658,0.03415082095261468,0.05742970230998934,0.05870527819309734,0.07460957201710816,0.34853859554972466,77.90315772607886,3.3927878160508684,4.926351423398756,4.094905003536519,3.964041400679086,5.718756630255917,42.65660309774658,3.415082095261468,5.7429702309989334,5.870527819309734,7.460957201710816,34.853859554972466,200000,200000,0.575185,0.508685,0.514945,0.518045,0.528595,0.730435,0.571768972747468,1.5907247705848262,1.8213682368870356,2.1481274318559884,2.57536999638936,3.8597252111619604,0.6841486533566448,1.5921221046819019,1.8264732625480293,2.154479207011347,2.5894892996089456,5.566504364609187,7.8395260940943245,8.110427823237568,4,0.08761581654218908,0.1123796806091768,0.0013973340970756531,0.0051050256609936895,0.006351775155358563,0.014119303219585433,1.706779153447227
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,0.43662688338962236,0.00698662265970607,0.10875052327075314,1.405484781856831,3.2576137867763055,4.2919491104478436,-239.41528233580271,0,149,NA,200,100,100,6,490.83056467160543,510.62046887089366,14,0,0.5413591051892184,0.2452481357833145,0.006962272952018723,0.09608356827021135,0.6517060229944555,0.20676802548376405,0.024801871399453113,0.01367823890009734,0.0030458990856919105,0.04332779966441061,0.4122671960606791,0.30021528398559244,0.0876324083317147,0.15351141287191128,0.6962272952018723,9.608356827021135,65.17060229944555,20.676802548376404,2.4801871399453113,1.367823890009734,0.30458990856919105,4.332779966441061,41.22671960606791,30.021528398559244,8.763240833171471,15.351141287191128,200000,200000,0.500285,0.50468,0.55842,0.581185,0.547225,0.69654,0.0034838145604320562,0.056920138408172144,0.6201565642183664,2.062786079623015,3.6887096792579124,5.29096880901757,0.0034913109227130115,0.05740582673691578,0.6966621287710791,2.210082430000948,3.735792795434764,6.584375392064486,3.0168967851966952,3.4419325209640563,4,0.4867623803011112,7.4963622809553e-6,4.856883287436345e-4,0.07650556455271273,0.1472963503779332,0.04708311617685146,1.2934065830469166
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,0.2763028634221772,0.21376585254108937,0.6450910839512758,1.2017479638993294,1.658292618401201,2.5769003289287973,-319.15112967370357,0,113,NA,200,100,100,6,650.3022593474071,670.0921635466954,13,0,0.7174540296772649,0.3006681951661655,0.1924625542713317,0.2829226897831877,0.22394656077931513,0.110204297969002,0.1144546542928685,0.076009242904295,0.05735367258499826,0.10590517580965217,0.11928712192808466,0.08502735777718395,0.14176720388628195,0.490659468013799,19.246255427133168,28.29226897831877,22.39465607793151,11.0204297969002,11.44546542928685,7.6009242904295,5.735367258499826,10.590517580965217,11.928712192808465,8.502735777718396,14.176720388628194,49.0659468013799,200000,200000,0.51184,0.5242,0.53375,0.529095,0.553725,0.783105,0.103338917705909,0.4141733405516837,0.8980776857528975,1.4130026611041233,2.047403142061809,3.577529215832315,0.10592791625758602,0.42445784770112427,0.9166283283183491,1.425396584265755,2.097122095517363,6.209656514197315,3.3391725400110555,3.3340661229505413,4,0.5035529442853064,0.0025889985516770186,0.01028450714944057,0.01855064256545158,0.012393923161631681,0.049718953455553994,2.632127298365
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,0.31593783351991783,0.43353616431749864,1.1112035068878652,2.2688610550144954,3.0415422242256,4.6650303830689,-314.5703359111397,0,109,NA,200,100,100,6,641.1406718222794,660.9305760215676,17,0,0.48830305756620085,0.10342991400605095,0.35178714998357985,0.3190502768452115,0.22573265916515772,0.0556687397799126,0.0383422121839484,0.009418962042189949,0.1280040298810037,0.16806235823077895,0.2156305543220165,0.10576925652366898,0.15349402420505132,0.22903977683748056,35.17871499835798,31.905027684521148,22.573265916515773,5.566873977991261,3.83422121839484,0.9418962042189949,12.800402988100371,16.806235823077895,21.56305543220165,10.576925652366898,15.349402420505132,22.903977683748057,200000,200000,0.525125,0.537935,0.564815,0.543945,0.588345,0.760905,0.20097382244103343,0.7339081072585131,1.5814988036133841,2.6055046274245584,3.6440848588838137,5.663740016834345,0.21199441619811374,0.7608891079961083,1.654953221577687,2.6395863923849867,3.7835992171737343,7.825384425358788,2.0943320230109106,3.907510176792016,4,0.41866767332413346,0.01102059375708031,0.02698100073759524,0.07345441796430285,0.03408176496042836,0.13951435828992054,2.1616444085244426
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,0.3629260212266666,0.01478210731352595,0.3267578054897296,1.5973486276143438,3.8216847501677846,6.168287562980451,-266.37031379447916,0,127,NA,200,100,100,6,544.7406275889583,564.5305317882465,34,0,0.5600555062104124,0.20243253111841963,0.014673388323051456,0.26406820497589745,0.5188258755826314,0.18054164198811273,0.01979606895188435,0.0020948201784225517,0.005350446491812451,0.106476709032667,0.328117338265108,0.3102290658469025,0.14322220780793138,0.1066042325555786,1.4673388323051455,26.406820497589745,51.88258755826314,18.05416419881127,1.979606895188435,0.20948201784225517,0.5350446491812451,10.6476709032667,32.8117338265108,31.02290658469025,14.322220780793138,10.66042325555786,200000,200000,0.500655,0.517285,0.563255,0.60852,0.612225,0.73262,0.007375824800383532,0.1630233779032282,0.8316726382970485,2.3297175090151123,4.5753380206640495,7.172361911263062,0.007386606321925468,0.1680945887713294,0.9131378921016946,2.563320597940104,4.829891276897665,8.9248461095516909,0.37089010881801876,1.8390021675081774,4,0.7653394763194131,1.0781521541936012e-5,0.005071210868101195,0.08146525380464609,0.23360308892499182,0.25455325623361524,1.752484198288629
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,0.19714294762128848,0.34575891230310685,1.0381974604252546,1.8935539919372735,2.0375874160733742,3.3196198474308423,-286.7515471650418,0,125,NA,200,100,100,6,585.5030943300836,605.2929985293719,1,0,0.6884581028571569,0.1505358537998872,0.29231691977433383,0.35359070765615774,0.20355651876962122,0.020193059019054216,0.09417621682225097,0.036166577958582025,0.06589266825248875,0.11919383273995916,0.12645539615039517,0.019273948904805605,0.14945093612857036,0.519733217823781,29.231691977433382,35.359070765615776,20.35565187696212,2.0193059019054216,9.417621682225096,3.6166577958582025,6.589266825248876,11.919383273995916,12.645539615039517,1.9273948904805605,14.945093612857036,51.9733217823781,200000,200000,0.52238,0.54557,0.55737,0.50918,0.584005,0.834995,0.16326847261874045,0.6521273050887518,1.4052959663371638,1.9639296400548438,2.5443598091730784,4.320348110598197,0.17107206377039383,0.6843058002683614,1.4557759585595753,1.9651381841264022,2.6502328867175233,8.381640657581737,4.138826929666619,7.700822985381584,4,0.10317301450463279,0.007803591151653383,0.03217849517960958,0.05047999222241151,0.0012085440715583484,0.10587307754444497,4.06129254698354
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,0.29989997616386666,0.015500476149471492,0.1563060635453346,1.7019273338655327,3.956101014913602,4.987699592159936,-239.2650705576309,0,125,NA,200,100,100,6,490.5301411152618,510.32004531455004,44,0,0.6002506464827244,0.18233177099183184,0.015380962074213165,0.1293216629656967,0.6729656039682583,0.16319418481385373,0.012316247860609697,0.0068213383173684194,0.004637804444761014,0.041156660064088746,0.3539548890084258,0.2949427760016332,0.08124105513315738,0.22406681534793382,1.5380962074213165,12.932166296569669,67.29656039682584,16.319418481385373,1.2316247860609697,0.682133831736842,0.4637804444761014,4.115666006408874,35.39548890084258,29.494277600163322,8.124105513315738,22.406681534793382,200000,200000,0.50211,0.509415,0.585845,0.62024,0.557795,0.768645,0.007739502500165108,0.08428184053250956,0.736762692812483,2.437480350309951,4.384501527756729,5.991495033592895,0.007739840408016066,0.08548602637412578,0.8666911209592589,2.702282572952299,4.445983100603938,8.306836003506739,0.9273170937578136,3.13652168726679,4,0.5352443601924767,3.379078509580316e-7,0.0012041858416162177,0.12992842814677596,0.26480222264234765,0.061481572847208454,2.3153409699138434
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,0.41929843308156667,0.16496981224678303,0.4720818083826206,1.4533660978639165,2.7642734286853754,4.214995153010463,-320.47292445872995,0,113,NA,200,100,100,6,652.9458489174599,672.7357531167481,48,0,0.5436801701557513,0.2337820289710697,0.1520806995198441,0.22421681374123648,0.3899204577678497,0.17076015636900843,0.048249479233511194,0.014772393368550074,0.06683344990407455,0.11275006789519482,0.2767363120449793,0.22989776711873067,0.1429958727291707,0.17078653030784996,15.20806995198441,22.421681374123647,38.99204577678497,17.07601563690084,4.82494792335112,1.4772393368550074,6.6833449904074556,11.275006789519482,27.67363120449793,22.989776711873066,14.29958727291707,17.078653030784995,200000,200000,0.506845,0.515255,0.546845,0.56082,0.568085,0.7059,0.080152513375694,0.31067170777664643,0.88374914357514045,1.9701784745248352,3.320030309723094,5.214519930305358,0.0815212694066378,0.3153923646703005,0.9301082853998206,2.0480694790453664,3.4175553904934044,6.59936368322446,4.730073931830682,5.110134226715646,4,0.27618256302464905,0.0013687560309438018,0.004720656893654085,0.04635914182468015,0.07789100452053122,0.09752508077031052,1.3848437529191022
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,0.1987979667668859,0.42487564558311647,1.0142935189137297,1.4661494855340795,1.9830302546175316,2.268196595707802,-278.25806240546603,0,139,NA,200,100,100,6,568.5161248109321,588.3060290102203,5,0,0.7471662686916318,0.23081252327404322,0.3461489106545824,0.29119253858899075,0.1318460274823836,0.09316103764041128,0.03415282382109863,0.10349866181253331,0.08099564194852474,0.10161480551162869,0.07022328384821469,0.0729621604232174,0.0371577635868271,0.6370463446815874,34.614891065458245,29.119253858899075,13.184602748238362,9.316103764041127,3.4152823821098632,10.349866181253331,8.099564194852475,10.16148055116287,7.022328384821469,7.29621604232174,3.7157763586827097,63.70463446815874,200000,200000,0.5277,0.53963,0.530285,0.53313,0.517955,0.83413,0.1978972468737923,0.6907709683803834,1.2233452582138638,1.7022037604011357,2.1190779983183874,3.2715997622902644,0.20975965817314252,0.7139927435844831,1.2364974119407972,1.7198603253406344,2.1241843401355585,7.286465817618482,4.338242443346714,4.859927387705239,4,0.3019741027965813,0.011862411299350228,0.023221775204099626,0.013152153726933458,0.01765656493949863,0.005106341817171067,4.014866055328218
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,0.4920151705154397,0.26776142047856627,0.610302800528834,0.9083815796070092,1.0898689680885671,1.4185159284781925,-317.35977726008633,0,111,NA,200,100,100,6,646.7195545201727,666.5094587194609,36,0,0.6395838696442101,0.4031762048937344,0.23490970579370082,0.22190392715539078,0.140010162157174,0.066915653210738,0.09418754758160619,0.2420730041013902,0.12343347667688151,0.13595439661397526,0.10102825706493312,0.054635718484011886,0.08733452612432097,0.49761362503587725,23.49097057937008,22.19039271553908,14.0010162157174,6.6915653210738,9.418754758160619,24.20730041013902,12.343347667688152,13.595439661397526,10.102825706493313,5.463571848401188,8.733452612432096,49.761362503587726,200000,200000,0.511855,0.51544,0.512575,0.5089,0.51297,0.670255,0.12803182331124835,0.4290865689788489,0.7521094768380108,0.9963791225888927,1.2449835474881372,2.419171282039252,0.1309423983470436,0.43401223798338323,0.7554605674026812,0.9977721844531582,1.2498637086318185,3.4559671647175976,2.347675467741681,2.349947909939667,4,0.6716907315993517,0.0029105750357952542,0.004925669004534339,0.0033510905646704225,0.0013930618642654657,0.004880161143681283,1.0367958826783457
