ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,rateO,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.6099804088799256,0.13863983281816286,0.5706963392525184,0.8128150475825477,1.2462300169467089,1.8406241600030433,-340.88252378991433,0,111,NA,200,100,100,6,693.7650475798287,713.5549517791169,26,0,0.6090826811403975,0.4436075305835293,0.1294584875152425,0.305409734269954,0.12152424763127423,0.1560205769197882,0.12886862411271216,0.15871832955102894,0.08109044838381618,0.21289087405061702,0.09693599642516931,0.14149850722072682,0.14219868432615046,0.3253854895935202,12.94584875152425,30.5409734269954,12.152424763127422,15.602057691978821,12.886862411271217,15.871832955102894,8.109044838381617,21.2890874050617,9.693599642516931,14.149850722072681,14.219868432615046,32.53854895935202,200000,200000,0.5039,0.514115,0.509605,0.51322,0.52028,0.62268,0.06782853126068632,0.33919367424082053,0.6865768114802493,1.0137156166803905,1.5141812388599747,2.839468651881091,0.06824275076016911,0.34459481270500497,0.6887796368420848,1.0202633169856643,1.525682485955788,3.484629844173423,10.066787706375155,10.150306547230912,4,0.03797048792735802,4.142194994827958e-4,0.005401138464184441,0.00220282536183547,0.006547700305273851,0.01150124709581335,0.6451611922923322
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,0.1934153879799509,0.0254430346690596,0.3997119649282537,1.2693660472160508,2.8165957806776607,3.956434971095285,-278.94615141685085,0,123,NA,200,100,100,6,569.8923028337017,589.6822070329899,23,0,0.7823016066739261,0.28100971221132554,0.025122088373129826,0.304364762099724,0.3895034373158206,0.22120051203027413,0.04067800405122246,0.019131196129828942,0.004908985773013453,0.06948855367731532,0.1433008538757451,0.20232816441713697,0.11474904030174393,0.4652244019550452,2.5122088373129827,30.4364762099724,38.95034373158206,22.120051203027412,4.067800405122246,1.9131196129828942,0.4908985773013453,6.948855367731532,14.33008538757451,20.232816441713698,11.474904030174393,46.52244019550452,200000,200000,0.50105,0.523755,0.55774,0.60006,0.575155,0.838555,0.01269070604305937,0.20124307189081828,0.7731887827580655,1.8500871759373991,3.280685023457928,4.95822239732088,0.012727054874135859,0.21045170357660953,0.8216608820612818,2.0047608673917505,3.365589227650011,9.12210566964318,5.66295168227053,6.30310337962926,4,0.17762698377492658,3.634883107648916e-5,0.009208631685791252,0.04847209930321639,0.1546736914543514,0.08490420419208267,4.163883272322299
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,0.09453512677333714,0.1664687517070612,0.42784896359222907,2.13964682623915,3.7611747395623336,4.790810263717575,-243.50523227762775,0,119,NA,200,100,100,6,499.0104645552555,518.8003687545437,24,0,0.8168728848151748,0.11769640296367989,0.1533507271334189,0.19473940337827972,0.5342134665246214,0.094439998860117,0.014950679276319545,0.008305724827243344,0.015613962710499054,0.024025740728222705,0.14348741174610344,0.11609418282757353,0.06499690157975546,0.6357818004078458,15.33507271334189,19.473940337827973,53.42134665246214,9.4439998860117,1.4950679276319545,0.8305724827243344,1.5613962710499054,2.4025740728222704,14.348741174610344,11.609418282757353,6.499690157975547,63.57818004078458,200000,200000,0.514565,0.521235,0.623255,0.61634,0.577155,0.914365,0.08106559935777334,0.29134721286164195,1.0505854029857007,2.738810612528578,4.189855439004866,5.788116939272369,0.08302246300776217,0.29659190621469156,1.2615735151600682,2.930713056910198,4.267521761878721,15.36805785221175,6.495044599374498,6.072934113226473,4,0.1937673167113616,0.0019568636499888298,0.005244693353049612,0.21098811217436753,0.19190244438161974,0.07766632287385544,9.579940912939382
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,0.3013816980444595,0.02331875888257994,0.4715498854521276,1.4961937826287734,2.088498713352466,3.920417572606735,-292.73283480220573,0,123,NA,200,100,100,6,597.4656696044115,617.2555738036997,18,0,0.6370383489350702,0.22398106036836085,0.023048977680848026,0.3529166856742679,0.4000532762765232,0.10010809524880937,0.10404015374325992,0.01983281137629156,0.007003209580690284,0.12547661042485014,0.23048183105938935,0.10414570232583792,0.2260873989302975,0.3068052476789348,2.3048977680848024,35.29166856742679,40.00532762765232,10.010809524880937,10.404015374325992,1.983281137629156,0.7003209580690284,12.547661042485014,23.048183105938936,10.414570232583792,22.60873989302975,30.68052476789348,200000,200000,0.5006,0.527035,0.55848,0.53545,0.599805,0.767185,0.01161035539667036,0.23036722980107438,0.8983447604550394,1.7637973402277802,2.739980380905573,4.922219419032611,0.011639227821724494,0.2424443740023879,0.9572722842728734,1.7828874459679194,2.921819465698856,7.237654076958624,4.982512466913086,6.549377000715405,4,0.16170569943715773,2.8872425054133483e-5,0.012077144201313533,0.05892752381783395,0.01909010574013914,0.18183908479328315,2.315434657926013
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.5331530468046081,0.08802511337288128,0.38601297133685086,0.9260106527235196,1.4343634824219835,2.1982241474510307,-337.5932673313998,0,125,NA,200,100,100,6,687.1865346627995,706.9764388620878,43,0,0.610360568297631,0.3961308659604861,0.0842621208322673,0.2359761709626942,0.28363084224455243,0.15786388908400095,0.1272668736221534,0.11100010325433174,0.0458466320362051,0.14016075806917075,0.20363204159699314,0.1449034289189271,0.15570718376590476,0.30974995561279917,8.42621208322673,23.597617096269417,28.363084224455243,15.786388908400095,12.726687362215339,11.100010325433175,4.58466320362051,14.016075806917074,20.363204159699315,14.49034289189271,15.570718376590476,30.97499556127992,200000,200000,0.5031,0.511865,0.519575,0.52074,0.527975,0.65143,0.0434334763685562,0.22962200566205818,0.6317661052733926,1.1587824926891548,1.767881804826668,3.1995689901220143,0.043742575646994,0.23349661973253674,0.6432657473758963,1.1681454230621648,1.7899300586687055,4.068578631806375,10.945167478832813,10.922554932127195,4,0.02744831718465035,3.090992784378008e-4,0.003874614070478566,0.011499642102503649,0.009362930373010059,0.022048253842037457,0.8690096416843605
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.4351389316625251,0.11720489768014701,0.4098902725130379,1.301056793718302,1.883907271907995,2.6068255461240017,-321.37553398972636,0,123,NA,200,100,100,6,654.7510679794527,674.540972178741,28,0,0.5677123223770804,0.2722439352770216,0.11059706210648235,0.22567986308766813,0.3914791395288279,0.12024887729004385,0.07822671130449943,0.07376834668247834,0.0497217228468977,0.11363644218025991,0.26892951259576203,0.127175567304874,0.11889962147291078,0.3216371335992956,11.059706210648235,22.567986308766812,39.14791395288279,12.024887729004385,7.822671130449943,7.376834668247834,4.97217228468977,11.363644218025991,26.892951259576204,12.7175567304874,11.889962147291078,32.16371335992956,200000,200000,0.507555,0.515275,0.54222,0.52604,0.533645,0.69705,0.05748175041293711,0.25646278545594264,0.7907767718347641,1.5639502396283678,2.202273358738495,3.6057691603571795,0.05817561876157989,0.2605915084106182,0.8263704740475663,1.5804320937154424,2.225779159145851,4.907316317361355,5.362837243027442,5.45266721536794,4,0.2439215054454853,6.938683486427746e-4,0.004128722954675534,0.035593702212802114,0.016481854087074588,0.02350580040735606,1.3015471570041752
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.6680081003085462,0.042732189399918644,0.24677822370234015,0.7520647347845476,1.2578974324227232,1.6417880077801597,-325.2882419552834,0,125,NA,200,100,100,6,662.5764839105668,682.366388109855,42,0,0.6050856051819171,0.4713922472758384,0.04183203675379568,0.17685401201234927,0.30992170395801666,0.1871411915896256,0.0906175413304906,0.19363351435572218,0.028141876510005607,0.123837100650245,0.24293541765783233,0.17349839270380968,0.09762508665906033,0.33396212581904705,4.183203675379568,17.685401201234928,30.992170395801665,18.71411915896256,9.06175413304906,19.36335143557222,2.8141876510005606,12.3837100650245,24.29354176578323,17.34983927038097,9.762508665906033,33.396212581904706,200000,200000,0.501745,0.508355,0.51359,0.51392,0.508475,0.600485,0.02120267720318396,0.14141406102409693,0.47838956064344695,0.9835148893336189,1.4378645646643027,2.643738476322788,0.021327129438263648,0.1423181816976607,0.48566932485440917,0.9912732865168551,1.4415454906891694,3.1352765441736334,2.2781725970156557,2.300698224607785,4,0.680641934000372,1.2445223507968894e-4,9.041206735637686e-4,0.007279764210962214,0.007758397183236232,0.003680926024866693,0.49153806785084564
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,0.23276573639189216,0.16392223053244387,0.6955028035137107,1.685009065083118,2.175190138897911,2.863420135293169,-294.7551276418734,0,117,NA,200,100,100,6,601.5102552837468,621.300159483035,20,0,0.6755606259548181,0.185442750894401,0.15119196933795848,0.3499844559876793,0.31338082377996124,0.07185619649927366,0.056513326473704106,0.05707322792142322,0.03743672883064773,0.11202785142420196,0.17497479379033212,0.0728449651823892,0.08921609559242027,0.5134995651800087,15.119196933795848,34.99844559876793,31.338082377996123,7.185619649927366,5.651332647370411,5.707322792142322,3.7436728830647725,11.202785142420197,17.497479379033212,7.28449651823892,8.921609559242027,51.34995651800087,200000,200000,0.50973,0.53443,0.55998,0.52943,0.542915,0.8107,0.0798307805196952,0.4056693291755728,1.1100454938008537,1.9096688510207398,2.481019683782471,3.8647773925848385,0.08149040503746735,0.42373344606501506,1.1721281807448305,1.9253449972050274,2.510242455926565,7.155023712185111,2.786694076838936,2.618449090199532,4,0.6235584509862774,0.001659624517772157,0.01806411688944226,0.062082686943976784,0.015676146184287587,0.029222772144093856,3.2902463196002723
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.44111978816175845,0.06395512379181742,0.43223524693136506,1.1718652723932892,1.9974479066843123,3.484539239231194,-322.31505693632835,0,129,NA,200,100,100,6,656.6301138726567,676.4200180719449,38,0,0.5963467649562557,0.30978856196331894,0.06195290541710917,0.28899042444884404,0.33926810817072783,0.17410744934826294,0.10501322688214598,0.030667885732910016,0.02781763193942431,0.1457750621446245,0.23006054095969553,0.18202558024556342,0.19931730611796072,0.2150038785927315,6.195290541710917,28.899042444884405,33.926810817072784,17.410744934826294,10.501322688214598,3.0667885732910016,2.781763193942431,14.57750621446245,23.006054095969553,18.202558024556343,19.931730611796073,21.50038785927315,200000,200000,0.503365,0.514245,0.53375,0.53781,0.565875,0.69453,0.031604994567836914,0.23659612832159102,0.757068203981859,1.528048119140342,2.5633882699675103,4.487194199163081,0.03182481042250032,0.24308124934175154,0.7818955707467997,1.5599692322308363,2.6609101533658372,5.752196863405206,6.490790402196491,6.5834245059442456,4,0.15960927636063826,2.198158546634077e-4,0.0064851210201605225,0.024827366764940684,0.03192111309049417,0.0975218833983269,1.2650026642421244
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,0.03354669397010714,0.5379459276781349,1.445581827002573,2.9767867687977634,3.815078773255726,7.239918806425976,-204.0703997925566,0,123,NA,200,100,100,6,420.1407995851132,439.93070378440143,8,0,0.9049628781456194,0.05095630547891694,0.41605351035849203,0.3483375366237784,0.1846526475388126,0.028920326939415597,0.021318608535922046,7.173700035792985e-4,0.01788444792058007,0.02945296472151402,0.04769970921228652,0.025094787798350282,0.09549880363992223,0.7843692867073468,41.6053510358492,34.833753662377845,18.46526475388126,2.8920326939415597,2.1318608535922046,0.07173700035792985,1.7884447920580069,2.945296472151402,4.769970921228652,2.509478779835028,9.549880363992223,78.43692867073469,200000,200000,0.541125,0.57147,0.61895,0.566475,0.733935,0.967885,0.24515097346454082,0.9242366638068198,2.0229198609633188,3.338243880038818,4.697259395849513,8.237595470910748,0.2675569682847439,0.9899720130525523,2.204177931940575,3.3941195679092626,5.495735572355224,37.090672044938344,14.972356552776501,10.100002197588745,4,0.0387764317850422,0.022405994820203085,0.06573534924573254,0.1812580709772562,0.0558756878704445,0.7984761765057113,28.853076574027597
