ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,rateO,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,0.21995607473303988,0.27476937290645986,1.4592518759264674,1.862952092990778,2.728871998135388,4.070375475339537,-286.3810151518391,0,111,NA,200,100,100,6,584.7620303036782,604.5519345029664,2,0,0.6638044806029305,0.15521374795207143,0.24025267866197877,0.5273372400540624,0.07719633333188747,0.08992084929585664,0.04822192108332901,0.01707097757288578,0.05864710902493992,0.21590883068518535,0.061639579686944224,0.11512013931263732,0.1402008637857256,0.4084834775045676,24.02526786619788,52.73372400540624,7.719633333188747,8.992084929585664,4.822192108332901,1.7070977572885782,5.864710902493992,21.590883068518536,6.163957968694422,11.51201393126373,14.020086378572561,40.84834775045676,200000,200000,0.516335,0.574905,0.52524,0.557125,0.58415,0.82095,0.13094192407797725,0.7528377626171657,1.6480028945758747,2.2341162870200164,3.2537214620786794,5.068036114395352,0.13590969881056195,0.8415256647114898,1.6582738280909841,2.2820127608140184,3.366406484672468,8.611915550349728,3.8682908267188707,7.045183433300328,4,0.13351966635229529,0.0049677747325846955,0.08868790209432409,0.010270933515109437,0.04789647379400197,0.11268502259378854,3.543879435954376
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,0.2265756025855672,0.796205046262223,1.2951083682128521,2.2742727662469266,2.5850489317167002,2.7007093692037554,-255.90526829754745,0,123,NA,200,100,100,6,523.8105365950948,543.6004407943831,5,0,0.5973245237226236,0.10287169300644838,0.548962613609509,0.17716920227288202,0.17099649111116055,0.027479302574668574,0.0082345343080239,0.06715785612375591,0.16506436266535662,0.08924164355785308,0.14836947005416673,0.040613520785890256,0.014399575254192165,0.5423114276825411,54.8962613609509,17.716920227288202,17.099649111116054,2.7479302574668574,0.82345343080239,6.715785612375591,16.506436266535662,8.924164355785308,14.836947005416674,4.061352078589025,1.4399575254192165,54.23114276825412,200000,200000,0.55224,0.530715,0.561025,0.520525,0.50765,0.815705,0.3472109103564586,1.0250624487772564,1.7051108559229724,2.4212538779553223,2.6417083009600795,3.6998199139167243,0.38598773632470834,1.0414778951819827,1.7658359000779509,2.4279258878916443,2.64253445113301,7.111150154687117,11.541573634567268,12.198234081761047,4,0.0159364454673675,0.03877682596824972,0.016415446404726364,0.06072504415497848,0.006672009936321999,8.261501729305287e-4,3.4113302407703925
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,0.09252293345549573,1.259063293500499,1.6572633319516439,2.9893773677875037,4.745248880447507,5.222281370298772,-214.3593482040029,0,129,NA,200,100,100,6,440.7186964080058,460.50860060729406,32,0,0.7583684244975014,0.05031875705109046,0.7160801484494079,0.09325981151864937,0.14034128298085224,0.04162585880694791,0.0032978911768321018,0.005395007067310442,0.10996298685809243,0.032194600815357285,0.09947398782904887,0.11371623350256083,0.02783389333736208,0.6168182976575785,71.6080148449408,9.325981151864937,14.034128298085225,4.162585880694792,0.3297891176832102,0.5395007067310442,10.996298685809244,3.2194600815357286,9.947398782904887,11.371623350256083,2.783389333736208,61.68182976575785,200000,200000,0.591915,0.52868,0.598505,0.62779,0.537245,0.91456,0.5011049865804817,1.4452642251806582,2.1784474977789006,3.621872764018154,4.964959972705783,6.225113571056047,0.616201705026175,1.4569352715606836,2.310010374703991,3.8432400539041147,4.982370425977641,16.06256138161861,4.713723226427397,5.293049518203998,4,0.25852828640480596,0.11509671844569325,0.011671046380025363,0.1315628769250905,0.22136728988596088,0.017410453271858195,9.837447810562564
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,0.2129131716338265,0.1782605845803759,0.618758878856478,1.9206124686416328,3.949255812785403,5.000287159945545,-296.81090573349286,0,115,NA,200,100,100,6,605.6218114669857,625.411715666274,27,0,0.6643649266285948,0.14651719745523062,0.16327564238791908,0.2981118513105256,0.3920953088463247,0.12724816124387117,0.012533023802985599,0.006736012408373848,0.037242798750550664,0.08619000684401665,0.21220226777683787,0.23302058902377876,0.08648787477905562,0.34485646282576043,16.327564238791908,29.811185131052557,39.20953088463247,12.724816124387118,1.25330238029856,0.6736012408373848,3.7242798750550663,8.619000684401664,21.220226777683788,23.302058902377876,8.648787477905561,34.48564628257604,200000,200000,0.510255,0.528555,0.585595,0.625395,0.5686,0.823925,0.08662141862915096,0.3826753006645467,1.1320601451604666,2.6141224874465867,4.384768125222075,6.003207963804746,0.08861869303017683,0.39498490304814804,1.2398145860610477,2.8633690813623485,4.454880321986559,9.686908045506945,4.6998114000551485,3.832394869817729,4,0.42916367088032104,0.0019972744010258725,0.012309602383601348,0.10775444090058106,0.24924659391576176,0.07011219676448466,3.6837000817021988
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,0.25209346443708447,0.6516509327136084,1.3831837712260708,2.1580019498619114,3.1961318559613465,4.127722149036724,-301.35995627883074,0,119,NA,200,100,100,6,614.7199125576615,634.5098167569497,14,0,0.5804113586374829,0.115555776766197,0.47881537464273327,0.2704057671575937,0.13522308143347606,0.07463559336490899,0.024800628422130155,0.016119554979157846,0.15149299723575618,0.142896287830763,0.12519935629599788,0.13364698530813246,0.09351173078580799,0.3532526425435425,47.88153746427333,27.040576715759368,13.522308143347605,7.463559336490899,2.4800628422130155,1.6119554979157846,15.149299723575618,14.2896287830763,12.519935629599788,13.364698530813246,9.3511730785808,35.32526425435425,200000,200000,0.5388,0.54515,0.54957,0.56306,0.55667,0.798175,0.2904666990768421,0.973264898540064,1.721544161820285,2.5886306230875666,3.5912526102133886,5.128027952905442,0.31712183968061525,1.0069848575526967,1.7584829466156036,2.6540549855546827,3.6440132720861738,8.091987572839088,0.7814003391010083,0.7831335000960731,4,0.9406948455808775,0.026655140603773164,0.033719959012632694,0.03693878479531865,0.06542436246711603,0.052760661872785164,2.9639596199336458
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,0.1631377452895137,0.16745848028990462,0.729086794380447,1.9885074466978447,3.477702325284588,5.7632802748379595,-294.6501097551022,0,119,NA,200,100,100,6,601.3002195102044,621.0901237094927,13,0,0.722960550926631,0.13689960298919146,0.15418826558217913,0.3634624613258969,0.34544967010273253,0.10602132516382168,0.027737485804235074,0.0031407920211347085,0.026949015515328193,0.08519131270752917,0.16489912085051162,0.1559313728552223,0.17648279946181689,0.39054637860959185,15.418826558217912,36.34624613258969,34.544967010273254,10.602132516382168,2.7737485804235074,0.31407920211347085,2.694901551532819,8.519131270752917,16.489912085051163,15.593137285522229,17.648279946181688,39.05463786095918,200000,200000,0.51228,0.53866,0.58545,0.600915,0.647075,0.860215,0.08121158013462774,0.4219711771474044,1.2292735627173503,2.5551517347198973,4.2190262249261945,6.765684324124344,0.08332716027129299,0.4433905186416491,1.3373123683149464,2.7023154778274634,4.5498567811073665,11.889754318418658,3.8577135024421767,3.651147945877864,4,0.45527099099520507,0.0021155801366652405,0.02141934149424468,0.10803880559759604,0.14716374310756608,0.33083055618117196,5.124069994294315
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,0.20355152147036348,0.051127249387172585,0.3398712096601998,1.8016653682746284,4.456550136620758,6.032556181745187,-266.7566129617808,0,123,NA,200,100,100,6,545.5132259235615,565.3031301228498,27,0,0.6929955321737353,0.16502383379434027,0.04984224415271855,0.2382957580396401,0.5468381640133011,0.15342151304893303,0.009202967794448846,0.002399352950958389,0.010353063640869018,0.05648945477783909,0.24016194940755656,0.28931745640219975,0.1107815800065336,0.292896495765002,4.9842244152718544,23.82957580396401,54.68381640133011,15.342151304893303,0.9202967794448846,0.23993529509583889,1.0353063640869018,5.64894547778391,24.016194940755657,28.931745640219976,11.07815800065336,29.2896495765002,200000,200000,0.50291,0.518915,0.59277,0.657255,0.60185,0.831075,0.02534905936818846,0.1886595422148238,0.8987424140604184,2.5994640496183457,5.045406185842468,7.035129667926847,0.0254821331553634,0.19393401721960724,1.036378908189635,3.01035855735742,5.203021819904474,10.958265517662982,3.795735180390547,6.256525602783945,4,0.18079235574104635,1.3307378717494073e-4,0.005274475004783424,0.13763649412921664,0.4108945077390742,0.1576156340620054,3.923135849736135
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,0.20519199782764436,0.26230629739078415,0.8862127936004964,3.1747221355638633,7.403984589926212,11.24688919628612,-281.56712747004923,0,117,NA,200,100,100,6,575.1342549400985,594.9241591393867,8,0,0.5213010476389388,0.04180571879366779,0.23072463941782279,0.35706142100988064,0.3704082207786288,0.0411968967781543,5.957741917077541e-4,1.3047823805734104e-5,0.05240032834986313,0.11386809054079361,0.3124305334704045,0.30242252405487596,0.11939583793451558,0.09948268564954721,23.072463941782278,35.70614210098807,37.04082207786288,4.11968967781543,0.059577419170775414,0.0013047823805734104,5.240032834986312,11.386809054079361,31.24305334704045,30.242252405487598,11.939583793451558,9.94826856495472,200000,200000,0.516225,0.541175,0.636485,0.71986000000000006,0.70569,0.829475,0.12558780384045776,0.5426641716337146,1.6278256136643787,4.113587573370481,8.318561735149023,12.250712882372058,0.13006756091810837,0.5674729465252166,1.9413377565114476,4.98870212456137,9.077927852405288,16.110583723585908,5.023163176184696,5.57114557529397,4,0.2335461489738121,0.004479757077650609,0.024808774891502017,0.31351214284706885,0.8751145511908893,0.7593661172562651,3.8598708412138496
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,0.07725037259045425,0.13919818064637915,1.4805513025012016,2.5543752574501433,3.027696916599814,3.84324034816805,-205.6453510984062,0,121,NA,200,100,100,6,423.2907021968124,443.0806063961006,8,0,0.8209226072849466,0.07774078487539149,0.12994441680670407,0.6425433574493457,0.14977144086855876,0.0293137435690205,0.02700297399494367,0.02142406731142732,0.01069550329074149,0.09737941563586071,0.07100247378845118,0.02947430260695358,0.04832385259392902,0.7431244520840641,12.994441680670407,64.25433574493456,14.977144086855876,2.93137435690205,2.700297399494367,2.142406731142732,1.069550329074149,9.737941563586071,7.1002473788451175,2.947430260695358,4.832385259392902,74.3124452084064,200000,200000,0.51066,0.600275,0.579305,0.5358,0.56135,0.92784,0.06803073421530006,0.6636383455714657,1.922172112842967,2.7724705895248594,3.380541286229067,4.846638244486723,0.0693922864741827,0.7971094935968918,2.0096785789942175,2.7902340793907308,3.4304667969772145,16.81096076966515,1.123396542591912,3.2183373322172235,4,0.5219742539534048,0.0013615522588826395,0.13347114802542603,0.08750646615125057,0.017763489865871396,0.04992551074814733,11.964322525178428
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,0.1770794153542133,0.25950373295190804,1.0142920845371444,1.9981898851556812,3.694322165879724,5.803942741803629,-302.0294806468585,0,115,NA,200,100,100,6,616.058961293717,635.8488654930052,8,0,0.7019884720796854,0.13558047748968938,0.22856567173864067,0.40877525731562575,0.2270785934560442,0.11071617566582082,0.02184866044405498,0.003015641379813583,0.044912929456400005,0.11949124855698408,0.13360734990693052,0.1821246640075862,0.16205582172968058,0.3578079863424186,22.856567173864068,40.87752573156258,22.70785934560442,11.07161756658208,2.184866044405498,0.3015641379813583,4.491292945640001,11.949124855698408,13.360734990693052,18.212466400758622,16.205582172968057,35.78079863424186,200000,200000,0.519195,0.551115,0.565055,0.60946,0.634275,0.85095,0.12415354628687754,0.5897935419596055,1.4275846698856043,2.6172918783836607,4.402233816935895,6.808433338875167,0.12871562818143,0.628039540316863,1.4918887585882576,2.8030213441575036,4.684266326828401,11.450652665541908,22.438868569188887,18.906906736621313,4,8.197419366630099e-4,0.004562081894552469,0.038245998357257505,0.06430408870265336,0.18572946577384286,0.28203250989250606,4.642219326666741
