ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,sha,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,1.076060334937875,4.252765249092686,2.785819959659861,3.031649214797085,3.4791487105231114,3.994972466052625,4.777701130051782,-224.37484268461148,0,464,NA,200,100,100,7,462.74968536922296,485.8379069350592,29,0,0.47634927782529146,0.13810849568195938,0.7664963247667669,0.039032959318956006,0.05636222023231774,0.046161276055034284,0.043326001425554095,0.048621218201371,0.4442783097741152,0.029477086357208082,0.04989532604338526,0.05190371976521746,0.06848280196761547,0.35596275609245853,76.64963247667669,3.9032959318956006,5.636222023231774,4.616127605503428,4.3326001425554095,4.8621218201371,44.42783097741152,2.947708635720808,4.9895326043385255,5.190371976521746,6.8482801967615465,35.59627560924585,200000,200000,0.465415,0.50867,0.51688,0.521915,0.53749,0.789245,1.3749447218149897,2.905323822887222,3.243711561232724,3.720970323962023,4.347878691315587,5.94785353624991,1.2936129180126354,2.9075957976109486,3.251944288689198,3.732170133845661,4.374888544195223,9.137303843507892,7.188910496385352,7.358513792289594,3,0.06130748063262703,-0.08133180380235427,0.002271974723726533,0.008232727456473743,0.011199809883638334,0.027009852879636753,3.1894503072579825
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,1.4289628344462497,2.6325540053533634,0.09672269014650287,0.48478178260761723,2.7032139140579305,5.219138029522192,6.56922309434029,-238.92990740361194,0,394,NA,200,100,100,7,491.85981480722387,514.9480363730602,45,0,0.534302481672163,0.24807780652764566,0.004386680389269632,0.08123782738613249,0.6662976856969522,0.21441988068104123,0.023039161927104645,0.010618763919499785,0.006883369998847574,0.05634913954532618,0.40246500878366326,0.2887342605082618,0.08769974138535053,0.15786847977855067,0.43866803892696316,8.123782738613249,66.62976856969523,21.441988068104123,2.3039161927104645,1.0618763919499785,0.6883369998847575,5.634913954532618,40.24650087836633,28.87342605082618,8.769974138535053,15.786847977855068,200000,200000,0.420885,0.45732,0.53676,0.590925,0.556365,0.72495,0.06390453381727203,0.32264976500469894,1.4834590956779234,3.597256689797961,5.772664884797519,7.699264362378719,0.05667152422955934,0.3056221877316311,1.5637631374481844,3.824474198963904,5.847375081699194,9.495210911021472,1.3015680967920187,2.4711826565824637,3,0.4805215410788575,-0.00723300958771269,-0.017027577273067862,0.08030404177026096,0.22721750916594274,0.07471019690167502,1.7959465486427524
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,1.483440805778114,3.612527895489177,0.7765836398912562,1.5801148714575017,2.429946648059788,3.068643934008658,4.282403305530929,-319.15507771751084,0,130,NA,200,100,100,7,652.3101554350217,675.398377000858,36,0,0.7127082818278572,0.30197774949077405,0.1828163497230859,0.28580527996248084,0.2294006208236592,0.1128503038894687,0.11618044640031422,0.072946999200991125,0.06853968772908668,0.104476508791927,0.1142755216511292,0.08163894036685526,0.13814646489542476,0.4929228765655771,18.28163497230859,28.580527996248083,22.94006208236592,11.28503038894687,11.618044640031421,7.294699920099113,6.853968772908668,10.4476508791927,11.42755216511292,8.163894036685527,13.814646489542476,49.29228765655771,200000,200000,0.458825,0.51616,0.532705,0.52974,0.557075,0.791975,0.4834504380507486,1.1720993337828391,1.9756506869624535,2.7278824074737726,3.587331510460078,5.472384186409222,0.45198185629782417,1.1850144049566589,2.0036159251167844,2.7463256729875742,3.655769648053754,8.630149615220166,3.3975595676907235,3.34196221056503,3,0.34184485863071234,-0.03146858175292444,0.012915071173819737,0.02796523815433094,0.0184432655138016,0.06843813759367601,3.1577654288109436
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,1.5089592529955125,3.168916498231696,1.2121484600110843,2.294787132475772,3.873486587802706,4.857604772484421,6.849775614959832,-314.6116149900666,0,428,NA,200,100,100,7,643.2232299801332,666.3114515459695,23,0,0.488674761046899,0.10129917872871208,0.341759072110166,0.32618290905339564,0.2307588401077263,0.05579103538035368,0.037189787579841926,0.008318355768516472,0.14000072637280794,0.1626129266005786,0.20871158597971445,0.10403382874279088,0.15373398953758366,0.23090694276652446,34.1759072110166,32.61829090533956,23.07588401077263,5.579103538035368,3.7189787579841926,0.8318355768516472,14.000072637280795,16.261292660057862,20.871158597971444,10.403382874279089,15.373398953758366,23.090694276652446,200000,200000,0.483305,0.535085,0.567255,0.54671,0.594765,0.76888,0.720020273104145,1.712856866383409,2.9493741953243737,4.303600087105638,5.5939328236618335,7.9764003851564595,0.696980457863015,1.752448496029556,3.0537135520959895,4.349790805747611,5.7772640435843705,10.48451468650297,2.4102540883096655,3.9900683346457484,3,0.26253856938554465,-0.02303981524112997,0.03959162964614715,0.10433935677161577,0.04619071864197366,0.18333121992253698,2.5081143013465113
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,1.8533300571290403,2.214271304402937,0.18364229218998573,1.0541449309782789,2.9856617078241676,5.5905959968772425,8.00026218290592,-266.5462557701101,0,134,NA,200,100,100,7,547.0925115402202,570.1807331060566,28,0,0.5629544917763454,0.20130011808500736,0.014933295164506175,0.2692171561257623,0.5145494306247241,0.17669872511538154,0.021582932858333348,0.003018460111292476,0.005353447325149678,0.10109811017160578,0.3305939507268992,0.3161822580107063,0.14202098360810256,0.1047512501575365,1.4933295164506175,26.92171561257623,51.45494306247242,17.669872511538152,2.158293285833335,0.3018460111292476,0.5353447325149678,10.109811017160578,33.05939507268992,31.618225801070633,14.202098360810256,10.475125015753651,200000,200000,0.48666,0.52167,0.572045,0.604015,0.59706,0.705805,0.12061608236261236,0.6670199400285433,1.8776390486430568,3.890111123015745,6.4134580595543005,9.114065618441023,0.11846472320923744,0.6835348192682636,2.0172287468222665,4.150133512174235,6.638929006939658,10.617534400648536,0.5363655741085179,2.1908861187700652,3,0.533745751901649,-0.0021513591533749155,0.016514879239720393,0.13958969817920974,0.2600223891584901,0.22547094738535733,1.5034687822075128
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,1.219541246476911,6.3217833686425395,1.022400326317796,2.1658501809197546,3.3917892423447804,3.5918548459183626,5.376259426553475,-286.2647138240585,0,142,NA,200,100,100,7,586.529427648117,609.6176492139533,19,0,0.6835824518523517,0.14777675945909263,0.2724810556963857,0.3645465665050709,0.21519561833945078,0.02128407433723145,0.09700191075618037,0.029490774365680816,0.08915619241138209,0.11319256582982959,0.11406878990643665,0.01750959143064662,0.14103604188330982,0.5250368185383952,27.248105569638568,36.45465665050709,21.519561833945076,2.128407433723145,9.700191075618037,2.9490774365680816,8.91561924113821,11.319256582982959,11.406878990643666,1.750959143064662,14.103604188330982,52.503681853839524,200000,200000,0.429615,0.53087,0.55609,0.51092,0.59716,0.861625,0.6208563204838773,1.5562472685997906,2.699553206019012,3.4895519293564603,4.284443687565464,6.53432171555778,0.549323213801515,1.59300106122432,2.77096805572229,3.491429530367028,4.452625431634449,12.317849129559164,3.563008847972443,6.7271563034149935,3,0.0811218655153021,-0.07153310668236224,0.03675379262452938,0.07141484970327827,0.0018776010105678864,0.16818174406898567,5.783527414001384
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,1.8499885814306436,2.543102164438966,0.18916749066955652,0.6797871808687543,3.131893680263547,5.720711174254524,6.777498248240011,-239.45148300697142,0,136,NA,200,100,100,7,492.90296601394283,515.9911875797791,32,0,0.6040825224902845,0.18029554459296904,0.01578805714688035,0.13302208325534476,0.6708943150048059,0.15826922500610985,0.013166806956025456,0.008859512630833732,0.004451202794371763,0.03749231897733395,0.3539739557380098,0.3020067327440311,0.08100370975810356,0.22107207998814982,1.578805714688035,13.302208325534476,67.08943150048059,15.826922500610985,1.3166806956025456,0.8859512630833732,0.4451202794371763,3.7492318977333947,35.397395573800985,30.200673274403112,8.100370975810357,22.10720799881498,200000,200000,0.488385,0.51066,0.600265,0.614835,0.549995,0.741375,0.12425937741171912,0.46223382957976744,1.7105184138282714,4.025290038683773,6.172193885846418,7.91028981726973,0.12193221189479829,0.46680858776987694,1.9492105508228612,4.316829177711257,6.225140391381426,9.88751243118368,0.9010896532896374,3.509346585947831,3,0.31955192166334023,-0.0023271655169208316,0.004574758190109496,0.2386921369945898,0.29153913902748396,0.052946505535008015,1.9772226139139502
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,1.3959595132516023,2.819578194066809,0.6304059068948588,1.2553375991656903,2.7846614524149675,4.602985463975501,6.5332695511681305,-319.7766664673619,0,124,NA,200,100,100,7,653.5533329347238,676.6415545005601,34,0,0.5376667450373057,0.23370280987871084,0.13201157567541355,0.2252631653519701,0.4090224490939055,0.17755041176919595,0.04519719099581332,0.01095520711370157,0.08770210736187173,0.11499462702169189,0.25963652057913067,0.2191058344086083,0.1416297742885415,0.1769311363401559,13.201157567541355,22.52631653519701,40.902244909390554,17.755041176919594,4.519719099581332,1.095520711370157,8.770210736187172,11.499462702169188,25.963652057913066,21.910583440860833,14.162977428854152,17.69311363401559,200000,200000,0.433025,0.50019,0.542045,0.570655,0.583385,0.73788,0.3968798016797767,0.9457412917560889,1.927734690101994,3.501193706056501,5.32460379260037,7.666871460486639,0.35700311455384204,0.9457946078024464,1.9915989756638621,3.624895130506613,5.4825941796282756,9.651048308806377,3.5194277083832963,3.7176182439794996,3,0.2936150233632491,-0.03987668712593467,5.331604635749887e-5,0.06386428556186807,0.12370142445011201,0.15799038702790558,1.9841768483197386
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,1.2440425155927037,6.209784335405722,1.176681509142815,2.14415930544861,2.810398367384741,3.542611107196055,3.9398413832823205,-277.7928862190018,0,632,NA,200,100,100,7,569.5857724380036,592.6739940038399,22,0,0.7409661700633667,0.22931363544901118,0.32892879885078197,0.30268106967659136,0.1390764960236155,0.09786105886165553,0.035366240866620324,0.09608633572073533,0.10080954331605142,0.0948820814269795,0.0633422051936024,0.06611071392440904,0.03409322831087547,0.6407622278280822,32.892879885078194,30.268106967659136,13.907649602361548,9.786105886165553,3.5366240866620324,9.608633572073533,10.080954331605142,9.48820814269795,6.3342205193602394,6.611071392440904,3.4093228310875467,64.07622278280823,200000,200000,0.442315,0.53052,0.52922,0.536495,0.52066,0.86044,0.7038099486259386,1.6303596798412943,2.455490234892681,3.1459712322962647,3.731912763042884,5.147390356284472,0.6353277646372659,1.660084466659649,2.4745178994150505,3.1719766927651727,3.739888350050944,10.927016430924429,3.5552455739728117,3.929575014776733,3,0.26916986037120405,-0.06848218398867267,0.029724786818354776,0.01902766452236948,0.02600546046890795,0.007975587008060003,5.779626074639957
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,1.3793494695579658,2.641653676578159,0.8646146862569274,1.5118543609586665,2.0046504520866195,2.289273245189389,2.7868956361673853,-316.8344842242286,0,124,NA,200,100,100,7,647.6689684484572,670.7571900142935,33,0,0.6332073610512061,0.4047485726346607,0.21459852361262133,0.23153580461416823,0.14911709913854976,0.07141334405070876,0.10001631794692134,0.23331891063703059,0.14516248723161373,0.12925878221396703,0.09237136950321317,0.04971722013558749,0.07988005298325429,0.5036100879323643,21.459852361262133,23.153580461416823,14.911709913854976,7.141334405070876,10.001631794692134,23.331891063703058,14.516248723161373,12.925878221396703,9.237136950321318,4.971722013558749,7.9880052983254295,50.36100879323643,200000,200000,0.43831,0.506205,0.51014,0.50825,0.514525,0.71468,0.5324224732979107,1.1829972858343396,1.7500006502581886,2.143230777626189,2.525339367322543,4.051012381257331,0.48083706408760135,1.1856555911329856,1.7548199595831022,2.145482901016898,2.5337977043405684,5.862458381710383,1.3003942019253893,1.2993618382241605,3,0.7292846196957936,-0.05158540921030935,0.0026583052986459688,0.00481930932491359,0.0022521233907086824,0.008458337018025563,1.811446000453052
