ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,sha,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.56,0.14,0.42000000000000004,3,39,44,7,4,3,0,20,24,21,21,14,Inf,0.8416212335729144,0.1509692154967774,-0.3853204664075676,-1.080319340814956,1.8807936081512504,0.20189347914185077,-1.080319340814956,-1.4757910281791702,-1.8807936081512509,FALSE,NA,NA,1,2.286421938873627,1.6381084167407611,0.2449564022003166,1.5127178476649792,3.1255769827719537,4.270213499864293,6.116139434544905,-289.44796501053924,0,134,NA,200,100,100,7,592.8959300210785,615.9841515869148,40,0,0.5160633376423585,0.18116064531818832,0.025524490022575855,0.42089765232858933,0.3724172123306465,0.10748939347272901,0.05796621924860035,0.01570503259685896,0.004421583677986211,0.16495335521692314,0.3145617234627322,0.1797843912167254,0.18248796076045037,0.15379098566518268,2.5524490022575854,42.08976523285893,37.24172123306465,10.748939347272902,5.796621924860035,1.5705032596858959,0.4421583677986211,16.495335521692315,31.45617234627322,17.97843912167254,18.24879607604504,15.379098566518268,200000,200000,0.540035,0.57223,0.56845,0.545035,0.56569,0.658045,0.15987661050170648,0.9136780242003086,2.20054991913211,3.620610675015518,4.971627714471874,7.258248761807291,0.16854774644213713,0.9990631402162116,2.3097433230618787,3.669224060065945,5.091297579843923,8.220026552447282,8.255491719773248,9.120161045367894,3,0.027735213202660258,0.008671135940430647,0.08538511601590293,0.10919340392976862,0.048613385050427116,0.11966986537204871,0.9617777906399905
2,100,100,0.74,0.12,0.62,4,28,56,10,1,1,1,4,21,26,20,28,2.3263478740408408,1.6448536269514715,0.6433454053929168,-0.050153583464733656,-0.5828415072712162,1.7506860712521695,0.46769879911450835,-1.17498679206609,-2.0537489106318225,-2.3263478740408408,TRUE,0.679689550608206,1.2498942119796594,2,2.0215050227472426,3.326082356317312,0.33719264029224466,1.1561554237107627,3.522728992068015,5.950128894209787,8.3660021378017575,-267.87168261332187,0,1018,NA,200,100,100,7,549.7433652266437,572.83158679248,32,0,0.7200999101797222,0.13350539084360902,0.045550236634943134,0.27592118748845945,0.5450231850329884,0.11539679760616317,0.015929651145278,0.002178942092167846,0.004482208495702705,0.04155158358104981,0.2338662977435253,0.2473709781870569,0.18322208688423114,0.28950684510843416,4.555023663494313,27.592118748845945,54.50231850329884,11.539679760616316,1.5929651145278,0.2178942092167846,0.44822084957027053,4.1551583581049805,23.386629774352528,24.73709781870569,18.322208688423114,28.950684510843416,200000,200000,0.518015,0.54906,0.634935,0.63243,0.63196,0.804485,0.21820826409110453,0.7697118234760634,2.098510441184482,4.374938417321929,6.767662696995077,9.474120947560277,0.22368681387241354,0.8083730771504065,2.4130875764428,4.696239795268837,7.078035139866044,12.665106824206925,4.526194645407439,3.074250274826411,3,0.3803183181489418,0.005478549781309017,0.03866125367434314,0.3145771352583182,0.3213013779469076,0.31037244287096666,3.190985876646648
3,100,100,0.47,0.22,0.24999999999999997,2,41,35,3,16,3,0,30,23,2,28,17,Inf,0.5244005127080407,-0.0752698620998299,-0.125661346855074,-0.9541652531461942,2.053748910631822,0.17637416478086118,-0.7721932141886849,-0.8778962950512285,-1.8807936081512509,FALSE,NA,NA,3,1.7525985066395433,1.8327988358452916,0.1645383028678343,1.5359951874284714,2.8174377331392355,2.9699529401577878,5.300841773690458,-276.9753639612337,0,714,NA,200,100,100,7,567.9507279224674,591.0389494883037,21,0,0.465389879397605,0.2281257456468908,0.01213931765720469,0.44200958098076193,0.3177253557151426,0.024444432969960572,0.17225653296042154,0.0314247797165087,0.008575752437494533,0.26442193322320184,0.2616124349416986,0.026312185954467493,0.27229103000557053,0.16678666343756698,1.213931765720469,44.20095809807619,31.77253557151426,2.4444432969960572,17.225653296042154,3.14247797165087,0.8575752437494533,26.442193322320186,26.16124349416986,2.6312185954467493,27.229103000557053,16.6786663437567,200000,200000,0.47104,0.51502,0.535245,0.505295,0.57072,0.65637,0.1080382954755147,0.9029153458122948,2.105778303156671,2.8923450604482595,3.8130265389161324,6.4557072380376805,0.10375324887027161,0.9209253964367403,2.1501607161657565,2.8931315127283397,3.9760465018734563,7.477174181122277,2.328738332206002,3.9585744216059284,3,0.26597222871377246,-0.0042850466052430924,0.018010050624445495,0.04438241300908574,7.864522800802298e-4,0.1630199629573239,1.0214669430845964
4,100,100,0.88,0.19,0.69,0,52,29,16,3,0,0,6,6,10,41,37,Inf,1.5547735945968528,1.17498679206609,0.7721932141886849,-0.3318533464368165,Inf,-0.050153583464733656,-0.8778962950512285,-1.8807936081512509,-Inf,NA,NA,NA,4,1.2865745682651153,12.972285884007439,2.342156598320262e-23,1.7417327121701767,3.069837938212103,5.338245141672089,17.21707481387452,-239.8788532760334,0,178,NA,200,100,100,7,493.7577065520668,516.8459281179031,33,0,0.8813323531228205,0.1889571974343911,2.7428487655275705e-46,0.519603087115105,0.29143971545050396,0.15850640323459253,0.030450187186709776,6.070130887936287e-7,2.4482644103252917e-31,0.060542450195682405,0.05812519668149701,0.10142301431942523,0.40997996410161947,0.3699293747017759,2.7428487655275705e-44,51.96030871151049,29.143971545050395,15.850640323459253,3.0450187186709776,6.070130887936287e-5,2.4482644103252917e-29,6.05424501956824,5.812519668149701,10.142301431942522,40.997996410161946,36.99293747017759,200000,200000,0.391175,0.49101,0.56629,0.631935,0.88009,0.93339,1.5592478146548914e-23,0.9761210575795479,2.3224795830913827,3.8971106243805878,6.500306673286662,18.268354770003793,1.3168405839317632e-23,0.9629057881223729,2.4133502406739433,4.201939652504395,10.688832134946093,31.60815763576451,0.011345650671677966,0.0114139989759509,3,0.9996767869223196,-2.424072307231282e-24,-0.013215269457174994,0.09087065758256063,0.3048290281238071,4.188525461659431,13.339802865760717
5,100,100,0.7,0.07,0.6299999999999999,43,27,23,4,0,3,12,9,9,8,5,57,1.17498679206609,0.8064212470182404,0.5244005127080407,0.3054807880993974,0.17637416478086118,0.17637416478086118,-0.5244005127080407,-1.4757910281791702,-1.8807936081512509,-1.8807936081512509,TRUE,0.434295375223479,1.0826757775815545,5,1.1047936663140656,8.95829368614037,1.4659571336111743,2.4754271672595443,4.099177458511645,5.23349269007794,5.812243437007672,-267.34179943503636,0,136,NA,200,100,100,7,548.6835988700727,571.771820435909,50,0,0.681218353210491,0.08457655195549063,0.43071671950275214,0.276905858420458,0.20780087012129922,0.05132174292887626,0.012881343583159177,0.020373465443455196,0.11855895045471714,0.08119048352525261,0.11903221280953935,0.0739963548665647,0.034919851227461496,0.5723021471164647,43.07167195027522,27.6905858420458,20.780087012129922,5.132174292887626,1.2881343583159177,2.0373465443455196,11.855895045471714,8.119048352525262,11.903221280953936,7.39963548665647,3.49198512274615,57.23021471164647,200000,200000,0.432505,0.53448,0.58057,0.563355,0.533465,0.894815,0.8483357063647198,1.9290402987706865,3.138162164632489,4.583841217344732,5.500415351929813,6.954644876718422,0.7500462913626973,1.9649811454413635,3.2700053268405225,4.657385207446636,5.5198116400563695,15.239589160752992,2.465424751500247,4.979820445797978,3,0.17328076809788873,-0.09828941500202248,0.035940846670676985,0.1318431622080336,0.07354399010190438,0.019396288126556804,8.28494428403457
6,100,100,0.65,0.23,0.42000000000000004,21,32,24,9,3,11,9,17,9,7,5,53,1.3407550336902165,0.6433454053929168,0.3853204664075676,0.20189347914185077,0.0752698620998299,0.8064212470182404,-0.0752698620998299,-0.7388468491852137,-1.080319340814956,-1.2265281200366105,TRUE,0.5934486557464755,0.8040293268622787,6,1.2974026276797834,4.10845405096266,0.833896689466445,1.8416988958653304,2.752263141474927,3.3770140099880464,3.763134774140313,-301.84908661602367,0,142,NA,200,100,100,7,617.6981732320473,640.7863947978836,6,0,0.644351792890834,0.23933190199676058,0.2034406571877941,0.3460141183797253,0.21121332243572,0.0898600598842828,0.0389153620323095,0.11055648008016827,0.0968421811296966,0.1402710574565778,0.11853496852289155,0.0736084530539452,0.04210293885721683,0.528640400979672,20.34406571877941,34.60141183797253,21.121332243572,8.98600598842828,3.8915362032309497,11.055648008016828,9.68421811296966,14.027105745657781,11.853496852289155,7.36084530539452,4.210293885721683,52.864040097967205,200000,200000,0.42791,0.51798,0.53074,0.52767,0.51899,0.799985,0.5155078428451187,1.3184440763911043,2.2587119859164866,3.0428506039490757,3.561264184054028,4.970717565707762,0.4585966654110079,1.3365543032564426,2.2896286006377005,3.0593008302168037,3.5679102977809394,8.422750950050087,2.345116533164013,2.3665375123587755,3,0.49989404839180374,-0.05691117743411084,0.018110226865338364,0.030916614721213875,0.016450226267727963,0.0066461137269113735,3.452033384342325
7,100,100,0.73,0.12,0.61,18,37,33,9,3,0,2,7,18,16,10,47,2.053748910631822,1.3407550336902165,0.612812991016627,0.17637416478086118,-0.0752698620998299,0.9153650878428139,-0.125661346855074,-1.17498679206609,-1.8807936081512509,-Inf,FALSE,NA,NA,7,1.8144874881916246,4.370542343400879,0.7632373620832655,1.8368623992353605,3.734767057407332,5.516297385012573,6.990037902446624,-282.77181295625024,0,132,NA,200,100,100,7,579.5436259125005,602.6318474783368,27,0,0.7387998263691054,0.11306023740976978,0.1780583175785553,0.3699826532991872,0.3388987917124877,0.08686011133248228,0.018841208305606205,0.007358917771681295,0.022214692673568806,0.071515120844558,0.16747036011276784,0.15764222772050351,0.11529873420808823,0.4658588644405136,17.805831757855533,36.99826532991872,33.88987917124877,8.686011133248229,1.8841208305606205,0.7358917771681295,2.2214692673568806,7.151512084455799,16.747036011276784,15.764222772050351,11.529873420808823,46.58588644405136,200000,200000,0.5157,0.555475,0.60717,0.60411,0.586735,0.846255,0.47474697968818613,1.2809397504122606,2.603015971114029,4.4275095973330565,6.1035634972061645,8.112686983235827,0.48418213361939827,1.3394972440054103,2.8068867558609227,4.612809588079169,6.237175152180094,12.683103857952277,1.0269541735535284,2.405205143622324,3,0.4926664223699868,0.009435153931212137,0.058557493593149657,0.2038707847468939,0.18529999074611236,0.13361165497392946,4.57041687471645
8,100,100,0.59,0.25,0.33999999999999997,31,19,25,6,11,8,18,10,13,9,7,43,0.9153650878428139,0.5828415072712162,0.2275449766411493,0,-0.17637416478086135,0.49585034734745304,0,-0.6744897501960817,-0.8778962950512285,-1.4050715603096322,TRUE,0.5868922178040431,0.5988151100214828,8,1.1613545252129198,3.9772410520286727,1.1174006826543124,1.6925793243732525,2.6698025003592285,3.1986265617947054,4.0745637131693275,-322.42336979356793,0,130,NA,200,100,100,7,658.8467395871359,681.9349611529722,16,0,0.5861011576878361,0.2541921875041999,0.3073368266738734,0.19710956144482406,0.24136142437710262,0.0828116962152794,0.08511478690100738,0.08626570438791314,0.18293409206696273,0.09232285537834459,0.13864189486685657,0.0651513957370336,0.09370265465647659,0.4272471072943259,30.733682667387342,19.710956144482406,24.136142437710262,8.28116962152794,8.511478690100738,8.626570438791315,18.293409206696275,9.232285537834459,13.864189486685657,6.51513957370336,9.370265465647659,42.724710729432594,200000,200000,0.41483,0.507895,0.527875,0.52068,0.53777,0.78259,0.6716197976042422,1.3970410574372147,2.138821892979147,2.918749198853172,3.5907328304069988,5.2692626054599225,0.575618310244931,1.401371617043554,2.1672585933652626,2.929268592628379,3.623212951256043,8.323580507193338,3.131815613050219,3.0939814875068272,3,0.37736083439910295,-0.09600148735931113,0.004330559606339213,0.028436700386115454,0.010519393775206609,0.03248012084904417,3.054317901733415
9,100,100,0.74,0.07,0.6699999999999999,19,56,18,5,2,0,0,13,13,12,24,38,Inf,1.1263911290388005,0.6433454053929168,0.3054807880993974,-0.3054807880993974,0.8778962950512288,-0.6744897501960817,-1.4757910281791702,-2.0537489106318225,-Inf,NA,NA,NA,9,2.5309876843163,3.131370292890748,0.7771987180800196,2.7684209233970334,4.307130625325661,5.6052226697551975,8.458778190966036,-268.5165647347908,0,130,NA,200,100,100,7,551.0331294695816,574.1213510354179,20,0,0.7456522708526733,0.07149846428790207,0.18303608053191472,0.5804539370277677,0.16501151815241544,0.04720048332531679,0.022292427011459615,0.0020055539511256715,0.007162962936130771,0.10787109658987588,0.13931366962132008,0.12600394094130662,0.24318186862903035,0.3764664612823363,18.30360805319147,58.04539370277677,16.501151815241542,4.720048332531679,2.2292427011459615,0.20055539511256715,0.7162962936130771,10.787109658987589,13.931366962132008,12.600394094130662,24.318186862903033,37.64664612823363,200000,200000,0.59837,0.65573,0.604305,0.583305,0.664885,0.819515,0.4824112302537038,1.6506063664934438,3.398540512451582,4.847582641766612,6.503447661729261,9.567289561704033,0.5480288708636063,1.9556904222228915,3.5586786466244122,4.953683514775149,6.963439660549086,13.000018297713044,0.827204209407014,2.6317349546677904,3,0.4519531423052433,0.0656176406099025,0.30508405572944763,0.16013813417283007,0.10610087300853621,0.45999199881982467,3.432728736009011
10,100,100,0.68,0.32,0.36000000000000004,18,36,14,11,14,7,3,16,13,8,27,33,1.8807936081512504,0.8778962950512288,0.46769879911450835,0.2533471031357998,-0.4399131656732338,0.9153650878428139,-0.10043372051146975,-0.4676987991145081,-0.8064212470182404,-1.4757910281791702,TRUE,0.9649882755804842,0.9814110741003935,10,2.743477094630704,1.3813078395434142,0.7675382421384448,1.8105588350052066,2.39175977138469,2.8707637950858227,4.3590508626659545,-324.61988196334374,0,126,NA,200,100,100,7,663.2397639266875,686.3279854925238,5,0,0.6910058353994228,0.31023944448766816,0.17958952712707849,0.3607078625027364,0.14946316588251696,0.09093885695764015,0.15075553036552614,0.06854505716450188,0.03044499647702899,0.1598074520647084,0.11874171605883971,0.0989947649230522,0.26124932285978264,0.33076174761658805,17.95895271270785,36.07078625027364,14.946316588251696,9.093885695764016,15.075553036552613,6.854505716450188,3.044499647702899,15.98074520647084,11.874171605883971,9.89947649230522,26.124932285978264,33.076174761658805,200000,200000,0.60072,0.57393,0.53038,0.522515,0.5592,0.643265,0.47716695080270516,1.2713055535182487,2.087126598944893,2.6202052452156868,3.4846593606472607,5.543695737328979,0.5447507796561999,1.3473357102886272,2.1044631281555306,2.629745859369766,3.572812007187217,6.3873901614686766,1.040868091453837,1.041035556926265,3,0.791323918746606,0.06758382885349473,0.0760301567703785,0.017336529210637774,0.00954061415407903,0.08815264653995625,0.8436944241396978
