ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,0.7976108169775951,2.577217147307597,1.3317162386493178,1.5401836041289871,1.9102106043873537,2.32609228722582,2.9347671703608755,-224.7069677517493,0,128,NA,200,100,100,7,463.4139355034986,486.5021570693348,22,0,0.47764108593216237,0.13761131864347997,0.7679553047370213,0.039117221132168645,0.05531615548733004,0.044553394132262114,0.04130224191284071,0.05175568259837715,0.44360372717962915,0.028921397650338965,0.04983378923786952,0.053077993646226784,0.07093734167848043,0.35362575060745516,76.79553047370213,3.9117221132168645,5.531615548733004,4.455339413226211,4.130224191284071,5.175568259837715,44.36037271796292,2.8921397650338965,4.983378923786952,5.307799364622678,7.093734167848043,35.36257506074551,200000,200000,0.4065,0.51078,0.520745,0.524095,0.534855,0.752355,0.02870690414982376,1.4332483175752173,1.716056548595957,2.105143883094829,2.6025835882083284,3.946212089231983,-0.43586703097400487,1.4356283106264376,1.7237419228679776,2.116436843198246,2.6241937569773053,5.788193400401898,7.921714768949532,8.02276392656523,3,0.0455435792245239,-0.4645739351238286,0.002379993051220275,0.007685374272020651,0.011292960103417293,0.021610168768976923,1.8419813111699148
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,0.8548697076425562,1.7017396552348394,-1.7227407803053514,-0.8889033386252274,1.273684794409704,3.0943040970272007,3.9753110008333032,-240.14421290819135,0,900,NA,200,100,100,7,494.2884258163827,517.376647382219,40,0,0.5424349623980514,0.2440641184575577,0.0036983983766401014,0.08412207685387627,0.6681154063119259,0.19976860286911013,0.025697177396413973,0.018598338192033603,0.010588173889512026,0.05106317637342639,0.3959136873390101,0.30717857279220717,0.08754951277762646,0.14770687682821781,0.36983983766401013,8.412207685387626,66.81154063119259,19.976860286911013,2.5697177396413973,1.8598338192033603,1.0588173889512027,5.106317637342639,39.591368733901014,30.717857279220716,8.754951277762647,14.770687682821782,200000,200000,0.31317,0.435535,0.56684,0.580605,0.536845,0.64125,-1.8773627609285137,-1.1690126671862553,0.16613277768973644,1.9532401540478712,3.472226936349652,4.98111778884827,-2.036772431198541,-1.2230925623720506,0.30381045149224445,2.100129088042785,3.5054902222105917,5.744769129502901,3.0961696324762538,4.899793665741344,3,0.1792835281464351,-0.15940967027002717,-0.05407989518579526,0.137677673802508,0.14688893399491376,0.03326328586093963,0.763651340654631
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,1.5533152824528742,2.1419437166271664,-0.5299803027190735,0.30123943047766655,1.0393103594429944,1.5467674896625132,2.4350679866204596,-320.19274519780976,0,646,NA,200,100,100,7,654.3854903956195,677.4737119614558,32,0,0.7195087109261835,0.2979134013849972,0.1828847977980207,0.29427654673807563,0.22492525407890646,0.10612192684331767,0.10792624869517065,0.0838652258465089,0.07101509484251942,0.09524769962668614,0.11422849460461093,0.08626356858060497,0.14878046484253965,0.4844646775030389,18.28847977980207,29.427654673807563,22.492525407890646,10.612192684331767,10.792624869517065,8.38652258465089,7.101509484251942,9.524769962668614,11.422849460461093,8.626356858060497,14.878046484253964,48.44646775030389,200000,200000,0.38517,0.527605,0.54447,0.532915,0.554785,0.728945,-0.9387755789792659,-0.10676613985009031,0.6480009948567167,1.277233014151636,1.9341746539104792,3.4614674581791207,-1.1524730262675673,-0.08203211354527484,0.6804505809355837,1.2944906420374933,1.9845899268662295,4.956430296955938,5.429552883422402,5.417297171162917,3,0.14366969578910715,-0.21369744728830142,0.02473402630481547,0.032449586078867054,0.017257627885857385,0.05041527295575032,1.4949628387768175
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,1.3555070039977588,2.1086321017459775,-0.06591879152026514,0.9365361161273821,2.204648940241637,2.923126413556795,4.242758068241232,-315.58915441524414,0,124,NA,200,100,100,7,645.1783088304883,668.2665303963246,38,0,0.4875304365441585,0.10442493527435126,0.3436471167177894,0.33206830119274294,0.21985964681511638,0.05207940024086688,0.03808035140095656,0.014265183632527823,0.14053998320867397,0.1547469655787296,0.2171826146684379,0.10911679049857792,0.15387524121401608,0.2245384048315645,34.36471167177894,33.206830119274294,21.98596468151164,5.207940024086688,3.808035140095656,1.4265183632527823,14.053998320867397,15.47469655787296,21.718261466843792,10.911679049857792,15.387524121401608,22.45384048315645,200000,200000,0.416495,0.5498,0.576475,0.54417,0.5693,0.69974,-0.6375344898212496,0.4085460865620746,1.4686755134527971,2.5246087919786633,3.4458035887771543,5.244320183633676,-0.8396411251079874,0.45658578339237915,1.5656267410581974,2.5540884994401143,3.537988557727643,6.483766871130286,3.2402878726767153,5.94514718500088,3,0.11430964555768486,-0.20210663528673778,0.04803969683030457,0.09695122760540031,0.02947970746145101,0.09218496895048878,1.23944668749661
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,1.180350058047455,1.674531090592904,-1.4468975323869522,-0.21093291463573305,1.488197379951578,3.3720599051271885,4.964312251187212,-267.69417982321306,0,130,NA,200,100,100,7,549.3883596464261,572.4765812122624,28,0,0.564851603999077,0.2021058091107485,0.014265534350856377,0.2766188157042362,0.507009840834159,0.16836915139174768,0.026778229044546187,0.00695842867445462,0.00821674589099339,0.09251772077272769,0.33441392933720204,0.32813144145268297,0.1376028065969951,0.09911735594939886,1.4265534350856377,27.661881570423617,50.700984083415904,16.836915139174767,2.6778229044546187,0.695842867445462,0.821674589099339,9.251772077272769,33.4413929337202,32.813144145268296,13.760280659699509,9.911735594939886,200000,200000,0.39019,0.51263,0.592475,0.588835,0.560355,0.634365,-1.6426134714856788,-0.6784998089322068,0.5393454003161005,2.1769578786318298,3.969024863123438,5.966427099309404,-1.7431153314767847,-0.6677230926487917,0.6940366643004076,2.3412841861542484,4.064828837167557,6.691384043705979,1.4861106193309357,4.4867342249760975,3,0.21347662081021923,-0.10050185999110584,0.010776716283415144,0.1546912639843071,0.1643263075224186,0.09580397404411878,0.7249569443965749
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,2.2800688560853666,2.919579181536506,-0.2605652609703701,0.8293181208192821,1.8283336810966877,1.9800164317743458,3.2039073836013383,-287.57150087824823,0,130,NA,200,100,100,7,589.1430017564965,612.2312233223328,32,0,0.6888058276415594,0.1484364006937866,0.2731693359563993,0.373224233124726,0.20517003022508806,0.019476758126961702,0.08916966874694277,0.03978997381988214,0.0918680819199005,0.10141009160491786,0.1179159988336222,0.01894557224355392,0.15237345654782042,0.5174867988501851,27.31693359563993,37.3224233124726,20.517003022508806,1.9476758126961702,8.916966874694277,3.978997381988214,9.18680819199005,10.141009160491786,11.791599883362219,1.894557224355392,15.237345654782041,51.74867988501851,200000,200000,0.33364,0.551515,0.569855,0.511725,0.589355,0.79553,-0.7577329982555352,0.26159739962518963,1.2690624318550625,1.9026459529354118,2.4790304607460274,4.216947487757842,-1.1776504486406068,0.3181586102030901,1.3396543443124236,1.904167024079585,2.588198525227618,6.676246701463421,5.899104538014788,9.340730411794528,3,0.02508750221057321,-0.41991745038507156,0.05656121057790048,0.07059191245736107,0.0015210711441731029,0.10916806448159067,2.4592992137055782
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,1.5085955323928764,1.827237767664869,-1.4284331445692389,-0.6309315269867883,1.6266023952096287,3.450968444912859,4.125216051062891,-240.66497653738145,0,228,NA,200,100,100,7,495.3299530747629,518.4181746405992,8,0,0.6083783720991783,0.1784778652398763,0.015418967044107305,0.13726876059484572,0.6688344071211707,0.14726060078011394,0.015187133960091526,0.016030130499670836,0.0068082469121095585,0.03295075197626529,0.3518626290124468,0.3163053158547663,0.07962284474411552,0.21245021150029653,1.5418967044107306,13.726876059484571,66.88344071211706,14.726060078011393,1.5187133960091526,1.6030130499670836,0.6808246912109559,3.295075197626529,35.18626290124468,31.63053158547663,7.962284474411552,21.245021150029654,200000,200000,0.380865,0.49468,0.63338,0.60011,0.533035,0.663385,-1.6277638407571742,-0.9407590885160603,0.3788833546771424,2.298044728185375,3.751868675213909,5.130830275196472,-1.7408123025199964,-0.9463810579200997,0.6679643764089827,2.477248032744607,3.7729666186232746,6.054984362985538,1.4142531023404863,5.936333646767939,3,0.11474915223671367,-0.11304846176282224,-0.005621969404039473,0.28908102173184025,0.17920330455923184,0.02109794340936544,0.9241540877890655
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,0.9171977763611479,1.9185329723255828,-0.7264846749421779,-0.012737503965034036,1.3546028775721957,2.7608299926944326,4.132402398425252,-319.8612591583776,0,388,NA,200,100,100,7,653.7225183167552,676.8107398825915,19,0,0.5489299959975851,0.22744320467020074,0.12646384382660336,0.23672985861461854,0.40936309288857736,0.16616205507296422,0.04536488586835008,0.015916263728886437,0.09484915348495929,0.1023173437479285,0.2539035067695271,0.2310663352578955,0.14718630923833143,0.1706773515013582,12.646384382660337,23.672985861461854,40.936309288857736,16.61620550729642,4.5364885868350076,1.5916263728886437,9.484915348495928,10.23173437479285,25.39035067695271,23.10663352578955,14.718630923833143,17.06773515013582,200000,200000,0.344895,0.50492,0.561385,0.573075,0.566705,0.671685,-1.078436761712001,-0.3500804561759538,0.6008953150051818,1.9195771059453701,3.299014497939407,5.136274456203474,-1.3384585269334313,-0.34832585549186573,0.6827395928443433,2.019304512012351,3.387845354934004,6.133923463769625,3.530786303473956,3.8868036260109498,3,0.27394957739184367,-0.2600217652214303,0.001754600684088059,0.08184427783916148,0.09972740606698105,0.08883085699459681,0.9976490075661504
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,2.3037102545935317,2.9476193629935126,-0.11084184773641548,0.7948257731696307,1.3590739750968512,1.9460858919568602,2.2477892323949775,-277.883220074845,0,126,NA,200,100,100,7,569.76644014969,592.8546617155263,15,0,0.7478626004632627,0.22655333279299705,0.3271887026201688,0.30938191565125356,0.13687604893558059,0.09345299485221792,0.032855589356836745,0.10024474858394239,0.10345917392412766,0.08507854396534527,0.06359968164726432,0.0712211609772212,0.03754204384258847,0.6390993956434531,32.71887026201688,30.938191565125354,13.687604893558058,9.345299485221792,3.2855589356836745,10.024474858394239,10.345917392412767,8.507854396534526,6.359968164726432,7.12211609772212,3.7542043842588466,63.90993956434531,200000,200000,0.34962,0.54538,0.53922,0.54315,0.5218,0.815205,-0.6637788624197178,0.3240577441912805,1.0594405279842982,1.628843681126792,2.0902578981924744,3.273098401532214,-1.0790429837162279,0.3628772751333107,1.0815522249063176,1.655692484609409,2.097673017534085,5.967728789198948,3.7850480403105013,4.110242726463129,3,0.24980333811495736,-0.41526412129651,0.03881953094203022,0.02211169692201942,0.02684880348261709,0.007415119341610765,2.694630387666734
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,0.6979032742008007,1.7574838530525798,-0.4402770197335239,0.2243071820961568,0.6691064296019025,0.9132303837461673,1.3232780765549585,-316.6243748732027,0,1150,NA,200,100,100,7,647.2487497464055,670.3369713122418,42,0,0.6381480913835482,0.4008037048405393,0.2115831087232264,0.2381640890607548,0.1494490973754795,0.07030243248464374,0.09674035031689243,0.23376092203900312,0.14793448952372654,0.12208112032636151,0.09183629876636373,0.05099100350624208,0.08345048817529593,0.5037065997020103,21.158310872322637,23.81640890607548,14.94490973754795,7.030243248464374,9.674035031689243,23.376092203900313,14.793448952372653,12.208112032636151,9.183629876636374,5.099100350624209,8.345048817529593,50.370659970201025,200000,200000,0.381455,0.512745,0.51817,0.51065,0.51714,0.67639,-0.8776016866841857,-0.10344985304344088,0.4409090105066545,0.7884999390674827,1.1085203116147495,2.3908756945105494,-1.098618643419175,-0.09603631690995387,0.44841087863010287,0.7910508431084439,1.1162053261657343,3.4009385478244827,0.8753910581078024,0.8791431361723667,3,0.8304579083951686,-0.22101695673498922,0.0074135361334870115,0.007501868123448385,0.002550904040961144,0.007685014550984803,1.0100628533139333
