ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.4621187229613348,1.2270394388538302,-0.6938796671898146,0.19833144830045046,0.5363268111279567,1.0533782644154868,1.6691137227716135,-341.50910275168707,0,124,NA,200,100,100,7,697.0182055033741,720.1064270692104,45,0,0.6098855392196398,0.44283437585223107,0.13513709329563262,0.30525140630716513,0.11677712454497119,0.1483985413198815,0.12270758393496806,0.1717282505973815,0.07689053369612663,0.21254131538761906,0.10068261169661441,0.14910406001217508,0.14880082006497442,0.3119806591424904,13.513709329563262,30.525140630716514,11.677712454497119,14.839854131988151,12.270758393496806,17.17282505973815,7.689053369612663,21.254131538761907,10.06826116966144,14.910406001217508,14.880082006497442,31.19806591424904,200000,200000,0.50143,0.525785,0.50964,0.51586,0.516605,0.56926,-1.0555547191121502,-0.22813598127997098,0.3644192050252594,0.7832161569523965,1.33760103863241,2.716144706867975,-1.0594206580988579,-0.2060886348069481,0.36811678042375295,0.7903594299154522,1.34763388623441,3.010573880354758,11.325533749537634,11.403464470776413,3,0.00973276415275981,-0.0038659389867077287,0.022047346473022866,0.00369757539849358,0.0071432729630556135,0.010032847601999961,0.29442917348678277
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,2.325122300695433,2.0532505109730206,-1.2768853515199354,-0.029690213282080657,1.1935980874325836,2.589656801045949,3.3672216589669985,-277.0633080327068,0,142,NA,200,100,100,7,568.1266160654136,591.2148376312499,40,0,0.8236248348416052,0.26149589337398005,0.027724053516954904,0.3292345850517344,0.38154546805733064,0.1891968980918547,0.03840152078846759,0.033897474493657764,0.0030906514406492513,0.03983331686172523,0.13345119685602028,0.23877403367762093,0.132578624735821,0.4522721764281633,2.7724053516954905,32.92345850517344,38.15454680573306,18.91968980918547,3.840152078846759,3.3897474493657764,0.30906514406492513,3.9833316861725234,13.345119685602027,23.877403367762092,13.2578624735821,45.22721764281633,200000,200000,0.42326,0.56595,0.606775,0.60901,0.551135,0.717545,-1.5036205842513852,-0.5382842057690792,0.5319195379914577,1.7590788921796563,2.9307377164541877,4.3751713116514725,-1.5867311583727801,-0.4671748819976124,0.6615792371720163,1.912558862692148,2.9717612674151095,5.739996478170861,1.7627356440654982,2.5374166113410936,3,0.46856699822614734,-0.08311057412139489,0.07110932377146678,0.12965969918055853,0.15347997051249163,0.041023550960921806,1.3648251665193882
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,4.509184310025278,3.9072082706168754,-0.6637201736138316,-0.05691821612596237,2.1884632934779225,3.7002567278737466,4.471417002521228,-241.2899482908242,0,134,NA,200,100,100,7,496.5798965816484,519.6681181474847,6,0,0.8365330303762664,0.10603518734221917,0.1434163267241401,0.2035355359423592,0.5470129499912815,0.08162097546466607,0.01304819227186338,0.011366019605689726,0.023325807774474117,0.016725280963856042,0.12341588088540348,0.12881823703118284,0.0720383454673818,0.6356764478777017,14.34163267241401,20.353553594235922,54.701294999128145,8.162097546466606,1.304819227186338,1.1366019605689726,2.332580777447412,1.6725280963856042,12.341588088540348,12.881823703118284,7.203834546738181,63.56764478777017,200000,200000,0.28633,0.50909,0.67199,0.62949,0.564835,0.857215,-1.0336096604440717,-0.3471306032632018,0.8284656447151909,2.770489000263419,4.037409734255928,5.475940120553962,-1.5155407305757824,-0.34002252364248503,1.2145163598930682,2.96791054631262,4.087908845921658,9.41159340730477,1.7201818419009651,1.6423661396194493,3,0.6498221853294708,-0.48193107013171077,0.007108079620716745,0.38605071517787726,0.1974215460492008,0.0504991116657294,3.9356532867508074
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,1.4154010932435188,1.909801206730158,-1.3514310485439331,0.03774175851087369,1.3641252134737714,1.9487488808433777,3.430607942342079,-294.730422737215,0,230,NA,200,100,100,7,603.46084547443,626.5490670402663,39,0,0.6419964875818314,0.22555154759570484,0.02100594795139768,0.36075464555382997,0.39268785889906754,0.0927805676255058,0.10092193618207856,0.03184904378812048,0.01415332086893453,0.11365358865601263,0.23019660289322152,0.11137929936131868,0.23662738393634053,0.2939898042841721,2.100594795139768,36.07546455538299,39.26878588990675,9.27805676255058,10.092193618207856,3.184904378812048,1.4153320868934531,11.365358865601264,23.019660289322154,11.137929936131869,23.662738393634054,29.39898042841721,200000,200000,0.35122,0.51354,0.577985,0.535485,0.58097,0.68301,-1.5636274438198872,-0.5166360993465403,0.6329764506175831,1.633382444820809,2.5254629255927674,4.437606372116752,-1.7249714316879383,-0.5012380958710708,0.7344968305656577,1.6548892352020375,2.6434227915248893,5.507992706240246,7.604857140939625,10.544552870733897,3,0.014461695133475283,-0.16134398786805115,0.01539800347546949,0.10152037994807461,0.02150679038122849,0.11795986593212193,1.0703863341234934
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.5705097693992451,1.4981375051148658,-0.9696634935688739,-0.1594828502485599,0.6722695846277796,1.2855688551355973,2.0903440468862335,-338.19208798546896,0,128,NA,200,100,100,7,690.3841759709379,713.4723975367742,12,0,0.6071515160295009,0.39983371997007633,0.07157160059605519,0.2378952969997705,0.290699382434098,0.15827245530002132,0.12525512429768992,0.11630614037236509,0.061076180166937395,0.13527297275272726,0.19649933105083445,0.14485007767935743,0.15817310502931958,0.3041283333208239,7.157160059605519,23.78952969997705,29.069938243409798,15.827245530002132,12.525512429768993,11.630614037236509,6.107618016693739,13.527297275272726,19.649933105083445,14.485007767935743,15.817310502931958,30.41283333208239,200000,200000,0.398575,0.499205,0.525655,0.522865,0.531525,0.62276,-1.2604049581216865,-0.523263139651911,0.24397231497584337,0.9597507087318304,1.6443116004822473,3.121409685189336,-1.387228973912615,-0.5238625593938727,0.2660376087252095,0.973767300310254,1.6684909158470569,3.7223500799197886,12.23334158254582,12.120196240265528,3,0.006982558236089176,-0.1268240157909284,-5.994197419617597e-4,0.02206529374936611,0.01401659157842361,0.02417931536480955,0.6009403947304528
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.8474156117101451,1.5774526138378686,-0.8074690753741932,-0.08169528874085497,1.1353520643673218,1.7437165853783854,2.413520696507521,-322.8627560734875,0,126,NA,200,100,100,7,659.725512146975,682.8137337128113,21,0,0.5653253774014217,0.27480085564473533,0.10622180251397409,0.23163771126460544,0.38733963057668513,0.1143676217787356,0.07482182984385688,0.08561140402214285,0.05755336629785694,0.1073863212847503,0.269734935015971,0.1328069330063687,0.1228830879441497,0.30963535645090334,10.62218025139741,23.163771126460546,38.73396305766851,11.436762177873561,7.4821829843856875,8.561140402214285,5.7553366297856945,10.73863212847503,26.9734935015971,13.28069330063687,12.28830879441497,30.963535645090335,200000,200000,0.428455,0.51495,0.555145,0.526915,0.53069,0.636585,-1.138774926690811,-0.41986816845387065,0.48056011998760884,1.4160540140122415,2.045950829255098,3.436479427029747,-1.2386370598762788,-0.40978141193083795,0.5450778133205267,1.4329682645732484,2.065683792621658,4.134071524004197,8.198524113125387,8.42711138289019,3,0.037962042717541444,-0.09986213318546788,0.010086756523032703,0.0645176933329179,0.016914250561006927,0.019732963366560163,0.69759209697445
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.4410887033052553,1.1907616055813053,-1.127024681009901,-0.3780918472299687,0.48436515914172495,1.1054430278643763,1.5208481134839884,-324.74821054405265,0,132,NA,200,100,100,7,663.4964210881053,686.5846426539416,36,0,0.6187534450104668,0.45994710504328584,0.045663333973894445,0.18668978789605825,0.30769977308676144,0.17810618180779714,0.08554312591865865,0.19629779731683006,0.023948898677646158,0.11279764769921477,0.2445000086126722,0.1829253942654337,0.10359086494071057,0.3322371858043226,4.566333397389444,18.668978789605823,30.769977308676143,17.810618180779713,8.554312591865864,19.629779731683005,2.3948898677646158,11.279764769921478,24.45000086126722,18.29253942654337,10.359086494071057,33.22371858043226,200000,200000,0.499545,0.51866,0.52556,0.518815,0.510835,0.55911,-1.383085806098898,-0.7010453314157956,0.05112988949671547,0.7777943704684332,1.3031122739710808,2.573357271582054,-1.3878218401885611,-0.6877347459189768,0.0735660233778285,0.7881537465578743,1.3069823816321429,2.8348535129682917,1.2205430833318183,1.2206354021463452,3,0.7480594633441591,-0.004736034089663166,0.01331058549681885,0.022436133881113027,0.010359376089441041,0.0038701076610621055,0.26149624138623784
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,1.9533512211093258,2.710640950241297,-0.7330658726911692,0.34792667481633877,1.6149254848435666,2.1479649605942894,2.8354561858901084,-294.10248946345524,0,134,NA,200,100,100,7,602.2049789269105,625.2932004927468,5,0,0.6779277625806168,0.18037264846305412,0.12474890735656693,0.3687914463897307,0.32608699779064826,0.0702056709943003,0.05316438513597421,0.0570025923327796,0.06760333854439354,0.09636472490964154,0.15810417396534815,0.07219727945079957,0.09140248577800969,0.5143279973518076,12.474890735656693,36.879144638973074,32.60869977906483,7.02056709943003,5.316438513597421,5.70025923327796,6.760333854439354,9.636472490964154,15.810417396534815,7.219727945079956,9.14024857780097,51.43279973518076,200000,200000,0.28777,0.51949,0.5807,0.53823,0.548635,0.780185,-1.083363152891211,-0.169611938297339,0.9021962504924513,1.861304517314448,2.4561459876018197,3.8516217841600673,-1.5073253022609423,-0.1497898349816125,1.0032898441751945,1.88191477487071,2.4893121607813953,6.053487028321889,1.3399426275229671,1.313172733363238,3,0.7260074825408255,-0.4239621493697312,0.019822103315726508,0.10109359368274318,0.02061025755626189,0.0331661731795756,2.201865244161822
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.7641093057442652,1.8334486451430274,-1.1753944881793674,-0.10939696297577806,0.9754112975919538,1.9173061929243356,3.3880747495667913,-322.2897284117096,0,132,NA,200,100,100,7,658.5794568234192,681.6676783892555,9,0,0.5898140851120925,0.3141094740512349,0.039186593040968665,0.2885303189751712,0.35817361393262526,0.1774013576247676,0.10349844180029233,0.03320967462617497,0.056125979765042015,0.14369926312412618,0.2103606719987392,0.17657551626561535,0.20062938685499476,0.2126091819914825,3.9186593040968667,28.853031897517116,35.81736139326252,17.74013576247676,10.349844180029233,3.3209674626174968,5.612597976504201,14.369926312412618,21.03606719987392,17.657551626561535,20.062938685499475,21.26091819914825,200000,200000,0.30897,0.476965,0.539345,0.547355,0.5683,0.66333,-1.4213552394018318,-0.5603870952152702,0.40172091857465814,1.3907434623268835,2.4925261866435386,4.395917318987792,-1.6710621176901603,-0.5835509258064913,0.4442939432910187,1.4341931318952457,2.590295818929012,5.335757535032082,6.379013547955715,6.532767456706664,3,0.0883791554213561,-0.2497068782883285,-0.02316383059122107,0.04257302471636054,0.04344966956836216,0.0977696322854733,0.9398402160442902
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,6.866344119337935,3.922342456569743,0.16524575310064332,1.3879918258855222,2.951734660933475,3.5855095654399283,5.227527786606872,-201.368189815358,0,146,NA,200,100,100,7,416.736379630716,439.82460119655224,46,0,0.9336577245289766,0.05090747997986844,0.42840539068768835,0.3507256787780658,0.1699614505543774,0.023565685440617212,0.02198939322440574,0.00535240131484549,0.0040044085966701734,0.0135604164631449,0.048777450411208345,0.03310245340177803,0.11956463523149233,0.7809906358957062,42.840539068768834,35.072567877806584,16.99614505543774,2.3565685440617212,2.198939322440574,0.535240131484549,0.40044085966701737,1.35604164631449,4.877745041120835,3.3102453401778034,11.956463523149234,78.09906358957062,200000,200000,0.55984,0.6432,0.68334,0.57158,0.657845,0.88568499999999994,-0.4991956488799203,0.7129059285780924,1.9988284099647884,3.2364356484021903,4.193027913873092,6.225110715510862,-0.44638763205606946,0.8916196004253469,2.286972371112934,3.281581621571369,4.453578940311671,10.726835017173562,4.217012419140656,4.6955822431915415,3,0.1954942812514756,0.052808016823850834,0.1787136718472545,0.2881439611481458,0.04514597316917879,0.26055102643857886,4.5017243016626995
