ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,2.049297771275101,2.6282210681728113,-0.3996031040061845,1.362376646843586,1.8081446718274128,2.6616134928927306,3.778782603012261,-287.3227756209397,0,130,NA,200,100,100,7,588.6455512418794,611.7337728077157,25,0,0.6658270237995925,0.15122237330395516,0.225095006254388,0.5490070881142606,0.07467553232739621,0.08376962957005185,0.044861346383356704,0.022591397350546605,0.07894511230679016,0.1939412869834836,0.06128657691013384,0.11868732189486164,0.1429318969009183,0.4042078050038125,22.5095006254388,54.90070881142606,7.467553232739621,8.376962957005185,4.48613463833567,2.2591397350546605,7.894511230679016,19.39412869834836,6.128657691013384,11.868732189486163,14.293189690091829,40.42078050038125,200000,200000,0.34832,0.59254,0.531195,0.561535,0.57455,0.763255,-0.8506161860210371,0.40228969867452985,1.5724830187681937,2.1821160183598276,3.1235184814126296,4.786936561942832,-1.1865498355421846,0.5611107384616443,1.5869612070591188,2.2330245936167588,3.205686344345189,6.76294116809019,4.7969796711044,8.928704371501492,3,0.030253973838102355,-0.33593364952114757,0.15882103978711443,0.014478188290925065,0.050908575256931154,0.08216786293255929,1.9760046061473586
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,2.0809002459890675,4.648706900740191,0.3543889540573353,1.086895899665683,2.4392722987481106,2.8797399431369137,3.0437488191413657,-252.2471025856336,0,138,NA,200,100,100,7,518.4942051712671,541.5824267371034,44,0,0.6037880099097162,0.08352849345399571,0.4957903994500938,0.2179315886251692,0.2027495184707413,0.028926411364227356,0.008063898124884061,0.046538183964884294,0.23462727017110377,0.05521903621921451,0.10636568369996563,0.03458736477564933,0.012761343432484307,0.5564393017015825,49.57903994500938,21.793158862516922,20.274951847074128,2.8926411364227356,0.8063898124884061,4.653818396488429,23.462727017110378,5.52190362192145,10.636568369996564,3.4587364775649334,1.2761343432484307,55.64393017015825,200000,200000,0.220135,0.53514,0.59071,0.532765,0.51189,0.86889,-0.3977789697455501,0.6985405553714966,1.6429525749531222,2.644296327935685,2.9595838485381494,4.059185025482893,-1.7851054545971397,0.724286411315431,1.7648026031382784,2.659691514056762,2.9614817638758044,8.668582127804168,5.049689331336563,4.881902657933348,3,0.18065189823492678,-1.3873264848515896,0.025745855943934415,0.12185002818515622,0.015395186121077042,0.0018979153376550428,4.6093971023212745
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,4.908651563450534,5.26227689103486,1.0634309673512203,1.5493758575885936,3.04171241783074,4.723576288167703,5.124201887131811,-214.6873846549003,0,134,NA,200,100,100,7,443.3747693098006,466.4629908756369,8,0,0.7596992046966611,0.046630803913545904,0.7080297484511461,0.10062720619340837,0.14471224144189965,0.037786792064560926,0.002910718765462783,0.005933293083522195,0.12536030877875431,0.02520012880733971,0.08974035771724492,0.11464294667539512,0.02800039276356675,0.6170558652576992,70.8029748451146,10.062720619340837,14.471224144189964,3.7786792064560926,0.2910718765462783,0.5933293083522195,12.536030877875431,2.520012880733971,8.974035771724493,11.464294667539512,2.8000392763566753,61.70558652576992,200000,200000,0.374005,0.535995,0.62355,0.637385,0.53304,0.890145,-0.0731654393320264,1.2923742076946843,2.1355532457488047,3.6619098085852526,4.910999704036813,6.1239129367237455,-0.7837842935927664,1.3098955478270307,2.319344205852218,3.8934039085176915,4.924260000596795,11.701639327740558,5.905160052612224,5.949122419998816,3,0.1141119381708472,-0.7106188542607399,0.017521340132346408,0.18379096010341334,0.23149409993243886,0.013260296559981732,5.577726391016813
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,2.2584435817350035,2.2545619804035604,-0.5724945167322477,0.319895952126936,1.9012814461737777,3.5674769242492292,4.2794712056140645,-295.2857568824135,0,128,NA,200,100,100,7,604.571513764827,627.6597353306634,26,0,0.6901463815074499,0.13875570247648195,0.1698765080093752,0.31385532237750813,0.3775124671366347,0.11092337896268456,0.014077809337425529,0.013754514176371857,0.029893474060960483,0.06426585351320341,0.2156942909183862,0.2616103032005883,0.0934956576712429,0.3350404206356187,16.98765080093752,31.385532237750812,37.75124671366347,11.092337896268456,1.4077809337425529,1.3754514176371857,2.9893474060960483,6.426585351320341,21.56942909183862,26.16103032005883,9.34956576712429,33.50404206356187,200000,200000,0.43318,0.550245,0.621405,0.614955,0.54451,0.723655,-0.9675478967886881,-0.11595972982291822,0.9802894909911264,2.527896954945604,3.8817384305704876,5.285011734869028,-1.0909226021683727,-0.07215894012228885,1.1714421837859543,2.71688635013672,3.9143676019122933,6.760997678986915,0.8004612067130791,0.7820971676590757,3,0.8537441869089407,-0.12337470537968453,0.04380078970062937,0.19115269279482794,0.18898939519111613,0.03262917134180565,1.4759859441178875
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,1.8395694009267014,2.393094035323551,0.3092849486992337,1.2836008912704735,2.1251926405298054,3.0928748964212276,3.8623423336162324,-301.2338972004537,0,234,NA,200,100,100,7,616.4677944009075,639.5560159667438,38,0,0.5883139988786261,0.11255609285989887,0.4799988379722895,0.27802691518348077,0.12941815398433087,0.06819865114232038,0.023558086261082134,0.02079935545649636,0.15025005854705395,0.13297145998283097,0.1284644825914889,0.1413598021560753,0.09782237266659544,0.34913182405595544,47.99988379722895,27.802691518348077,12.941815398433087,6.819865114232037,2.3558086261082134,2.079935545649636,15.025005854705395,13.297145998283098,12.84644825914889,14.13598021560753,9.782237266659543,34.91318240559554,200000,200000,0.44709,0.558685,0.55776,0.56397,0.548105,0.736975,-0.42111522732365253,0.75547114283145,1.6568370570499378,2.539260235483471,3.4301646914400608,4.870112790851065,-0.5900925983506989,0.8135610614934689,1.7061183706087037,2.6002305214692214,3.466461978131833,6.519318239043284,0.5375827989607279,0.5310153433421498,3,0.9120265111965146,-0.1689773710270464,0.05808991866201885,0.04928131355876597,0.06097028598575038,0.036297286691772346,1.6492054481922187
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,2.7113723772365357,2.283449141674458,-0.5819654642873606,0.5086703597760818,1.9547236874483602,3.112558727550627,4.418174387631719,-293.093434100496,0,128,NA,200,100,100,7,600.186868200992,623.2750897668283,22,0,0.7516370689962755,0.13203474865910825,0.16703493822136162,0.38106669182255115,0.319863621296979,0.08852280259970557,0.031528108922954434,0.011983837136448239,0.014548537643983584,0.0579754512831672,0.1758389420765737,0.18383338406814248,0.19058194017704,0.37722174475109305,16.70349382213616,38.10666918225512,31.9863621296979,8.852280259970557,3.1528108922954434,1.1983837136448239,1.4548537643983583,5.79754512831672,17.58389420765737,18.383338406814246,19.058194017704,37.722174475109306,200000,200000,0.474885,0.58481,0.62883,0.59262,0.58574,0.73171,-0.9760351680348701,-0.03011067774322825,1.1140335753915673,2.4327039100706167,3.6304148043622044,5.42154162472988,-1.0309653838408754,0.06022192334495936,1.3001014328732752,2.5382374115636175,3.7435661931060538,6.975587032700555,0.5334495306095416,0.5377966366654329,3,0.9105125589758327,-0.05493021580600532,0.09033260108818761,0.18606785748170784,0.10553350149300078,0.11315138874384933,1.5540454079706754
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,2.200895739167952,1.8898745713134946,-1.0527852125115857,-0.12721270362976078,1.7628420523800084,3.555168309224201,4.33245775022638,-265.7690308000139,0,390,NA,200,100,100,7,545.5380616000278,568.6262831658642,44,0,0.7165883074868498,0.15764740835996505,0.05694773406702818,0.26426278415909316,0.5211420734139136,0.12947529183827877,0.015122782425882608,0.013049334095803666,0.0037212836686474943,0.028740713493649237,0.25094969535085343,0.33018770267796976,0.10985551794344395,0.2765450868654361,5.694773406702818,26.426278415909316,52.114207341391364,12.947529183827877,1.5122782425882608,1.3049334095803666,0.3721283668647494,2.874071349364924,25.094969535085344,33.018770267796974,10.985551794344396,27.65450868654361,200000,200000,0.491215,0.572995,0.664265,0.616655,0.54057,0.67719,-1.324861611369633,-0.5322808819099086,0.6741430984752786,2.4233793524496017,3.8950714114301626,5.341528484763192,-1.3452862995530592,-0.4710616526427663,0.9807991443498676,2.6320668470449466,3.9287684847546194,6.382889716095935,0.9571557942624118,4.281361279250205,3,0.23264127012489777,-0.020424688183426243,0.06121922926714235,0.30665604587458895,0.20868749459534497,0.03369707332445682,1.0413612313327434
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,2.0960152850799947,2.084563946593902,-0.3348453177794033,0.7004487446152821,2.805007122164609,5.116555667253678,6.897143030652824,-282.89290773821875,0,152,NA,200,100,100,7,579.7858154764375,602.8740370422738,30,0,0.5091851684293655,0.05871219898630953,0.24715881693857686,0.3615821071434693,0.3325468769316443,0.05273350116179942,0.004968539620206824,0.0010101582043032797,0.04037561678087409,0.10144184726257172,0.34899736752718874,0.299910856996236,0.11416562061285329,0.09510869082027618,24.715881693857686,36.15821071434693,33.25468769316443,5.273350116179943,0.49685396202068244,0.10101582043032797,4.037561678087409,10.144184726257171,34.89973675271887,29.9910856996236,11.41656206128533,9.510869082027618,200000,200000,0.490495,0.57324,0.649825,0.62592,0.581205,0.6835,-0.806956759421198,0.17053694257676494,1.4767131005241998,3.5625020894024306,5.756907244346102,7.8978674747004876,-0.8518912824965538,0.24634441867741255,1.7861383248928882,3.8389959644657035,5.901835347610054,9.038442739247305,7.254092694896167,8.222706111633016,3,0.04162643363543872,-0.044934523075355726,0.07580747610064761,0.30942522436868836,0.27649387506327283,0.14492810326395222,1.1405752645468175
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,4.088193402746828,2.8179182912101384,-0.6859573316608876,1.4405356959395033,2.4337527086759847,2.7789594524894277,3.2813917401097603,-205.033929784106,0,134,NA,200,100,100,7,424.067859568212,447.15608113404824,14,0,0.8345010640038905,0.08397083484476853,0.13728834286638975,0.6518600714991423,0.12688075078969951,0.023756829414449232,0.023335295894002406,0.03687870953631689,0.004329274873242242,0.07306018609061632,0.08810947503225101,0.03814261139817374,0.060437499484014,0.7359209531217027,13.728834286638975,65.18600714991423,12.688075078969952,2.375682941444923,2.3335295894002406,3.687870953631689,0.43292748732422415,7.306018609061632,8.810947503225101,3.814261139817374,6.0437499484014,73.59209531217027,200000,200000,0.457175,0.69681,0.601255,0.533965,0.546075,0.82726,-1.0494785221299157,0.29882727926630054,1.8678327861726687,2.597130558704495,3.0101093766341465,4.289392610337629,-1.1318099988802373,0.705317804024467,1.9693908838984506,2.608859359656203,3.0334076034149406,7.081555253909176,1.1464383389940835,1.9954947036167507,3,0.573342322033688,-0.0823314767503216,0.40649052475816644,0.10155809772578195,0.011728800951707807,0.023298226780794185,2.7921626435715474
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,2.64816061841265,1.7666863126034953,-0.2872215323031928,0.988187628105271,2.0174145903922196,3.168506341664605,4.224017668641307,-293.1796949084021,0,130,NA,200,100,100,7,600.3593898168042,623.4476113826405,43,0,0.7604678008989714,0.12453392521061668,0.26375901328632323,0.42542240442880674,0.18628465707425335,0.08334005447010884,0.026660801557758407,0.014533069182749436,0.0051574982746606605,0.07222847729858384,0.16214622352778407,0.23525903430115924,0.18896417505174873,0.33624459154606345,26.375901328632324,42.542240442880676,18.628465707425335,8.334005447010885,2.6660801557758407,1.4533069182749436,0.515749827466066,7.222847729858383,16.214622352778406,23.525903430115925,18.896417505174874,33.62445915460634,200000,200000,0.673985,0.67473,0.60951,0.589735,0.56456,0.672255,-0.7763276761196157,0.31525709261463164,1.436845643102079,2.4935099348765095,3.607354371067061,5.231805979292346,-0.5749015269131548,0.5357463946225449,1.5470289173398775,2.5952666192105243,3.672739610613487,6.178336071558374,1.3065921205843838,1.2073352597085676,3,0.7512455563636604,0.20142614920646096,0.22048930200791328,0.11018327423779839,0.10175668433401475,0.06538523954642583,0.9465300922660278
