ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,1.6397639176089407,2.0953217785640845,1.1863222671528049,1.4237624907167175,1.832102897839041,2.2757289666078404,2.902141420936248,-224.8172166931329,0,262,NA,200,100,100,7,463.6344333862658,486.72265495210206,28,0,0.47706747977325614,0.13798794873216025,0.7660826594793858,0.039844919228250286,0.05608447256020366,0.04483482382258208,0.041105318446693406,0.05204780646288476,0.44610848351268423,0.02814244724970305,0.04868158946435658,0.05236944527201037,0.070920215326848,0.35377781917439777,76.60826594793858,3.9844919228250286,5.608447256020366,4.483482382258208,4.110531844669341,5.2047806462884765,44.61084835126842,2.814244724970305,4.868158946435658,5.236944527201038,7.0920215326848,35.377781917439776,200000,200000,0.410085,0.51095,0.522865,0.52578,0.53814,0.738785,-0.7106332803124678,1.3022436041764032,1.6188663577389921,2.0409516783218438,2.560987539615063,3.93231892139623,-1.5929599452903707,1.3052008705754083,1.6278655874696555,2.0527812321407626,2.5850015323698665,5.490797635034353,8.197911045057975,8.243261809332477,3,0.04124285660752658,-0.8823266649779029,0.002957266399005176,0.00899922973066336,0.011829553818918814,0.024013992754803315,1.5584787136381228
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,1.385204861786001,1.5115853850160126,-5.677120417618626,-2.473672083749635,1.1303424484342703,3.1331375869776834,4.0059964481147805,-239.5541742630418,0,560,NA,200,100,100,7,493.1083485260836,516.1965700919199,10,0,0.5420519340843337,0.24409790879669135,0.003411722533807003,0.07431287632676564,0.6781774923427359,0.20233703891942945,0.0238802678540061,0.01788060202325581,0.009265660971592753,0.062968430632029,0.38571397431204457,0.3027221130343179,0.08922806681390649,0.15010175423610927,0.3411722533807003,7.431287632676565,67.81774923427359,20.233703891942945,2.38802678540061,1.788060202325581,0.9265660971592753,6.296843063202901,38.57139743120446,30.27221130343179,8.92280668139065,15.010175423610928,200000,200000,0.39605,0.430525,0.538445,0.5973,0.53968,0.62591,-6.676307494887639,-3.3663661031038363,-0.41525451799926993,1.8882566835894379,3.5100747788244533,5.014437155346979,-7.191009499138876,-3.580090408878022,-0.2972829778645743,2.0798840875580655,3.543526511497129,5.644434601415146,2.239621330749259,3.7197163754422675,3,0.29336358121032835,-0.5147020042512374,-0.21372430577418555,0.11797154013469563,0.19162740396862765,0.03345173267267576,0.6299974460681668
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,2.2856612340414135,1.5459697122642586,-1.5392198696722008,-0.12344318184517467,0.8444741128506199,1.4330409722497073,2.3733484234773017,-320.54751041238325,0,138,NA,200,100,100,7,655.0950208247665,678.1832423906028,30,0,0.7175258824931625,0.3005933216665615,0.17664871139011068,0.2925296221543905,0.23022834478893733,0.1079680139746575,0.1073975874210179,0.0852277202708861,0.07769404859858382,0.09619483164881552,0.10858523725943808,0.08303965505469457,0.1486623926931176,0.4858238347453504,17.66487113901107,29.252962215439048,23.022834478893735,10.79680139746575,10.73975874210179,8.52277202708861,7.7694048598583825,9.619483164881553,10.858523725943808,8.303965505469456,14.866239269311759,48.58238347453504,200000,200000,0.40718,0.516315,0.54291,0.53593,0.56246,0.702375,-2.641537545141281,-0.768706458085103,0.3468120646652124,1.1239969315269518,1.8497441590330885,3.4176431422906086,-3.149688925708871,-0.749798028621447,0.38849925160872056,1.1455252980442834,1.9080694637831306,4.494316433888551,6.169776865700749,6.126827600309874,3,0.10560020876654908,-0.5081513805675901,0.018908429463656007,0.04168718694350815,0.021528366517331587,0.05832530475004205,1.0766732915979427
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,2.064377597061036,1.5810927914670077,-0.6800813664105925,0.7224515833380876,2.1418720427799416,2.8514154559833944,4.032810795532035,-316.30383778728424,0,122,NA,200,100,100,7,646.6076755745685,669.6958971404048,18,0,0.4877491479074565,0.10509319628414493,0.336243142697794,0.33690350111608103,0.22176015990198006,0.05048499968444298,0.03719244102175756,0.017415755577944392,0.14984735210751682,0.149851303926753,0.2125521960582737,0.10968685067593242,0.15449243438939075,0.22356986284213332,33.6243142697794,33.690350111608105,22.176015990198007,5.048499968444298,3.719244102175756,1.7415755577944392,14.984735210751682,14.9851303926753,21.25521960582737,10.968685067593242,15.449243438939074,22.35698628421333,200000,200000,0.418395,0.54335,0.58414,0.545925,0.563085,0.65207,-1.8990230461914697,0.019248232673006647,1.3349964455445706,2.461341835497654,3.3357028081417113,5.043808374455281,-2.3903544843260613,0.08023212938898444,1.4521635552877754,2.493270829400918,3.4134279724361476,5.822067621383421,4.092084215493769,7.374513929081133,3,0.06087192119468865,-0.4913314381345917,0.060983896715977794,0.11716710974320477,0.03192899390326387,0.07772516429443632,0.7782592469281395
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,1.7566371351555838,1.3299705220341267,-4.374017528188872,-0.9589125736814439,1.3931534489692519,3.3062181649355784,4.693470665680966,-268.1385158410832,0,2422,NA,200,100,100,7,550.2770316821664,573.3652532480027,1,0,0.5679033761014524,0.19890480385189213,0.012443718542402253,0.2646522500154374,0.5239992275902683,0.16354631924381557,0.02628667819794228,0.009071806410134275,0.009857493498736358,0.10502486259719718,0.3172142678026141,0.3301659633702456,0.13872037855366226,0.09901703417754448,1.2443718542402253,26.46522500154374,52.39992275902683,16.354631924381557,2.628667819794228,0.9071806410134275,0.9857493498736358,10.502486259719717,31.721426780261407,33.01659633702456,13.872037855366226,9.901703417754447,200000,200000,0.42982,0.47456,0.593085,0.599755,0.551585,0.58636,-5.38257524252481,-1.9763466456639,0.17389918499573295,2.1153161701605936,3.8502997959074743,5.69646122272586,-5.713902779264402,-2.059757513083181,0.3841804334290154,2.3021922377333848,3.918507380307881,6.088571707328037,1.6685213538666899,5.375406260716282,3,0.14628355280243832,-0.33132753673959225,-0.08341086741928105,0.21028124843328247,0.18687606757279118,0.06820758440040686,0.3921104846021768
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,3.2939944084536585,1.9455628241915162,-1.0110333647719922,0.5795514923530034,1.7412698941090907,1.9051746753058616,3.1472537433855514,-287.9110839181563,0,134,NA,200,100,100,7,589.8221678363126,612.9103894021489,6,0,0.689564695961567,0.1491517062040284,0.26677766831397215,0.37418652988893103,0.20988409559306842,0.01962778275883137,0.0883242986065168,0.04119962483868023,0.09861211123851146,0.0999673109605739,0.11185588183934764,0.018315686924028074,0.1524021309552041,0.5188468780823348,26.677766831397214,37.4186529888931,20.98840955930684,1.962778275883137,8.832429860651681,4.119962483868022,9.861211123851147,9.99673109605739,11.185588183934764,1.8315686924028074,15.24021309552041,51.88468780823348,200000,200000,0.36498,0.537765,0.574155,0.51247,0.595525,0.767975,-2.173828564407607,-0.19557022172941224,1.103539492237205,1.8216716163874682,2.419179126199424,4.166163717391607,-3.0589755870736544,-0.1385677111291379,1.1879679781242671,1.8235383036568857,2.539086408175402,5.884825730486385,6.680249025730991,10.019896491610586,3,0.018397762925767114,-0.8851470226660472,0.057002510600274336,0.08442848588706209,0.0018666872694175218,0.11990728197597811,1.7186620130947787
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,2.1365019116102837,1.3462272531956145,-4.267673653840728,-1.798899322671292,1.5334314671579201,3.330624963316345,3.9057737630992833,-241.41653838742383,0,158,NA,200,100,100,7,496.83307677484765,519.921298340684,11,0,0.6101566555489604,0.1774921758288488,0.013820659953100656,0.1281644424974094,0.6805227217206411,0.14295678956560232,0.014807050255387089,0.019728336007859393,0.008517080085137333,0.04249752185231246,0.3388287425135899,0.31843033523708036,0.07994887879636392,0.21177744151551603,1.3820659953100656,12.816444249740941,68.05227217206411,14.29567895656023,1.4807050255387089,1.9728336007859393,0.8517080085137333,4.249752185231246,33.88287425135899,31.843033523708037,7.9948878796363925,21.177744151551604,200000,200000,0.425705,0.468375,0.62161,0.609735,0.52675,0.61247,-5.273265815392166,-2.621398863630307,-0.08803857150596323,2.2213716717950103,3.592392244504285,4.915998596880259,-5.62253569333977,-2.690767403858251,0.2809223031365357,2.411645201610916,3.6078342226181928,5.411026059900337,1.8703820445177282,7.439457346852656,3,0.05913462830228511,-0.349269877947604,-0.06936854022794403,0.36896087464249894,0.19027352981590573,0.015441978113907684,0.4950274630200777
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,1.5543655809096721,1.5703188473562006,-1.9499535541262039,-0.5892190912369706,1.230588386085862,2.7364593949818827,4.043999275686991,-319.8011470537603,0,420,NA,200,100,100,7,653.6022941075206,676.6905156733569,7,0,0.5513645687671046,0.22607846099584594,0.12455842272540975,0.23225562836481306,0.41710748791393126,0.16522251761077178,0.043630619878710974,0.017225323506363188,0.09694871705438075,0.10646989398930641,0.24521682018920823,0.23114721586721254,0.1501897943760684,0.17002755852382367,12.455842272540975,23.225562836481306,41.71074879139313,16.52225176107718,4.363061987871097,1.7225323506363188,9.694871705438075,10.646989398930641,24.521682018920824,23.114721586721252,15.018979437606838,17.002755852382368,200000,200000,0.390495,0.49015,0.55748,0.58155,0.56471,0.63954,-3.0183538373923406,-1.1868579940351633,0.280948379558878,1.8472464011051473,3.261501318507162,5.050288698674469,-3.6050127491442643,-1.2014943873151989,0.3834930337006677,1.9664902062126743,3.342099167119432,5.76586121155136,3.458456690682413,3.766579416776335,3,0.28779751063260917,-0.5866589117519236,-0.01463639328003552,0.10254465414178965,0.11924380510752708,0.08059784861226982,0.715572512876891
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,3.260447411694011,1.8583977201817408,-0.7293494579490556,0.5558268185861401,1.231541120031789,1.8802525459407406,2.1954745746779025,-277.78602194686664,0,122,NA,200,100,100,7,569.5720438937333,592.6602654595696,30,0,0.7487111735419327,0.22591180750950002,0.32533750062374944,0.3101488972441613,0.13860179462258926,0.09355193922139393,0.03220225776154495,0.10015761052656114,0.10462112056989793,0.08455831908137938,0.0621093868067899,0.07112954778257002,0.03811274135088211,0.6394688844084806,32.53375006237494,31.01488972441613,13.860179462258927,9.355193922139392,3.220225776154495,10.015761052656114,10.462112056989794,8.455831908137938,6.21093868067899,7.112954778257002,3.811274135088211,63.946888440848056,200000,200000,0.38498,0.53749,0.538225,0.5477,0.526855,0.7913,-1.942382833038121,-0.08190510646500179,0.8778401233374031,1.5319985773436757,2.0315328415893736,3.250382372688102,-2.6930087280365593,-0.032639142890223106,0.9040154503913594,1.5630388020929722,2.039054737041968,5.157921604868148,3.626159619526799,3.9158464705063825,3,0.27069574691946363,-0.7506258949984383,0.049265963574778686,0.02617532705395631,0.031040224749296463,0.007521895452594407,1.9075392321800466
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,1.212776695882271,1.4232022809009655,-1.3029810785657021,-0.2011431436733193,0.40476273509832394,0.7099103121491954,1.1909423835903843,-316.6278732072729,0,124,NA,200,100,100,7,647.2557464145458,670.3439679803821,42,0,0.6382423556055982,0.40016858135613065,0.21366373382929657,0.23621933800273945,0.14994834681183333,0.07054992312567043,0.09652822464535271,0.2330904335851075,0.14583181903351417,0.12439387990262168,0.09153194545826598,0.05081641741695048,0.08359059370909061,0.5038353444795571,21.366373382929655,23.621933800273943,14.994834681183333,7.054992312567043,9.652822464535271,23.30904335851075,14.583181903351417,12.43938799026217,9.153194545826599,5.081641741695048,8.359059370909062,50.38353444795571,200000,200000,0.425015,0.506155,0.517465,0.50844,0.51992,0.665355,-2.42695399282409,-0.7170401161367941,0.10067624558871369,0.5553713830146402,0.9419458468736919,2.329657276232555,-2.8389670477186324,-0.7102506342313915,0.11003897967548228,0.5586642659653838,0.9517771823820128,3.1712068291499307,0.8827137917690283,0.8861398043127512,3,0.8287712397140304,-0.4120130548945422,0.006789481905402628,0.00936273408676859,0.003292882950743592,0.0098313355083209375,0.8415495529173755
