ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.6907985463594786,1.1277751739027126,-1.9520468804951148,-0.2779625008041351,0.2076381666358913,0.8674409819193801,1.5739364678779388,-341.83590728469557,0,350,NA,200,100,100,7,697.6718145693911,720.7600361352274,25,0,0.6054960914012197,0.4482761583990784,0.12433033817590175,0.3066230285771542,0.12077047484786568,0.15248909911799324,0.12413111828680812,0.17165594099427706,0.08759059663580346,0.2099573173247651,0.0969559946382117,0.14457351510390337,0.14726607086874466,0.3136565054285717,12.433033817590175,30.662302857715417,12.077047484786569,15.248909911799323,12.413111828680812,17.165594099427707,8.759059663580345,20.99573173247651,9.69559946382117,14.457351510390337,14.726607086874466,31.36565054285717,200000,200000,0.47598,0.51205,0.51054,0.517715,0.52154,0.562475,-3.0176157181149237,-1.0061531110101463,-0.03497827701080003,0.5287526410885324,1.1985562837293464,2.6711885429397833,-3.130731711060515,-0.9848488251680745,-0.02945010984316866,0.5402481184632885,1.2125422084697748,2.9255279737258055,11.943943366046234,12.057073536793432,3,0.007190186032125623,-0.11311599294559116,0.02130428584207178,0.005528167167631371,0.011495477374756091,0.013985924740428368,0.2543394307860223
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,2.98167480580164,1.2036746694378588,-3.6081981501105314,-0.6105962935505058,1.0686662857536533,2.5479878550486696,3.221337302937661,-276.8792461152973,0,148,NA,200,100,100,7,567.7584922305946,590.8467137964309,50,0,0.8305185737215204,0.25565680247431843,0.02638556853382744,0.3255376187676745,0.3924200102241796,0.18309502307179426,0.03419116858888682,0.03837061081363735,0.004173592642375293,0.04396110360019795,0.12134673003590632,0.24140492332830954,0.13872710834830498,0.4503865420449059,2.638556853382744,32.55376187676745,39.24200102241796,18.309502307179425,3.419116858888682,3.837061081363735,0.4173592642375293,4.396110360019795,12.134673003590631,24.140492332830952,13.872710834830498,45.03865420449059,200000,200000,0.458455,0.524895,0.607165,0.62826,0.55378,0.639965,-4.620322576446158,-1.6171009335049715,0.2029099680146013,1.6835369611004478,2.8513581114503364,4.240158646181374,-4.8152128997364425,-1.5634208960833178,0.3812134369602472,1.872788258096848,2.88617356674997,4.817757875547897,1.2385272972982684,2.1692927765220964,3,0.5380220346421957,-0.19489032329028433,0.053680037421653726,0.1783034689456459,0.1892512969964002,0.03481545529963359,0.5775992293665224
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,5.2891488518148275,1.8622918212482504,-1.7690017505624438,-0.625679133188437,2.1725478271603076,3.638000355028223,4.274665771201011,-241.0578979081081,0,136,NA,200,100,100,7,496.1157958162162,519.2040173820525,46,0,0.8420458797222046,0.10224293301807674,0.14566651492817262,0.20282441074928326,0.5492661413044674,0.07661225341874345,0.011904996500347043,0.013725683098986252,0.022095572617153263,0.0179794613801792,0.117879086280463,0.13385334400189527,0.07527588892927956,0.6329166467910297,14.566651492817261,20.282441074928325,54.92661413044674,7.661225341874345,1.1904996500347043,1.3725683098986252,2.2095572617153265,1.79794613801792,11.7879086280463,13.385334400189528,7.527588892927955,63.291664679102965,200000,200000,0.36728,0.499395,0.67286,0.641785,0.560465,0.79832,-2.847814751958333,-1.1402263469874703,0.5767722530981784,2.7523762023695144,3.9236784532062243,5.279503258987918,-3.656107879566901,-1.1420996016851168,1.0522560789804214,2.956977845004379,3.9624364359341944,7.230732449994759,1.170681573989677,1.1782653741871405,3,0.7582217525926822,-0.8082931276085681,-0.0018732546976465425,0.475483825882243,0.2046016426348647,0.03875798272797004,1.9512291910068411
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,2.1432450625444646,1.5126349417775138,-4.014669480531644,-0.5574668599119303,1.243795068047986,1.9151096333955424,3.4399728958759086,-294.46721673291836,0,148,NA,200,100,100,7,602.9344334658367,626.022655031673,21,0,0.6444255459050199,0.22377609010762955,0.017728931042307904,0.3464048507643664,0.4120901280856962,0.0953681912268024,0.09733859878901419,0.031069300091812968,0.016774390538956928,0.126858882566257,0.2119411809897662,0.10679188403642648,0.2397224193828339,0.2979112424857595,1.7728931042307903,34.64048507643664,41.20901280856962,9.53681912268024,9.733859878901418,3.106930009181297,1.6774390538956927,12.685888256625699,21.19411809897662,10.679188403642648,23.97224193828339,29.79112424857595,200000,200000,0.398165,0.46949,0.57653,0.543575,0.592585,0.65752,-5.024048066451084,-1.6342423010789988,0.2991255752160616,1.5549371137554358,2.5169998035459282,4.453967942495655,-5.537696085124176,-1.746321939889149,0.4365484417468711,1.5847099498144916,2.657984862107283,5.23170386440803,6.647386087162363,10.018140862140601,3,0.018412559230581493,-0.5136480186730914,-0.11207963881015015,0.13742286653080948,0.029772836059055896,0.14098505856135457,0.7777359219123747
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.9750745538355501,1.3704579667994203,-2.661894624517317,-0.8638147809066061,0.3983860377140813,1.166198833041297,2.075685955673002,-337.6270123164255,0,142,NA,200,100,100,7,689.254024632851,712.3422461986873,7,0,0.6036746327103676,0.40170017335917574,0.06525966449883801,0.23128328076426768,0.30175688137771856,0.16415742317477644,0.1260601749096295,0.11148257527476979,0.06575304066437834,0.1414601053608705,0.18911222126438357,0.1384832730145208,0.1558280413454921,0.3093633183503547,6.525966449883801,23.12832807642677,30.175688137771857,16.415742317477644,12.606017490962952,11.148257527476979,6.575304066437834,14.14601053608705,18.911222126438357,13.848327301452079,15.58280413454921,30.936331835035467,200000,200000,0.42191,0.48375,0.519045,0.52645,0.53884,0.6234,-3.6972060934551716,-1.5858693330542593,-0.2176973889461246,0.7654243469888042,1.5758751932011112,3.1360580884118767,-4.079040373990115,-1.6178896271221908,-0.19351214900342759,0.7850774782391328,1.6092216183097208,3.7185228644538975,11.022737676307923,10.990044902178752,3,0.011779828532875625,-0.3818342805349437,-0.0320202940679315,0.024185239942697,0.019653131250328526,0.03334642510860952,0.5824647760420207
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,1.2987469453827822,1.3377126157743906,-2.228166485181699,-0.74132890562823,0.956887423418596,1.6513959860301761,2.3594088058982474,-323.23146540926075,0,140,NA,200,100,100,7,660.4629308185215,683.5511523843578,28,0,0.5635433689687035,0.27750181715500943,0.09724949014461995,0.22546412692265747,0.39978456577771315,0.11658144983078911,0.07459955703047583,0.0863208102937445,0.0668243753289233,0.11189501362110546,0.2577372420812677,0.12906955573499906,0.12292581147610016,0.31154800175760433,9.724949014461995,22.546412692265747,39.97845657777132,11.65814498307891,7.459955703047583,8.63208102937445,6.68243753289233,11.189501362110546,25.77372420812677,12.906955573499907,12.292581147610015,31.154800175760432,200000,200000,0.43109,0.49803,0.55053,0.532005,0.53272,0.621845,-3.2818695967441447,-1.37525605305274,0.09533098957040452,1.2818161406238913,1.9737634048333186,3.4049578233325986,-3.6077317439862666,-1.380491781286696,0.1800749990974722,1.303887833704504,1.9979582947857488,3.956502771811707,8.82340469522364,9.164530054436606,3,0.027181493024175385,-0.3258621472421219,-0.005235728233955905,0.08474400952706769,0.02207169308061263,0.024194889952430243,0.5515449484791084
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.6801237132698639,0.982735236437585,-3.0092643354815864,-1.168663671636498,0.1811095676994645,0.933738360374299,1.384641386027926,-324.55747356398047,0,278,NA,200,100,100,7,663.1149471279609,686.2031686937972,44,0,0.6242861128330739,0.454845964227795,0.04700909190673771,0.1900875249334724,0.3080574189319949,0.17267906613979656,0.08190229091681467,0.20026460717118377,0.02288319314443726,0.10936021620339856,0.2434704778190903,0.1884479500345505,0.10776100328359639,0.328077159514927,4.700909190673771,19.008752493347238,30.80574189319949,17.267906613979655,8.190229091681466,20.026460717118375,2.288319314443726,10.936021620339856,24.34704778190903,18.84479500345505,10.77610032835964,32.807715951492696,200000,200000,0.507245,0.52074,0.53219,0.52158,0.509775,0.524215,-4.034370773517517,-1.8828326503062864,-0.460830875133212,0.5446878543807973,1.150585130414823,2.4956042461210615,-4.00564062915744,-1.8506596122325814,-0.4147966336260925,0.5600754708209175,1.1555373434601042,2.577752689761388,0.8484394298960086,0.8391614420019062,3,0.8400790007378789,0.028730144360077148,0.032173038073705085,0.046034241507119544,0.015387616440120211,0.004952213045281262,0.08214844364032636
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,2.933965248523322,1.8847270968585605,-1.9686870452465688,-0.0518382474895116,1.5236628131034626,2.1072235761693663,2.81511214689436,-293.9268413851875,0,154,NA,200,100,100,7,601.853682770375,624.9419043362113,37,0,0.6788036705407378,0.17892278467771372,0.12252998102480664,0.3645133584052823,0.33403387589219735,0.07052607686777024,0.051883721718101294,0.05651298609184219,0.0690578134042273,0.10114225740437434,0.1509962586506606,0.07086558935274029,0.09217801034777118,0.5157600708402263,12.252998102480664,36.45133584052823,33.40338758921973,7.052607686777024,5.18837217181013,5.651298609184218,6.90578134042273,10.114225740437433,15.099625865066061,7.086558935274029,9.217801034777118,51.576007084022635,200000,200000,0.35409,0.49846,0.580205,0.54097,0.55168,0.76013,-3.036589592231453,-0.879466189149862,0.6664156182583175,1.7949898748615043,2.426862267877433,3.8403703014015518,-3.91944953873813,-0.8863528103988637,0.7940441729799277,1.8203756058308649,2.4632168287029046,5.4581228305043155,0.9694385937824602,0.961876576827762,3,0.8104755702898364,-0.8828599465066769,-0.006886621249001745,0.12762855472161017,0.025385730969360587,0.036354560825471616,1.6177525291027637
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,1.3297254319490013,1.656436780493611,-3.2790446776196505,-0.8005319424934054,0.7623182323869206,1.880149868913646,3.4581308891045484,-321.60133917022875,0,158,NA,200,100,100,7,657.2026783404575,680.2908999062938,1,0,0.5848090500239895,0.31814316460832637,0.036297118406141624,0.2736146243093045,0.3719450926762275,0.185771504369995,0.10184435842995465,0.030527301808376706,0.05828598978793659,0.15823647219196507,0.19866848799610887,0.16712655113347558,0.20097031659209763,0.21671218229841627,3.629711840614162,27.36146243093045,37.19450926762275,18.577150436999503,10.184435842995466,3.0527301808376706,5.828598978793659,15.823647219196507,19.866848799610885,16.71265511334756,20.09703165920976,21.671218229841628,200000,200000,0.369975,0.45055,0.531085,0.552305,0.57905,0.66132,-4.298195172864045,-1.693726639348462,-0.018298395323189626,1.262744538862656,2.495119627359169,4.47490725868655,-4.984129623662907,-1.8128351050615774,0.026086488983682928,1.3199756702729317,2.6217771373955423,5.324655948634524,5.046266906084795,5.155988973745051,3,0.16072478843500926,-0.6859344507988627,-0.1191084657131154,0.044384884306872555,0.057231131410275804,0.12665751003637338,0.8497486899479734
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,6.624155605078466,1.3427382366090876,-0.29598019685360377,1.258105698720833,2.975011184098788,3.6052599099001377,4.921172978218932,-201.2121839758945,0,710,NA,200,100,100,7,416.424367951789,439.51258951762526,43,0,0.9380623751389937,0.04856763754361537,0.4265404503024763,0.3521593917078429,0.17273252044606546,0.02210648233747059,0.019223348825525677,0.007237806380619105,0.005744513547909656,0.012306305845341675,0.04388680546775495,0.03355746542387027,0.12405487953535826,0.7804500301797652,42.65404503024763,35.21593917078429,17.273252044606547,2.210648233747059,1.9223348825525677,0.7237806380619105,0.5744513547909655,1.2306305845341674,4.388680546775495,3.3557465423870267,12.405487953535827,78.04500301797653,200000,200000,0.513615,0.62204,0.697745,0.580455,0.657415,0.801135,-1.6030434772537723,0.43547598107756164,1.9346016021588202,3.2593971499804995,4.126621831867097,5.926019500649677,-1.6376426655576914,0.6245675703799638,2.281537002993151,3.3114999781283547,4.337330415622605,7.527791417178085,3.8350249437209207,4.383570564264548,3,0.22291362101536594,-0.03459918830391917,0.18909158930240216,0.34693540083433105,0.052102828147855273,0.21070858375550827,1.6017719165284072
