ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,loc,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,2.9441583984673474,1.7877311714975697,-1.2703936322438159,1.2195106596963181,1.7190295297032652,2.6037201179964997,3.6389730794114326,-287.98482094107925,0,130,NA,200,100,100,7,589.9696418821585,613.0578634479948,18,0,0.6649201624199177,0.15199620859420981,0.2191898761854654,0.5527875469729162,0.0760263682474086,0.08309682530022722,0.04329298506205459,0.025606398231928007,0.08647254543515256,0.18946299480816073,0.05914429733676907,0.11745592303860541,0.1434236572173309,0.4040405821639813,21.91898761854654,55.27875469729162,7.602636824740861,8.309682530022721,4.329298506205459,2.5606398231928007,8.647254543515256,18.946299480816073,5.914429733676907,11.74559230386054,14.342365721733092,40.404058216398134,200000,200000,0.37635,0.575125,0.534815,0.566855,0.57456,0.72232,-2.3964473951130416,-0.020231782694303244,1.4566175881752588,2.1094736704461172,3.0401884811395004,4.653236745603506,-3.1374001327703107,0.1609365193530062,1.4737240926225987,2.1692953378585447,3.1186838827181105,5.92842917731882,5.610794540971907,10.252795011780579,3,0.016535107390422188,-0.7409527376572691,0.18116830204730944,0.017106504447339965,0.05982166741242745,0.07849540157861012,1.2751924317153138
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,3.777151403545367,3.250896627130647,-0.02985180527290779,0.8994786901820806,2.402788014503752,2.863388729519766,3.0320260358741002,-252.0990633753242,0,148,NA,200,100,100,7,518.1981267506484,541.2863483164847,31,0,0.6041445588914063,0.08296034336806957,0.4925376028375476,0.21830475867976723,0.2061972951146156,0.028966994477845565,0.007993513933932106,0.045999834956291896,0.2366629818011329,0.055439723950925085,0.10375273535653567,0.03433352945802448,0.012759054568324102,0.5570519748650578,49.25376028375476,21.830475867976723,20.61972951146156,2.8966994477845565,0.7993513933932106,4.599983495629189,23.66629818011329,5.543972395092508,10.375273535653568,3.433352945802448,1.2759054568324102,55.705197486505774,200000,200000,0.26322,0.528145,0.592995,0.53363,0.514615,0.863645,-1.412205310778606,0.42114569050649425,1.5306548734258925,2.617800800683519,2.945540320609846,4.0574671215655504,-3.7531308512268007,0.443867810823625,1.6703885186271188,2.6343853520327185,2.947757378980711,7.7831149575976255,4.764619406497718,4.585824237314499,3,0.2047615284373303,-2.340925540448195,0.022722120317130723,0.13973364520122633,0.01658455134919956,0.002217058370864944,3.725647836032075
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,6.3356958864033555,2.850240186673993,0.8754827751765957,1.4369187847873999,3.032843089766169,4.627517262009678,4.972406437461805,-214.9024257755228,0,328,NA,200,100,100,7,443.8048515510456,466.89307311688185,6,0,0.7611142473432791,0.0459639927831188,0.7058852673596105,0.1020917867161103,0.14605895314116035,0.03627968797210035,0.002805490769657304,0.006878814041361148,0.12834152652094316,0.023694026889922837,0.08685019924585488,0.11561572351956559,0.028150537794082386,0.6173479860296311,70.58852673596105,10.20917867161103,14.605895314116035,3.627968797210035,0.2805490769657304,0.6878814041361148,12.834152652094316,2.3694026889922837,8.685019924585488,11.561572351956558,2.8150537794082386,61.73479860296312,200000,200000,0.38107,0.536065,0.628175,0.63902,0.529875,0.860585,-0.8596389470316181,1.142200401416535,2.0733283305473145,3.637483192339321,4.790336200648892,5.977848688077808,-2.174070894211465,1.1633684295563391,2.2798714185382187,3.8608179070584563,4.800845281460212,9.407260231166504,6.382025408783381,6.379204661243792,3,0.09455006062522409,-1.3144319471798467,0.021168028139804118,0.20654308799090426,0.22333471471913535,0.010509080811320182,3.429411543088696
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,3.0239487995191854,1.3683032137140712,-1.603415369822903,-0.06325148287936733,1.8729879547843438,3.423679448218331,3.9870256536055524,-295.046526024019,0,456,NA,200,100,100,7,604.093052048038,627.1812736138743,19,0,0.698709301989693,0.13319636967714865,0.16750481097145767,0.3166875881457053,0.38261123120568835,0.10163280617454973,0.01334675257110618,0.018216810931492744,0.032868282173690394,0.06194555507887807,0.20647686075773847,0.2712282862488379,0.09652128485566314,0.33095973088519204,16.750481097145766,31.66875881457053,38.26112312056883,10.163280617454973,1.334675257110618,1.8216810931492744,3.2868282173690395,6.194555507887807,20.647686075773848,27.122828624883788,9.652128485566314,33.0959730885192,200000,200000,0.44478,0.536255,0.637175,0.620695,0.53561,0.644205,-2.6978448972769744,-0.7599914289938097,0.7863657399932511,2.4820872381424186,3.679704404161598,4.993426102140825,-2.9993543765922475,-0.7094410699658997,1.0471577626280073,2.6693760699624405,3.70147141317667,5.645119964903153,0.29955454359701966,0.30363545087011157,3,0.9593433063653886,-0.30150947931527305,0.05055035902790994,0.2607920226347562,0.18728883182002187,0.021767009015071892,0.6516938627623281
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,2.682846291867258,1.6224174231632784,-0.08731724775669394,1.1577807070540875,2.081177403161311,3.026662941133274,3.7083591856604254,-301.35370631039774,0,128,NA,200,100,100,7,616.7074126207955,639.7956341866318,16,0,0.5916636655382411,0.11093978370065949,0.4781845469329456,0.2827446769658101,0.1281309924005848,0.06470402161776989,0.022304775972249447,0.02393098611064015,0.15349740513034726,0.12740378319590429,0.12743514613550733,0.14444535192464902,0.10018139518203373,0.34703691843155837,47.81845469329456,28.274467696581013,12.813099240058479,6.470402161776989,2.2304775972249447,2.393098611064015,15.349740513034726,12.740378319590429,12.743514613550733,14.444535192464903,10.018139518203373,34.70369184315584,200000,200000,0.44658,0.56261,0.563925,0.568625,0.547875,0.68665,-1.4431319014519435,0.5033584913088571,1.5728716584742903,2.4917776361266157,3.331687473081059,4.725742876698802,-1.8479696024327825,0.5813582242061406,1.6334750591075275,2.557209039501623,3.36228714804894,5.698155869825725,0.7891052526521509,0.7706335632300965,3,0.8564774209018509,-0.40483770098083904,0.07799973289728346,0.060603400633237214,0.06543140337500741,0.030599674967881185,0.9724129931269232
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,3.3951147141924953,1.2892142997221938,-1.6391606847041578,0.18361464301806918,1.9215295756733943,3.031124581553922,4.05488218510893,-293.55377955123885,0,136,NA,200,100,100,7,601.1075591024777,624.195780668314,9,0,0.7582318928190137,0.12769109583556082,0.16257930070909957,0.3831958257483764,0.32653377770696324,0.0816516853989766,0.028997354781550966,0.01704205565503325,0.01974490342298882,0.05674293861898441,0.1652802651390131,0.1881133412147246,0.19533736793156226,0.37478118367272684,16.257930070909957,38.31958257483764,32.65337777069632,8.16516853989766,2.8997354781550966,1.704205565503325,1.974490342298882,5.674293861898441,16.52802651390131,18.81133412147246,19.533736793156226,37.478118367272685,200000,200000,0.46057,0.55813,0.64207,0.599925,0.57639,0.6375,-2.7255305828078917,-0.6407298026573396,0.9408944518296624,2.3911031499763395,3.4625242873573034,5.065553976369812,-2.9459650649143003,-0.5393139057026213,1.1884025411349903,2.5027556531048027,3.53905846262123,5.667658000427518,1.3238046613846375,1.458487538151182,3,0.6918839828092347,-0.2204344821064086,0.10141589695471831,0.24750808930532797,0.1116525031284632,0.07653417526392658,0.6021040240577058
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,2.8030543724555197,1.1588541775255967,-2.864133201555785,-0.789033196337745,1.7031641569615203,3.345343137377454,3.927907237519249,-267.29834610955305,0,154,NA,200,100,100,7,548.5966922191061,571.6849137849424,41,0,0.7209379147583523,0.1540524596754126,0.05395533532132638,0.2584209632781123,0.5335712417251487,0.12000446913288476,0.014743177275804209,0.01930481326672362,0.007462775685162696,0.035657308736655076,0.23594200081982988,0.33583695233482,0.11035190137963857,0.27474906104389374,5.395533532132638,25.84209632781123,53.35712417251487,12.000446913288476,1.474317727580421,1.930481326672362,0.7462775685162696,3.565730873665508,23.59420008198299,33.583695233482004,11.035190137963857,27.474906104389373,200000,200000,0.47168,0.52533,0.66894,0.62586,0.53088,0.588015,-3.8990693352321792,-1.5914980629582482,0.35958623169079634,2.3432755593071026,3.6105455758927465,4.937843943590203,-4.02561117869326,-1.5447587389392061,0.7682694552242533,2.547950830371531,3.628139686385817,5.2829044641001,2.0719167604320323,7.339991898328493,3,0.061815462460431236,-0.12654184346108055,0.04673932401904213,0.40868322353345693,0.20467527106442818,0.01759411049307058,0.34506052050989666
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,2.8633035821003805,1.3981159070682134,-1.17820948546496,0.41227511322252,2.7864711545700827,4.715776731204892,6.0074663240130555,-284.1072708730064,0,134,NA,200,100,100,7,582.2145417460129,605.3027633118492,46,0,0.513735108978639,0.05805964261439822,0.2353742882267981,0.36625899442221677,0.34030707473658695,0.049186176590027886,0.006419190384521101,0.002454275639849235,0.052615948627410834,0.09504144290494795,0.33860749948900215,0.3037438719897694,0.1145431334932473,0.09544810349562238,23.53742882267981,36.62589944222168,34.030707473658694,4.918617659002789,0.6419190384521101,0.2454275639849235,5.261594862741084,9.504144290494795,33.860749948900214,30.374387198976937,11.45431334932473,9.544810349562239,200000,200000,0.44896,0.55393,0.671425,0.615475,0.550515,0.60162,-2.319399341999637,-0.3442007179557877,1.323345301398622,3.4720463599088487,5.228331398009185,7.008490712361526,-2.62001259839456,-0.26282911779833834,1.730331751496836,3.6850302271322044,5.292552429323874,7.474177726861454,8.973103834877872,10.651432381208382,3,0.013768057042765292,-0.3006132563949233,0.08137160015744938,0.4069864500982139,0.21298386722335572,0.06422103131468937,0.46568701449992744
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,4.576534060828938,1.3244540567267873,-1.8637873337347473,1.3108270740975998,2.400265337114157,2.744361265946993,3.2093985385141037,-205.45008743658104,0,146,NA,200,100,100,7,424.9001748731621,447.98839643899834,35,0,0.8379622868408702,0.08315246545020105,0.13426221779893738,0.6533893045921826,0.12919601215867904,0.022746569692170704,0.0215923287527664,0.03881356700526395,0.007670880036712673,0.07062707908814317,0.083739754034274,0.03843509863043554,0.06218002064709849,0.7373471675633361,13.426221779893737,65.33893045921826,12.919601215867903,2.2746569692170704,2.15923287527664,3.881356700526395,0.7670880036712674,7.062707908814317,8.3739754034274,3.843509863043554,6.218002064709848,73.73471675633361,200000,200000,0.450925,0.657615,0.61644,0.537715,0.548735,0.770475,-2.9371718864497045,-0.18973510298704738,1.7859248743517013,2.563564714927696,2.960450733696527,4.23125103309337,-3.1994573543156073,0.2679600706026222,1.9122930569179344,2.5772303310710125,2.9846473270144913,5.611993671373927,1.3272954730971456,2.8278100085668783,3,0.418942332166494,-0.2622854678659028,0.4576951735896696,0.12636818256623306,0.013665616143316406,0.02419659331796442,1.380742638280557
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,3.097840752879197,0.8903901638214183,-1.0435617064894764,0.8384779105184375,2.019614076429244,3.013139020909958,3.7380135614295225,-292.71714707643457,0,2572,NA,200,100,100,7,599.4342941528691,622.5225157187054,9,0,0.7704687269125845,0.11715890209301272,0.2604633451132764,0.4376812044464856,0.18469654834722526,0.07032308878288884,0.023587810737757953,0.023248002572365922,0.009459584968115971,0.06381133047109146,0.15626035764820811,0.24670444986575513,0.19614666553968635,0.32761761150714297,26.04633451132764,43.76812044464856,18.469654834722526,7.032308878288884,2.3587810737757953,2.3248002572365922,0.9459584968115972,6.381133047109146,15.626035764820811,24.67044498657551,19.614666553968636,32.7617611507143,200000,200000,0.57899,0.654215,0.637295,0.598315,0.54474,0.53133,-2.2011778794468464,-0.09185504116369168,1.3611791807911824,2.4464614334905534,3.3342748497786348,4.749797564434443,-1.9400867977950094,0.18867601995978084,1.5217139672396651,2.5441773397545644,3.367815175900033,4.820220070831278,0.2932892514782935,0.28223959577352836,3,0.9633333755898975,0.26109108165183703,0.28053106112347254,0.16053478644848274,0.09771590626401094,0.033540326121398234,0.07042250639683445
