ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,mu,sig,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,0.2452951378048944,0.45390004438372383,1.1994991909919377,1.2404968593817354,1.3129067194051345,1.393687385352562,1.512088497604329,-224.42180432894259,0,850,NA,200,100,100,7,462.84360865788517,485.9318302237214,39,0,0.47632838304121716,0.1380826325285044,0.7665758160500984,0.03909362332217059,0.05624792809922663,0.04596254146397316,0.043053004945821205,0.049067086118710024,0.44446490021866714,0.02937683983223771,0.04982987690787799,0.05203363981204423,0.06881166686783324,0.3554830763613397,76.65758160500984,3.909362332217059,5.624792809922663,4.596254146397316,4.30530049458212,4.906708611871002,44.446490021866715,2.937683983223771,4.982987690787799,5.203363981204423,6.881166686783324,35.54830763613397,200000,200000,0.457685,0.51018,0.517655,0.521315,0.537475,0.78346,0.9198419423640773,1.2195318658387204,1.2750979938481404,1.3509795263409636,1.4472261515295208,1.6858423793971071,0.8818565590860803,1.2198972142953497,1.2763248063151584,1.3527539931179446,1.451397326155977,2.12365150844029,7.291607938262087,7.45243708095177,3,0.05879322360830341,-0.037985383277997053,3.653484566292775e-4,0.001226812467018057,0.0017744667769810096,0.004171174626456109,0.4378091290431829
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,0.203439286739314,0.35761809679106554,0.5168133706303517,0.7102306036321228,1.186555208646281,1.5711125702635786,1.759848737364534,-239.12671556984745,0,138,NA,200,100,100,7,492.2534311396949,515.3416527055311,23,0,0.5360778533500761,0.24691897789965855,0.004141708893098588,0.081410725592385,0.6675285876148579,0.21154844321893485,0.02348816397626463,0.011882370704459078,0.007875760311634781,0.055671092082369075,0.40037529425592,0.29237505821284365,0.08785290635377707,0.1558498887834554,0.4141708893098588,8.1410725592385,66.75285876148578,21.154844321893485,2.348816397626463,1.1882370704459078,0.7875760311634781,5.567109208236907,40.037529425592,29.237505821284365,8.785290635377708,15.584988878345541,200000,200000,0.39109,0.448185,0.542465,0.589795,0.553005,0.708595,0.4793824201484534,0.6441278732224838,0.9506160896887959,1.3282249975460756,1.649539271508043,1.9246501344643328,0.4617755562075766,0.6346630391326844,0.9702826571391533,1.3623216115842998,1.659563328848686,2.1517128037898465,1.5423874314451662,2.864798989053533,3,0.41294363394756095,-0.017606863940876794,-0.009464834089799368,0.01966656745035744,0.03409661403822417,0.010024057340642933,0.22706266932551378
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,0.35126871151777883,0.39074301121924493,0.7972838960561316,0.9815571142321045,1.1393801449085843,1.2461506228507602,1.433261026210285,-319.3467392699395,0,184,NA,200,100,100,7,652.693478539879,675.7817001057153,24,0,0.7139757625601661,0.3008569140060591,0.18242086745451874,0.2879011953645235,0.22882102317489866,0.1114914994778774,0.11440471276027508,0.07496070176790659,0.06960290758554889,0.10231420497207062,0.11410712488221433,0.0824886243528607,0.14035219721077302,0.49113494099653243,18.242086745451875,28.79011953645235,22.882102317489867,11.14914994778774,11.440471276027509,7.496070176790659,6.96029075855489,10.231420497207063,11.410712488221433,8.24886243528607,14.035219721077302,49.113494099653245,200000,200000,0.439365,0.518775,0.533885,0.529735,0.556705,0.78161,0.7002705106768022,0.8925280714732998,1.0567338669425246,1.1896844749537991,1.3277135618560931,1.6111852678752134,0.6780453659560401,0.8960737844243712,1.0623152345910505,1.192867350267474,1.3384184795428509,2.008988425246493,3.7753775019351323,3.725285315422429,3,0.2926971286014457,-0.02222514472076209,0.0035457129510714225,0.005581367648525903,0.0031828753136748933,0.010704917686757742,0.3978031573712797
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,0.30706176403794455,0.3800536635169551,0.9030164028765992,1.1158119986686157,1.3744351972257136,1.5214431282639567,1.8008166541638773,-314.78768799365764,0,146,NA,200,100,100,7,643.5753759873153,666.6635975531516,46,0,0.48847472654279667,0.10165609137811449,0.341615457595722,0.3278108417709319,0.22891760925523164,0.055044709657910085,0.03729908891210065,0.00931229280810375,0.1408821048743232,0.16078589271348895,0.20985727586939118,0.10496182284699085,0.1538140358875083,0.2296988678082975,34.1615457595722,32.78108417709319,22.891760925523165,5.5044709657910085,3.7299088912100653,0.931229280810375,14.08821048743232,16.078589271348896,20.985727586939117,10.496182284699085,15.38140358875083,22.96988678082975,200000,200000,0.467295,0.53813,0.56746,0.546625,0.58949,0.753315,0.7708483687579024,1.0054188723043795,1.2254911067863006,1.4393521189223994,1.6268824649220235,1.965021479739242,0.7532705723748061,1.013164280557412,1.2435511142719937,1.4461207067897937,1.651876964849438,2.2880753810181584,2.57393080798978,4.342214341827892,3,0.2268036416708069,-0.01757779638309631,0.007745408253032382,0.01806000748569314,0.006768587867394205,0.024994499927414537,0.3230539012789164
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,0.2614287798009995,0.3235617465865828,0.5795996157477111,0.8675589584330792,1.2331955900504976,1.624082676745617,1.9533564910225134,-266.7857894935071,0,448,NA,200,100,100,7,547.5715789870142,570.6598005528505,27,0,0.5636203988589743,0.20089311747244132,0.014566914080534284,0.27035306248396257,0.5141869059630618,0.17468945142830783,0.022502679066374154,0.003700986977759335,0.006322035673625075,0.09986589817845944,0.33019166728894117,0.31877275643189174,0.14125390765739165,0.10359373476969091,1.4566914080534283,27.035306248396257,51.418690596306185,17.468945142830783,2.2502679066374154,0.3700986977759335,0.6322035673625075,9.986589817845944,33.01916672889412,31.877275643189172,14.125390765739166,10.359373476969091,200000,200000,0.4591,0.51532,0.579175,0.60333,0.58892,0.687225,0.5322716602891011,0.7600942799969063,1.0340587977229692,1.3735209203526624,1.7400258192300662,2.115027887479646,0.5244630330653207,0.7636393302865832,1.061728699043069,1.412667957017949,1.7685012604332015,2.3010429482753043,0.6909757853913512,2.669953565564086,3,0.4453575434319952,-0.0078086272237803955,0.0035450502896768876,0.027669901320099832,0.03914703666528663,0.028475441203135388,0.1860150607956581
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,0.492899917060844,0.4810242405321592,0.8594715020968454,1.0931517193819886,1.299157650931334,1.330473706516306,1.5919231156803648,-286.5035819238652,0,156,NA,200,100,100,7,587.0071638477305,610.0953854135668,50,0,0.6846022326874129,0.14758106741799604,0.2723402406387676,0.36683684272621553,0.21324184921702083,0.020883192706733,0.09523892064365458,0.03145895406760846,0.09020209775115949,0.11038351766297273,0.11481215189845484,0.017803601633609722,0.14362515608158327,0.5231734749722199,27.23402406387676,36.683684272621555,21.324184921702084,2.0883192706733,9.523892064365459,3.145895406760846,9.02020977511595,11.038351766297273,11.481215189845484,1.7803601633609722,14.362515608158327,52.31734749722199,200000,200000,0.403685,0.536225,0.557075,0.51002,0.595145,0.849365,0.7426582453072237,0.9737110241995478,1.1849816867580152,1.3144803573821402,1.4348154618807216,1.761692644010855,0.6998418362485499,0.9821528724236158,1.1973905418792083,1.3148513985723442,1.4591564270203476,2.4746947245997064,3.9913053774945664,7.204892503028495,3,0.06564610078688549,-0.04281640905867379,0.008441848224068016,0.012408855121193163,3.710411902040356e-4,0.024340965139626025,0.7130020805888515
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,0.3191390213042463,0.3357306092253508,0.5833014095723986,0.7709903820244808,1.2578391268167646,1.640857977970872,1.7847555206912256,-239.71868739296482,0,150,NA,200,100,100,7,493.43737478592965,516.5255963517659,35,0,0.6053842998819627,0.1794191134549028,0.015533833978795226,0.13356236942477756,0.6714846831415244,0.15561658173489246,0.013554090937621166,0.010248440782389179,0.005291310099994173,0.03695012735140709,0.352374262666636,0.3054080541340892,0.08076346760535003,0.2192127781425235,1.5533833978795226,13.356236942477755,67.14846831415244,15.561658173489246,1.3554090937621166,1.0248440782389179,0.5291310099994173,3.695012735140709,35.237426266663604,30.540805413408922,8.076346760535003,21.92127781425235,200000,200000,0.45615,0.504125,0.60786,0.61198,0.545485,0.720935,0.5352524669279711,0.6982852507914342,0.9972816669320899,1.3952321984439806,1.7033217547111494,1.9493644449193304,0.5266996805629887,0.6988828481476211,1.0479660730899591,1.4375600998844287,1.7097439100018856,2.1940824838846003,0.9846448283832423,4.0437553579346535,3,0.25677793973445806,-0.008552786364982468,5.975973561869186e-4,0.05068440615786929,0.04232790144044807,0.006422155290736198,0.2447180389652699
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,0.2205520179878694,0.3725955308942442,0.7551681670659409,0.913214248917919,1.2008162789231092,1.4857340656019897,1.7635823040179641,-319.7340925742813,0,142,NA,200,100,100,7,653.4681851485626,676.5564067143989,13,0,0.5401377490031312,0.23208238203223652,0.1306636990332704,0.22758681052117274,0.4096671084133203,0.17544408022706548,0.04501594822872623,0.01162235357644481,0.0892147849780187,0.1124782552493087,0.25816921076954147,0.2211874802711224,0.1429600912197999,0.1759901775122088,13.066369903327042,22.758681052117275,40.96671084133203,17.54440802270655,4.501594822872623,1.162235357644481,8.92147849780187,11.24782552493087,25.816921076954145,22.11874802711224,14.296009121979992,17.59901775122088,200000,200000,0.41492,0.501255,0.54548,0.571725,0.580575,0.724975,0.6700216779207775,0.8391271998510054,1.0456175033968864,1.3154546757683878,1.5914167567950461,1.9291230450137808,0.6424804790393819,0.8387636825861282,1.0587243063351044,1.3357717177811577,1.6132792403397644,2.1893653969233284,3.3953919980081877,3.6324704578182563,3,0.30398317876248626,-0.027541198881395612,-3.6351726487715563e-4,0.013106802938217976,0.020317042012769848,0.021862483544718314,0.2602423519095476
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,0.49675145503689233,0.47742616875630234,0.8948660961178019,1.0884942407893032,1.2043178455133468,1.322718286909476,1.3839981177574094,-277.79117435499387,0,146,NA,200,100,100,7,569.5823487099877,592.670570275824,27,0,0.7424995495110444,0.22854315063343078,0.3284039082160186,0.30435949245412264,0.13869344869642797,0.09692096493835312,0.034805589552979854,0.09681659614209781,0.1014833335045,0.09262147036611346,0.06339564661834218,0.06717953564243567,0.03482069768872803,0.6404993161798807,32.84039082160186,30.435949245412264,13.869344869642797,9.692096493835312,3.4805589552979854,9.681659614209781,10.14833335045,9.262147036611346,6.339564661834219,6.717953564243567,3.482069768872803,64.04993161798807,200000,200000,0.419245,0.53373,0.531195,0.537995,0.522505,0.851485,0.7658759084556256,0.9891759416239926,1.143203270478736,1.2592229413363867,1.3520254009788426,1.5651127459084906,0.7262539186799111,0.9954684859095694,1.1469292534294928,1.2637200342418495,1.3533399697257205,2.296181313823755,3.5566246810039432,3.926151286760933,3,0.26954966729112884,-0.03962198977571452,0.0062925442855767955,0.0037259829507567677,0.004497092905462852,0.0013145687468778533,0.7310685679152642
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,0.18559790420606018,0.3636544588102054,0.8202201602478941,0.9671358306791393,1.0626985271658183,1.1142031390341367,1.1996891072058817,-316.7895733031342,0,144,NA,200,100,100,7,647.5791466062684,670.6673681721047,6,0,0.6342555603115738,0.40390748904874907,0.21396758940078547,0.2328660296405009,0.14925889190996455,0.07123950031161785,0.09943764073906591,0.2332303479980653,0.14563411302971083,0.12786670522748825,0.09224362143122716,0.0499190110024787,0.08045808296095597,0.503878466348139,21.39675894007855,23.28660296405009,14.925889190996456,7.123950031161785,9.943764073906591,23.32303479980653,14.563411302971083,12.786670522748825,9.224362143122717,4.99190110024787,8.045808296095597,50.387846634813904,200000,200000,0.42596,0.50433,0.51157,0.50759,0.516855,0.707745,0.7163740326709782,0.8953992387813887,1.01398992275701,1.0880004185966565,1.1551482765154006,1.398737605060161,0.6883955018259906,0.8962810008744618,1.0152652897968204,1.0883874026670752,1.1565697774482622,1.647889675629795,1.2099095150499015,1.20953999603535,3,0.7507171477148816,-0.02797853084498758,8.817620930731129e-4,0.00127536703981046,3.8698407041870553e-4,0.0014215009328615302,0.24915207056963395
