ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,mu,sig,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.1142366698334198,0.2809279632121697,0.7556614222463575,0.9613606982640281,1.0366692633546895,1.1486913260467047,1.27790829533564,-341.13537913517047,0,158,NA,200,100,100,7,696.2707582703409,719.3589798361772,43,0,0.6096656220685048,0.4427297948944864,0.1312189838751176,0.3061581855293912,0.11989303570100479,0.1531091391389635,0.12629922949562966,0.1633214262598932,0.08017232203194014,0.21204800761796522,0.09811404828158987,0.1442533492203421,0.14490069680822093,0.32051157603994174,13.12189838751176,30.61581855293912,11.989303570100478,15.310913913896352,12.629922949562966,16.33214262598932,8.017232203194013,21.204800761796523,9.811404828158988,14.42533492203421,14.490069680822092,32.05115760399417,200000,200000,0.499435,0.518875,0.50899,0.514135,0.51788,0.599105,0.6704233360142969,0.8646154985199203,0.9985122942813083,1.0904572075973462,1.2086865778247955,1.4682883758482141,0.6695417449204949,0.8681398820531867,0.999323719625891,1.092068724531417,1.2110704351243438,1.5513410426398337,10.575131958275678,10.656017237743274,3,0.013739046244307773,-8.815910938020366e-4,0.003524383533266451,8.114253445826725e-4,0.0016115169340706892,0.0023838572995482643,0.0830526667916196
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,0.43321253830383105,0.30450433312311403,0.6217918188494949,0.9124067179714481,1.1698023245879416,1.4455493716808439,1.5964251926768889,-277.0272515459386,0,530,NA,200,100,100,7,568.0545030918772,591.1427246577135,39,0,0.8179635552190633,0.2652184811298878,0.02867722884542433,0.3282524914584038,0.3778517985662841,0.1949719974513473,0.039578620863600866,0.030667862814939606,0.0014267910838389462,0.04095188983581537,0.13965776386128242,0.23380163944062582,0.12933584566468215,0.4548260701137553,2.867722884542433,32.82524914584038,37.78517985662841,19.49719974513473,3.9578620863600866,3.0667862814939606,0.1426791083838946,4.0951889835815365,13.965776386128242,23.38016394406258,12.933584566468214,45.48260701137553,200000,200000,0.53275,0.59202,0.598525,0.60196,0.555225,0.747995,0.5667826086367597,0.7952010917580395,1.0331310665694065,1.283090484298366,1.5115297196035606,1.766168718983598,0.5720828599698485,0.8190499685143954,1.0579661300067946,1.3113394015960993,1.520021867087162,2.0448390748209317,2.014802759738803,2.4653036378047304,3,0.4815941383746716,0.005300251333088868,0.02384887675635583,0.024835063437388172,0.028248917297733378,0.008492147483601276,0.2786703558373338
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,0.7587747100174845,0.48506642171703607,0.7708220841283439,0.9065656621217809,1.3541171698346504,1.6447140644499747,1.8021735686371634,-242.48113824046152,0,368,NA,200,100,100,7,498.96227648092304,522.0504980467593,22,0,0.8262127487913484,0.11264161874613199,0.1488935098255613,0.19849992437941386,0.5399649470488929,0.08936080869960206,0.01404370216466344,0.009237107881866491,0.017825202464829534,0.020831369764671002,0.135130678979151,0.12132877689162891,0.06804714144123025,0.6368368304584893,14.88935098255613,19.849992437941385,53.99649470488929,8.936080869960206,1.404370216466344,0.9237107881866491,1.7825202464829535,2.0831369764671,13.513067897915098,12.132877689162891,6.804714144123025,63.68368304584892,200000,200000,0.428505,0.51634,0.64209,0.62515,0.574525,0.894305,0.6813729962098894,0.8419866962673447,1.0928995232567589,1.465691999034721,1.7120330090738862,1.9662684908849408,0.6540764592281791,0.8439760893238055,1.1555626734993445,1.5015135527329544,1.7234022238701632,3.0095264533154324,4.295095112343156,4.02474603889403,3,0.25880437335546236,-0.027296536981710307,0.001989393056460842,0.06266315024258562,0.035821553698233366,0.01136921479627695,1.0432579624304916
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,0.31732724546750657,0.36038529654767776,0.602105105671903,0.9230248861170463,1.209269335051743,1.3333043312481934,1.652921353590596,-293.3296137208654,0,172,NA,200,100,100,7,600.6592274417308,623.7474490075671,14,0,0.6380544972283864,0.223607780277012,0.02121422696384139,0.3531197264680582,0.4020582662910884,0.09866785929303268,0.10273368941694383,0.022206231567035495,0.011061576459605975,0.12399940113957292,0.2268845251724348,0.10525061462794166,0.22915747014833932,0.30364641245210533,2.121422696384139,35.31197264680582,40.205826629108834,9.866785929303267,10.273368941694383,2.2206231567035495,1.1061576459605975,12.399940113957292,22.68845251724348,10.525061462794167,22.915747014833933,30.36464124521053,200000,200000,0.425335,0.513125,0.56416,0.537215,0.597975,0.745065,0.5507759559125321,0.79736297930589,1.0543085433379735,1.266502679293314,1.453051086523658,1.8204974013644815,0.5353317188923544,0.7998484235185305,1.0725170264871688,1.2709941076980085,1.4839530279926847,2.118916711726605,5.403752037096148,7.742934838034733,3,0.05163423650364285,-0.01544423702017772,0.0024854442126405196,0.01820848314919532,0.004491428404694409,0.030901941469026584,0.2984193103621233
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.1489713524405281,0.33189255157662617,0.6928955562975991,0.8799432425257712,1.064720333015576,1.1959852168474638,1.3646013319516983,-337.48059106579564,0,172,NA,200,100,100,7,688.9611821315913,712.0494036974276,38,0,0.6025299066104832,0.4009655569746836,0.07111949903071808,0.23334897475590805,0.2945659692386903,0.16393319681128715,0.13018120113632803,0.10685115902706843,0.06006119140836141,0.1420191714255842,0.1953897305555712,0.13854026721636775,0.1511372482564115,0.3128523911377039,7.1119499030718085,23.334897475590804,29.45659692386903,16.393319681128716,13.018120113632802,10.685115902706844,6.006119140836141,14.20191714255842,19.538973055557122,13.854026721636775,15.11372482564115,31.28523911377039,200000,200000,0.431285,0.49545,0.516325,0.52066,0.53285,0.67023,0.622843198243333,0.79694541124985,0.9707432259479729,1.1266742401642922,1.2711892823078714,1.5473323118950129,0.6053604070622457,0.7957639482950882,0.9739192831639393,1.1294636204273754,1.2768275394794224,1.7160888903054015,10.685234493608927,10.697202400918904,3,0.013481130801589303,-0.01748279118108731,-0.0011814629547617361,0.003176057215966366,0.0027893802630831743,0.0056382571715509755,0.1687565784103886
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.20525999796566727,0.3317456755523509,0.7298781384979401,0.8960792246381135,1.1628094378158174,1.2920988194722955,1.4338081023302227,-321.8109949668433,0,142,NA,200,100,100,7,657.6219899336866,680.7102114995229,22,0,0.5651518706913576,0.2731359350803926,0.10392295142149721,0.22644194618623337,0.39649916731187684,0.12047122145974598,0.07791977394166127,0.07474493967898532,0.058454471377740465,0.1127333665132991,0.26366029141760283,0.1262508090632804,0.11881143562606067,0.3200896260020165,10.39229514214972,22.644194618623338,39.64991673118769,12.047122145974598,7.7919773941661274,7.474493967898532,5.8454471377740465,11.27333665132991,26.366029141760283,12.62508090632804,11.881143562606066,32.00896260020165,200000,200000,0.455415,0.507115,0.545625,0.527355,0.532645,0.689205,0.6509942775259283,0.8193221901584486,1.0219347922297592,1.2225888342522202,1.3556554044672324,1.6122680661141935,0.6376629035119821,0.8208389708220009,1.0331775386667306,1.226242883637316,1.360478850577048,1.8080495937988312,6.188780826366863,6.323589169601833,3,0.09688546127513331,-0.01333137401394624,0.0015167806635522085,0.011242746436971318,0.0036540493850958367,0.0048234461098155545,0.19578152768463775
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.09886761876255927,0.25562675787508987,0.659648481187852,0.8333629388087873,1.0234998970835563,1.1525964523304557,1.2355078587102295,-324.8730839697108,0,144,NA,200,100,100,7,663.7461679394216,686.834389505258,9,0,0.6163462300403955,0.4629866955620582,0.04803695718447023,0.184919796160671,0.3040565510928006,0.17799254507288476,0.08619781441301788,0.19879633607615554,0.02198762117878507,0.11370893826667315,0.24795721051414638,0.1833688917034188,0.1032052724155117,0.3297720659214649,4.803695718447023,18.4919796160671,30.40565510928006,17.799254507288474,8.619781441301788,19.879633607615553,2.198762117878507,11.370893826667315,24.795721051414638,18.33688917034188,10.320527241551169,32.97720659214649,200000,200000,0.526725,0.52194,0.52687,0.51553,0.51115,0.56103,0.5969051114753317,0.7584059939692414,0.9291948294371105,1.085139917862174,1.1922951624144298,1.4302285428986652,0.6019991768890953,0.7626689929643282,0.9339738003942628,1.0871013836296086,1.1930542864215259,1.476022166168137,1.4814994053730732,1.4703822534626614,3,0.6891227652740797,0.005094065413763671,0.004262998995086864,0.004778970957152295,0.0019614657674347225,7.591240070961014e-4,0.045793623269471784
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,0.4355114853013297,0.47060641563684913,0.7522709256549015,0.991332293132548,1.2555480937589198,1.3656156741162038,1.5108071542277663,-293.65086659165064,0,822,NA,200,100,100,7,601.3017331833013,624.3899547491376,42,0,0.670702533949778,0.18133510616076687,0.12742771492608743,0.35868314004343327,0.33255403886971246,0.07503025663891782,0.05689227740260072,0.04941257211924832,0.06297091980145621,0.10963316882369863,0.1566933774250672,0.06686594294497528,0.08445904142820765,0.5193775495765951,12.742771492608743,35.868314004343326,33.255403886971244,7.5030256638917825,5.689227740260073,4.941257211924832,6.297091980145621,10.963316882369863,15.66933774250672,6.686594294497528,8.445904142820766,51.93775495765951,200000,200000,0.3717,0.50793,0.56109,0.534395,0.550235,0.832755,0.6679333590603984,0.8784341241917325,1.109360155522805,1.3065322498274892,1.4300879404340454,1.6845834114647886,0.6223910024096244,0.880549085001577,1.12574904614617,1.3104158880334091,1.4373793525830072,2.3205737555528976,0.4075615728689156,0.40992698975401665,3,0.9381842625015802,-0.045542356650773996,0.002114960809844524,0.016388890623365127,0.0038836382059199703,0.0072914121489617845,0.635990344088109
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.20043571536097837,0.3923304528601632,0.6464385322984791,0.8889775704035654,1.1266437874769673,1.3276374726235909,1.6472880867072566,-320.93868341301254,0,134,NA,200,100,100,7,655.8773668260251,678.9655883918614,26,0,0.5819753617112926,0.31669086824115333,0.04048297892928184,0.27843269463243797,0.3643934581971269,0.18821054311093588,0.10554172616309487,0.02293859896712258,0.05230545000175578,0.15642203828442147,0.2092971500025302,0.16571428665039017,0.1930323702976544,0.22322870476324796,4.0482978929281845,27.843269463243796,36.439345819712685,18.821054311093587,10.554172616309486,2.293859896712258,5.230545000175578,15.642203828442147,20.929715000253022,16.57142866503902,19.30323702976544,22.322870476324795,200000,200000,0.36998,0.47168,0.525285,0.54393,0.58643,0.736795,0.5864955603720992,0.787457536326836,1.003057042955736,1.2159571527743571,1.4477888171569782,1.815255944140317,0.5536264542799886,0.7803923636739198,1.0090492125781112,1.2245360889255543,1.4747411590601254,2.1059840761399817,3.753452320024759,3.83067745931269,3,0.28033793592020495,-0.03286910609211058,-0.007065172652916174,0.005992169622375254,0.008578936151197203,0.026952341903147214,0.29072813199966463
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,0.9256425798841984,0.3492154132835917,0.9562289728771856,1.2116919308986924,1.5028660641423324,1.617534919774053,1.9236656272133028,-201.33633159887486,0,304,NA,200,100,100,7,416.6726631977497,439.760884763586,23,0,0.9311080402312041,0.0516040328323325,0.42895647099395723,0.3498209350307127,0.16961856114299756,0.024402499212503148,0.022765309333541373,0.004436224286287982,0.002727989142590199,0.015102133306810627,0.051061837319395106,0.03252156517316619,0.11710702329242903,0.7814794517656088,42.895647099395724,34.98209350307127,16.961856114299756,2.440249921250315,2.2765309333541373,0.4436224286287982,0.27279891425901986,1.5102133306810628,5.1061837319395105,3.252156517316619,11.710702329242903,78.14794517656088,200000,200000,0.677355,0.654295,0.671605,0.567035,0.662995,0.904485,0.8035959728198573,1.072877547347843,1.3282309527157778,1.554695138866796,1.728305801969934,2.085658508745852,0.8653881433365155,1.1122591559810762,1.3781189981778306,1.5623023424343303,1.778837003822551,2.988209821482228,4.2659092024103336,4.631865810225308,3,0.20082545433410515,0.061792170516658196,0.039381608633233256,0.04988804546205272,0.007607203567534304,0.05053120185261695,0.9025513127363758
11,100,100,0.59,0.33,0.25999999999999995,7,39,21,14,14,5,1,22,18,16,21,22,2.3263478740408408,0.7388468491852137,0.2275449766411493,-0.17637416478086135,-0.7721932141886849,1.4757910281791708,0.1004337205114699,-0.4399131656732338,-0.8778962950512285,-1.6448536269514726,TRUE,1.001631306520723,0.7465744731571835,11,0.18221043087085992,0.26219369838074585,0.6834160957417204,0.9812097064762088,1.1228849100681049,1.250599912478205,1.479605169259553,-322.7705937691884,0,144,NA,200,100,100,7,659.5411875383768,682.6294091042131,42,0,0.5998279307960355,0.3214654772216856,0.06392871039687081,0.40583004706442916,0.20877576531701442,0.13593651477384527,0.12698343121998146,0.05854553122785888,0.015906975285184734,0.20554655832032798,0.17871853559845188,0.16257899112784296,0.22518342673735414,0.2120655129308383,6.392871039687082,40.583004706442914,20.877576531701443,13.593651477384528,12.698343121998146,5.854553122785888,1.5906975285184735,20.554655832032797,17.87185355984519,16.257899112784298,22.518342673735415,21.20655129308383,200000,200000,0.546505,0.56767,0.531145,0.524355,0.543175,0.59926,0.6156674780852567,0.849185162297054,1.0491125466444664,1.1823795831034152,1.3466771900802859,1.6549073046074407,0.6242579616273329,0.8678611727750304,1.0535947386521456,1.185869241932937,1.3560183316947951,1.7316493974785478,0.8484918529031823,0.8830962710567822,3,0.8295050326727669,0.008590483542076255,0.0186760104779764,0.004482192007679187,0.003489658829521902,0.009341141614509274,0.07674209287110711
12,100,100,0.59,0.12,0.47,14,42,32,5,7,0,2,13,26,17,16,26,2.053748910631822,1.0364333894937894,0.2275449766411493,-0.2018934791418509,-0.6433454053929168,1.080319340814956,-0.15096921549677725,-1.17498679206609,-1.4757910281791702,-Inf,FALSE,NA,NA,12,0.3640771343419071,0.3155702079714131,0.7617702350096694,1.0387038496112733,1.3413669794079885,1.5050049038567432,1.7767194098208647,-300.6277143166195,0,144,NA,200,100,100,7,615.255428633239,638.3436501990753,26,0,0.5882516688576744,0.12004599163716712,0.13820019272274028,0.4221647537180222,0.31958906192207037,0.06904081665205486,0.040254821579887246,0.01075035340522501,0.021900337037401272,0.1288130436193856,0.26103495048553865,0.14459659035294808,0.19147762601938612,0.2521774524853403,13.820019272274028,42.21647537180222,31.95890619220704,6.904081665205486,4.0254821579887246,1.075035340522501,2.190033703740127,12.88130436193856,26.103495048553864,14.45965903529481,19.147762601938613,25.21774524853403,200000,200000,0.528585,0.57615,0.59603,0.555955,0.588215,0.719625,0.6750429650655488,0.9055789101535102,1.1671385601097848,1.413022096656816,1.608994304712763,1.9418083313941603,0.6810469834616477,0.9256796898637787,1.19589883865644,1.421712597672415,1.632383470689076,2.1732320449309013,3.732601064001072,5.54483117338881,3,0.13598167027954877,0.006004018396098876,0.020100779710268468,0.028760278546655194,0.008690501015598873,0.02338916597631302,0.23142371353674096
13,100,100,0.64,0.37,0.27,16,26,21,21,12,4,8,14,14,19,13,32,1.4050715603096327,0.7721932141886849,0.35845879325119373,-0.125661346855074,-0.4676987991145081,0.9944578832097528,0.20189347914185077,-0.3318533464368165,-0.9944578832097528,-1.7506860712521695,TRUE,0.6928997983442293,0.6490925226712266,13,0.2303405605556083,0.35801664592959037,0.7747736772036115,0.9524914164262048,1.0943189690784338,1.296806451254984,1.5022067130232144,-338.79735466234763,0,146,NA,200,100,100,7,691.5947093246953,714.6829308905316,36,0,0.652332413453734,0.35922582619319265,0.15368946186175664,0.26912572234457205,0.21795898960047866,0.20996727524975767,0.09746860882952402,0.05178994211391097,0.08752545340614402,0.130365878181038,0.1297762549590839,0.18523865167366194,0.1561786447161373,0.3109151170639348,15.368946186175664,26.912572234457205,21.795898960047865,20.996727524975768,9.7468608829524,5.178994211391097,8.752545340614402,13.0365878181038,12.97762549590839,18.523865167366193,15.617864471613728,31.091511706393483,200000,200000,0.438205,0.51003,0.52491,0.5462,0.555335,0.71905,0.6842224960780574,0.8680638940219949,1.021222173954368,1.1847611058549967,1.3836509541435382,1.6763916579310036,0.6633438234679943,0.8694552081016584,1.0243921508310991,1.1937973111444475,1.39492017213319,1.9264079976973683,1.5691981551378216,1.5812306777264662,3,0.6636530860774653,-0.020878672610063154,0.0013913140796635304,0.00316997687673104,0.009036205289450816,0.011269217989651859,0.2500163397663646
