ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,mu,sig,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,0.43896609742904,0.4425153888218613,0.8274250120942888,1.2004873801906737,1.2916037112294645,1.467842416328529,1.714193167573488,-286.35222217004366,0,354,NA,200,100,100,7,586.7044443400873,609.7926659059236,21,0,0.6604637191670019,0.15302664533756416,0.22430117353383916,0.5432819148092474,0.07939026631934931,0.09065613741699574,0.04681969549888687,0.015550812421681548,0.07779363020140691,0.20348413586317032,0.05825851476842092,0.11085243316359944,0.13898239982566468,0.41062888617773774,22.430117353383917,54.32819148092474,7.939026631934931,9.065613741699574,4.681969549888687,1.5550812421681548,7.779363020140691,20.348413586317033,5.825851476842092,11.085243316359945,13.898239982566468,41.06288861777377,200000,200000,0.417715,0.56786,0.526775,0.559925,0.59,0.822415,0.7214721664440643,1.0027554624297026,1.2435227513604519,1.368312130973614,1.5653577393007159,1.8804063042313242,0.6879024837379439,1.0278469172049767,1.246029715294377,1.378929802325286,1.587561088040505,2.4393203253705127,4.186960717282939,6.987597469709485,3,0.07229413568269283,-0.033569682706120374,0.02509145477527408,0.0025069639339250216,0.010617671351672131,0.02220334873978924,0.5589140211391885
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,0.5419097690005769,0.7510779561074179,0.9970405249863626,1.1481980865034007,1.4172426110120138,1.5061122539352685,1.5399504930278856,-251.71303950797162,0,332,NA,200,100,100,7,517.4260790159433,540.5143005817795,4,0,0.6014977556675253,0.08153014025405392,0.4952704698637089,0.21452089808301084,0.20867849179922637,0.030832502691306884,0.00861390227376635,0.042083735288980684,0.2340863186153469,0.061369520876207506,0.10304640484092031,0.03154620474577813,0.011648380208108877,0.5583031707136383,49.527046986370884,21.452089808301082,20.867849179922636,3.0832502691306884,0.861390227376635,4.208373528898068,23.40863186153469,6.136952087620751,10.304640484092031,3.154620474577813,1.1648380208108877,55.83031707136384,200000,200000,0.29035,0.52237,0.573555,0.532775,0.510405,0.90433,0.826520741216796,1.0690081477682976,1.2604429592876794,1.4585053006222886,1.522543728724296,1.7123110369481402,0.6805352743215393,1.072396081117105,1.280717096879894,1.461402839328033,1.52296568975239,3.3296416335693597,3.821114044975576,3.813776502609408,3,0.28228775392469907,-0.1459854668952567,0.0033879333488073815,0.020274137592214636,0.0028975387057443847,4.219610280939978e-4,1.6173305966212195
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,0.8515097793336333,0.621073237173191,1.146033525340179,1.2408590693177166,1.5213203996162834,1.8562974918647819,1.9429541395390948,-214.2663188833621,0,160,NA,200,100,100,7,442.5326377667242,465.62085933256043,1,0,0.7566162348464744,0.0466428528930376,0.7072014659375514,0.09878910630361304,0.14736657486579796,0.03996864149192092,0.0027303477170413926,0.003943863684075288,0.12475102599250965,0.02827050195354186,0.09036223720747408,0.11043245361781914,0.02767178429229067,0.6185119969363646,70.72014659375515,9.878910630361304,14.736657486579796,3.996864149192092,0.27303477170413926,0.39438636840752883,12.475102599250965,2.827050195354186,9.036223720747408,11.043245361781914,2.767178429229067,61.85119969363646,200000,200000,0.475755,0.53161,0.60597,0.645045,0.541425,0.921245,0.8987783629979373,1.1911110996769891,1.3532276540873323,1.6402981580508613,1.8960456183907721,2.104059184600498,0.8683806810373558,1.1938901776965203,1.3829580883396844,1.6877778059157442,1.899445500293883,3.7750591528563886,5.333353303508545,5.106990876922294,3,0.1641283088022485,-0.03039768196058157,0.002779078019531145,0.02973043425235211,0.0474796478648829,0.003399881903110913,1.6709999682558907
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,0.4269812656118171,0.3370887232396188,0.791151500629206,0.9878827064824641,1.305610046350524,1.6280386331234622,1.7654773565409787,-295.6363492149325,0,266,NA,200,100,100,7,605.272698429865,628.3609199957014,28,0,0.6828112953561021,0.1430578193256049,0.17436302573206583,0.306190171810106,0.3763889831322233,0.11744018598727657,0.014125150241833917,0.011492483096494421,0.024902146882757048,0.07141259960271953,0.22087395815842134,0.25390749191692197,0.09151215978049887,0.33739164365868124,17.436302573206582,30.619017181010598,37.63889831322233,11.744018598727656,1.4125150241833917,1.1492483096494421,2.490214688275705,7.141259960271953,22.087395815842132,25.390749191692198,9.151215978049887,33.73916436586812,200000,200000,0.522745,0.55365,0.606375,0.61493,0.548315,0.75957,0.695940796814933,0.8928715104309559,1.125196029893147,1.4269250496746417,1.6881795536315538,1.9302265832550227,0.7006666611139992,0.9028858521365444,1.1583938364100634,1.4631298962148118,1.6951271527012735,2.2447292642026015,1.5754656429974618,1.4832818326971142,3,0.6861342151217164,0.004725864299066185,0.010014341705588459,0.033197806516916506,0.03620484654017009,0.0069475990697196455,0.31450268094757883
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,0.3799105002976624,0.3739988143550952,0.9885428368918778,1.186432856593785,1.3503415774395915,1.5371572707033743,1.686691868315775,-301.26671107303684,0,266,NA,200,100,100,7,616.5334221460737,639.62164371191,8,0,0.5842230327563815,0.11479215974469514,0.48161797964290254,0.2713328101215262,0.1322570504908761,0.07205222394230626,0.024479334352015547,0.018260601450373337,0.14763795307416586,0.14053966812775573,0.12759934604169687,0.13742495150321443,0.09555856224488757,0.35123951900827954,48.16179796429025,27.133281012152622,13.22570504908761,7.205222394230626,2.4479334352015547,1.8260601450373337,14.763795307416586,14.053966812775572,12.759934604169686,13.742495150321442,9.555856224488757,35.123951900827954,200000,200000,0.51962,0.55275,0.552655,0.565665,0.55504,0.77308,0.8217903203055056,1.0807785886283021,1.260041915312952,1.4302329692983515,1.6020447934835047,1.8528871900869353,0.825227920845268,1.0906952300120143,1.268431135702532,1.4421205130685244,1.6101166391248478,2.2189340601978813,0.5925568268502547,0.5966430885084139,3,0.897200429795727,0.0034376005397623866,0.009916641383712177,0.008389220389579899,0.01188754377017287,0.008071845641343112,0.36604687011094605
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,0.49195999708428956,0.32282089527681856,0.786725095641397,1.0282120272931583,1.3195171037145474,1.546985738440629,1.8043730934236129,-292.91536873081196,0,138,NA,200,100,100,7,599.8307374616239,622.9189590274602,4,0,0.7469928449557903,0.13370142562464238,0.16865205169722697,0.37565300812111135,0.3219935145570193,0.09322930179118949,0.031355642177622545,0.009116481655830344,0.011694977959590057,0.06355626646088848,0.17775591062373114,0.1785576416560466,0.1880077351705285,0.38042746812921524,16.865205169722696,37.56530081211113,32.19935145570193,9.322930179118949,3.1355642177622545,0.9116481655830344,1.1694977959590058,6.355626646088848,17.775591062373113,17.85576416560466,18.80077351705285,38.04274681292152,200000,200000,0.5589,0.58571,0.615385,0.589535,0.598905,0.7676,0.69288072866053,0.9106162431434728,1.1534945935628833,1.4134498923824184,1.646453858587882,1.967722654923086,0.7073752867402504,0.9315094868166988,1.1870724053771922,1.4340945600900383,1.67164708536363,2.29975864601287,0.1821634830433347,0.18166589729733285,3,0.9804933295095956,0.014494558079720443,0.02089324367322598,0.033577811814308856,0.020644667707619968,0.02519322677574798,0.3320359910897841
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,0.41749760503821415,0.2948234476644262,0.6730870030848163,0.8882130095426191,1.2845619753194213,1.6459962352634356,1.800677518761534,-265.2463760388915,0,286,NA,200,100,100,7,544.492752077783,567.5809736436194,15,0,0.7145448758107757,0.15825122485335574,0.05665118564914728,0.26103646082089915,0.5240611286765978,0.13514147710733304,0.013789712221590977,0.009320035524431725,0.002900118664797063,0.031618402023402846,0.2509366035010243,0.3225893432043415,0.11061816040878114,0.2813373721976531,5.665118564914728,26.103646082089917,52.40611286765978,13.514147710733305,1.3789712221590977,0.9320035524431725,0.2900118664797063,3.1618402023402847,25.093660350102432,32.25893432043415,11.061816040878114,28.133737219765308,200000,200000,0.55615,0.577715,0.647125,0.62805,0.553975,0.71818,0.607726617416521,0.7948034288393261,1.0617691372796512,1.4162237374324487,1.712341476890332,1.9647045320407395,0.6181043977985323,0.8108770613901816,1.1195168197025598,1.4612314522144456,1.720568316372091,2.187768548137645,0.8318192034183408,3.236051757005406,3,0.35664267704274155,0.010377780382011315,0.016073632550855477,0.05774768242290862,0.045007714781996944,0.008226839481759063,0.22306401609690574
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,0.4217979548911623,0.34094988851585245,0.8407868179773585,1.0674223598045811,1.5052250851539006,1.9983879766062367,2.3733798282678262,-281.77934153902527,0,646,NA,200,100,100,7,577.5586830780505,600.6469046438868,33,0,0.5150385483786573,0.05094388937971572,0.24394504671400602,0.35900366025584346,0.3461074036504348,0.04813559163210679,0.0025354488199583747,2.728489276505597e-4,0.04042673619956495,0.10740955149190985,0.3371251639298679,0.301294539844847,0.11658225731513017,0.09716175121868009,24.3945046714006,35.90036602558435,34.61074036504348,4.8135591632106784,0.25354488199583747,0.027284892765055968,4.042673619956496,10.740955149190984,33.71251639298679,30.129453984484698,11.658225731513017,9.716175121868009,200000,200000,0.53225,0.563265,0.643895,0.66028,0.62362,0.73678,0.7302222299274981,0.9536061198148629,1.230365218477356,1.6506895521774556,2.1194797168714743,2.533538190208131,0.7377802651020858,0.9675927740652788,1.2921115225518762,1.7282172377085117,2.1642825938966808,2.8153026939014025,5.503477810815223,5.995573713246015,3,0.11182577225952794,0.007558035174587752,0.013986654250415897,0.06174630407452031,0.07752768553105605,0.04480287702520647,0.28176450369327144
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,0.683089548974302,0.34726302743153864,0.7610128025126818,1.2197387482150215,1.4161519423366347,1.4849140230225508,1.586364400070179,-204.62810679338685,0,532,NA,200,100,100,7,423.2562135867737,446.34443515260995,47,0,0.8327545890960739,0.08199554794168684,0.13732418196226376,0.6492372246376883,0.13144304545836116,0.025105385427632854,0.02442804318775571,0.03246211932629828,0.002947935470984968,0.07855089683873288,0.0857465785942082,0.03642770066686746,0.05797855662639309,0.7383483318028135,13.732418196226376,64.92372246376883,13.144304545836116,2.5105385427632854,2.442804318775571,3.2462119326298278,0.2947935470984968,7.855089683873288,8.574657859420821,3.6427700666867455,5.797855662639309,73.83483318028135,200000,200000,0.563145,0.689365,0.593535,0.532885,0.54877,0.861515,0.6741498421752766,0.9810552443921297,1.3048579274131267,1.448676058251093,1.5313127491467453,1.7568204146702562,0.688417729872064,1.0647218908508016,1.323636011132352,1.4509486254072095,1.5362279603571347,2.3870536180274677,0.5946522676036463,1.18384872217847,3,0.7568806045436498,0.01426788769678733,0.08366664645867194,0.01877808371922529,0.0022725671561165672,0.004915211210389403,0.6302332033572116
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,0.4442705928980381,0.2260174485537048,0.8556016608834319,1.130372160812291,1.3303461936495782,1.5386428861176797,1.7173536369126763,-293.34771053602714,0,146,NA,200,100,100,7,600.6954210720543,623.7836426378906,19,0,0.758890946368736,0.1267775582306584,0.2663789961524326,0.4216204610428083,0.1852229845741007,0.08438780262297696,0.02712447553479569,0.015265280072885745,0.00395790464802104,0.07334552542220754,0.1638056235610354,0.23530572042988504,0.18890277966125285,0.33468244627759813,26.63789961524326,42.16204610428083,18.52229845741007,8.438780262297696,2.712447553479569,1.5265280072885745,0.39579046480210406,7.334552542220754,16.38056235610354,23.530572042988503,18.890277966125286,33.468244627759816,200000,200000,0.713805,0.680535,0.604755,0.589515,0.56317,0.658895,0.7400412301119769,0.9880502610714613,1.2189819037096634,1.4177073096031567,1.6136301874388976,1.883873180999767,0.7994421556997408,1.0368720415007324,1.2400863806806284,1.4362137113697602,1.6248450679001036,2.007908311768369,1.8057684039478072,1.5433665149585951,3,0.6722981287438692,0.059400925587763886,0.0488217804292711,0.021104476970964958,0.018506401766603453,0.011214880461206,0.12403513076860184
