ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,la,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,2.756097860032449,0.39019429621719803,0.6674854369934065,0.8039147925406265,1.0466564925743969,1.3170979043337323,1.7136762355631656,-224.1673090173532,0,130,NA,200,100,100,7,462.3346180347064,485.42283960054266,44,0,0.4631738272581878,0.14762901834228048,0.7477689456003422,0.04150796122979816,0.06309407482757912,0.05372611363895474,0.05060880283458191,0.04329410186874383,0.4631621496819928,0.028077068790063636,0.045586954269755675,0.04501094537588627,0.0595536371940948,0.35860924468820676,74.77689456003422,4.150796122979816,6.309407482757912,5.372611363895475,5.060880283458191,4.329410186874383,46.31621496819928,2.8077068790063637,4.558695426975568,4.501094537588627,5.955363719409481,35.86092446882068,200000,200000,0.6256,0.512235,0.52055,0.524255,0.536235,0.638515,-0.4269682209526258,0.7345598835323397,0.9207549293419603,1.1747034959051186,1.4957468085795307,2.1222083379816983,-0.1414300572695959,0.7361817539466798,0.9263816504747614,1.181416472755957,1.5096362452709713,2.4765318069936537,6.781526981276529,6.943446457773046,3,0.07372233818376428,0.2855381636830299,0.001621870414340143,0.005626721132801049,0.006712976850838492,0.013889436691440604,0.35432346901195544
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,2.059100218846969,0.41214509668309884,-2.495105157203966,-1.3144810366427018,0.6659077996658376,1.8932101750930317,2.3681658682021918,-238.71068439869427,0,140,NA,200,100,100,7,491.42136879738854,514.5095903632248,16,0,0.5270110577972104,0.2527350174050067,0.00629599036464221,0.08804619742723722,0.6529227948031139,0.22357005500233407,0.020226702669650765,0.00893825973302187,0.0037022124182484093,0.05191020521081645,0.41737652457372476,0.27664234205561034,0.08906142987191953,0.16130728586968054,0.629599036464221,8.804619742723723,65.2922794803114,22.357005500233406,2.0226702669650765,0.8938259733021869,0.37022124182484095,5.1910205210816445,41.73765245737248,27.664234205561034,8.906142987191954,16.130728586968054,200000,200000,0.55071,0.559195,0.6055,0.578845,0.531485,0.58809,-2.818285981846709,-1.7083209274035709,-0.23196387830852444,1.1322773642968282,2.0915878705882798,2.703023730615518,-2.7686910375987765,-1.6498790852938534,-0.047303828077707596,1.23135533396854,2.1075069387165,2.8489034419555623,1.3598884253966144,2.032736646747154,3,0.5656399686805531,0.04959494424793265,0.05844184210971748,0.18466005023081683,0.09907796967171167,0.015919068128220193,0.14587971134004452
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,2.6050068848474517,0.5486446405622122,-0.9449347563683004,-0.14991761477954058,0.45708815662338753,0.8551738393234953,1.534884138123965,-318.7457451834187,0,120,NA,200,100,100,7,651.4914903668374,674.5797119326737,15,0,0.6860936774895976,0.3238038412847556,0.172346092975651,0.2680687141215235,0.2357813516180699,0.1275763829929819,0.13382131307392808,0.0624061452178456,0.07789503367501563,0.12249897773404858,0.11351231110133822,0.070866867720272,0.11647709474814884,0.49874971502117676,17.2346092975651,26.80687141215235,23.57813516180699,12.75763829929819,13.382131307392807,6.2406145217845594,7.789503367501563,12.249897773404857,11.351231110133822,7.0866867720272,11.647709474814883,49.874971502117674,200000,200000,0.614945,0.587905,0.57191,0.547905,0.57743,0.690735,-1.4812128942674023,-0.519280848394763,0.1489278086677157,0.6475214943796196,1.1502011564582526,1.968394696062496,-1.3239002348794335,-0.4530387969537191,0.19117616242498417,0.6657155199049469,1.2033921907156242,2.460186830203927,2.568252681558586,2.52329714238076,3,0.4710954772282604,0.1573126593879688,0.06624205144104384,0.04224835375726846,0.01819402552532734,0.053191034257371594,0.4917921341414311
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,2.1767223807514684,0.5263840567893385,-0.4532702807504258,0.3779590008672334,1.2566058557192632,1.6898302313560025,2.3552018781938964,-315.0534679793407,0,130,NA,200,100,100,7,644.1069359586814,667.1951575245178,9,0,0.48175811379928235,0.104448196648529,0.32517706511806976,0.3220924092500811,0.24828232898332014,0.058917977472627614,0.03627389660819047,0.009256322567710917,0.15625635258226492,0.16926538598263416,0.19272014763581857,0.09865653594266457,0.1528077002121387,0.23029387764447912,32.51770651180698,32.20924092500811,24.828232898332015,5.891797747262761,3.627389660819047,0.9256322567710917,15.625635258226492,16.926538598263416,19.272014763581858,9.865653594266458,15.280770021213868,23.02938776444791,200000,200000,0.611195,0.574245,0.580775,0.541885,0.563345,0.623285,-1.1070733617994735,-0.03553703775372245,0.7664577929373397,1.450472521586925,1.9510658798835316,2.6912935816292154,-0.9257277396239946,0.02537301731366573,0.8366323945851749,1.4682165152806506,1.9918988651502296,2.901651108850387,3.08116913761538,4.87377431319403,3,0.1812768073842399,0.1813456221754789,0.06091005506738818,0.07017460164783518,0.01774399369372559,0.040832985266697985,0.21035752722117174
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,1.8181064494387082,0.5575140967247566,-2.2007970855128587,-0.6186244773254337,0.828981580613444,1.9991565121062433,2.709591276770759,-266.69471630243345,0,308,NA,200,100,100,7,547.3894326048669,570.4776541707032,15,0,0.5576577876995559,0.20355741503343028,0.013875196010448997,0.25420669045206573,0.528360698504055,0.18076170392937063,0.019427402791774906,0.00336830831228474,0.006155877453340854,0.11659795363375244,0.31958838121335087,0.30886346285697186,0.14341974982320443,0.10537457501937954,1.3875196010448998,25.420669045206573,52.8360698504055,18.076170392937062,1.9427402791774906,0.336830831228474,0.6155877453340854,11.659795363375244,31.958838121335088,30.886346285697186,14.341974982320444,10.537457501937954,200000,200000,0.568405,0.59203,0.60823,0.59423,0.556545,0.592865,-2.5522110287100586,-1.1567440495965997,0.08806694050678628,1.2660385693353509,2.261138001639329,3.0145895000593046,-2.4809221698151482,-1.0370131741096784,0.2417083095716399,1.3740563830019867,2.3008257787288424,3.1505334473536153,0.617865800263085,2.4878071834168196,3,0.4774986289151728,0.07128885889491032,0.1197308754869213,0.15364136906485365,0.10801781366663588,0.03968777708951343,0.1359439472943107
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,3.0417680699568255,0.61725529024666,-0.6417224924372551,0.2709626617335673,1.0057065939477987,1.119239348406422,2.0305808983652742,-285.85531706758616,0,136,NA,200,100,100,7,585.7106341351723,608.7988557010086,23,0,0.6645693437197021,0.15727836515228355,0.26052669118966637,0.34626343385577946,0.23593150980227062,0.025759343682824953,0.11037025794584454,0.021148763523614056,0.09978621623564342,0.13418527297387572,0.10145916707077873,0.013808168132686427,0.12168055854438917,0.5290806170426265,26.052669118966637,34.62634338557795,23.593150980227062,2.5759343682824953,11.037025794584455,2.1148763523614056,9.978621623564342,13.418527297387573,10.145916707077873,1.3808168132686427,12.168055854438917,52.90806170426266,200000,200000,0.652925,0.626,0.60801,0.517795,0.631325,0.7256,-1.2463353804068122,-0.1728709314104619,0.6102305046074603,1.0613324924931993,1.4721963135646674,2.4003292413278876,-1.0212016506321286,-0.06120163773321894,0.6896015275848323,1.0633588309854005,1.5947815668230452,2.969783443032864,3.362348869967963,5.9083627904703935,3,0.11615469306322168,0.2251337297746836,0.11166929367724296,0.07937102297737197,0.0020263384922012406,0.12258525325837777,0.5694542017049762
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,2.0390765090617866,0.5948540866425206,-2.190277925974071,-1.1022619419459523,0.8937616948537426,2.0482087599725953,2.377593944790339,-239.8211729328274,0,194,NA,200,100,100,7,493.6423458656548,516.7305674314911,20,0,0.595124647812885,0.18572470404394226,0.01425204336200151,0.12092186155657544,0.6791013910374808,0.16545492980685117,0.011556772519171199,0.008713001717919888,0.005781127710456277,0.04948423300647717,0.3496099914701815,0.2916525549714388,0.08134112322404308,0.2221309696174031,1.425204336200151,12.092186155657544,67.91013910374808,16.54549298068512,1.15567725191712,0.8713001717919888,0.5781127710456276,4.9484233006477165,34.96099914701815,29.165255497143882,8.134112322404308,22.213096961740312,200000,200000,0.57784,0.58442,0.65533,0.60868,0.53197,0.62378,-2.5427794617177244,-1.4974169562028858,-0.0740212366728333,1.3212464466834766,2.1931394568714766,2.7115594229297866,-2.4613753018757563,-1.4154849413502013,0.21231014704935733,1.445531378800042,2.2036932712312653,2.9227403695266765,1.4706703809670167,4.2487264376598315,3,0.23582849798503025,0.08140415984196814,0.08193201485268453,0.28633138372219064,0.12428493211656533,0.010553814359788749,0.2111809465968899
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,2.01348178029023,0.4585561962479403,-1.070367904983081,-0.3577036650831831,0.729912650634162,1.6364258215644951,2.326198553688208,-319.66582539358353,0,132,NA,200,100,100,7,653.3316507871671,676.4198723530034,12,0,0.5388685028987412,0.23272178951247757,0.14222686998157202,0.21805567502594408,0.4069956654800063,0.1818465401737176,0.040871268940204875,0.010003980398555101,0.07747636620244745,0.12166174565529012,0.2619933852435213,0.21466682460157377,0.14579571135088112,0.17840596694628627,14.222686998157203,21.805567502594407,40.69956654800063,18.18465401737176,4.0871268940204875,1.0003980398555101,7.747636620244745,12.166174565529012,26.19933852435213,21.466682460157376,14.579571135088113,17.840596694628626,200000,200000,0.57778,0.549915,0.577625,0.56569,0.55138,0.59422,-1.5817780480330692,-0.6844468063165575,0.1684832521213238,1.1057416705692689,1.9062339152164332,2.665079361993838,-1.4741281123149006,-0.6484633516806017,0.25203334136500233,1.1661167350191068,1.9414689301284427,2.827591332935109,3.491964763325108,3.495936096422783,3,0.3212895780909335,0.10764993571816861,0.03598345463595587,0.08355008924367852,0.06037506444983798,0.03523501491200953,0.1625119709412708
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,2.4034892147905573,0.7140468407715309,-0.432429456628424,0.33980688730298925,0.7527210694085013,1.135707012626726,1.3149240538367646,-277.58929751092126,0,178,NA,200,100,100,7,569.1785950218425,592.2668165876788,42,0,0.743348683296256,0.22580877309639513,0.33271465643344544,0.300284363108993,0.14119220736116644,0.097769170740576,0.033771888459111166,0.09426771389670796,0.09677219281358505,0.09817687216203146,0.06170225172812745,0.06583395107264459,0.03517362328836839,0.642341108935243,33.27146564334454,30.0284363108993,14.119220736116645,9.7769170740576,3.3771888459111166,9.426771389670796,9.677219281358505,9.817687216203145,6.170225172812745,6.583395107264459,3.5173623288368394,64.2341108935243,200000,200000,0.66343,0.60303,0.559225,0.555075,0.524495,0.74134,-1.0920251336734497,-0.04405527852313616,0.5385530509968234,0.932753795303639,1.222042034593288,1.7827646928616503,-0.8300277323754417,0.035563755123601735,0.5626921517238312,0.9538010846755566,1.2267209463392317,2.4096711418661343,3.1790352589208632,3.522397598615721,3,0.3178688246239516,0.26199740129800797,0.07961903364673789,0.024139100727007867,0.021047289371917577,0.0046789117459435925,0.626906449004484
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,1.6930817927114516,0.4442336057561087,-0.7422803104500806,-0.11982420279835848,0.2437880705937449,0.42829975022617717,0.7191908222469691,-317.1825950419614,0,128,NA,200,100,100,7,648.3651900839228,671.4534116497591,7,0,0.6358871613582187,0.40369747995935024,0.2289587593815172,0.22335244512484773,0.14399131553428485,0.06948102958027591,0.09820477365602431,0.23601167672305,0.13055199222506467,0.13634141657451387,0.09721942984220285,0.05165212199207679,0.08215720333383755,0.5020778360323043,22.89587593815172,22.335244512484774,14.399131553428484,6.948102958027591,9.820477365602432,23.601167672305003,13.055199222506467,13.634141657451387,9.721942984220284,5.165212199207679,8.215720333383755,50.207783603230425,200000,200000,0.57365,0.538685,0.522515,0.5111,0.51762,0.621095,-1.3228451303564663,-0.41732957695646394,0.06130203848893047,0.3350916805061281,0.5697128014930242,1.3051496975127912,-1.2101282386089924,-0.3947052128285783,0.06952483788629281,0.33733743964292484,0.5749153482836882,1.6094258530031997,1.9878660609034355,1.9955834736898008,3,0.5733238769361828,0.1127168917474739,0.022624364127885654,0.00822279939736234,0.0022457591367967544,0.005202546790664009,0.30427615549040854
