ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,dpri,la,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.56,0.14,0.42000000000000004,3,39,44,7,4,3,0,20,24,21,21,14,Inf,0.8416212335729144,0.1509692154967774,-0.3853204664075676,-1.080319340814956,1.8807936081512504,0.20189347914185077,-1.080319340814956,-1.4757910281791702,-1.8807936081512509,FALSE,NA,NA,1,1.4439924889133136,0.6867738217872478,-2.000726577786831,-0.15027079502386398,0.9550784410016941,1.5130484121424403,2.2066236067585434,-288.98905527866145,0,140,NA,200,100,100,7,591.9781105573229,615.0663321231592,18,0,0.5253665654526878,0.16976901526086563,0.022710931803523966,0.41756455495721867,0.38995549797839174,0.10463533422748672,0.051463497876843456,0.013670183156535454,0.007309956598114173,0.1686695886402298,0.2986538893089683,0.18048321076302398,0.18755964226964214,0.15732371242002163,2.2710931803523966,41.756455495721866,38.995549797839175,10.463533422748672,5.146349787684345,1.3670183156535454,0.7309956598114173,16.86695886402298,29.86538893089683,18.048321076302397,18.755964226964213,15.732371242002163,200000,200000,0.573,0.61133,0.58692,0.54745,0.5536,0.60064,-2.3738590936187243,-0.8155642936764488,0.3631959510724079,1.2026205448286567,1.7883703183020794,2.5574376154226397,-2.2933005615112076,-0.6440911294375868,0.45847222867147236,1.2274713697818327,1.8261765439713953,2.7111136527842237,7.086511043915827,8.202341581612432,3,0.04200987351206631,0.08055853210751662,0.17147316423886194,0.09527627759906449,0.02485082495317603,0.03780622566931591,0.15367603736158397
2,100,100,0.74,0.12,0.62,4,28,56,10,1,1,1,4,21,26,20,28,2.3263478740408408,1.6448536269514715,0.6433454053929168,-0.050153583464733656,-0.5828415072712162,1.7506860712521695,0.46769879911450835,-1.17498679206609,-2.0537489106318225,-2.3263478740408408,TRUE,0.679689550608206,1.2498942119796594,2,2.162319844837385,0.8580852357663967,-1.7097545144883828,-0.4669366559626822,1.1679914088637413,2.0335945277480953,2.5979521729837805,-266.85534297477284,0,144,NA,200,100,100,7,547.7106859495457,570.798907515382,24,0,0.7379937483175513,0.12140511515286767,0.043655638666091234,0.2766169606253436,0.5583222855556975,0.10040886813439487,0.01630716926139608,0.004689077757076721,0.006241678952176217,0.04288112593661154,0.21288344679366095,0.26202676368102135,0.19080186876654898,0.285165115869981,4.365563866609124,27.661696062534357,55.83222855556975,10.040886813439487,1.6307169261396082,0.46890777570767206,0.6241678952176217,4.288112593661154,21.288344679366094,26.202676368102136,19.0801868766549,28.5165115869981,200000,200000,0.63315,0.65047,0.714535,0.62577,0.58498000000000006,0.6819,-2.1188087976509173,-0.9588724717815353,0.2795012664153319,1.50616661806282,2.256591212969621,2.9121833046598433,-1.9677524458450213,-0.791721372343012,0.6255298824599042,1.6168088335330761,2.303960202201705,3.2079428646772064,1.185716782786654,1.0415709977283474,3,0.7911944115179459,0.15105635180589605,0.16715109943852335,0.34602861604457225,0.11064221547025621,0.047368989232084324,0.29575956001736303
3,100,100,0.47,0.22,0.24999999999999997,2,41,35,3,16,3,0,30,23,2,28,17,Inf,0.5244005127080407,-0.0752698620998299,-0.125661346855074,-0.9541652531461942,2.053748910631822,0.17637416478086118,-0.7721932141886849,-0.8778962950512285,-1.8807936081512509,FALSE,NA,NA,3,1.693500717090988,0.39444451356459415,-2.242879770602598,-0.1360545954057173,0.7504706069122565,0.8388902216863131,1.9454143591392912,-276.5260238530327,0,156,NA,200,100,100,7,567.0520477060654,590.1402692719017,5,0,0.4634212172172378,0.22648566003198245,0.012452284297528551,0.433436776346039,0.32762527932445,0.025720202293787464,0.17490289377701607,0.02586256396117892,0.007556863257873145,0.27573000814212245,0.2532919113827665,0.024864436943616827,0.2648992716239607,0.17365750864966023,1.245228429752855,43.3436776346039,32.762527932445,2.5720202293787464,17.490289377701608,2.586256396117892,0.7556863257873145,27.573000814212246,25.329191138276652,2.4864436943616828,26.48992716239607,17.365750864966024,200000,200000,0.545125,0.575035,0.54825,0.50513,0.55674,0.576095,-2.5899998797798705,-0.8375281912465066,0.2876328859094914,0.7941628556129774,1.2605608523451495,2.324957397491395,-2.542238166284265,-0.7133263552040141,0.32979905545257715,0.7946664760032169,1.3249575187235172,2.455030654812039,1.618174655330544,3.059894205203852,3,0.38248253898969553,0.04776171349560565,0.12420183604249246,0.042166169543085774,5.036203902395453e-4,0.06439666637836772,0.13007325732064423
4,100,100,0.88,0.19,0.69,0,52,29,16,3,0,0,6,6,10,41,37,Inf,1.5547735945968528,1.17498679206609,0.7721932141886849,-0.3318533464368165,Inf,-0.050153583464733656,-0.8778962950512285,-1.8807936081512509,-Inf,NA,NA,NA,4,3.0875879374507416,0.8705331985471264,-9.724177056556904,0.03354760083765562,0.8868689892513233,1.8559919087472645,3.280245316269819,-240.09610089789288,0,172,NA,200,100,100,7,494.19220179578576,517.2804233616221,36,0,0.8827366697628439,0.18757471959596717,1.1891029633861767e-22,0.5133810464022341,0.2990442340017987,0.1558473639152692,0.031208771380726974,5.185842999709811e-4,1.539493572677424e-23,0.06744855442326296,0.04981477581389314,0.10302748821069375,0.41087229432689937,0.36883688722525076,1.1891029633861767e-20,51.33810464022341,29.90442340017987,15.58473639152692,3.1208771380726974,0.05185842999709811,1.539493572677424e-21,6.744855442326296,4.9814775813893135,10.302748821069375,41.08722943268994,36.88368872252508,200000,200000,0.562245,0.75492,0.675635,0.699195,0.7561,0.74246,-9.824945281697152,-0.7766508975032183,0.43302151056024313,1.2701921592400425,2.2247245038501267,3.5447398013887894,-9.804466647454475,-0.31497937982324675,0.5833062703773471,1.4670581460277679,2.5961286032377004,3.950827444113704,0.3515877098233366,0.4459092426949377,3,0.9306036553135757,0.02047863424267682,0.4616715176799715,0.15028475981710393,0.19686598678772538,0.3714040993875738,0.4060876427249145
5,100,100,0.7,0.07,0.6299999999999999,43,27,23,4,0,3,12,9,9,8,5,57,1.17498679206609,0.8064212470182404,0.5244005127080407,0.3054807880993974,0.17637416478086118,0.17637416478086118,-0.5244005127080407,-1.4757910281791702,-1.8807936081512509,-1.8807936081512509,TRUE,0.434295375223479,1.0826757775815545,5,2.841770578198941,0.7280523371428592,-0.1736803478304455,0.5470762521820799,1.4324161215016273,1.8851534192384882,2.0625496432503896,-266.57991437333146,0,134,NA,200,100,100,7,547.1598287466629,570.2480503124992,29,0,0.6909417138085153,0.07601238372960206,0.43105834147019095,0.27677848520509785,0.21615078959510914,0.046307819916235005,0.01012684564386701,0.019577718169500047,0.11815939041418141,0.08225298541371028,0.10864591036359297,0.0781289858717947,0.03809692877739013,0.5747157991593305,43.105834147019095,27.677848520509784,21.615078959510914,4.6307819916235005,1.012684564386701,1.9577718169500047,11.815939041418142,8.225298541371027,10.864591036359297,7.81289858717947,3.8096928777390127,57.47157991593305,200000,200000,0.6948,0.61655,0.64271,0.576015,0.529555,0.745815,-0.9116408878122906,0.1787570440261451,0.9275244050284832,1.6309020612340352,1.9686911441210238,2.428731583250239,-0.5805682374731542,0.26235209103461105,1.0546934404986612,1.6656658490177223,1.9740947009226708,3.0029240113037243,1.5224392758731515,3.4560503223882093,3,0.32650714077413334,0.33107265033913635,0.08359504700846596,0.127169035470178,0.03476378778368705,0.005403556801647058,0.5741924280534851
6,100,100,0.65,0.23,0.42000000000000004,21,32,24,9,3,11,9,17,9,7,5,53,1.3407550336902165,0.6433454053929168,0.3853204664075676,0.20189347914185077,0.0752698620998299,0.8064212470182404,-0.0752698620998299,-0.7388468491852137,-1.080319340814956,-1.2265281200366105,TRUE,0.5934486557464755,0.8040293268622787,6,2.303171840567701,0.5700053543782962,-0.80880553079635,0.11557682488941023,0.7104490209212191,1.0569359554209847,1.2513090578512969,-301.5271045386024,0,152,NA,200,100,100,7,617.0542090772047,640.142430643041,32,0,0.6409519311498741,0.2387128667301489,0.209313507193256,0.3366925273791599,0.21528109869743517,0.0934424579873746,0.039859537712755966,0.10541087103001834,0.09053333274338614,0.15242566327511925,0.11608907283162052,0.06909482358014066,0.039992242259720756,0.5318648653100126,20.9313507193256,33.66925273791599,21.528109869743517,9.344245798737461,3.9859537712755966,10.541087103001834,9.053333274338614,15.242566327511925,11.608907283162052,6.909482358014066,3.9992242259720756,53.186486531001265,200000,200000,0.61325,0.591465,0.562555,0.537355,0.52006,0.68652,-1.3742393664257773,-0.3226675750716318,0.40098830212532494,0.8749006007983297,1.1504964645531182,1.7299003317696529,-1.2097101080704784,-0.24079415254713038,0.43873440715613016,0.8879432269428219,1.1545226180109949,2.2123727511100264,1.6848801117303474,1.7225733575161946,3,0.6319269378918017,0.16452925835529886,0.08187342252450142,0.03774610503080522,0.013042626144492253,0.004026153457876713,0.48247241934037355
7,100,100,0.73,0.12,0.61,18,37,33,9,3,0,2,7,18,16,10,47,2.053748910631822,1.3407550336902165,0.612812991016627,0.17637416478086118,-0.0752698620998299,0.9153650878428139,-0.125661346855074,-1.17498679206609,-1.8807936081512509,-Inf,FALSE,NA,NA,7,2.263867513470668,0.8529746556180392,-0.9362966675558398,0.12156710179481267,1.2176852679633905,1.8273631916296837,2.176390896433827,-283.7689533299718,0,138,NA,200,100,100,7,581.5379066599436,604.6261282257799,17,0,0.7433760874384923,0.11167179875638722,0.17456023173471039,0.37381883368448865,0.3399491358244138,0.0778492088474908,0.01905956794389252,0.014763021965003897,0.026250555646750915,0.0680948708064279,0.1622784861083289,0.16796408253447223,0.11702484626345601,0.4583871586405641,17.45602317347104,37.38188336844887,33.99491358244138,7.784920884749081,1.905956794389252,1.4763021965003897,2.6250555646750917,6.80948708064279,16.22784861083289,16.796408253447222,11.702484626345601,45.83871586405641,200000,200000,0.663305,0.649,0.663235,0.59627,0.557675,0.71646,-1.4743558334553253,-0.3708784585964398,0.605757029304077,1.476585628913077,1.9817985835206589,2.5303371135999773,-1.2461002180743008,-0.2186121787633181,0.7847250853716583,1.5345481083501002,2.0013571292241346,2.9375531057097346,1.5301663413566706,4.399485891065337,3,0.2214330617642727,0.22825561538102446,0.15226627983312171,0.17896805606758126,0.05796247943702326,0.019558545703475705,0.40721599210975734
8,100,100,0.59,0.25,0.33999999999999997,31,19,25,6,11,8,18,10,13,9,7,43,0.9153650878428139,0.5828415072712162,0.2275449766411493,0,-0.17637416478086135,0.49585034734745304,0,-0.6744897501960817,-0.8778962950512285,-1.4050715603096322,TRUE,0.5868922178040431,0.5988151100214828,8,2.5613791617824884,0.4350049350629392,-0.4877763397167876,-0.007154737493564545,0.6263160099510321,0.9261440374511576,1.3890730457265554,-322.37699472107363,0,126,NA,200,100,100,7,658.7539894421473,681.8422110079836,14,0,0.5735177115711003,0.2655538436294862,0.31285413606368523,0.18429156099706828,0.2373004593097603,0.08836827817478676,0.0947802958794316,0.08240526957526784,0.17726017990124757,0.10584603215835293,0.1433760763692991,0.06058900759311259,0.08379942663095821,0.4291292773470295,31.28541360636852,18.429156099706827,23.73004593097603,8.836827817478676,9.47802958794316,8.240526957526784,17.726017990124756,10.584603215835294,14.337607636929912,6.058900759311259,8.379942663095822,42.91292773470295,200000,200000,0.60047,0.543965,0.556105,0.52819,0.54173,0.654845,-1.1321481027373874,-0.24273956295550644,0.2993723172989571,0.770437575761791,1.137178862399448,1.844863694730735,-0.973055467028607,-0.22164372355651554,0.3352080124353268,0.7785922289431833,1.1568266904465763,2.256393935746307,3.06674478137588,3.001231342518239,3,0.39143536643434107,0.1590926357087804,0.0210958393989909,0.035835695136369694,0.008154653181392302,0.01964782804712817,0.4115302410155721
9,100,100,0.74,0.07,0.6699999999999999,19,56,18,5,2,0,0,13,13,12,24,38,Inf,1.1263911290388005,0.6433454053929168,0.3054807880993974,-0.3054807880993974,0.8778962950512288,-0.6744897501960817,-1.4757910281791702,-2.0537489106318225,-Inf,NA,NA,NA,9,2.017109095254282,0.9999995969582608,-0.8746119551344493,0.7412230439680221,1.370189582692899,1.747098759170406,2.3603245066248357,-269.8254514409729,0,158,NA,200,100,100,7,553.6509028819459,576.7391244477822,11,0,0.7411577174105212,0.0853138646555015,0.19089254031965983,0.5798283529935232,0.14396524203131544,0.04500376035071385,0.03118062672425803,0.009129477580529621,0.0019157659609699452,0.09908240525996796,0.15784411136854087,0.13473409647996676,0.24070555891017822,0.3657180620203762,19.089254031965982,57.98283529935232,14.396524203131545,4.500376035071385,3.118062672425803,0.9129477580529621,0.1915765960969945,9.908240525996796,15.784411136854088,13.473409647996675,24.070555891017822,36.57180620203762,200000,200000,0.67896,0.725075,0.602795,0.562295,0.59925,0.708245,-1.4256574220714826,-0.053407583372698963,1.0216037999588476,1.54038344033462,1.9917399779068068,2.6959277254309986,-1.165950299327829,0.292905943125825,1.087194110879337,1.564069363356233,2.0537515511070255,3.044063675744294,3.0995938392808853,5.2495083670321225,3,0.1544124751598881,0.2597071227436536,0.346313526498524,0.06559031092048939,0.023685923021613098,0.06201157320021866,0.34813595031329525
10,100,100,0.68,0.32,0.36000000000000004,18,36,14,11,14,7,3,16,13,8,27,33,1.8807936081512504,0.8778962950512288,0.46769879911450835,0.2533471031357998,-0.4399131656732338,0.9153650878428139,-0.10043372051146975,-0.4676987991145081,-0.8064212470182404,-1.4757910281791702,TRUE,0.9649882755804842,0.9814110741003935,10,1.0603113299848188,0.952711595004175,-0.9189627844198236,0.10726250609971277,0.4998091430482253,0.7757507713009797,1.4689363752839966,-324.64110295676306,0,140,NA,200,100,100,7,663.2822059135261,686.3704274793624,11,0,0.6933352010211967,0.30860473604688865,0.1790575191335972,0.36365211652265234,0.14868562829686183,0.08965665812094192,0.14802305430484164,0.07092502362110509,0.03123007885573653,0.15666406532276098,0.11877065480030582,0.09991286872022417,0.26480558963415857,0.32861674266681395,17.90575191335972,36.36521165226523,14.868562829686184,8.965665812094192,14.802305430484164,7.092502362110508,3.123007885573653,15.666406532276097,11.877065480030582,9.991286872022417,26.480558963415856,32.8616742666814,200000,200000,0.602965,0.582215,0.53401,0.52286,0.55772,0.62008,-1.46062343673313,-0.3715592163598356,0.29965899132838475,0.6337453770087274,1.0785451409530848,1.9122994045789892,-1.3026062891766892,-0.2897264865073749,0.3124600589345567,0.6400762331535306,1.117861906044143,2.1244641621088967,1.0869479797344042,1.0834775437648838,3,0.7810640929997864,0.15801714755644092,0.08183272985246065,0.012801067606171945,0.006330856144803221,0.03931676509105819,0.2121647575299075
