ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,muo,sigo,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,0.45709656555778116,1.1236978274248501,-1.1207188557289822,-0.15772123127770155,0.14395024967099768,0.5544143431978531,0.9808425683487373,-341.13537844222344,0,132,NA,200,100,100,7,696.2707568844469,719.3589784502832,2,0,0.609752814906964,0.4427698776823863,0.13120377672091543,0.3061344581555453,0.11989188744115298,0.15312222159012479,0.12631246477300606,0.16333519131925545,0.08014038998397473,0.21200156911030094,0.09810522599876037,0.14426004348608956,0.1449177668085212,0.3205750046123532,13.120377672091543,30.61344581555453,11.989188744115298,15.312222159012478,12.631246477300607,16.333519131925545,8.014038998397472,21.200156911030092,9.810522599876037,14.426004348608956,14.49177668085212,32.05750046123532,200000,200000,0.498645,0.517715,0.509905,0.5146,0.516725,0.600055,0.4987950288577847,0.5183839312033013,0.5090546976273377,0.5148165903958072,0.518418907429361,0.599448371527636,-1.6226485260829655,-0.591613752027091,-0.006833430807949452,0.34430888290073725,0.7560869783792231,1.5098135947770908,-1.6302092161815975,-0.5744677947769512,-0.004106051937750876,0.35037685445576516,0.7639203449829326,1.7115559490861036,10.57528347927685,10.656015851849236,3,0.013739055004486023,-0.007560690098632028,0.017145957250139787,0.0027273788701985754,0.006067971555027918,0.00783336660370948,0.20174235430901288
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,1.7330054099757908,1.2181276443479718,-1.9005494404109498,-0.36653425175926824,0.6272852698972688,1.474059948126388,1.87126951381574,-277.0272506394024,0,146,NA,200,100,100,7,568.0545012788048,591.1427228446411,14,0,0.8179871979626885,0.2652361286276763,0.028680526649027246,0.32830270284322954,0.3777806418800669,0.19500340308835595,0.039578858587695165,0.030653866951625197,0.0014276490717003531,0.040964254839395975,0.1396208981262152,0.23381580111504152,0.12935646823122282,0.45481492861642414,2.8680526649027245,32.83027028432296,37.77806418800669,19.500340308835597,3.9578858587695165,3.0653866951625197,0.14276490717003532,4.096425483939598,13.96208981262152,23.381580111504153,12.935646823122282,45.481492861642415,200000,200000,0.533365,0.589515,0.596435,0.603545,0.556275,0.747665,0.5333078004736458,0.5905508703017306,0.5976568365982363,0.603707614603494,0.5561104100511797,0.7478664923858641,-2.285430203644172,-0.9365648521650929,0.11999655881768179,0.9901394889946525,1.650945794393099,2.2597024150750813,-2.2468749736947276,-0.8143339991578065,0.21575447812724535,1.0776432644538811,1.6731975022653343,2.7946289527631385,2.014654724238261,2.465301824732231,3,0.4815944694498939,0.03855522994944449,0.12223085300728642,0.09575791930956357,0.0875037754592286,0.022251707872235293,0.5349265376880572
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,3.034584575511119,1.9398460950362397,-1.041173728419745,-0.3922695960127005,1.2126003206928364,1.9900601001406173,2.3554568831589426,-242.48113713676747,0,132,NA,200,100,100,7,498.96227427353494,522.0504958393713,4,0,0.8261966563627118,0.11264133311517543,0.14889746314061025,0.1985320498320261,0.5399291539121882,0.08934917541679532,0.014042185774821747,0.009249971923558364,0.01781727818531855,0.020833709203110708,0.135152356248859,0.12132731188773335,0.06800357341024177,0.6368657710647366,14.889746314061025,19.85320498320261,53.99291539121882,8.934917541679532,1.4042185774821747,0.9249971923558364,1.781727818531855,2.083370920311071,13.515235624885898,12.132731188773334,6.800357341024177,63.68657710647366,200000,200000,0.42634,0.517315,0.64195,0.6246,0.572855,0.8934,0.4264501587898194,0.5156316726180492,0.642059968938413,0.6235023513331907,0.572128963290662,0.8945772382905155,-1.5582096114414812,-0.6920099690109096,0.32993740798691457,1.524182785053612,2.148938355902504,2.6915242406179076,-1.7433233725074726,-0.6821103342856407,0.5536243714564342,1.6203851986722808,2.175303381427363,4.177501508774612,4.293777103309175,4.024743831505926,3,0.2588046095096689,-0.18511376106599142,0.009899634725268891,0.2236869634695196,0.09620241361866877,0.026365025524858865,1.4859772681567045
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,1.2693335254740268,1.441526228762077,-2.02931391417267,-0.32034871685838917,0.7602376506377233,1.150820077341563,2.010074962517257,-293.3296124739069,0,142,NA,200,100,100,7,600.6592249478138,623.7474465136501,13,0,0.6380174360266103,0.22355627163432334,0.02121316349207784,0.35313883482731984,0.40209173004627896,0.09865314003490888,0.1026915038296553,0.022211627769759157,0.0110599683021778,0.12400199995904156,0.22692059571217033,0.10525575859382535,0.2290864412970342,0.30367523613575076,2.1213163492077842,35.31388348273198,40.2091730046279,9.865314003490887,10.269150382965531,2.2211627769759157,1.10599683021778,12.400199995904156,22.692059571217033,10.525575859382535,22.908644129703422,30.367523613575077,200000,200000,0.42543,0.509365,0.56421,0.53556,0.595235,0.746605,0.42552319347757916,0.5108055643106102,0.5643517318297119,0.5358124047605176,0.5974900536544541,0.7453528580383628,-2.399204817052653,-0.9290778959716842,0.1993818379365884,0.9434706956355693,1.4882518473988586,2.3821421434346766,-2.52316062125307,-0.9172090838188816,0.2679400646226373,0.9574438703875747,1.5713469627159395,2.9288640402784054,5.404436715199092,7.742932344117632,3,0.05163429416544085,-0.12395580420041696,0.011868812152802666,0.06855822668604891,0.013973174752005435,0.08309511531708091,0.5467218968437288
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,0.5957212975437907,1.3275349799143417,-1.4674839801198445,-0.5117223719401965,0.2508284133001635,0.7157883025531673,1.2433199577759804,-337.4805896850198,0,138,NA,200,100,100,7,688.9611793700396,712.049400935876,4,0,0.6024907701161247,0.4009733865104831,0.07112222201851154,0.2333004411837159,0.2946039502872895,0.16391234833332968,0.13018606186610582,0.10687497631104759,0.060072812524383595,0.1420083644916174,0.19542805286787426,0.13852340340731872,0.15112884059354226,0.31283852611526375,7.112222201851154,23.33004411837159,29.460395028728946,16.39123483333297,13.018606186610581,10.687497631104758,6.00728125243836,14.200836449161741,19.542805286787427,13.852340340731873,15.112884059354226,31.283852611526374,200000,200000,0.433505,0.494115,0.518095,0.520995,0.53281,0.669875,0.4321027052931598,0.4945119361556428,0.5179413074133222,0.5210825431718328,0.5330569114328928,0.668238284274097,-1.9110680913233595,-0.9175481392925869,-0.12424856274636442,0.47467100150088315,0.95714534298674,1.7232891848860246,-2.0392503853205737,-0.9230913176734277,-0.11073098376330281,0.4844527923380105,0.9745308926257968,2.098730188774059,10.685148956754913,10.697199639367307,3,0.013481147934479076,-0.12818229399721415,-0.00554317838084073,0.013517578983061607,0.009781790837127324,0.017385549639056808,0.37544100388803425
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,0.8210742257399608,1.3270730451249508,-1.2596183640007252,-0.4390279457100035,0.6032904257285414,1.02497281429927,1.44136007487284,-321.81099489366153,0,132,NA,200,100,100,7,657.6219897873231,680.7102113531594,11,0,0.5651770852718481,0.27315775054399727,0.1039035338017178,0.22641710985920477,0.39652160579508017,0.12046974289737311,0.07794651591554436,0.0747414917310798,0.05845445540732999,0.11271985982398214,0.26364859949683983,0.1262323924641493,0.11884104079625957,0.3201036520114392,10.39035338017178,22.641710985920476,39.65216057950801,12.04697428973731,7.794651591554436,7.47414917310798,5.8454455407329995,11.271985982398213,26.364859949683982,12.62323924641493,11.884104079625956,32.01036520114392,200000,200000,0.45573,0.507695,0.542555,0.5284,0.53402,0.688295,0.4548691638688619,0.5074723493574285,0.5431596840693755,0.5285704891710944,0.5343422576307951,0.6888686598849061,-1.736783128179219,-0.8030829760339308,0.07496199296787591,0.8021624017602016,1.2155287034105973,1.888951532173374,-1.8285537574023611,-0.7972859443167974,0.11922975439316941,0.8141898383989318,1.2297972642718855,2.3038444554482567,6.188245961067179,6.323589023238247,3,0.09688546749348093,-0.09177062922314216,0.005797031717133305,0.0442677614252935,0.012027436638730182,0.014268560861288249,0.4148929232748826
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,0.39546462381408587,1.0225340443546027,-1.6641553825534097,-0.7290322976241419,0.09287667571204072,0.5680291953693692,0.8458798326999688,-324.87308371893926,0,134,NA,200,100,100,7,663.7461674378785,686.8343890037148,21,0,0.6163542896705262,0.46300076786240374,0.048040690895626084,0.18495026221901556,0.3040082790229546,0.17799319594454632,0.08619767988393578,0.19880989203392163,0.021992631117007756,0.11373533672350006,0.247917742488966,0.18336224246371313,0.10320063288240366,0.3297914143244094,4.804069089562608,18.495026221901554,30.400827902295458,17.799319594454634,8.619767988393578,19.88098920339216,2.1992631117007755,11.373533672350005,24.7917742488966,18.336224246371312,10.320063288240366,32.97914143244094,200000,200000,0.525415,0.52368,0.525325,0.517605,0.509255,0.56021,0.526310591269945,0.5240169978449833,0.5245810447355164,0.5154802908824371,0.5094500615934572,0.5603844489582926,-2.0793634190854386,-1.1135382427030882,-0.3005907843711985,0.32428490223236406,0.7024209763388307,1.403138268627628,-2.044124117427219,-1.0920055008378768,-0.28066912212580053,0.33161434514872284,0.7050428510507245,1.518039341927257,1.4813767324864051,1.4703817519195201,3,0.6891228815913109,0.035239301658219535,0.02153274186521137,0.019921662245397986,0.007329442916358786,0.00262187471189379,0.11490107329962918
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,1.7416867193765837,1.8824682521344165,-1.1386775337310797,-0.03482907036100702,0.9101849844233834,1.2462961690116856,1.6504653257709867,-293.6508660216245,0,142,NA,200,100,100,7,601.301732043249,624.3899536090853,24,0,0.6706498262227124,0.18136248081697914,0.1274188382711288,0.3586891816753667,0.33252949923652536,0.075034638911057,0.0569039421119375,0.04942389979398465,0.06299601670647362,0.10966132938257028,0.1566928276882437,0.06686341413736557,0.08446187207322386,0.5193245400121229,12.74188382711288,35.86891816753667,33.25294992365254,7.5034638911056994,5.69039421119375,4.942389979398465,6.299601670647362,10.966132938257028,15.669282768824369,6.6863414137365575,8.446187207322387,51.93245400121229,200000,200000,0.37032,0.50815,0.56209,0.5344,0.54998,0.83369,0.37123780476875856,0.5087057316528022,0.5624607151790164,0.5352723459811122,0.5510567622345925,0.834169311969604,-1.637292369995263,-0.5299253517987063,0.40614961859364374,1.0681498620175383,1.4288814636554634,2.0675508474348057,-1.9560702082650532,-0.5213553708799563,0.46478035888236247,1.0800011125142026,1.449505702344291,3.1860916843355787,0.4075132731494988,0.4099258497017325,3,0.9381844997336503,-0.3187778382697901,0.008569980918749942,0.05863074028871873,0.011851250496664356,0.020624238688827568,1.118540836900773
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,0.80167858742141,1.569128773860138,-1.7453372568025545,-0.4708145046079224,0.47707868130145736,1.1335960535183154,1.9964302507106082,-320.93868170277153,0,138,NA,200,100,100,7,655.8773634055431,678.9655849713794,5,0,0.5819428726070963,0.316653047397621,0.040463090150899,0.27842351267581167,0.3644603497756683,0.18817103278885772,0.10553845920466942,0.022943555404093874,0.05227291910027803,0.15642278873327678,0.20936141955934892,0.16570592463496653,0.1930310916094049,0.22320585636272483,4.0463090150899,27.842351267581165,36.44603497756683,18.81710327888577,10.553845920466943,2.2943555404093874,5.227291910027803,15.642278873327678,20.936141955934893,16.570592463496652,19.30310916094049,22.320585636272483,200000,200000,0.368515,0.471825,0.52659,0.544135,0.58653,0.73502,0.3698621430390451,0.47131714535363883,0.5258879790598426,0.5432801306048847,0.5854359248876005,0.7355911807062911,-2.1496939249307814,-0.970123605168314,0.0029045204090951877,0.7769532505606667,1.4729448984249585,2.3700541097591588,-2.4057306058960393,-1.0069403800252354,0.027085147073173776,0.8052843041368573,1.545994488169288,2.9004866311187323,3.7539278027746104,3.830674038830618,3,0.28033832930213864,-0.2560366809652579,-0.036816774856921475,0.024180626664078587,0.02833105357619059,0.07304958974432951,0.5304325213595735
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,3.702203635143725,1.3967438506130567,-0.17914806395006433,0.7679746193300516,1.629480186378128,1.9236733453902213,2.6170125359710483,-201.3363314561129,0,142,NA,200,100,100,7,416.6726629122258,439.76088447806205,26,0,0.9310913205785392,0.05160570298225786,0.428910721421924,0.34983814669718605,0.1696454288986321,0.024407932430295598,0.02276261637390553,0.004435154178056733,0.0027275250517243797,0.015103324735712641,0.051077829634023804,0.032539969490402026,0.11714739459419117,0.781403956493946,42.8910721421924,34.983814669718605,16.96454288986321,2.44079324302956,2.276261637390553,0.4435154178056733,0.272752505172438,1.5103324735712642,5.10778296340238,3.2539969490402028,11.714739459419118,78.1403956493946,200000,200000,0.678565,0.65333,0.67138,0.568995,0.66383,0.903805,0.6779132105509637,0.6535735723155894,0.6702284632485189,0.5672600177501308,0.6647662246841567,0.9042755103258229,-0.9153222798296586,0.27308194201175195,1.127602834579217,1.7638576780781332,2.184234878601465,2.929632709257806,-0.5974831240417533,0.41764024915116815,1.2755775796049695,1.7836753583585112,2.2993809973899237,4.2295211490794005,4.265749015227158,4.6318655247013565,3,0.20082547852398647,0.31783915578790534,0.1445583071394162,0.14797474502575247,0.019817680280378003,0.11514611878845882,1.2998884398215944
