ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,muo,sigo,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eFCpcor1,eFCpcor2,eFCpcor3,eFCpcor4,eFCpcor5,eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.56,0.14,0.42000000000000004,3,39,44,7,4,3,0,20,24,21,21,14,Inf,0.8416212335729144,0.1509692154967774,-0.3853204664075676,-1.080319340814956,1.8807936081512504,0.20189347914185077,-1.080319340814956,-1.4757910281791702,-1.8807936081512509,FALSE,NA,NA,1,0.9660722994455735,1.1436873023160468,-1.960518602899675,-0.1328964283896934,0.9147818608418317,1.4482362896230463,2.137711857936496,-289.4156117222357,0,150,NA,200,100,100,7,592.8312234444714,615.9194450103078,13,0,0.517885192641986,0.180153079624926,0.024967602904448244,0.4221700428864996,0.3727092745841261,0.10637759028865279,0.05750542108475898,0.016270068251514225,0.005250072110303945,0.16305124143790167,0.3138134938098084,0.18122203728863406,0.18384951803370908,0.15281363731964281,2.4967602904448243,42.21700428864996,37.270927458412615,10.637759028865279,5.750542108475898,1.6270068251514225,0.5250072110303945,16.305124143790167,31.38134938098084,18.122203728863408,18.384951803370907,15.281363731964282,200000,200000,0.512925,0.567985,0.57177,0.545235,0.56289,0.644405,0.5137636277228693,0.567929481729629,0.5709437928436311,0.5446176056041208,0.5640784723372868,0.6440253990437891,-2.33829270297169,-0.7983827373135858,0.35656408519239,1.1539339624847642,1.7247345903481832,2.4957359005736723,-2.3237273678448913,-0.6915794684534271,0.42991701344772126,1.1776319414727436,1.7683088460254144,2.7327768985535252,8.00687665141214,9.055454468760962,3,0.02856260310731773,0.014565335126798473,0.10680326886015867,0.07335292825533124,0.02369797898797943,0.043574255677231166,0.2370409979798529
2,100,100,0.74,0.12,0.62,4,28,56,10,1,1,1,4,21,26,20,28,2.3263478740408408,1.6448536269514715,0.6433454053929168,-0.050153583464733656,-0.5828415072712162,1.7506860712521695,0.46769879911450835,-1.17498679206609,-2.0537489106318225,-2.3263478740408408,TRUE,0.679689550608206,1.2498942119796594,2,1.9929593745588894,1.4583341764632536,-1.7082857091493229,-0.46379111126070804,1.1230835314496757,2.088097987185101,2.80457294453079,-267.5082869439269,0,150,NA,200,100,100,7,549.0165738878538,572.1047954536901,25,0,0.7245746806136888,0.13070100986349675,0.04379167083896314,0.2776070353299625,0.5479002839675776,0.11230651156780913,0.015875334010131303,0.002519164285556319,0.00557447629152971,0.040455713247589155,0.22939512984719235,0.25058237513296144,0.18506961477742911,0.28892269070329823,4.379167083896314,27.76070353299625,54.79002839675776,11.230651156780914,1.5875334010131303,0.2519164285556319,0.557447629152971,4.045571324758916,22.939512984719236,25.058237513296145,18.506961477742912,28.892269070329824,200000,200000,0.47143,0.53878,0.640095,0.63431,0.62628,0.78929,0.47074193882017856,0.5389769348346388,0.6403962924163655,0.6356021011617375,0.6252898279813818,0.7878866780963287,-2.117535850396789,-0.9565029784500415,0.2663419474566267,1.489138665988437,2.348229460797934,3.1020861332534886,-2.174070246837343,-0.9124594507474051,0.48374816864492276,1.6195135829787022,2.4372927099680766,3.717717759739335,3.334631205596523,2.347458936036402,3,0.5034900505930464,-0.0565343964405538,0.04404352770263642,0.21740622118829606,0.13037491699026527,0.08906324917014263,0.6156316264858464
3,100,100,0.47,0.22,0.24999999999999997,2,41,35,3,16,3,0,30,23,2,28,17,Inf,0.5244005127080407,-0.0752698620998299,-0.125661346855074,-0.9541652531461942,2.053748910631822,0.17637416478086118,-0.7721932141886849,-0.8778962950512285,-1.8807936081512509,FALSE,NA,NA,3,0.6358105649056248,1.2340553842036335,-2.2610983510740397,-0.11301295299497394,0.7431937830899444,0.825938128587869,1.8387000978974162,-277.1582646992344,0,154,NA,200,100,100,7,568.3165293984688,591.4047509643051,14,0,0.4653291861878097,0.22868218336276636,0.011876583737177976,0.4431335592632469,0.3163076736368088,0.02426258827851646,0.1714399405752295,0.032979654509020406,0.009450678628271288,0.26254149214176525,0.2626786430421537,0.026550845017524694,0.2739350022800876,0.16484333889019742,1.1876583737177977,44.31335592632469,31.630767363680878,2.426258827851646,17.14399405752295,3.2979654509020406,0.9450678628271288,26.254149214176525,26.267864304215372,2.6550845017524694,27.39350022800876,16.48433388901974,200000,200000,0.451965,0.512165,0.5387,0.5038,0.57094,0.646565,0.45167679348124185,0.5142708446723313,0.5370194631767903,0.5047351881192784,0.5693193232769619,0.6444690719886589,-2.6063874943340326,-0.8246899376851587,0.29632923212421836,0.7841184535561759,1.2252936878485816,2.2311494017287803,-2.676766791837397,-0.8048301103787735,0.3277441985345042,0.7845102329969844,1.2942277899338923,2.4929974420008008,2.5333591122987102,4.324375897607349,3,0.22850076652380813,-0.07037929750336458,0.019859827306385247,0.03141496641028585,3.917794408084818e-4,0.0689341020853107,0.26184804027202047
4,100,100,0.88,0.19,0.69,0,52,29,16,3,0,0,6,6,10,41,37,Inf,1.5547735945968528,1.17498679206609,0.7721932141886849,-0.3318533464368165,Inf,-0.050153583464733656,-0.8778962950512285,-1.8807936081512509,-Inf,NA,NA,NA,4,3.6771128007718294,2.3476509327664825,-10.344518613035,0.048433966681464824,0.8859542547725279,1.8660093972967786,4.456790966664739,-239.89823546229493,0,176,NA,200,100,100,7,493.79647092458987,516.8846924904261,39,0,0.8827635368887394,0.1878210891137131,2.2156885707599523e-25,0.5193148052185584,0.29286410566772847,0.1568010637390902,0.031015865591891734,4.159782731161243e-6,1.167352741253334e-9,0.0610929026441275,0.056143559299780314,0.10298263988257046,0.4098777675033058,0.3699031295028632,2.2156885707599523e-23,51.931480521855846,29.286410566772847,15.68010637390902,3.1015865591891734,4.1597827311612434e-4,1.1673527412533341e-7,6.10929026441275,5.614355929978031,10.298263988257046,40.98777675033058,36.99031295028632,200000,200000,0.200095,0.460275,0.57129,0.64028,0.86779,0.913905,0.19979665147266426,0.4594698924660757,0.5723997492572602,0.6392333226006773,0.8680525585203289,0.9134520429074287,-10.439460465659526,-0.7673084254720904,0.4405831022417339,1.2722542237190986,2.2547633640816946,4.662800902747225,-10.718128374621333,-0.9655963777354648,0.5009609549199268,1.409115780428082,3.2115998472890728,6.073212552249832,0.0498341581645473,0.05017837149901404,3,0.9970551351159106,-0.2786679089618076,-0.19828795226337437,0.060377852678192845,0.13686155670898348,0.9568364832073781,1.4104116495026071
5,100,100,0.7,0.07,0.6299999999999999,43,27,23,4,0,3,12,9,9,8,5,57,1.17498679206609,0.8064212470182404,0.5244005127080407,0.3054807880993974,0.17637416478086118,0.17637416478086118,-0.5244005127080407,-1.4757910281791702,-1.8807936081512509,-1.8807936081512509,TRUE,0.434295375223479,1.0826757775815545,5,2.43658482002049,2.2204759173271675,-0.17698998140365635,0.5503702853472263,1.3784744812788117,1.8295046670097554,2.032996179444957,-267.28139075817205,0,132,NA,200,100,100,7,548.5627815163441,571.6510030821804,5,0,0.6831494870913942,0.08402842069691108,0.4297581295135451,0.2792091578496193,0.20700429193992453,0.05036640029240502,0.012635565906898516,0.02102645449760754,0.11959104431127719,0.07822051010121096,0.11903895849611762,0.07542201089448852,0.03561390925616015,0.5721135669407456,42.975812951354506,27.92091578496193,20.700429193992452,5.036640029240502,1.2635565906898516,2.102645449760754,11.959104431127718,7.822051010121096,11.903895849611763,7.542201089448852,3.561390925616015,57.21135669407455,200000,200000,0.401225,0.538895,0.584695,0.566485,0.533485,0.884955,0.4020021513320218,0.5388570921683306,0.5849862871193017,0.5657097891858354,0.5343591642526863,0.8851339447165704,-0.9138685448300272,0.17860603535704725,0.9110992383573389,1.577211911535211,1.924612411900109,2.4024730157416325,-1.2686856935372899,0.20669996562322934,0.9813891560198764,1.6068480365379525,1.9316039915491454,3.959585996141308,2.3777823472297017,4.859003092069436,3,0.18241760215703495,-0.35481714870726266,0.028093930266182093,0.07028991766253756,0.029636125002741487,0.006991579649036517,1.5571129803996753
6,100,100,0.65,0.23,0.42000000000000004,21,32,24,9,3,11,9,17,9,7,5,53,1.3407550336902165,0.6433454053929168,0.3853204664075676,0.20189347914185077,0.0752698620998299,0.8064212470182404,-0.0752698620998299,-0.7388468491852137,-1.080319340814956,-1.2265281200366105,TRUE,0.5934486557464755,0.8040293268622787,6,1.331592114290038,1.6692940329601276,-0.830653530025931,0.12790218526581687,0.7091176190856309,1.034967722570578,1.2160370313296105,-301.94018515451273,0,134,NA,200,100,100,7,617.8803703090255,640.9685918748618,14,0,0.64538739364202,0.23912574505116901,0.20308469260675074,0.3478021165631814,0.20998744577889883,0.08878375237984137,0.038356584822729745,0.1119854078485979,0.097607441404952075,0.13782355624488324,0.11918160870814459,0.07486884062567695,0.042924243182638155,0.527594309833705,20.308469260675075,34.78021165631814,20.998744577889884,8.878375237984137,3.8356584822729745,11.198540784859789,9.760744140495207,13.782355624488323,11.918160870814459,7.486884062567695,4.292424318263816,52.75943098337051,200000,200000,0.411215,0.52152,0.536055,0.526645,0.5186,0.789075,0.4116346159297025,0.5209227105339767,0.5359228979905337,0.5280524710875362,0.5180712146815015,0.7888845004266875,-1.3912477485450299,-0.3253324823521715,0.40687181210017725,0.8643642048507162,1.122432787170411,1.7007598797042518,-1.617082305971322,-0.30588544992195765,0.4276915539301396,0.8734999691990317,1.1257043658435388,2.5908139462303272,2.5363882345111706,2.548734589336821,3,0.4665479963124304,-0.2258345574262921,0.01944703243021384,0.020819741829962324,0.009135764348315534,0.003271578673127884,0.8900540665260754
7,100,100,0.73,0.12,0.61,18,37,33,9,3,0,2,7,18,16,10,47,2.053748910631822,1.3407550336902165,0.612812991016627,0.17637416478086118,-0.0752698620998299,0.9153650878428139,-0.125661346855074,-1.17498679206609,-1.8807936081512509,-Inf,FALSE,NA,NA,7,2.2440520707489893,1.5984570657147363,-0.9262139745464544,0.12533734173301458,1.2139059621020605,1.9199321683011294,2.3860964815575367,-282.9171871401232,0,130,NA,200,100,100,7,579.8343742802464,602.9225958460827,13,0,0.7403623120818125,0.1123918179718364,0.17716739578160756,0.372704358801937,0.33773642744461907,0.08495858397216538,0.01891909248362944,0.008514141516041573,0.023665353338984205,0.06884149018773562,0.1671308443914677,0.16001952914144701,0.11574756762196448,0.464595215318401,17.716739578160755,37.270435880193695,33.77364274446191,8.495858397216537,1.891909248362944,0.8514141516041573,2.3665353338984207,6.884149018773562,16.71308443914677,16.001952914144702,11.574756762196447,46.459521531840096,200000,200000,0.480445,0.554085,0.611495,0.60385,0.582395,0.831055,0.4812113754788974,0.5557547508137979,0.6131706990580772,0.6044676969115425,0.5831680321381157,0.8302112037962313,-1.466363546317811,-0.36497872702698736,0.6065881298122358,1.5041361590257663,2.114933188721954,2.7192607146759804,-1.52584153267513,-0.30819336320167734,0.7291030010232056,1.5778499510355508,2.1536577272637074,3.6112190461261067,1.0814844930566607,2.695953511368213,3,0.4409153907712182,-0.059477986357318935,0.05678536382531002,0.12251487121096982,0.07371379200978456,0.03872453854175362,0.8919583314501263
8,100,100,0.59,0.25,0.33999999999999997,31,19,25,6,11,8,18,10,13,9,7,43,0.9153650878428139,0.5828415072712162,0.2275449766411493,0,-0.17637416478086135,0.49585034734745304,0,-0.6744897501960817,-0.8778962950512285,-1.4050715603096322,TRUE,0.5868922178040431,0.5988151100214828,8,1.040603607655832,1.7130750630744314,-0.5047329784254945,0.013310727073674089,0.6636752501684615,0.9489277875478199,1.358188012833124,-322.4704064133202,0,206,NA,200,100,100,7,658.9408128266404,682.0290343924767,13,0,0.5870762073214141,0.25344909165525786,0.30687319744713737,0.19843685756306995,0.24124085333453482,0.08212042133169728,0.08412665369430328,0.0872020166292573,0.18350628179078876,0.09085425108530593,0.13856325980249123,0.06573685565905069,0.09487718523343197,0.4264621664289314,30.687319744713736,19.843685756306996,24.124085333453483,8.212042133169728,8.412665369430329,8.720201662925732,18.350628179078875,9.085425108530593,13.856325980249123,6.573685565905069,9.487718523343197,42.646216642893144,200000,200000,0.39864,0.50891,0.53018,0.52134,0.538395,0.77422,0.3980827110151277,0.5084108480608496,0.5310898831195546,0.5210036426196692,0.5377077580150409,0.77339232161731,-1.144541856251578,-0.2402664611918971,0.3267384542307308,0.8008537809258696,1.1376050084227545,1.8189364270788682,-1.4387072679977126,-0.2359466085973605,0.3468822480004361,0.8068423926859847,1.1530216844904482,2.6158294928182992,3.224381201257043,3.1880547270112922,3,0.3635296792332633,-0.29416541174613475,0.0043198525945365995,0.02014379376970532,0.0059886117601151145,0.015416676067693702,0.7968930657394311
9,100,100,0.74,0.07,0.6699999999999999,19,56,18,5,2,0,0,13,13,12,24,38,Inf,1.1263911290388005,0.6433454053929168,0.3054807880993974,-0.3054807880993974,0.8778962950512288,-0.6744897501960817,-1.4757910281791702,-2.0537489106318225,-Inf,NA,NA,NA,9,2.358126390639976,1.3555213361803666,-0.9040332381441113,0.721530734244127,1.460260573685106,1.9485456231498934,2.788422392462935,-268.77053343821683,0,126,NA,200,100,100,7,551.5410668764337,574.62928844227,15,0,0.7461350997699474,0.07210923664258961,0.18298888849945483,0.581719592416581,0.16318228244137456,0.04643438097035413,0.02302658387282075,0.0026482717994147364,0.008051515780710426,0.10559618562973218,0.14021719881960998,0.12740114822451343,0.24327887821892635,0.3754550733265076,18.298888849945484,58.1719592416581,16.318228244137455,4.643438097035412,2.302658387282075,0.26482717994147364,0.8051515780710425,10.559618562973219,14.021719881960998,12.740114822451343,24.327887821892634,37.545507332650764,200000,200000,0.56548,0.659595,0.60591,0.582025,0.652415,0.79755,0.5650629922555294,0.6569417473988421,0.6071046484655375,0.5824472943477335,0.6531215783354386,0.7979529810245577,-1.448825554072795,-0.07287500401770297,1.042683842339366,1.6711834875172502,2.240375302259428,3.087185240289641,-1.3530474479856585,0.17033262095415314,1.1218192697151415,1.7114378807548412,2.368156871028667,3.727673546460739,1.0397933450769683,3.139672361519909,3,0.3705877276636911,0.09577810608713655,0.2432076249718561,0.07913542737577539,0.040254393237590946,0.12778156876923896,0.6404883061710982
10,100,100,0.68,0.32,0.36000000000000004,18,36,14,11,14,7,3,16,13,8,27,33,1.8807936081512504,0.8778962950512288,0.46769879911450835,0.2533471031357998,-0.4399131656732338,0.9153650878428139,-0.10043372051146975,-0.4676987991145081,-0.8064212470182404,-1.4757910281791702,TRUE,0.9649882755804842,0.9814110741003935,10,1.021800473492525,1.0420315977450039,-0.9194794543558849,0.1042654968950869,0.498404462373557,0.7766119525314363,1.4800608724179394,-324.62655170980287,0,162,NA,200,100,100,7,663.2531034196057,686.341324985442,11,0,0.6922661903769756,0.3090994960896454,0.17892242362748528,0.36259824730988505,0.1493798329729843,0.0904056223105163,0.14926537260950912,0.06942850116961996,0.031232816740765577,0.15805464028196994,0.11844635260028885,0.09925470174326323,0.26296178182792135,0.33004970680579104,17.89224236274853,36.259824730988505,14.93798329729843,9.04056223105163,14.926537260950912,6.942850116961996,3.1232816740765577,15.805464028196994,11.844635260028886,9.925470174326323,26.296178182792136,33.004970680579106,200000,200000,0.588225,0.57242,0.53063,0.52253,0.55947,0.63392,0.5876983322537547,0.5742410112196717,0.5315721393444865,0.522939964445912,0.5592383134878676,0.6347515785971978,-1.4610322229621089,-0.3733284114273088,0.29745512513886907,0.6334090481303097,1.0830297219880496,1.9217364721087649,-1.3252976843369635,-0.29933693689495655,0.30987396492060193,0.6397851609053127,1.1243519161965863,2.1652439642316716,1.0564022805047222,1.054375049844482,3,0.7880979424148055,0.1357345386251454,0.07399147453235227,0.01241883978173286,0.00637611277500294,0.04132219420853667,0.2435074921229068
