ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,sha,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.46,0.15,0.31000000000000005,77,1,7,5,6,4,44,6,4,5,5,36,0.1509692154967774,0,-0.10043372051146975,-0.22754497664114945,-0.35845879325119373,-0.7388468491852137,-0.7721932141886849,-1.0364333894937894,-1.2815515655446008,-1.7506860712521695,TRUE,0.4507202766982133,0.3958841302645235,1,2.2489671166115226,1.4309742060231359,1.131588397127829,1.1771718843608483,1.2547200214062082,1.3368819325698078,1.4503978273174678,-224.25368424816517,0,188,NA,200,100,100,7,462.50736849633034,485.5955900621666,18,0,0.47517277762327625,0.13871500834702766,0.7651927302083461,0.03912180622248618,0.05697045522214006,0.04702543845983631,0.044384366640905504,0.04730520324628584,0.4455829655636363,0.029556620465961747,0.0496876363471257,0.051231403604103165,0.06721486375948049,0.3567265102596926,76.51927302083462,3.9121806222486177,5.697045522214006,4.702543845983631,4.438436664090551,4.730520324628584,44.55829655636363,2.9556620465961747,4.96876363471257,5.123140360410316,6.721486375948049,35.67265102596926,200000,200000,0.48803,0.509595,0.515925,0.52213,0.53579,0.804855,0.7595842038606565,1.1540207501682875,1.2146267870583491,1.2938343175878562,1.389039365421692,1.5852875316092427,0.7406418522300243,1.1543651759943816,1.2158289212605113,1.2955405819708963,1.3929939115360361,1.9133530846072093,6.928251331870854,7.116196919396954,3,0.06828496788621807,-0.01894235163063218,3.444258260940636e-4,0.0012021342021621972,0.0017062643830401125,0.003954546114344204,0.3280655529979666
2,100,100,0.53,0.25,0.28,1,7,67,22,2,1,0,7,40,28,9,16,Inf,1.4757910281791708,0.0752698620998299,-0.6744897501960817,-0.9944578832097528,2.3263478740408408,1.4050715603096327,-0.6744897501960817,-1.8807936081512509,-2.3263478740408408,FALSE,NA,NA,2,2.5347503091136145,1.326682732637396,0.17074873463544535,0.4493714206462094,1.1122961818091723,1.5135896890862535,1.6825801597853869,-238.73114486620108,0,142,NA,200,100,100,7,491.46228973240216,514.5505112982385,43,0,0.5274529237775658,0.2525525466964379,0.004965830911236938,0.08178239545387157,0.6606992269384536,0.22135962159637146,0.022657347907895753,0.008535577192170685,0.005518650751222222,0.056764192243051646,0.41026423322816036,0.2800318719063632,0.08643731774050556,0.160983734130697,0.49658309112369386,8.178239545387157,66.06992269384536,22.135962159637145,2.2657347907895753,0.8535577192170685,0.5518650751222223,5.676419224305165,41.026423322816036,28.003187190636318,8.643731774050556,16.0983734130697,200000,200000,0.45785,0.472025,0.52738,0.58954,0.565955,0.758445,0.1279082703765357,0.3473933576073347,0.8055990437692215,1.2677138661153646,1.583213237071134,1.7876798374895606,0.12226100635137915,0.3395797049055186,0.8209974349523373,1.3032533294123836,1.5944054652058723,1.9753536861175505,1.0999000501246237,2.073657581760801,3,0.5572603694636256,-0.0056472640251565565,-0.00781365270181611,0.015398391183115812,0.03553946329701896,0.011192228134738302,0.18767384862798986
3,100,100,0.68,0.33,0.35000000000000003,19,28,20,13,14,6,6,11,15,7,11,50,1.5547735945968528,0.9541652531461942,0.46769879911450835,0.27931903444745404,0,0.8778962950512288,0.0752698620998299,-0.4399131656732338,-0.8416212335729142,-1.554773594596853,TRUE,0.6562360081346379,0.8983484325934118,3,2.6588506708239663,1.5822900259488668,0.5858100633088182,0.8548544840350667,1.059249153856248,1.1850628597909019,1.3858648627315635,-318.90578198242207,0,146,NA,200,100,100,7,651.8115639648441,674.8997855306804,42,0,0.7089087765596831,0.30468194791499115,0.18211574415636975,0.28246613438312596,0.23073617354551312,0.11535340427343932,0.11950065075450111,0.06982789288705071,0.0687470023465428,0.10805105033565066,0.11429317075812345,0.07992855301248708,0.1338723345725092,0.4951078889746868,18.211574415636974,28.246613438312597,23.073617354551313,11.535340427343932,11.950065075450112,6.982789288705071,6.87470023465428,10.805105033565066,11.429317075812346,7.992855301248708,13.387233457250918,49.510788897468686,200000,200000,0.48225,0.51299,0.528885,0.52697,0.559565,0.81457,0.43304636180017325,0.7276039494029417,0.9546176709440263,1.119503388949928,1.2742378771444196,1.530710716113406,0.42350402963912087,0.7312710641297977,0.960461874107938,1.1229623906417923,1.2858732337467007,1.8713834272625662,2.9058615463719044,2.8433707403874275,3,0.4164099958062313,-0.00954233216105238,0.003667114726855991,0.005844203163911765,0.003459001691864305,0.0116353566022811,0.3406727111491603
4,100,100,0.46,0.12,0.34,35,31,22,8,4,0,13,18,23,8,14,24,1.1263911290388005,0.49585034734745304,-0.10043372051146975,-0.3054807880993974,-0.7063025628400875,0.3853204664075676,-0.4124631294414046,-1.17498679206609,-1.7506860712521695,-Inf,FALSE,NA,NA,4,2.706024082465475,1.4908510855737191,0.7456052049512831,1.0292949774707414,1.3188656981276528,1.4637553499096974,1.713298263853922,-314.3659614268953,0,150,NA,200,100,100,7,642.7319228537906,665.8201444196269,6,0,0.48786872183420293,0.10085778024134873,0.33933089065641825,0.3246155269592162,0.23519580214301683,0.05741073938590879,0.03690299847071388,0.0065440423847260565,0.14217209060758135,0.16498886452775768,0.20497032303045803,0.10173752862822905,0.1531821664067532,0.2329490267992207,33.93308906564182,32.46155269592162,23.519580214301683,5.74107393859088,3.6902998470713877,0.6544042384726056,14.217209060758135,16.498886452775768,20.497032303045803,10.173752862822905,15.31821664067532,23.294902679922068,200000,200000,0.494905,0.53105,0.56346,0.547325,0.60544,0.79487,0.5430761797366425,0.8867076104435927,1.157375322951247,1.3838350068373733,1.5576473466282543,1.815561120122185,0.5378188533230348,0.8950994316797198,1.1756018270152901,1.390464552415934,1.583489539356271,2.046378886068793,2.257999820833504,3.4987612083032427,3,0.3209228234787842,-0.005257326413607655,0.00839182123612714,0.018226504064043247,0.006629545578560769,0.025842192728016578,0.23081776594660774
5,100,100,0.55,0.21,0.3400000000000001,2,26,51,19,2,0,0,11,34,30,14,11,Inf,1.2265281200366105,0.12566134685507413,-0.6744897501960817,-1.2265281200366105,2.053748910631822,0.5828415072712162,-0.8064212470182404,-2.0537489106318225,-Inf,NA,NA,NA,5,3.036469399250256,1.4003017711698225,0.24643136649630695,0.6903134851394828,1.1692720434817105,1.5603301924235229,1.8267406806260444,-266.366894866454,0,138,NA,200,100,100,7,546.733789732908,569.8220112987443,30,0,0.5607966206952609,0.20217424374521298,0.014853962255130335,0.2654720427796209,0.5174997512200358,0.1797772195892825,0.020144716317750944,0.0022523078381795347,0.005102647356598753,0.10509326857554516,0.3290074633725952,0.3114691268761366,0.1430492002418151,0.10627829357730922,1.4853962255130335,26.547204277962088,51.749975122003576,17.97772195892825,2.0144716317750944,0.22523078381795347,0.5102647356598753,10.509326857554516,32.90074633725952,31.14691268761366,14.304920024181511,10.627829357730922,200000,200000,0.50347,0.51891,0.568705,0.605845,0.61001,0.72849,0.18461158747424164,0.523385171860194,0.9218343856289472,1.316424244159135,1.6531820369376096,1.9177907518028412,0.18538138327452422,0.531417887517596,0.9528582077181846,1.3572406184843941,1.6817240593353249,2.044588331937367,0.38006430909012523,1.8321643114579496,3,0.6079607590641576,7.6979580028258e-4,0.008032715657402045,0.031023822089237485,0.0408163743252592,0.028542022397715305,0.1267975801345258
6,100,100,0.65,0.17,0.48,28,35,20,4,11,2,8,13,14,0,12,53,1.4050715603096327,0.8064212470182404,0.3853204664075676,0.3853204664075676,0.0752698620998299,0.5828415072712162,-0.3318533464368165,-0.9541652531461942,-1.1263911290388005,-2.0537489106318225,TRUE,0.5141458489610502,1.0107989971701858,6,2.3785717245827103,1.8507594872428768,0.6822660249874132,1.0008288893265789,1.2397383825605315,1.2733820672620533,1.5355213717372858,-285.95852859059914,0,158,NA,200,100,100,7,585.9170571811983,609.0052787470346,32,0,0.6800762553370249,0.14876052724467215,0.2720958609840457,0.3609391120069615,0.21820449976432066,0.021915783144383694,0.10007524236103271,0.02676950173925574,0.08893400439119077,0.11788988374020844,0.11309985653157592,0.017025914843753265,0.1364822852162328,0.5265680552770389,27.20958609840457,36.09391120069615,21.820449976432066,2.1915783144383694,10.007524236103272,2.676950173925574,8.893400439119077,11.788988374020844,11.309985653157591,1.7025914843753265,13.64822852162328,52.65680552770389,200000,200000,0.459305,0.524595,0.54917,0.50868,0.59751,0.88098,0.5001932340735805,0.8438912954271297,1.1110259482446638,1.256266316491292,1.3800830866628087,1.6582961520578927,0.47633706724689695,0.851602422565965,1.123035905902623,1.2565674190569938,1.405065713903832,2.197380501365042,3.025096793216173,6.114785836496338,3,0.10615725165765588,-0.023856166826683567,0.007711127138835261,0.012009957657959092,3.0110256570181626e-4,0.024982627241023403,0.5390843493071491
7,100,100,0.59,0.19,0.39999999999999997,2,13,66,17,2,0,0,4,37,29,7,23,Inf,1.7506860712521695,0.2275449766411493,-0.5244005127080407,-0.7388468491852137,2.053748910631822,1.0364333894937894,-0.8778962950512285,-2.0537489106318225,-Inf,NA,NA,NA,7,3.052337837954034,1.490686136419128,0.2506708455157051,0.5406466983881899,1.194508348258043,1.5774449435402014,1.7018867551872672,-239.25924791180555,0,540,NA,200,100,100,7,492.5184958236111,515.6067173894473,4,0,0.6013383892230723,0.18188430724390292,0.015627721195832518,0.1305484616156518,0.6719395099446127,0.16214626838871937,0.012507027210451604,0.007231011644731944,0.004322035816195461,0.03991049609830674,0.35442907886242553,0.2966526492938487,0.08121164477888432,0.22347409515033922,1.5627721195832518,13.05484616156518,67.19395099446128,16.214626838871936,1.2507027210451604,0.7231011644731944,0.43220358161954614,3.9910496098306742,35.44290788624255,29.665264929384872,8.121164477888431,22.347409515033924,200000,200000,0.50523,0.51334,0.58756,0.620175,0.55786,0.763835,0.1879828721203332,0.42649499262591084,0.8694811589673982,1.3377728146966,1.631059601009631,1.8048936980707633,0.18876111512812788,0.4298281132124009,0.9244268875171107,1.3826769139845947,1.6382141512810817,1.9838762620177512,0.88790180798182194,3.1248763956160963,3,0.3727695470913641,7.782430077946656e-4,0.003333120586490046,0.05494572854971247,0.04490409928799477,0.0071545502714507325,0.17898256394698797
8,100,100,0.53,0.24,0.29000000000000004,13,23,40,20,2,2,9,11,27,19,17,17,1.3407550336902165,0.8416212335729144,0.0752698620998299,-0.4124631294414046,-0.9541652531461942,1.1263911290388005,0.35845879325119373,-0.7063025628400875,-1.7506860712521695,-2.0537489106318225,TRUE,0.6777183267509499,0.5883434486375599,8,2.6084297043226856,1.349016448986754,0.5277068568200971,0.762262064335287,1.1292951955472543,1.4225434650443183,1.6627100183768375,-319.95075793122453,0,138,NA,200,100,100,7,653.9015158624491,676.9897374282854,14,0,0.5331608633887774,0.23688066468049473,0.1366653753358167,0.22116794495056305,0.4052860150331255,0.18067296373970987,0.046123000121573665,0.010084700819211201,0.08281405240757847,0.11914763020274863,0.26487745400089546,0.2160394487760846,0.13898686636021063,0.1781345482524822,13.666537533581671,22.116794495056304,40.52860150331255,18.067296373970986,4.612300012157366,1.00847008192112,8.281405240757847,11.914763020274863,26.487745400089548,21.603944877608463,13.898686636021063,17.813454825248222,200000,200000,0.47021,0.503,0.53606,0.565215,0.585275,0.756735,0.3913726079913068,0.653808741517941,0.9390393976681608,1.2529407135285429,1.5160864300519554,1.7701500672283672,0.3788112558862437,0.6538627922583502,0.9528825922144267,1.272131938007866,1.536347367905939,1.9547055118698373,3.921351739094841,4.065801171704779,3,0.25444589529134987,-0.012561352105063095,5.40507404092061e-5,0.013843194546265924,0.019191224479323088,0.02026093785398353,0.1845554446414701
9,100,100,0.76,0.21,0.55,33,29,17,8,3,10,10,11,3,8,4,64,1.2815515655446008,0.8064212470182404,0.7063025628400875,0.46769879911450835,0.35845879325119373,0.4399131656732339,-0.3054807880993974,-0.8064212470182404,-1.1263911290388005,-1.2815515655446008,TRUE,0.5083252028085709,1.0372079609379166,9,2.45252345682305,1.849899913357365,0.7373283354727724,0.9983305879168107,1.1364541881187606,1.2659372536164752,1.3295113177050153,-277.8228747882395,0,150,NA,200,100,100,7,569.645749576479,592.7339711423153,24,0,0.7387987235224709,0.23044050953731532,0.3302500306640047,0.30002656912473125,0.13928289067394872,0.09894563559151548,0.03612997105098936,0.09536490289481048,0.09947078231337306,0.09825870546495954,0.06347178869919651,0.06474132934753363,0.03310857869351158,0.6409488154814257,33.02500306640047,30.002656912473125,13.928289067394871,9.894563559151548,3.6129971050989362,9.536490289481048,9.947078231337306,9.825870546495954,6.3471788699196505,6.474132934753363,3.310857869351158,64.09488154814257,200000,200000,0.471285,0.526885,0.52716,0.53319,0.52125,0.870895,0.5370098846769441,0.8683211497782205,1.06496853963375,1.1975431200589584,1.2965761386175332,1.4841188501160036,0.518522836979019,0.8747032106508809,1.0687219474515754,1.201824127583136,1.2978251206514397,2.0507851927016802,3.609171940767343,3.9895521532521836,3,0.2625945209515417,-0.018487047697925085,0.006382060872660356,0.003753407817825405,0.004281007524177705,0.0012489820339065538,0.5666663425856766
10,100,100,0.65,0.39,0.26,21,24,16,7,8,24,15,12,8,5,10,50,1.0364333894937894,0.612812991016627,0.3853204664075676,0.2533471031357998,0,0.8064212470182404,0.12566134685507413,-0.27931903444745404,-0.4676987991145081,-0.7063025628400875,TRUE,0.657386312034392,0.526113709350212,10,2.5176508834014486,1.3155023188274317,0.625612954877457,0.8385564050971507,0.965802957358868,1.0306076530898947,1.132865325837879,-316.9564771284067,0,386,NA,200,100,100,7,647.9129542568134,671.0011758226497,14,0,0.6317076371174433,0.40621317567415394,0.21718559065662413,0.22829498747687482,0.1483062461923471,0.07156051494064852,0.10099566271505356,0.23365699801845186,0.142672393162542,0.13251874194363833,0.09310122777637636,0.04949552817774755,0.07882203079244648,0.5033900781472493,21.71855906566241,22.82949874768748,14.830624619234712,7.156051494064853,10.099566271505356,23.365699801845185,14.267239316254198,13.251874194363833,9.310122777637636,4.949552817774755,7.882203079244649,50.33900781472494,200000,200000,0.464385,0.503905,0.510055,0.50684,0.51673,0.728385,0.4603710732467078,0.7363429151880844,0.9019560646862013,0.9978661726270566,1.0802905431095102,1.3289852917862315,0.4422030729345031,0.7369307381131438,0.9029122863111929,0.998333308035165,1.081697907471024,1.564282317915659,1.5451502353838122,1.5433476465803788,3,0.6723024513146795,-0.01816800031220467,5.878229250594336e-4,9.562216249916489e-4,4.6713540810838783e-4,0.0014073643615137854,0.2352970261294276
