ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,sha,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.6,0.45,0.14999999999999997,15,25,15,13,18,14,6,27,7,17,9,34,1.5547735945968528,0.4399131656732339,0.2533471031357998,-0.17637416478086135,-0.4124631294414046,1.0364333894937894,0.2533471031357998,-0.125661346855074,-0.4676987991145081,-1.080319340814956,TRUE,0.9346681377849975,0.4036029454295918,1,2.916170610851465,1.1819643665180657,0.5133299517498915,0.826777740581103,0.9315886638556853,1.07620001785081,1.2279545726659165,-340.86635601868113,0,150,NA,200,100,100,7,695.7327120373623,718.8209336031986,43,0,0.6068408130662799,0.44553202387177304,0.12651678361033492,0.3052102360727318,0.12274095644516025,0.15801172968284982,0.13053432541956989,0.15698596876935333,0.08410148117467706,0.21308731773691306,0.09597038802213004,0.1395550333441657,0.1402704866296549,0.32701529309245925,12.651678361033492,30.52102360727318,12.274095644516025,15.801172968284982,13.053432541956989,15.698596876935333,8.410148117467706,21.308731773691306,9.597038802213003,13.95550333441657,14.027048662965491,32.70152930924593,200000,200000,0.49727,0.50969,0.50646,0.512375,0.518575,0.631255,0.38124027395669213,0.6833334429916567,0.8791381005719063,1.0021334490535274,1.1478549382014727,1.4021079629972897,0.3800538268284217,0.6862755479677516,0.8800045777291065,1.004005140097826,1.1505774011248096,1.4983309723017537,10.02571192199257,10.117971004764529,3,0.01758950266564019,-0.0011864471282704292,0.002942104976094928,8.664771572001184e-4,0.001871691044298629,0.002722462923336888,0.09622300930446404
2,100,100,0.82,0.26,0.5599999999999999,3,32,39,20,2,4,0,5,13,22,15,45,Inf,1.6448536269514715,0.9153650878428139,0.2533471031357998,-0.125661346855074,1.8807936081512504,0.3853204664075676,-0.6433454053929168,-1.554773594596853,-1.7506860712521695,FALSE,NA,NA,2,4.269360196297641,1.6001376520163986,0.3094242683543666,0.762500947304644,1.098734281518538,1.384071535391209,1.5140385851763865,-276.97457227064757,0,146,NA,200,100,100,7,567.9491445412951,591.0373661071314,49,0,0.8180001364521311,0.26542824814640453,0.02919079629695208,0.328909952972691,0.3764710025839524,0.19487603236518836,0.039455407265095555,0.031096808516120622,8.977943123884143e-4,0.040452890975455805,0.14064917826002468,0.2342683425347608,0.12973936453020696,0.45399242938716333,2.919079629695208,32.8909952972691,37.64710025839524,19.487603236518837,3.9455407265095555,3.109680851612062,0.08977943123884144,4.045289097545581,14.064917826002468,23.42683425347608,12.973936453020695,45.399242938716334,200000,200000,0.58905,0.60399,0.597615,0.60227,0.556515,0.74039,0.23153188720613754,0.5822439930025051,0.9265425144045057,1.2214565152319576,1.4421900642159329,1.639255233402363,0.25061605966693923,0.6248418711952186,0.9584253730836032,1.2512799562971924,1.449486539074789,1.7935108593546323,2.0154764892899015,2.3599450872226586,3,0.5011343804629995,0.019084172460801685,0.042597878192713545,0.03188285867909746,0.029823441065234713,0.007296474858856206,0.15425562595226938
3,100,100,0.85,0.1,0.75,14,21,55,7,1,2,3,1,11,14,8,63,1.8807936081512504,1.7506860712521695,1.0364333894937894,0.5533847195556728,0.3318533464368165,1.080319340814956,0.3853204664075676,-1.2815515655446008,-1.8807936081512509,-2.0537489106318225,TRUE,0.4836962648865111,1.47344637207062,3,3.1970108441581853,2.1412242331212834,0.5534414459640422,0.7562785807967073,1.2893004773963463,1.5485039996023564,1.6730093245166235,-243.4588154251205,0,208,NA,200,100,100,7,500.917630850241,524.0058524160772,19,0,0.8207406405524137,0.11727910564559463,0.1559281813585626,0.19522528031097483,0.531567432684868,0.09287741793397086,0.015147568564857439,0.009254119146766326,0.013140074171963521,0.02211674224547939,0.14400254303014343,0.11944854523668677,0.06643537085781359,0.6348567244579133,15.592818135856259,19.522528031097483,53.15674326848679,9.287741793397085,1.5147568564857439,0.9254119146766326,1.314007417196352,2.211674224547939,14.400254303014343,11.944854523668678,6.643537085781359,63.48567244579133,200000,200000,0.52782,0.524755,0.62958,0.6174,0.572315,0.90558,0.4099578625253253,0.660745966923368,0.9969737839621279,1.3940524532086043,1.602372554933907,1.7788680005553184,0.42118509153535316,0.6657459978557096,1.0657700513499784,1.4240309953537276,1.6113900819802007,2.311739070399618,6.588949369068693,5.980100408211983,3,0.1125824074464109,0.011227229010027873,0.0050000309323416925,0.0687962673878505,0.0299785421451233,0.009017527046293772,0.5328710698442995
4,100,100,0.61,0.24,0.37,3,33,40,14,8,2,0,15,24,6,24,31,Inf,1.0364333894937894,0.27931903444745404,0.12566134685507413,-0.4958503473474532,1.8807936081512504,0.35845879325119373,-0.7063025628400875,-1.2815515655446008,-2.0537489106318225,FALSE,NA,NA,4,2.833725850693952,1.5053783040384265,0.2804942629630284,0.772272544021068,1.1424323605490312,1.2804445026945923,1.5929028363952606,-292.66538126748316,0,148,NA,200,100,100,7,599.3307625349663,622.4189841008026,23,0,0.6328067606307899,0.22513669324539842,0.021826729048909664,0.34726015318953424,0.4057764245161577,0.10259912034234697,0.10497060915765521,0.017566963745396236,0.008517510727769517,0.131514239961697,0.2271614886797436,0.10136788404459945,0.2222121732924341,0.30922670329375634,2.1826729048909663,34.72601531895342,40.57764245161577,10.259912034234697,10.497060915765521,1.7566963745396236,0.8517510727769517,13.1514239961697,22.716148867974358,10.136788404459946,22.22121732924341,30.922670329375634,200000,200000,0.48492,0.51403,0.55248,0.53444,0.6075,0.78545,0.21016142214488415,0.581971290422342,0.950013392269229,1.2071576085472127,1.40024062655623,1.707945011678911,0.20707847339086738,0.5877129046954531,0.9701348800463157,1.2117950643369126,1.4329089334384209,1.9413155550588712,4.554352163283523,6.41446993127026,3,0.09309731996648218,-0.0030829487540167677,0.005741614273111151,0.020121487777086666,0.004637455789699985,0.03266830688219091,0.23337054337996022
5,100,100,0.62,0.38,0.24,9,17,36,14,14,10,4,21,13,16,14,32,1.7506860712521695,0.6744897501960817,0.3054807880993974,-0.10043372051146975,-0.4676987991145081,1.3407550336902165,0.6433454053929168,-0.3054807880993974,-0.7063025628400875,-1.2815515655446008,TRUE,0.7887859374011748,0.4812887794110285,5,2.5757480242250823,1.2504946104404004,0.4201381689224694,0.7092784661401641,0.9674471712722856,1.129963059407369,1.3179843124993327,-337.05946733690814,0,148,NA,200,100,100,7,688.1189346738163,711.2071562396526,12,0,0.5967108705231579,0.404345293978565,0.07147794309169145,0.22862424170094856,0.295552521228795,0.16806949021613737,0.13495339492401504,0.10132240883841259,0.058462737977192945,0.14867388060316272,0.19615251089648647,0.13380541518644973,0.14467714349582494,0.3182283118408832,7.147794309169145,22.862424170094855,29.555252122879498,16.806949021613736,13.495339492401504,10.13224088384126,5.846273797719294,14.867388060316273,19.61525108964865,13.380541518644973,14.467714349582494,31.82283118408832,200000,200000,0.461535,0.49164,0.51165,0.517255,0.531975,0.708225,0.3136964965602194,0.5823181818739664,0.8399789683069382,1.0457737214577936,1.2158113009710894,1.4743485426334622,0.30121605218255365,0.5799236303053895,0.8424934986864299,1.0485931012980418,1.22188534680004,1.6482660297663594,9.750520927376332,9.8549549431439,3,0.019840175694518902,-0.012480444377665767,-0.0023945515685769303,0.002514530379491675,0.0028193798402482706,0.006074045828950547,0.17391748713289723
6,100,100,0.53,0.3,0.23000000000000004,12,20,38,14,11,5,4,14,29,11,8,34,1.7506860712521695,0.9153650878428139,0.0752698620998299,-0.2018934791418509,-0.4124631294414046,1.17498679206609,0.46769879911450835,-0.5244005127080407,-0.9944578832097528,-1.6448536269514726,TRUE,0.7778760130496359,0.6620268778073305,6,2.6923614258033766,1.3363292739838415,0.4745418792462291,0.7297335618942706,1.088872152501526,1.2398449643324032,1.3921207576661134,-321.11484150096743,0,158,NA,200,100,100,7,656.2296830019349,679.3179045677712,15,0,0.5620469557157389,0.27499202787059174,0.10135039693891094,0.22063821921412669,0.4030193559763706,0.12630459477459288,0.08134268188908989,0.06734475120690897,0.05971825150850421,0.1183913143127984,0.25984347846295847,0.12041840992355968,0.11417685678455303,0.3274516890076262,10.135039693891095,22.063821921412668,40.30193559763706,12.630459477459288,8.134268188908989,6.734475120690897,5.971825150850421,11.83913143127984,25.984347846295847,12.041840992355969,11.417685678455303,32.74516890076262,200000,200000,0.47728,0.499905,0.53304,0.52814,0.53861,0.73344,0.35332936556696193,0.6140228638278704,0.90637393309363945,1.1600578969219193,1.3089428597829404,1.5361323786340453,0.3443436123986492,0.6147002610839809,0.9182952788877393,1.1641889269434629,1.3147998617676506,1.7278367668237968,4.829235656649605,4.931282237850076,3,0.17689870855465406,-0.008985753168312738,6.773972561104902e-4,0.011921345794099869,0.00413103002154358,0.005857001984710175,0.19170438818975155
7,100,100,0.63,0.45,0.18,4,20,31,17,7,21,3,10,24,19,12,32,1.8807936081512504,1.1263911290388005,0.3318533464368165,-0.15096921549677725,-0.4676987991145081,1.7506860712521695,0.7063025628400875,-0.125661346855074,-0.5828415072712162,-0.8064212470182404,TRUE,0.9105374249121805,0.3725170110168526,7,3.468768329636254,1.1316839789618818,0.3711176865107572,0.6454415111295664,0.9171230450109984,1.0766705237219225,1.1692684112251828,-324.8518183789416,0,146,NA,200,100,100,7,663.7036367578831,686.7918583237195,42,0,0.6173668655769229,0.46236268831454574,0.04982910575239437,0.18594169919679188,0.301866506736268,0.17531226177700343,0.084873170780916607,0.2021772557566257,0.02069391362796469,0.11219326853120634,0.24974595226390603,0.18619785173607956,0.10488964176926663,0.32627937207157676,4.982910575239437,18.59416991967919,30.1866506736268,17.531226177700344,8.48731707809166,20.21772557566257,2.069391362796469,11.219326853120634,24.9745952263906,18.619785173607955,10.488964176926663,32.62793720715768,200000,200000,0.53825,0.52762,0.526935,0.51445,0.509145,0.541885,0.27743333261370634,0.5277092607697758,0.7855423225232676,0.9949771417641848,1.1215000087371854,1.356412292687509,0.28817564115172734,0.5348973438027927,0.7927870269334456,0.9974398915787566,1.1223678626717892,1.3802101931458137,1.4556658523772557,1.4278510719241648,3,0.6990194673151638,0.010742308538020995,0.00718808303301699,0.007244704410177993,0.0024627498145717297,8.678539346038683e-4,0.023797900458304655
8,100,100,0.67,0.18,0.49000000000000005,13,35,34,8,5,5,6,12,15,6,9,52,1.5547735945968528,0.9153650878428139,0.4399131656732339,0.27931903444745404,0.050153583464733656,1.1263911290388005,0.050153583464733656,-0.9153650878428141,-1.2815515655446008,-1.6448536269514726,TRUE,0.5322983816870654,0.9316439445229673,8,2.322361192884887,1.7506234615477712,0.5206006912761171,0.8690727425834965,1.1915069631253932,1.3094727336454026,1.4552639644819492,-293.6590131661187,0,144,NA,200,100,100,7,601.3180263322374,624.4062478980737,49,0,0.6641771661271193,0.18423021368052872,0.13159392369427744,0.34969057848879936,0.3344852841363945,0.07834266050742589,0.06001774431339446,0.04586980885970837,0.058065130430169115,0.12045341265619555,0.15730429078651603,0.06339162101206214,0.07929851145051725,0.5214870336645399,13.159392369427744,34.969057848879935,33.44852841363945,7.834266050742588,6.001774431339446,4.586980885970837,5.806513043016912,12.045341265619555,15.730429078651603,6.339162101206214,7.929851145051725,52.14870336645399,200000,200000,0.4413,0.504,0.550665,0.532635,0.55299,0.864545,0.38652601248787616,0.7091493398946545,1.0195798955603028,1.246972069070992,1.3748815285665283,1.5893784085208809,0.36165651737195553,0.7098452467444086,1.0358840642989948,1.2508201612475114,1.3824021530836552,2.0941277913271663,0.42247819831430167,0.42622013869012804,3,0.9347743242889571,-0.024869495115920626,6.959068497541798e-4,0.016304168738692004,0.00384809217651938,0.007520624517126873,0.5047493828062855
9,100,100,0.55,0.34,0.21000000000000002,5,26,35,23,9,2,4,18,23,12,20,23,1.7506860712521695,0.7721932141886849,0.12566134685507413,-0.17637416478086135,-0.7388468491852137,1.6448536269514715,0.49585034734745304,-0.4124631294414046,-1.2265281200366105,-2.0537489106318225,TRUE,0.6556366171980493,0.5501782745927765,9,2.274653944059559,1.345299157325422,0.354736302974779,0.7213651533083776,1.041882944601801,1.2736315580988604,1.5936604489414847,-320.32311739519474,0,148,NA,200,100,100,7,654.6462347903895,677.7344563562258,34,0,0.5717056794294686,0.32271527462558536,0.04365758156772378,0.2693109034253611,0.36431624038132976,0.1960244123445073,0.1092249628788462,0.017465899402231866,0.047070115610548795,0.1681005661882137,0.2131236387717689,0.1581310022814082,0.18368398406459885,0.22989069308346155,4.365758156772378,26.931090342536113,36.43162403813297,19.60244123445073,10.92249628788462,1.7465899402231866,4.7070115610548795,16.81005661882137,21.31236387717689,15.813100228140819,18.368398406459885,22.989069308346156,200000,200000,0.429495,0.472295,0.513905,0.536355,0.597255,0.790875,0.26522187604206504,0.5683640181721848,0.8809955492619563,1.1478808480098384,1.3957455323614985,1.7089914801811308,0.24523590979578166,0.5586380645816665,0.8855368815315985,1.156566877988332,1.4254603661818133,1.9705840666388639,2.533089248769247,2.5995454236770197,3,0.4575692455522631,-0.019985966246283376,-0.00972595359051831,0.004541332269642151,0.008686029978493659,0.029714833820314812,0.2615925864577331
10,100,100,0.94,0.04,0.8999999999999999,43,34,19,2,1,1,0,3,3,3,13,78,Inf,1.8807936081512504,1.5547735945968528,1.3407550336902165,0.7721932141886849,0.17637416478086118,-0.7388468491852137,-1.7506860712521695,-2.0537489106318225,-2.3263478740408408,FALSE,NA,NA,10,6.236201380627813,2.192952646617216,0.8248039870849101,1.1471446854291203,1.4360857582424815,1.5325471031940163,1.7526823391689748,-201.27622868776288,0,152,NA,200,100,100,7,416.55245737552576,439.640678941362,6,0,0.9311225673742384,0.05173087849131819,0.4294277567386656,0.3495682797963817,0.16927308497363447,0.024393335949993045,0.022748375683617983,0.004589166857707161,0.0022445613553587385,0.015183606335488223,0.05144926493491467,0.03263389499618252,0.11750718211236916,0.7809814902656866,42.942775673866564,34.95682797963817,16.927308497363448,2.4393335949993045,2.2748375683617983,0.4589166857707161,0.22445613553587385,1.5183606335488222,5.144926493491467,3.263389499618252,11.750718211236915,78.09814902656866,200000,200000,0.71971,0.65965,0.668725,0.56538,0.66607,0.89905,0.5935372697912711,0.9786382681803771,1.268592858937586,1.4802725365563771,1.6161772955344633,1.8510126148723172,0.7107236551069827,1.0288881308050342,1.3179649307052654,1.4867376079365688,1.6525581146137132,2.1912858553763757,4.205805143995181,4.511659988001299,3,0.21125259807939112,0.11718638531571157,0.05024986262465703,0.049372071767679326,0.0064650713801917,0.03638081907924984,0.3402732405040585
