ppt,n_old,n_new,p_hit,p_fa,Pr,N1,N2,N3,N4,N5,N6,O1,O2,O3,O4,O5,O6,zH1,zH2,zH3,zH4,zH5,zF1,zF2,zF3,zF4,zF5,do_zROC,zROC_slp,zROC_int,fitppt,sha,sca,c1,c2,c3,c4,c5,lglik,convr,fn,gr,dpoints,Nold,Nnew,freep,aic,bic,bfSim,chk_lik,epH,epF,pN1,pN2,pN3,pN4,pN5,pN6,pO1,pO2,pO3,pO4,pO5,pO6,eN1,eN2,eN3,eN4,eN5,eN6,eO1,eO2,eO3,eO4,eO5,eO6,nsim2AFC,nsim,sim_eFCpcor1,sim_eFCpcor2,sim_eFCpcor3,sim_eFCpcor4,sim_eFCpcor5,sim_eFCpcor6,eStrengthN1,eStrengthN2,eStrengthN3,eStrengthN4,eStrengthN5,eStrengthN6,eStrengthO1,eStrengthO2,eStrengthO3,eStrengthO4,eStrengthO5,eStrengthO6,ChiSq,G,df,pG,d_eStrength1,d_eStrength2,d_eStrength3,d_eStrength4,d_eStrength5,d_eStrength6
1,100,100,0.65,0.16,0.49,23,53,8,8,8,0,7,22,6,13,10,42,1.4757910281791708,0.5533847195556728,0.3853204664075676,0.050153583464733656,-0.2018934791418509,0.7388468491852137,-0.7063025628400875,-0.9944578832097528,-1.4050715603096322,-Inf,FALSE,NA,NA,1,2.508874666943024,1.7324130350551985,0.6330913787576662,1.1276558397784706,1.2294321975128584,1.411462539150138,1.6471874622869955,-285.8529224650876,0,146,NA,200,100,100,7,585.7058449301752,608.7940664960115,7,0,0.6550973730320967,0.15593888608984163,0.224111144299238,0.5375199641825541,0.0824300054283662,0.09585136371790026,0.04863096174214376,0.011456560629797607,0.0768951380458429,0.21171309743924843,0.056294391482811956,0.10522783930795387,0.1355504765839156,0.4143190571402272,22.4111144299238,53.75199641825541,8.24300054283662,9.585136371790027,4.863096174214377,1.1456560629797607,7.68951380458429,21.171309743924844,5.629439148281196,10.522783930795388,13.555047658391562,41.43190571402272,200000,200000,0.469605,0.55171,0.52484,0.55714,0.602155,0.86194,0.4660300703700263,0.8788777875873616,1.1764250867941075,1.3103825762939003,1.5039965171723326,1.7559817851313453,0.4494084870093125,0.9041365491611664,1.1789990827559085,1.3209057935250357,1.5283109613728685,2.1697892296779884,3.9607279340514236,5.988998059797385,3,0.11214672199553544,-0.016621583360713788,0.0252587615738048,0.002573995961800968,0.010523217231135362,0.024314444200535856,0.4138074445466431
2,100,100,0.61,0.07,0.54,50,19,24,2,1,4,23,9,7,4,1,56,0.7388468491852137,0.46769879911450835,0.27931903444745404,0.17637416478086118,0.1509692154967774,0,-0.4958503473474532,-1.4757910281791702,-1.6448536269514726,-1.7506860712521695,TRUE,0.3073758606535698,0.6925899929692412,2,1.5104956404793082,2.1172238089411595,0.8810572850922581,1.0702054645838956,1.3593804332830932,1.445709158841696,1.4779168326696919,-251.44821822199216,0,156,NA,200,100,100,7,516.8964364439844,539.9846580098206,19,0,0.5992450747198824,0.08110426627525402,0.49537072945553495,0.2110914667814756,0.2124335374877354,0.032383042123400596,0.009089380433451644,0.03963184371840178,0.23355058356253594,0.06654608899093412,0.10065825272664752,0.029174299886418897,0.010739630641175724,0.5593311441922878,49.5370729455535,21.10914667814756,21.24335374877354,3.2383042123400596,0.9089380433451644,3.9631843718401782,23.355058356253593,6.654608899093412,10.065825272664753,2.9174299886418895,1.0739630641175724,55.93311441922878,200000,200000,0.35898,0.5127,0.562095,0.529515,0.51106,0.92548,0.6283286125849185,0.9734408187541462,1.1959888716864124,1.3996972553137563,1.4613639667857163,1.608444373139157,0.5127789519805781,0.9759725263767137,1.2138266274454246,1.4023971506230855,1.4617850988540788,2.76537613564266,3.2284506528023575,3.2841339306504898,3,0.3498570179889984,-0.11554966060434035,0.0025317076225674917,0.01783775575901214,0.0026998953093291256,4.211320683624731e-4,1.1569317625035032
3,100,100,0.76,0.04,0.72,71,8,17,3,1,0,12,5,7,12,2,62,1.17498679206609,0.9541652531461942,0.7063025628400875,0.35845879325119373,0.3054807880993974,-0.5533847195556729,-0.8064212470182404,-1.7506860712521695,-2.3263478740408408,-Inf,FALSE,NA,NA,3,2.4768215978169486,2.4185331341323013,1.0706665061461862,1.1772466678050948,1.4508107010887459,1.7295305046479457,1.796928870358565,-214.09029099488117,0,148,NA,200,100,100,7,442.18058198976235,465.2688035555986,41,0,0.7542531586062925,0.0471820688116803,0.706927035372977,0.09744833208130255,0.1484425637340402,0.041517376421253416,0.002643789502725147,0.0030209028877017374,0.12442947193065479,0.030290881529294406,0.09102648793375834,0.10752463367489137,0.02739579716208873,0.6193327277693124,70.6927035372977,9.744833208130254,14.844256373404018,4.151737642125342,0.2643789502725147,0.30209028877017374,12.442947193065478,3.0290881529294404,9.102648793375835,10.752463367489137,2.739579716208873,61.93327277693123,200000,200000,0.5392,0.52552,0.596065,0.64583,0.547015,0.93735,0.7304685795186849,1.122080480222932,1.2922897560457736,1.551756615964069,1.7601124881579548,1.890461415713694,0.7534140351659339,1.1248950588572504,1.3184365697652678,1.5927049130519695,1.7633211872154368,2.7079423763912285,5.121486208931956,4.754935099960503,3,0.1906470238652942,0.022945455647248925,0.002814578634318332,0.026146813719494233,0.04094829708790049,0.0032086990574820007,0.8174809606775344
4,100,100,0.7,0.13,0.57,17,31,39,10,1,2,3,7,20,27,10,33,1.8807936081512504,1.2815515655446008,0.5244005127080407,-0.17637416478086135,-0.4399131656732338,0.9541652531461942,0.050153583464733656,-1.1263911290388005,-1.8807936081512509,-2.0537489106318225,TRUE,0.7515346785680309,1.2238290128335059,4,3.7630616501499583,1.6052657772176244,0.5815783339903775,0.8694066923123074,1.2451136273452599,1.537760431750982,1.6428158642377582,-295.80983518418924,0,146,NA,200,100,100,7,605.6196703683785,628.7078919342148,29,0,0.6808541642092124,0.145103274971496,0.17857052412001906,0.30310648409764307,0.3732197168108419,0.11875501604215488,0.014477815083439816,0.011870443845901302,0.021675569743016865,0.07303103915942048,0.22443922688835025,0.253747826423695,0.09119525723757105,0.3359110805479464,17.857052412001906,30.31064840976431,37.321971681084186,11.875501604215488,1.4477815083439816,1.1870443845901302,2.1675569743016867,7.3031039159420486,22.443922688835023,25.374782642369496,9.119525723757105,33.59110805479464,200000,200000,0.574195,0.55899,0.601335,0.61046,0.55147,0.756095,0.4295319013533396,0.7335876133615024,1.040540303402422,1.3613837815278014,1.5844825890291423,1.7525820513553962,0.45902394111031214,0.7494085198912339,1.0788801188438992,1.3942485361018646,1.5898681421210243,1.9182528278903221,1.921607005171815,1.8302537712104747,3,0.6083736099505725,0.029492039756972566,0.01582090652973156,0.03833981544147713,0.03286475457406324,0.005385553091882045,0.1656707765349259
5,100,100,0.58,0.12,0.45999999999999996,48,28,12,8,2,2,15,13,14,13,10,35,1.0364333894937894,0.5828415072712162,0.20189347914185077,-0.125661346855074,-0.3853204664075676,0.050153583464733656,-0.7063025628400875,-1.17498679206609,-1.7506860712521695,-2.0537489106318225,TRUE,0.6723381202936847,1.0198391219434206,5,3.1403007299027696,1.5701510482992571,0.8710239183770233,1.116112131484772,1.2911574700484032,1.4666765363113667,1.5925165692349978,-301.326747842883,0,258,NA,200,100,100,7,616.653495685766,639.7417172516023,26,0,0.5821688344093678,0.11619649203411242,0.4835778608737115,0.2674334733661104,0.13279217372606567,0.07355922757415412,0.025018585602048837,0.017618678857909464,0.1454386739140549,0.1444793721849651,0.12791311949161216,0.13609964022407084,0.09452384844108608,0.3515453457442109,48.35778608737115,26.74334733661104,13.279217372606567,7.355922757415412,2.5018585602048837,1.7618678857909464,14.54386739140549,14.44793721849651,12.791311949161216,13.609964022407084,9.452384844108607,35.15453457442109,200000,200000,0.554395,0.55057,0.54635,0.561545,0.552815,0.78475,0.6211950728140532,0.9888258461700474,1.19677501873687,1.3682244926596165,1.5221363022233891,1.708108105804987,0.6539392963718943,1.0005034246177884,1.205238697368039,1.3787580154405166,1.5288820039276365,1.930238361919837,0.7075453821265965,0.7167166282005709,3,0.8692651632173201,0.03274422355784112,0.011677578447740977,0.008463678631168925,0.010533522780900029,0.0067457017042473755,0.22213025611485016
6,100,100,0.75,0.13,0.62,17,37,33,9,3,1,1,7,17,18,19,38,2.3263478740408408,1.4050715603096327,0.6744897501960817,0.17637416478086118,-0.3054807880993974,0.9541652531461942,-0.10043372051146975,-1.1263911290388005,-1.7506860712521695,-2.3263478740408408,TRUE,0.7906446743837503,1.5431729190344419,6,4.175823027498854,1.6930050638224274,0.5707127356917513,0.9220039154359534,1.2618874346126785,1.4765971900082713,1.678931832456454,-292.89311817077925,0,144,NA,200,100,100,7,599.7862363415585,622.8744579073948,3,0,0.7459515796943835,0.1340719146893281,0.16963388455865616,0.373693002679482,0.32260119807253373,0.09409618740126857,0.031172116819354057,0.00880361046870548,0.010609438020010402,0.06539548950961918,0.17804349277598688,0.177534833788633,0.1877167347860378,0.38070001111971274,16.963388455865616,37.369300267948205,32.260119807253375,9.409618740126858,3.1172116819354057,0.8803610468705481,1.0609438020010402,6.539548950961918,17.80434927759869,17.7534833788633,18.77167347860378,38.07000111197127,200000,200000,0.596725,0.5873,0.613395,0.592455,0.602395,0.76812,0.4225626694149446,0.7563008915516389,1.0759329963462,1.353667514493243,1.5574430097402416,1.7843174190920692,0.4602258539896929,0.7863250644324374,1.113213367026623,1.3731984621743436,1.5778604841252888,1.9536331853450515,0.13778348154864445,0.13716477723187398,3,0.9870317338362782,0.03766318457474832,0.030024172880798505,0.037280370680423,0.01953094768110053,0.020417474385047152,0.16931576625298228
7,100,100,0.7,0.17,0.5299999999999999,6,26,51,15,2,0,0,3,27,31,10,29,Inf,1.8807936081512504,0.5244005127080407,-0.27931903444745404,-0.5533847195556729,1.5547735945968528,0.46769879911450835,-0.9541652531461942,-2.0537489106318225,-Inf,NA,NA,NA,7,4.099492712756289,1.5989581332911105,0.38613080730311317,0.721999598345056,1.2264998940970577,1.5702438312067293,1.6912464585945686,-265.18826705432133,0,182,NA,200,100,100,7,544.3765341086427,567.464755674479,34,0,0.7137795995219693,0.15802117567200602,0.05594508807002004,0.2577041175391032,0.5283296187188707,0.1371981591116559,0.012896145650783897,0.00792687090956623,0.002948161387046941,0.03473355462592638,0.24853868446505734,0.31859568179690445,0.11114576885524041,0.2840381488698245,5.594508807002004,25.77041175391032,52.83296187188707,13.71981591116559,1.2896145650783897,0.792687090956623,0.2948161387046941,3.473355462592638,24.853868446505732,31.859568179690445,11.114576885524041,28.40381488698245,200000,200000,0.58207,0.573175,0.63907,0.632945,0.55891,0.728985,0.2881730792374911,0.5786285714649573,0.9586238200709822,1.3575793133493141,1.6226734601575852,1.7955230900346095,0.31040872365177896,0.60217107550231,1.026610032985718,1.4034211339706988,1.6296682582821322,1.922211676001,1.0031002604188273,3.119833787865058,3,0.37351564467754805,0.02223564441428788,0.023542504037352696,0.06798621291473572,0.045841820621384644,0.006994798124547064,0.12668858596639043
8,100,100,0.52,0.04,0.48000000000000004,26,31,39,4,0,0,2,16,30,30,12,10,2.053748910631822,0.9153650878428139,0.050153583464733656,-0.7721932141886849,-1.2815515655446008,0.6433454053929168,-0.17637416478086135,-1.7506860712521695,-Inf,-Inf,FALSE,NA,NA,8,3.391324828918028,1.6446487106828727,0.6500704523209636,0.9690046965141348,1.4525493641614622,1.8643711059352226,2.1075282368267674,-281.31764703842384,0,140,NA,200,100,100,7,576.6352940768477,599.723515642684,35,0,0.5187970872398362,0.04666628130672479,0.24021084209194504,0.3572111685830848,0.35591170801824534,0.04513297598450827,0.0014472875000149932,8.601782220152288e-5,0.04203603783684945,0.11115887948667152,0.32800799543664283,0.30225947935622377,0.11813722403884652,0.0984003838447659,24.021084209194505,35.721116858308484,35.59117080182453,4.513297598450827,0.14472875000149932,0.008601782220152288,4.203603783684945,11.115887948667153,32.80079954366428,30.225947935622376,11.813722403884652,9.84003838447659,200000,200000,0.548955,0.555205,0.641555,0.68631,0.65774,0.77849,0.4780984969838152,0.8135646682025397,1.1615042201354784,1.5749080885421158,1.9389409095151675,2.178053021988965,0.5003088502541059,0.8309249051309371,1.229379223224735,1.649151709889399,1.9761853838585308,2.323982915555776,4.719402029916014,5.072184712043142,3,0.1665870946926412,0.022210353270290695,0.017360236928397388,0.06787500308925654,0.07424362134728324,0.03724447434336331,0.14592989356681096
9,100,100,0.83,0.08,0.75,14,64,14,3,2,3,0,9,8,3,6,74,Inf,1.3407550336902165,0.9541652531461942,0.8416212335729144,0.6433454053929168,1.080319340814956,-0.7721932141886849,-1.4050715603096322,-1.6448536269514726,-1.8807936081512509,FALSE,NA,NA,9,4.551231539552357,1.9720474977282063,0.5283598874534053,1.1541169733873478,1.359083160066214,1.4244268218291507,1.5155113042896144,-204.505789944493,0,152,NA,200,100,100,7,423.011579888986,446.0998014548222,26,0,0.8321547447178477,0.0812380076000877,0.1371368280693074,0.6478955025995351,0.13372966173106982,0.025670147439074698,0.024784707756246638,0.030783152404766367,0.002490066992330503,0.08111920220015438,0.0842359860896675,0.03564618570443162,0.05692507085854592,0.7395834881548701,13.713682806930741,64.78955025995351,13.372966173106981,2.5670147439074698,2.478470775624664,3.0783152404766367,0.2490066992330503,8.111920220015438,8.42359860896675,3.5646185704431623,5.692507085854592,73.95834881548701,200000,200000,0.61459,0.68291,0.59343,0.53375,0.550025,0.871495,0.39211206031747753,0.8492171479587792,1.245636286233628,1.3902300215899044,1.4664929988842452,1.6407699068694757,0.43259030963888984,0.9575702631578449,1.2649112062651737,1.3923717499338606,1.4710296121231308,2.0029308315735457,0.4369876952626093,0.939215024390739,3,0.8159554712975348,0.04047824932141231,0.10835311519906565,0.019274920031545628,0.0021417283439562063,0.004536613238885545,0.36216092470407
10,100,100,0.77,0.12,0.65,26,44,18,7,3,2,1,6,16,25,19,33,2.3263478740408408,1.4757910281791708,0.7388468491852137,0.050153583464733656,-0.4399131656732338,0.6433454053929168,-0.5244005127080407,-1.17498679206609,-1.6448536269514726,-2.0537489106318225,TRUE,1.033884794075725,1.8133961507622136,10,6.469893039941752,1.5632796099249375,0.676559179574151,1.0551525300238362,1.2779103228488613,1.461901536374063,1.5876757934528876,-293.10282954728245,0,152,NA,200,100,100,7,600.2056590945649,623.2938806604012,16,0,0.7622925712424515,0.12407146136256575,0.2663205080712514,0.4247835319344768,0.18482449863170602,0.08010427945346132,0.025689550149198714,0.01827763175990571,0.004423213440773534,0.07117187942416767,0.16211233589260723,0.23922597028381767,0.19198110269349744,0.33108549826513645,26.63205080712514,42.47835319344768,18.4824498631706,8.010427945346132,2.5689550149198714,1.827763175990571,0.44232134407735335,7.117187942416766,16.211233589260722,23.922597028381766,19.198110269349744,33.108549826513645,200000,200000,0.70728,0.67565,0.611495,0.59417,0.56,0.59063,0.4957900421965185,0.8666580921302729,1.1569612604936637,1.3581461782294946,1.5172782029271028,1.7038566775040385,0.5857977414094894,0.9317161329440017,1.1820334705275373,1.3752294955583961,1.5247184731114718,1.7338711700583396,1.230273958985174,1.0536045374693472,3,0.788284252732453,0.09000769921297086,0.06505804081372879,0.02507221003387361,0.01708331732890156,0.007440270184368991,0.03001449255430111
